CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	opt_method	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1_ave	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1_ave	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
3	Broyden	-72.49471535	-59.68	14.05308957	YY	12	0.2787687316	self-energy	sharp_wc_5_b_50	7	2	1.059103876	0.3163585433	0.5854207947	1.891627254	0.258552433	-0.7085648302	1.976127211	-2.40114683	0.9706731243	1.976125333	0.9706748082	-1.383287027	0.8199022276	0.7404362888	0.04034289577	4af8b29	2x2_2C_8b_C2v_L	10.73	1.205952383	2	1.467073424	1.205952383	2	COBYLA	0.001640199731	-0.007575264908	1.233455425	-1.232567198	0.5503544461	-0.5944431706	0.0003901873029	0.0006758692559	0.5944476397	-0.001976968509	-9.698827185e-05	0.000405351737	-0.0006068330636	0.001273505587	run_cdmft.py	R0:S0:1	uncorrelated	0.3880406186	-2.450396593	-0.0005373868346	-0.000885254865	-0.00086449826	0.004774788103	1.899133524	-3.635454101	0.005807578861	-3.635450191	2.391139934	-3.626283723	-0.7540560991	0.8213928295	2025-01-27@10:51	2.148148148	-1.045606589	1	1.020320003e-17	-0.5592845139	0.3888888889	-4.02083198e-17	0.1955273857	v2.9.0	
3	Broyden	-73.20798406	-61.28	14.28892232	YY	12	0.2808505886	self-energy	sharp_wc_5_b_50	7	2	1.065224375	0.3023905374	0.5408825085	1.940329973	0.2418806937	-0.7115227793	1.976653241	-2.479468461	0.9767476979	1.976653528	0.9767475531	-1.469655496	0.8244630699	0.727278251	0.03855776856	4af8b29	2x2_2C_8b_C2v_L	10.83	1.20944725	2	1.476883992	1.20944725	2	COBYLA	-0.0006766896885	0.003491478636	1.236028034	-1.167523994	0.5477579428	-0.5857550618	0.0001821445239	0.0003587423067	0.5857544949	0.0006844901983	0.0001995335756	-0.0003383255346	-8.462427873e-05	9.905573293e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.3762649953	-2.38947134	-2.779411033e-05	0.001524800498	-0.0002171651717	0.001481764958	1.901809566	-3.630727374	0.0006175394029	-3.630727677	2.395402688	-3.63067288	-0.7446211467	0.8025687709	2025-01-27@10:54	2.148148148	-1.03127013	1	-4.71218921e-16	-0.5544263733	0.3888888889	4.951969579e-17	0.1958165246	v2.9.0	
2	Broyden	-73.83112484	-62.88	14.5388407	YY	12	0.2831014785	self-energy	sharp_wc_5_b_50	7	2	1.071634464	0.3134039295	0.4859501191	1.980153388	0.220203101	-0.6914612857	1.977084577	-2.558312198	0.9844532514	1.977085774	0.9844522334	-1.557671634	0.8297370105	0.6971678747	0.03671699954	4af8b29	2x2_2C_8b_C2v_L	10.93	1.213273249	2	1.487141262	1.213273249	2	COBYLA	-0.0002011697006	0.001064749617	1.238370147	-1.08758067	0.5419302569	-0.5763457587	0.0002070732507	0.003637375725	0.5763428469	-0.003075975438	-8.383889403e-05	-0.0002143617616	0.0007484500383	-0.001670697547	run_cdmft.py	R0:S0:1	uncorrelated	0.3701579233	-2.31227852	-6.283543048e-05	0.0007077883865	-0.0006567936948	0.006939604132	1.904336493	-3.624254783	0.006430022834	-3.624257391	2.399307954	-3.635215026	-0.732209113	0.7824342517	2025-01-27@10:56	2.148148148	-1.01579481	1	-1.660408527e-17	-0.5490934932	0.3888888889	-2.209738028e-17	0.1954548532	v2.9.0	
2	Broyden	-74.44657332	-64.48	14.81386318	YY	12	0.2849221129	self-energy	sharp_wc_5_b_50	7	2	1.078440135	0.2948118191	0.4417712902	2.069760099	0.2029195341	-0.6717982559	1.977670878	-2.636123473	0.9909430352	1.977672689	0.9909407892	-1.642105276	0.8339596118	0.6576622173	0.03490372318	4af8b29	2x2_2C_8b_C2v_L	11.03	1.216481746	2	1.498635256	1.216481746	2	COBYLA	0.001612606863	-0.005051560109	1.249563709	-1.025331409	0.5354113571	-0.5661807132	-0.0003296362921	-0.009434495288	0.566175824	0.00934088874	-0.0009040544466	0.0009664994851	0.00169756131	-0.003631400816	run_cdmft.py	R0:S0:1	uncorrelated	0.357761431	-2.240650895	-0.00118005594	0.002839235402	0.001032183725	-0.01572191553	1.906898565	-3.617879946	-0.01554229497	-3.617885725	2.401641802	-3.63888935	-0.7179960373	0.7623715242	2025-01-27@10:58	2.148148148	-0.9976171463	1	-4.567727611e-16	-0.5437019995	0.3888888889	2.813378412e-16	0.1944125303	v2.9.0	
2	Broyden	-75.13773126	-66.08	15.11080684	YY	12	0.2869545637	self-energy	sharp_wc_5_b_50	7	2	1.085652863	0.2932962184	0.3958822341	2.097323497	0.187534669	-0.6613152735	1.977538216	-2.72035827	0.9983279651	1.977533733	0.9983309118	-1.725708889	0.8378344435	0.6333522519	0.03333568715	4af8b29	2x2_2C_8b_C2v_L	11.13	1.219877643	2	1.511103268	1.219877642	2	COBYLA	0.0001388008984	-0.0005391918323	1.247815593	-0.9642125118	0.5353176582	-0.5625385493	0.0004974049218	0.01926345611	0.5625490489	-0.01960348077	0.0006626317583	-0.0003429282027	-0.001662738267	0.003944082383	run_cdmft.py	R0:S0:1	uncorrelated	0.3489489714	-2.151862217	-3.19065683e-05	-0.000109432744	-0.0009408549013	0.0278553494	1.911038492	-3.610062875	0.02826476163	-3.610054506	2.404725056	-3.642479377	-0.7072146416	0.7446882699	2025-01-27@11:01	2.148148148	-0.9773490664	1	4.084377642e-16	-0.5379604194	0.3888888889	2.748772468e-16	0.1923854858	v2.9.0	
6	Broyden	-82.46000972	-82.08	17.38383589	YY	12	0.3554427169	self-energy	sharp_wc_5_b_50	7	2	1.147663897	0.2304694494	0.3012169523	2.831817927	0.1137951892	-0.4667455951	1.402457381	-3.499235115	1.568675443	1.402849266	1.568556346	-2.578625599	1.036722572	0.5627745279	0.01874023813	4af8b29	2x2_2C_8b_C2v_L	12.13	1.324527249	2	1.580373086	1.324527249	2	COBYLA	0.0006373887927	-0.002752363065	1.279562042	-0.7304775678	0.4163251957	-1.933056803	0.02687079604	0.4846802336	1.932149004	-0.4850646391	0.0001678614082	-0.0004816255029	-0.0001273269995	0.0001833755225	run_cdmft.py	R0:S0:1	uncorrelated	0.2824576494	-1.974783684	0.0002062204406	-0.00149300667	-0.1020138656	1.114115883	1.933128444	-2.147147591	1.114368071	-2.147679177	2.452773209	-3.588690054	-0.5537292405	0.5222329491	2025-01-27@12:16	2.148148148	-0.8680096159	1	1.934240559e-16	-0.4366854364	0.3888888889	9.249294291e-17	0.160105813	v2.9.0	
3	Broyden	-83.24911102	-83.68	17.58088137	YY	12	0.3615212372	self-energy	sharp_wc_5_b_50	7	2	1.152492417	0.2268279116	0.2851802968	2.926500069	0.1065542792	-0.4520132066	1.38424144	-3.576899785	1.589375344	1.383818453	1.589501327	-2.66749977	1.049615838	0.548692828	0.01783357618	4af8b29	2x2_2C_8b_C2v_L	12.23	1.332613479	2	1.587277738	1.332613479	2	COBYLA	-0.0008457602557	0.003220596882	1.286606464	-0.7011108915	0.4084245247	-1.988575362	0.02524424333	0.4705148496	1.989532173	-0.4700697383	-0.0003204246359	6.757511678e-05	0.0009707015686	-0.003152366101	run_cdmft.py	R0:S0:1	uncorrelated	0.2762401745	-1.932070732	-3.892402731e-05	0.0009598071122	-0.09960672217	1.094987437	1.934246682	-2.07989809	1.094645874	-2.079342678	2.456299311	-3.582708024	-0.5426665058	0.5073439683	2025-01-27@12:20	2.148148148	-0.8564381025	1	-3.44786371e-17	-0.4286754974	0.3888888889	3.272645804e-16	0.1575727505	v2.9.0	
3	Broyden	-84.03958438	-85.28	17.77865832	YY	12	0.3677383202	self-energy	sharp_wc_5_b_50	7	2	1.157229362	0.218626139	0.2709347309	2.945559702	0.101834356	-0.4394261352	1.369408788	-3.653830843	1.607731691	1.369587445	1.607681265	-2.752034613	1.061140311	0.5374533093	0.01701895414	4af8b29	2x2_2C_8b_C2v_L	12.33	1.340668692	2	1.594484658	1.340668692	2	COBYLA	0.001272225502	-0.003785036331	1.280936465	-0.6772080844	0.4005376746	-2.036400285	0.02519810849	0.4525353277	2.036008777	-0.4526605024	-0.0002538911225	0.001180257678	-0.00060545089	0.002524161345	run_cdmft.py	R0:S0:1	uncorrelated	0.2676258814	-1.884387463	-0.0008788183831	0.002115093934	-0.09930689899	1.079065374	1.935947348	-2.018384098	1.079231257	-2.018591325	2.458015692	-3.577348104	-0.5314228978	0.493241127	2025-01-27@12:24	2.148148148	-0.8442946856	1	3.938382031e-17	-0.4209920502	0.3888888889	-1.631029718e-16	0.1549954845	v2.9.0	
3	Broyden	-84.86148053	-86.88	17.96617596	YY	12	0.3741103912	self-energy	sharp_wc_5_b_50	7	2	1.161695004	0.2175761201	0.2583448279	3.049251821	0.09594308279	-0.4273661755	1.352201127	-3.732686963	1.625914465	1.351871657	1.626073323	-2.83994149	1.072515073	0.5290191677	0.01625744528	4af8b29	2x2_2C_8b_C2v_L	12.43	1.348783057	2	1.601316284	1.348783057	2	COBYLA	-0.002944349553	0.009196574356	1.290653247	-0.6530266663	0.393413595	-2.091778934	0.02476038093	0.4325223037	2.092759382	-0.4321588869	0.0007537486511	-0.001108180235	-0.000588384003	0.001764365104	run_cdmft.py	R0:S0:1	uncorrelated	0.2635518914	-1.849714777	0.001641728153	-0.003148959023	-0.09594605837	1.049045489	1.937943122	-1.955148859	1.048491104	-1.954433739	2.461305123	-3.57153351	-0.5221468591	0.4804216109	2025-01-27@12:27	2.148148148	-0.8327743784	1	-2.80151703e-16	-0.4135317036	0.3888888889	-3.429936616e-16	0.1525236069	v2.9.0	
2	Broyden	-85.62094486	-88.48	18.14777261	YY	12	0.3809388593	self-energy	sharp_wc_5_b_50	7	2	1.165972081	0.2082156196	0.2449204106	3.124451873	0.09062637645	-0.4139722809	1.336066831	-3.801616954	1.641767316	1.335859611	1.641810469	-2.922285922	1.082891315	0.5109218109	0.01547038199	4af8b29	2x2_2C_8b_C2v_L	12.53	1.357262574	2	1.608098335	1.357262574	2	COBYLA	4.686931228e-05	-5.729346196e-05	1.293210783	-0.6279684985	0.3861964522	-2.146948711	0.0216169596	0.4181605361	2.147349743	-0.4178241796	0.0004452460842	-0.001098915083	7.509381202e-05	-0.0007493398619	run_cdmft.py	R0:S0:1	uncorrelated	0.2552898417	-1.806747487	-0.0002429298593	0.0006462368732	-0.09203019522	1.013950422	1.938021741	-1.896966353	1.013712606	-1.896780982	2.461145586	-3.566500974	-0.5102737439	0.4667697918	2025-01-27@12:30	2.148148148	-0.8213955688	1	-3.080728454e-16	-0.4064309615	0.3888888889	-2.111327769e-16	0.1500770689	v2.9.0	
