GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	10.5	2.911	23.443745	-2.6993717	-3.5260695	6.5855233	-3.5260702	14.844807	15.680137	-3.3119049	a248bdd	2x2_2C_8b_C2v_L	9.83	validity_data_2022.py	-1.3213097e-07	0.99824441	-1.5540774	-1.3215184e-08	1.5540775	-5.5084916e-07	-1.0366282e-06	-2.0706595	2024-08-13@16:43	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	27.784119	-2.7200125	-3.5411773	8.2038458	-3.5411746	17.528245	18.96423	-3.3236886	a248bdd	2x2_2C_8b_C2v_L	9.84	validity_data_2022.py	-3.1448178e-07	1.0002293	-1.5553691	6.5972419e-07	1.5553686	5.4377595e-08	-1.3512854e-06	-2.0713875	2024-08-13@16:43	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	32.613264	-2.7404406	-3.5561528	10.121778	-3.5561515	20.497037	22.673392	-3.3353943	a248bdd	2x2_2C_8b_C2v_L	9.85	validity_data_2022.py	-2.4001075e-08	1.0021701	-1.5566279	-6.1958709e-08	1.5566277	2.9942602e-07	1.5878472e-06	-2.0720888	2024-08-13@16:44	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	37.934195	-2.7606609	-3.5710009	12.370141	-3.5710012	23.791282	26.832601	-3.3470236	a248bdd	2x2_2C_8b_C2v_L	9.86	validity_data_2022.py	-1.5104041e-06	1.004068	-1.5578549	2.2945287e-08	1.557855	-3.1993345e-07	-5.3802783e-07	-2.072764	2024-08-13@16:44	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	43.784327	-2.7806789	-3.5857218	14.957578	-3.5857219	27.428363	31.479541	-3.3585771	a248bdd	2x2_2C_8b_C2v_L	9.87	validity_data_2022.py	8.9456685e-07	1.0059243	-1.5590504	-2.631525e-07	1.5590504	2.2818007e-06	9.5036082e-07	-2.0734135	2024-08-13@16:45	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	50.188672	-2.8004997	-3.6003163	17.897966	-3.6003151	31.456425	36.650479	-3.3700562	a248bdd	2x2_2C_8b_C2v_L	9.88	validity_data_2022.py	-3.8431678e-07	1.0077401	-1.5602148	9.6093001e-08	1.5602145	1.2901605e-06	-2.2018934e-07	-2.0740379	2024-08-13@16:45	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	57.244776	-2.820131	-3.6147875	21.279557	-3.6147868	35.90807	42.414234	-3.3814583	a248bdd	2x2_2C_8b_C2v_L	9.89	validity_data_2022.py	-1.3621908e-06	1.0095173	-1.561349	-1.2195669e-06	1.5613488	-5.5767926e-07	-7.5854593e-08	-2.0746367	2024-08-13@16:45	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	64.956485	-2.8395739	-3.629135	25.170625	-3.6291365	40.865004	48.707734	-3.3927872	a248bdd	2x2_2C_8b_C2v_L	9.9	validity_data_2022.py	1.9727336e-06	1.0112561	-1.562453	-8.4006023e-07	1.5624533	8.19866e-07	8.0625483e-07	-2.075211	2024-08-13@16:46	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	73.319072	-2.8588318	-3.6433614	29.587595	-3.64336	46.325136	55.587911	-3.4040423	a248bdd	2x2_2C_8b_C2v_L	9.91	validity_data_2022.py	-5.6167703e-08	1.0129575	-1.5635276	1.0508687e-07	1.5635274	-7.7814143e-07	1.4463098e-06	-2.0757609	2024-08-13@16:46	1.9306	1	0.2821	v2.7.1	
YY	10.5	2.911	82.37012	-2.8779121	-3.6574642	34.47954	-3.657464	52.314255	63.083951	-3.4152241	a248bdd	2x2_2C_8b_C2v_L	9.92	validity_data_2022.py	4.4968385e-07	1.0146231	-1.5645727	1.8314495e-06	1.5645727	-8.4899273e-07	1.2173624e-06	-2.0762868	2024-08-13@16:46	1.9306	1	0.2821	v2.7.1	
