model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	iterations	dist_function	distance	diff_hybrid	time
2x2_2C_8b_C2v_L	7.912495	15	2.8548	-0.036927357	-3.2631388	-3.5904602	0.012605183	-3.5887837	0.012538807	0.028087351	-3.1272666	9.3	-0.11765619	1.0259869	-1.5481375	0.13649228	1.5477018	0.13629966	0.17484798	-2.0278924	1.8226	1	0.3032	1.2780607	1.6396202	-0.48470738	-0.145724	0.059506532	0.096956521	0.098408738	1.9579601	1.8540885	0.12801109	1.8539582	0.12722351	0.00758098	1.6653256	1.0768608	1.0002804	-0.64696955	1.3353815	-0.78742651	-1.3360758	-0.7842775	-0.2195894	2.1247574	0.021925544	0.090772481	0.041461456	0.13791171	0.12315649	0.13803492	0.12247157	0.0076563204	0.27998285	0.027298488	4.8349128	3.0205849	3.6996783	4.5329489	3.7013471	4.531285	3.7461404	3.6890505	-68.627762	R0:N12:S0:1	-51.5616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 6.96e+01	 1.00e+06	2022-07-12@17:22
2x2_2C_8b_C2v_L	7.9313519	15	2.8548	-0.038648024	-3.2762077	-3.5998836	0.011680613	-3.5996487	0.011621612	0.027037932	-3.1360435	9.31	-0.11755621	1.0275681	-1.5493968	0.1355247	1.549343	0.13557932	0.17358345	-2.0289362	1.8226	1	0.3032	1.2785897	1.6403166	-0.48281706	-0.14423106	0.058969562	0.097077167	0.097335356	1.9581256	1.8553923	0.12395338	1.8554657	0.12439904	0.0074447831	1.6683883	1.0773739	0.995965	-0.6465852	1.3312025	-0.77660434	-1.3306721	-0.77844587	-0.21796884	2.1179279	0.021950304	0.0898663	0.041303406	0.13681352	0.11943969	0.13674417	0.11982456	0.0075175378	0.27815995	0.027212946	4.8358493	3.020782	3.7014431	4.5266183	3.7003325	4.5277592	3.7474423	3.6934579	-68.754513	R0:N12:S0:1	-51.6416	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.87e+01	 8.26e-04	2022-07-12@17:24
2x2_2C_8b_C2v_L	7.950651	15	2.8548	-0.040443242	-3.290875	-3.6102986	0.010459257	-3.6101971	0.010466039	0.02559515	-3.1461061	9.32	-0.11766866	1.0291067	-1.5506268	0.13483416	1.550634	0.13485027	0.17230035	-2.030174	1.8226	1	0.3032	1.2791276	1.6410417	-0.48086942	-0.14271907	0.058427126	0.097185438	0.096353298	1.9583081	1.8568459	0.12068587	1.8568476	0.12073527	0.0073007182	1.6714564	1.0778667	0.99225289	-0.64607743	1.3260769	-0.76900707	-1.3260492	-0.76920455	-0.21624322	2.1111664	0.021972537	0.089037442	0.041128625	0.13557344	0.11640419	0.13557143	0.1164479	0.0073707565	0.27631834	0.027126653	4.8365827	3.0209076	3.7014575	4.5220194	3.7013465	4.5221329	3.7485272	3.6977938	-68.888226	R0:N12:S0:1	-51.7216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.78e+01	 5.32e-04	2022-07-12@17:26
2x2_2C_8b_C2v_L	7.9701999	15	2.8548	-0.042373365	-3.3042163	-3.6212522	0.0094060561	-3.6212581	0.0094196642	0.024355639	-3.1564861	9.33	-0.11780642	1.030413	-1.5520424	0.13412618	1.5520556	0.13401143	0.1710614	-2.0315441	1.8226	1	0.3032	1.2796713	1.6417784	-0.47889352	-0.14118946	0.057877758	0.097298399	0.095457519	1.9584789	1.8583315	0.11752362	1.8582108	0.11686824	0.0071605929	1.674513	1.078364	0.98891912	-0.64557922	1.320755	-0.76177938	-1.3215828	-0.75895788	-0.21454528	2.1044842	0.021995712	0.088280173	0.040964618	0.13430179	0.11345304	0.13441526	0.11288078	0.007228037	0.27446775	0.027041036	4.8371829	3.0209763	3.7010458	4.5177956	3.7027324	4.5160602	3.7495282	3.7020078	-69.022355	R0:N12:S0:1	-51.8016	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 6.69e+01	 1.00e+06	2022-07-12@17:27
2x2_2C_8b_C2v_L	7.9896473	15	2.8548	-0.044711968	-3.3194566	-3.6311141	0.0081790046	-3.6337689	0.0083115523	0.023059295	-3.1648451	9.34	-0.11816655	1.0318301	-1.5531686	0.13337808	1.5536451	0.13327664	0.1697135	-2.0321892	1.8226	1	0.3032	1.2802078	1.6425253	-0.47691033	-0.13969154	0.057344719	0.097395905	0.094947835	1.9586231	1.8596942	0.11419363	1.8595826	0.11337937	0.0070043342	1.6772856	1.0788223	0.98741006	-0.64529932	1.3159007	-0.75346038	-1.3169843	-0.74990965	-0.2126372	2.0982466	0.022015772	0.08784966	0.040825106	0.13313935	0.11035531	0.13324621	0.10964297	0.0070688885	0.27277518	0.02695924	4.836714	3.0213731	3.701219	4.513211	3.7035397	4.510766	3.750551	3.7059407	-69.156246	R0:N12:S0:1	-51.8816	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 6.61e+01	 1.00e+06	2022-07-12@17:29
2x2_2C_8b_C2v_L	8.0090062	15	2.8548	-0.047072746	-3.3395868	-3.6429492	0.0070009349	-3.6455035	0.006942358	0.021503702	-3.1752771	9.35	-0.11873991	1.0338801	-1.5545969	0.13278666	1.5551036	0.13277719	0.16868399	-2.033437	1.8226	1	0.3032	1.2807368	1.6432946	-0.47491814	-0.13822159	0.056823089	0.097499108	0.09453769	1.9587633	1.8609265	0.11059214	1.8609146	0.11044562	0.0068679724	1.6799253	1.0792567	0.9866423	-0.6450828	1.3118357	-0.74377775	-1.3122111	-0.74299307	-0.21104469	2.0924837	0.022036909	0.087504764	0.040689614	0.13209393	0.10702412	0.13210495	0.10689955	0.0069299834	0.27115515	0.026886741	4.8360726	3.0216565	3.7025287	4.5075166	3.7032207	4.5068021	3.7513997	3.7094459	-69.307978	R0:N12:S0:1	-51.9616	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 6.52e+01	 1.00e+06	2022-07-12@17:30
2x2_2C_8b_C2v_L	8.0279566	15	2.8548	-0.048178643	-3.3526736	-3.6571292	0.0058418614	-3.6529252	0.0059278037	0.020233683	-3.184557	9.36	-0.11832811	1.0355695	-1.5565091	0.13212231	1.5557504	0.13215563	0.1675073	-2.034319	1.8226	1	0.3032	1.2812659	1.6439748	-0.47302517	-0.13669681	0.056267146	0.097598613	0.092746795	1.9589775	1.8622582	0.10733783	1.8622631	0.10757729	0.0067556654	1.683094	1.0797474	0.97850785	-0.64442052	1.3077473	-0.73456176	-1.3072325	-0.73580066	-0.20962973	2.0852275	0.022057373	0.085981582	0.040487101	0.13094615	0.10399822	0.13094096	0.1042053	0.0068156313	0.26919104	0.026796015	4.8390194	3.0218411	3.7037085	4.5020051	3.702635	4.5031315	3.7529975	3.7137348	-69.437641	R0:N12:S0:1	-52.0416	uncorrelated	b7fd39a	v1.0.3	0	sharp_wc_2.0_b_50	 6.43e+01	 1.00e+06	2022-07-12@17:31
2x2_2C_8b_C2v_L	8.0478292	15	2.8548	-0.051852632	-3.3739239	-3.6673408	0.0041778281	-3.6675049	0.0041816418	0.018323436	-3.1959405	9.37	-0.1195323	1.0373661	-1.5575993	0.1315118	1.5576437	0.13154717	0.16626476	-2.035857	1.8226	1	0.3032	1.2817964	1.6448247	-0.47092552	-0.13526406	0.055772608	0.097701693	0.093371619	1.959046	1.8634117	0.10417857	1.8634358	0.10430805	0.0065882322	1.6851676	1.0801231	0.98304008	-0.6445088	1.3034686	-0.72642512	-1.3033195	-0.72700214	-0.20754183	2.080995	0.02207837	0.086518831	0.040417254	0.12996675	0.1010457	0.12994386	0.10116164	0.006645229	0.26790019	0.026739621	4.8359988	3.0220294	3.7038675	4.4978072	3.7035406	4.4981525	3.7530906	3.7162725	-69.596824	R0:N12:S0:1	-52.1216	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.35e+01	 4.65e-03	2022-07-12@17:33
2x2_2C_8b_C2v_L	8.0676193	15	2.8548	-0.054115132	-3.388032	-3.6781928	0.0038567637	-3.677113	0.0038363954	0.017900282	-3.205833	9.38	-0.11947378	1.0387076	-1.5589628	0.13067677	1.5587537	0.130682	0.16520855	-2.0369965	1.8226	1	0.3032	1.2823456	1.6455407	-0.46893956	-0.13368081	0.055199097	0.097805724	0.092344123	1.9592138	1.8648082	0.10076923	1.8648211	0.10087132	0.0064689647	1.6882399	1.0806158	0.978773	-0.64403355	1.2986686	-0.71686011	-1.2984623	-0.71736384	-0.20605388	2.0741141	0.022099744	0.085643169	0.040256547	0.12876346	0.097849541	0.12875125	0.097939417	0.0065238542	0.26596809	0.026650037	4.8369369	3.0223194	3.7042752	4.4927834	3.7038731	4.4932209	3.7542988	3.7202736	-69.727732	R0:N12:S0:1	-52.2016	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.25e+01	 4.98e-03	2022-07-12@17:34
2x2_2C_8b_C2v_L	8.0868756	15	2.8548	-0.057378152	-3.4142497	-3.6937465	0.0012864145	-3.6924563	0.001318906	0.015041901	-3.2173555	9.39	-0.12095072	1.0413117	-1.5608084	0.13072168	1.560545	0.13069125	0.16439113	-2.0382723	1.8226	1	0.3032	1.2828468	1.6464229	-0.46685698	-0.13235162	0.054747045	0.097892254	0.092863976	1.9592782	1.865731	0.098382773	1.8657128	0.098310249	0.0063357287	1.6898031	1.0808955	0.98294882	-0.64423336	1.2954947	-0.71089413	-1.2954836	-0.71062823	-0.20447861	2.0709375	0.022117307	0.086095144	0.040192165	0.12797625	0.095617984	0.12799385	0.09555061	0.0063882391	0.26498741	0.026613056	4.8343593	3.0225393	3.704532	4.4892699	3.7045679	4.4892305	3.7544561	3.7220528	-69.910608	R0:N12:S0:1	-52.2816	uncorrelated	b7fd39a	v1.0.3	1	sharp_wc_2.0_b_50	 6.17e+01	 5.78e-03	2022-07-12@17:36
