w	up_1	up_2	up_3	cumul_up_1	cumul_up_2	cumul_up_3	
-28.475	9.04129e-05	9.62333e-05	9.62333e-05	0.000125413	0.000135176	0.000135176
-28.45	9.07204e-05	9.65096e-05	9.65096e-05	0.000127681	0.000137589	0.000137589
-28.425	9.103e-05	9.67872e-05	9.67872e-05	0.000129957	0.000140009	0.000140009
-28.4	9.13419e-05	9.7066e-05	9.7066e-05	0.00013224	0.000142435	0.000142435
-28.375	9.16562e-05	9.7346e-05	9.7346e-05	0.000134532	0.000144869	0.000144869
-28.35	9.19731e-05	9.76273e-05	9.76273e-05	0.000136831	0.00014731	0.00014731
-28.325	9.22928e-05	9.79099e-05	9.79099e-05	0.000139138	0.000149757	0.000149757
-28.3	9.26155e-05	9.81938e-05	9.81938e-05	0.000141454	0.000152212	0.000152212
-28.275	9.29419e-05	9.8479e-05	9.8479e-05	0.000143777	0.000154674	0.000154674
-28.25	9.32725e-05	9.87656e-05	9.87656e-05	0.000146109	0.000157143	0.000157143
-28.225	9.3608e-05	9.90535e-05	9.90535e-05	0.000148449	0.00015962	0.00015962
-28.2	9.39498e-05	9.93428e-05	9.93428e-05	0.000150798	0.000162103	0.000162103
-28.175	9.42991e-05	9.96336e-05	9.96336e-05	0.000153156	0.000164594	0.000164594
-28.15	9.46573e-05	9.99258e-05	9.99258e-05	0.000155522	0.000167092	0.000167092
-28.125	9.50241e-05	0.00010022	0.00010022	0.000157898	0.000169598	0.000169598
-28.1	9.53951e-05	0.000100515	0.000100515	0.000160283	0.00017211	0.00017211
-28.075	9.57602e-05	0.000100811	0.000100811	0.000162677	0.000174631	0.000174631
-28.05	9.61096e-05	0.000101108	0.000101108	0.000165079	0.000177158	0.000177158
-28.025	9.64462e-05	0.000101406	0.000101406	0.00016749	0.000179694	0.000179694
-28	9.67836e-05	0.000101705	0.000101705	0.00016991	0.000182236	0.000182236
-27.975	9.71343e-05	0.000102006	0.000102006	0.000172338	0.000184786	0.000184786
-27.95	9.75041e-05	0.000102309	0.000102309	0.000174776	0.000187344	0.000187344
-27.925	9.78918e-05	0.000102613	0.000102614	0.000177223	0.000189909	0.000189909
-27.9	9.8286e-05	0.000102919	0.00010292	0.00017968	0.000192482	0.000192482
-27.875	9.86639e-05	0.000103226	0.000103227	0.000182147	0.000195063	0.000195063
-27.85	9.90041e-05	0.000103534	0.000103534	0.000184622	0.000197651	0.000197651
-27.825	9.93086e-05	0.000103843	0.000103842	0.000187105	0.000200247	0.000200248
-27.8	9.95995e-05	0.000104152	0.000104152	0.000189595	0.000202851	0.000202851
-27.775	9.98965e-05	0.000104463	0.000104463	0.000192092	0.000205463	0.000205463
-27.75	0.000100207	0.000104776	0.000104775	0.000194597	0.000208082	0.000208082
-27.725	0.000100532	0.00010509	0.00010509	0.000197111	0.00021071	0.00021071
-27.7	0.000100869	0.000105406	0.000105406	0.000199632	0.000213345	0.000213345
-27.675	0.000101215	0.000105724	0.000105723	0.000202163	0.000215988	0.000215988
-27.65	0.000101569	0.000106043	0.000106043	0.000204702	0.000218639	0.000218639
-27.625	0.000101929	0.000106364	0.000106363	0.00020725	0.000221298	0.000221298
-27.6	0.000102294	0.000106686	0.000106686	0.000209808	0.000223965	0.000223965
-27.575	0.000102663	0.00010701	0.00010701	0.000212374	0.00022664	0.00022664
-27.55	0.000103036	0.000107335	0.000107335	0.00021495	0.000229324	0.000229324
-27.525	0.000103413	0.000107663	0.000107662	0.000217535	0.000232015	0.000232015
-27.5	0.000103794	0.000107991	0.000107991	0.00022013	0.000234715	0.000234715
-27.475	0.000104177	0.000108321	0.000108321	0.000222735	0.000237423	0.000237423
-27.45	0.000104564	0.000108653	0.000108653	0.000225349	0.000240139	0.000240139
-27.425	0.000104953	0.000108987	0.000108987	0.000227973	0.000242864	0.000242864
-27.4	0.000105346	0.000109322	0.000109322	0.000230606	0.000245597	0.000245597
-27.375	0.000105742	0.000109658	0.000109658	0.00023325	0.000248339	0.000248339
-27.35	0.00010614	0.000109997	0.000109997	0.000235903	0.000251088	0.000251088
-27.325	0.000106541	0.000110336	0.000110336	0.000238567	0.000253847	0.000253847
-27.3	0.000106945	0.000110678	0.000110678	0.00024124	0.000256614	0.000256614
-27.275	0.000107352	0.000111021	0.000111021	0.000243924	0.000259389	0.000259389
-27.25	0.000107762	0.000111366	0.000111366	0.000246618	0.000262173	0.000262173
-27.225	0.000108175	0.000111712	0.000111712	0.000249323	0.000264966	0.000264966
-27.2	0.00010859	0.000112061	0.000112061	0.000252037	0.000267768	0.000267768
-27.175	0.000109009	0.00011241	0.00011241	0.000254763	0.000270578	0.000270578
-27.15	0.00010943	0.000112762	0.000112762	0.000257498	0.000273397	0.000273397
-27.125	0.000109855	0.000113115	0.000113115	0.000260245	0.000276225	0.000276225
-27.1	0.000110282	0.00011347	0.00011347	0.000263002	0.000279062	0.000279062
-27.075	0.000110712	0.000113827	0.000113827	0.00026577	0.000281907	0.000281907
-27.05	0.000111146	0.000114186	0.000114186	0.000268548	0.000284762	0.000284762
-27.025	0.000111582	0.000114546	0.000114546	0.000271338	0.000287626	0.000287626
-27	0.000112022	0.000114908	0.000114908	0.000274138	0.000290498	0.000290498
