CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	-66.6204731	-70.32	17.7769385	YY	11.6	0.2488085184	parameters	sharp_wc_2_b_50	6	2	1.205006302	-2.075536937	1.882236434	0.04278556111	0.4401845422	0.1371855325	0.9280786892	-2.516917967	1.72916309	0.9281377612	1.729163846	0.1696710812	0.01236593583	-2.314851371	1.336653858	a248bdd	2x2_2C_8b_C2v_L	10.395	1.231132344	2	1.603145246	1.2311323437679715	0.9999999999999998	new_boucle_param.py	R0:N12:S0:0.0447/R0:N14:S0:0.955	uncorrelated	-0.8670180041	0.9496830846	0.1422147224	-1.698381655	0.2128712816	-1.978489167	1.263372228	-1.722085461	-0.2129553821	1.978620677	1.263402327	-1.722102805	0.2182305269	-0.3000106425	1.716389596	-3.040986961	2024-08-02@20:44	1.5	-0.7208263385	1	3.070053934e-16	-0.3086048953	1	1.366625011e-16	0.08545275698	v2.7.1	
3	Broyden	-66.58186406	-70.24	17.76156467	YY	11.6	0.2487556774	parameters	sharp_wc_2_b_50	6	2	1.204569701	-2.075561335	1.882079641	0.04478366234	0.4409530921	0.1376291154	0.9328681667	-2.513415917	1.728678497	0.9326963177	1.728717179	0.1707632122	0.01236384334	-2.311370237	1.335103529	a248bdd	2x2_2C_8b_C2v_L	10.39	1.23095234	2	1.602578551	1.2309523399710212	1.0	new_boucle_param.py	R0:N12:S0:0.0414/R0:N14:S0:0.959	uncorrelated	-0.8673806216	0.9503928145	0.1433692241	-1.705190739	0.2136206372	-1.986385714	1.263096601	-1.723255217	-0.2135472865	1.986327868	1.263024171	-1.723058774	0.2190869262	-0.3006377114	1.71649169	-3.043882306	2024-08-02@20:47	1.5	-0.7219556837	1	1.91778868e-16	-0.3095026317	1	6.214632028e-17	0.08553950827	v2.7.1	
3	Broyden	-66.53631504	-70.16	17.74781416	YY	11.6	0.248663587	parameters	sharp_wc_2_b_50	6	2	1.204181212	-2.073509784	1.881679252	0.04584582836	0.4429938661	0.1388587106	0.9327763066	-2.509826361	1.728321119	0.9327877702	1.728317916	0.1721480389	0.01239676826	-2.307224695	1.333801162	a248bdd	2x2_2C_8b_C2v_L	10.385	1.230755717	2	1.602018494	1.2307557167949028	0.9999999999999996	new_boucle_param.py	R0:N12:S0:0.042/R0:N14:S0:0.958	uncorrelated	-0.8675021788	0.9520473771	0.1439250643	-1.710333329	0.2144077389	-1.989414872	1.262829384	-1.724007336	-0.2144099674	1.989413804	1.262833991	-1.724022623	0.219888047	-0.3014090436	1.716445509	-3.046152039	2024-08-02@20:51	1.5	-0.7229981457	1	-3.537104634e-16	-0.3102595327	1	2.434399791e-16	0.0856075348	v2.7.1	
1	Broyden	-66.4806759	-70.08	17.73300781	YY	11.6	0.2486157404	parameters	sharp_wc_2_b_50	6	2	1.20375356	-2.068810131	1.881287834	0.04698457652	0.4442402197	0.1388971006	0.93805361	-2.504619693	1.727537968	0.937979403	1.727556992	0.1722623198	0.01242060491	-2.303329692	1.332071034	a248bdd	2x2_2C_8b_C2v_L	10.38	1.230573931	2	1.601515731	1.2305739306796206	1.0	new_boucle_param.py	R0:N12:S0:0.0383/R0:N14:S0:0.962	uncorrelated	-0.8670838419	0.9533300392	0.1445668151	-1.716073895	0.2148527623	-1.996775084	1.262413007	-1.7260246	-0.2148307454	1.996768276	1.262382366	-1.725931796	0.2204356363	-0.3019075242	1.716592344	-3.049336685	2024-08-02@20:53	1.5	-0.7240327201	1	3.76904473e-16	-0.3111790708	1	3.48297447e-16	0.08570939426	v2.7.1	
2	Broyden	-66.43857814	-70	17.71974438	YY	11.6	0.248518576	parameters	sharp_wc_2_b_50	6	2	1.203381584	-2.064211849	1.880913854	0.04843634787	0.4456153354	0.1404482936	0.9365150828	-2.503394827	1.727325598	0.9366946392	1.727312174	0.1737088687	0.01241707237	-2.298736904	1.330863364	a248bdd	2x2_2C_8b_C2v_L	10.375	1.230381655	2	1.60094652	1.2303816542714507	0.9999999999999998	new_boucle_param.py	R0:N12:S0:0.0404/R0:N14:S0:0.96	uncorrelated	-0.8668192441	0.954589855	0.145143172	-1.720183937	0.2156739241	-1.99825515	1.262631635	-1.726571227	-0.2158738381	1.998538455	1.262721323	-1.726682584	0.2210656421	-0.3023859174	1.716424404	-3.051457893	2024-08-02@20:55	1.5	-0.7250673338	1	2.022141034e-16	-0.3118731762	1	-1.632908272e-16	0.08576613665	v2.7.1	
2	Broyden	-66.38713606	-69.92	17.70437996	YY	11.6	0.248462323	parameters	sharp_wc_2_b_50	6	2	1.202944391	-2.061083065	1.880450911	0.04969677659	0.4478855748	0.1411820434	0.9394827917	-2.498783862	1.726844224	0.9396380811	1.726795137	0.1754677534	0.01244776987	-2.294500436	1.329230242	a248bdd	2x2_2C_8b_C2v_L	10.37	1.230198682	2	1.600369719	1.2301986819085045	0.9999999999999998	new_boucle_param.py	R0:N12:S0:0.0382/R0:N14:S0:0.962	uncorrelated	-0.8666533442	0.9564967272	0.1460502336	-1.727201453	0.2164985318	-2.004745259	1.262150795	-1.727561771	-0.2165040207	2.004685768	1.262211471	-1.727787786	0.2220466875	-0.3032907408	1.716308293	-3.054342586	2024-08-02@20:58	1.5	-0.7261960257	1	4.791707325e-16	-0.3127637811	1	1.770043865e-17	0.08585145916	v2.7.1	
1	Broyden	-66.35991116	-69.84	17.69387219	YY	11.6	0.2482958689	parameters	sharp_wc_2_b_50	6	2	1.202645452	-2.058514847	1.880099431	0.05040748512	0.4496902142	0.1432406911	0.9342543328	-2.49995271	1.726680986	0.9339955969	1.726768173	0.1763620285	0.01245072788	-2.290121254	1.328339692	a248bdd	2x2_2C_8b_C2v_L	10.365	1.229957768	2	1.599882088	1.229957768130191	1.0000000000000002	new_boucle_param.py	R0:N12:S0:0.0439/R0:N14:S0:0.956	uncorrelated	-0.8667434099	0.9577770673	0.1463534922	-1.729665386	0.2174015613	-2.001508173	1.263277208	-1.72836407	-0.2174060249	2.001640525	1.263175433	-1.727966235	0.2224043878	-0.3035737432	1.716402714	-3.055778201	2024-08-02@21:00	1.5	-0.7270145471	1	2.122161183e-16	-0.3132899005	1	-1.676429728e-18	0.08589640703	v2.7.1	
2	Broyden	-66.31490159	-69.76	17.67731225	YY	11.6	0.2482804343	parameters	sharp_wc_2_b_50	6	2	1.202175512	-2.059760369	1.88006008	0.05305190588	0.4497668109	0.1435392922	0.9399267134	-2.494356256	1.726084666	0.9401044552	1.726033045	0.1769080546	0.01243482968	-2.286413866	1.326651778	a248bdd	2x2_2C_8b_C2v_L	10.36	1.229804611	2	1.599280318	1.229804610536568	1.0	new_boucle_param.py	R0:N12:S0:0.0399/R0:N14:S0:0.96	uncorrelated	-0.8673881818	0.9580272441	0.1478142348	-1.736955342	0.2180612854	-2.010445132	1.26239869	-1.729599725	-0.218091604	2.010418175	1.262471725	-1.729842941	0.2232294912	-0.3041233307	1.716350677	-3.058994104	2024-08-02@21:03	1.5	-0.7282298957	1	-2.643473187e-16	-0.3142516215	1	-3.01415259e-16	0.08598081253	v2.7.1	
4	Broyden	-66.2652401	-69.68	17.66382656	YY	11.6	0.248180709	parameters	sharp_wc_2_b_50	6	2	1.201787377	-2.057055729	1.87957778	0.05390299609	0.4521258861	0.1443992125	0.9407199809	-2.489874616	1.725558405	0.9407766712	1.725524823	0.1785365079	0.01246410729	-2.282474122	1.325237763	a248bdd	2x2_2C_8b_C2v_L	10.355	1.229592775	2	1.598764398	1.2295927746275936	0.9999999999999998	new_boucle_param.py	R0:N12:S0:0.0398/R0:N14:S0:0.96	uncorrelated	-0.8674014163	0.9600367857	0.1485281901	-1.742633059	0.2186694973	-2.013551697	1.262067829	-1.730842573	-0.2186037506	2.013405444	1.262083358	-1.730979177	0.2239814392	-0.3048200798	1.716428127	-3.061452715	2024-08-02@21:07	1.5	-0.7292042569	1	-3.842722746e-16	-0.3150339268	1	-3.039374841e-16	0.08605823467	v2.7.1	
1	Broyden	-66.21778229	-69.6	17.64731427	YY	11.6	0.2481554573	parameters	sharp_wc_2_b_50	6	2	1.201323728	-2.055544114	1.879507232	0.05625406529	0.4519490352	0.1448753408	0.9450089349	-2.48537036	1.724972264	0.9452946543	1.724854034	0.1796001732	0.01244527706	-2.27821096	1.323609071	a248bdd	2x2_2C_8b_C2v_L	10.35	1.229440446	2	1.598115696	1.2294404459742914	1.0	new_boucle_param.py	R0:N12:S0:0.0373/R0:N14:S0:0.963	uncorrelated	-0.8675199084	0.9600876758	0.1495803824	-1.748131963	0.2194034247	-2.020614495	1.261495531	-1.732297416	-0.2192907968	2.020283648	1.261595759	-1.732806854	0.2248019172	-0.3053555106	1.716388346	-3.06453188	2024-08-02@21:09	1.5	-0.7304676718	1	-1.588535627e-16	-0.3159396934	1	3.429840299e-16	0.08613692275	v2.7.1	
