CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
7	Broyden	-67.22559486	-71.36	17.95797111	YY	11.6	0.2498727997	parameters	sharp_wc_2_b_50	6	2	1.210142033	-2.118560493	1.888281819	0.03077871558	0.4099833052	0.1248991961	0.9081743174	-2.559294776	1.734462209	0.9082829985	1.734427606	0.1570403889	0.01189796723	-2.369942879	1.355561962	a248bdd	2x2_2C_8b_C2v_L	10.46	1.233661577	2	1.610068386	1.2336615762185903	0.9999999999999998	new_boucle_param.py	R0:N12:S0:0.0571/R0:N14:S0:0.943	uncorrelated	-0.8684400403	0.9252023333	0.135304869	-1.621911144	0.203180692	-1.915202731	1.264649434	-1.710216269	-0.2031796184	1.915151984	1.264687856	-1.710378925	0.2093668715	-0.2910069676	1.716795891	-3.007965339	2024-08-02@20:07	1.5	-0.7074146499	1	4.14346864e-16	-0.2980682771	1	2.249823669e-16	0.08432842472	v2.7.1	
3	Broyden	-67.25450038	-71.44	17.97062595	YY	11.6	0.2499922454	parameters	sharp_wc_2_b_50	6	2	1.210500356	-2.119125623	1.888597206	0.02981280688	0.4079705242	0.1237364754	0.9080339421	-2.560186113	1.734653506	0.9080510223	1.734649835	0.1554505896	0.01184217596	-2.373160183	1.356698065	a248bdd	2x2_2C_8b_C2v_L	10.465	1.233881607	2	1.610569018	1.2338816070639047	0.9999999999999999	new_boucle_param.py	R0:N12:S0:0.057/R0:N14:S0:0.943	uncorrelated	-0.8681108899	0.9237880956	0.1347771561	-1.61670128	0.2023341432	-1.911483454	1.264260727	-1.709822823	-0.2023407572	1.911488915	1.264267202	-1.70984178	0.2083508827	-0.289962443	1.716544173	-3.005998946	2024-08-02@20:10	1.5	-0.7064678947	1	-2.806929762e-16	-0.2973434733	1	-1.07819492e-16	0.08425183339	v2.7.1	
3	Broyden	-67.30742035	-71.52	17.98687354	YY	11.6	0.2500093958	parameters	sharp_wc_2_b_50	6	2	1.210955978	-2.124214821	1.889167748	0.02871893904	0.4050904408	0.122765043	0.9039826612	-2.564525642	1.735140163	0.9041768802	1.735055894	0.1541930054	0.01175334947	-2.376891851	1.358362365	a248bdd	2x2_2C_8b_C2v_L	10.47	1.234032102	2	1.611168339	1.2340321020887028	1.0000000000000004	new_boucle_param.py	R0:N12:S0:0.0606/R0:N14:S0:0.939	uncorrelated	-0.8685737326	0.9215156698	0.1342121086	-1.60895877	0.2013995727	-1.902608179	1.264594857	-1.708852497	-0.2013127895	1.902346326	1.264657015	-1.709228789	0.2071682974	-0.288613954	1.716429203	-3.002971359	2024-08-02@20:13	1.5	-0.7052473334	1	1.583868708e-16	-0.2963849052	1	-4.05278564e-17	0.0841445501	v2.7.1	
3	Broyden	-67.34627573	-71.6	18.00031774	YY	11.6	0.250114087	parameters	sharp_wc_2_b_50	6	2	1.211340855	-2.126079681	1.889712539	0.02823287408	0.4018324685	0.1220899966	0.901005062	-2.566588035	1.735443573	0.9012633043	1.735359847	0.1533216258	0.01172190923	-2.381275881	1.359872926	a248bdd	2x2_2C_8b_C2v_L	10.475	1.234250722	2	1.611655501	1.2342507213618046	1.0000000000000002	new_boucle_param.py	R0:N12:S0:0.0634/R0:N14:S0:0.937	uncorrelated	-0.8683952418	0.9189872481	0.1337850212	-1.601959906	0.2007265276	-1.895918355	1.264392541	-1.708294746	-0.2007196466	1.895786438	1.264482331	-1.708688998	0.2067240685	-0.2881053381	1.716484219	-3.000515748	2024-08-02@20:17	1.5	-0.7042844363	1	-3.479414888e-16	-0.295558406	1	5.674816094e-17	0.08404584455	v2.7.1	
1	Broyden	-67.39544702	-71.68	18.01409158	YY	11.6	0.2501938437	parameters	sharp_wc_2_b_50	6	2	1.211725394	-2.130739282	1.890159523	0.02734673776	0.3995500198	0.1209283529	0.9005467525	-2.569893662	1.735728879	0.9005761861	1.73572813	0.1524047392	0.01167372203	-2.38496993	1.361155713	a248bdd	2x2_2C_8b_C2v_L	10.48	1.234434607	2	1.612203654	1.234434606311757	0.9999999999999999	new_boucle_param.py	R0:N12:S0:0.0636/R0:N14:S0:0.936	uncorrelated	-0.8688033667	0.917269936	0.1333875635	-1.596444791	0.1998409673	-1.891351976	1.264648588	-1.707823526	-0.1998726325	1.891402888	1.264660841	-1.707835013	0.2059982654	-0.2873384709	1.716394029	-2.998154668	2024-08-02@20:19	1.5	-0.7032258081	1	-2.845563589e-16	-0.2947750897	1	-3.057637002e-16	0.08395863075	v2.7.1	
3	Broyden	-67.45065124	-71.76	18.02915602	YY	11.6	0.2502346692	parameters	sharp_wc_2_b_50	6	2	1.212150734	-2.134357102	1.890710577	0.02630875007	0.3965561071	0.1201305525	0.89697868	-2.574849519	1.736287476	0.8971276918	1.736194952	0.1514390767	0.01161026981	-2.389704643	1.362869658	a248bdd	2x2_2C_8b_C2v_L	10.485	1.234601661	2	1.612745403	1.234601660997566	1.0	new_boucle_param.py	R0:N12:S0:0.0666/R0:N14:S0:0.933	uncorrelated	-0.8689560141	0.9148854214	0.1326765405	-1.588405245	0.1992147916	-1.883810198	1.265069223	-1.706639288	-0.1990504649	1.883403617	1.265110679	-1.707037215	0.2051831283	-0.2863790267	1.716616679	-2.995191595	2024-08-02@20:22	1.5	-0.7021153957	1	3.103594903e-16	-0.2938564553	1	1.883955828e-17	0.08384381597	v2.7.1	
1	Broyden	-67.48165127	-71.84	18.04065575	YY	11.6	0.2503701702	parameters	sharp_wc_2_b_50	6	2	1.212480278	-2.136172355	1.891034876	0.02572791522	0.394830028	0.1193422931	0.8963587831	-2.575698378	1.736603632	0.8965624638	1.736517285	0.1505315425	0.0115754779	-2.392904048	1.363985071	a248bdd	2x2_2C_8b_C2v_L	10.49	1.234832895	2	1.613182065	1.2348328950568943	1.0	new_boucle_param.py	R0:N12:S0:0.0666/R0:N14:S0:0.933	uncorrelated	-0.86874801	0.9135712743	0.1324249103	-1.584325676	0.1985828042	-1.880659303	1.264477	-1.705746498	-0.1985021958	1.880401767	1.264542071	-1.706136408	0.2046542487	-0.2858370148	1.716233141	-2.993255703	2024-08-02@20:24	1.5	-0.7012827518	1	5.230347601e-16	-0.2931660926	1	2.029954908e-16	0.08376047256	v2.7.1	
3	Broyden	-67.54386451	-71.92	18.05743318	YY	11.6	0.2503813478	parameters	sharp_wc_2_b_50	6	2	1.212944389	-2.140531736	1.891624704	0.02469563805	0.3914715217	0.1182383924	0.8925377346	-2.581515409	1.736993131	0.8926777857	1.736939399	0.1495131987	0.01151002415	-2.397965752	1.365716266	a248bdd	2x2_2C_8b_C2v_L	10.495	1.234970119	2	1.613826038	1.2349701184389774	1.0000000000000002	new_boucle_param.py	R0:N12:S0:0.0703/R0:N14:S0:0.93	uncorrelated	-0.8691513562	0.9110244671	0.1319472792	-1.575965205	0.1975278168	-1.871112017	1.265380469	-1.705276167	-0.197494454	1.870977949	1.265426476	-1.705523564	0.2037925495	-0.2848168227	1.716652928	-2.990228929	2024-08-02@20:27	1.5	-0.6999851067	1	-6.169169735e-16	-0.2921968529	1	-1.881087325e-16	0.083652574	v2.7.1	
4	Broyden	-67.58202989	-72	18.06922389	YY	11.6	0.2505028456	parameters	sharp_wc_2_b_50	6	2	1.213273141	-2.143198407	1.891942645	0.0236026412	0.3897940286	0.1167186425	0.8955537029	-2.583021843	1.737181697	0.8954341776	1.737232889	0.1478641066	0.0114618152	-2.401961724	1.366776424	a248bdd	2x2_2C_8b_C2v_L	10.5	1.235178558	2	1.614323034	1.2351785580987265	1.0	new_boucle_param.py	R0:N12:S0:0.067/R0:N14:S0:0.933	uncorrelated	-0.8690784526	0.9098074906	0.1314402607	-1.571752737	0.1965941025	-1.870483002	1.265146924	-1.7048732	-0.1966455233	1.870640755	1.265109798	-1.704642245	0.2028541158	-0.2838706305	1.716629783	-2.988337755	2024-08-02@20:31	1.5	-0.6990627741	1	-1.57415417e-16	-0.291546865	1	7.593069374e-17	0.08357680887	v2.7.1	
1	Broyden	-67.63647736	-72.08	18.08511241	YY	11.6	0.2505379698	parameters	sharp_wc_2_b_50	6	2	1.21372349	-2.148130338	1.892584269	0.02311681231	0.3861220192	0.1164192718	0.8882380062	-2.587216474	1.737694748	0.8883695042	1.737639639	0.147462465	0.01139277212	-2.406533061	1.368604214	a248bdd	2x2_2C_8b_C2v_L	10.505	1.235348662	2	1.614867076	1.235348661624882	1.0000000000000004	new_boucle_param.py	R0:N12:S0:0.074/R0:N14:S0:0.926	uncorrelated	-0.8696252936	0.9069818727	0.1310522762	-1.562956609	0.1960214198	-1.858801956	1.265417428	-1.703869366	-0.1959746271	1.858642315	1.265459458	-1.70412069	0.2022782413	-0.2830491288	1.716786034	-2.985272016	2024-08-02@20:33	1.5	-0.6979181519	1	9.129442818e-16	-0.290545574	1	6.008761834e-16	0.08345266751	v2.7.1	
