CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
1	Broyden	-83.15214618	-84.08	18.64950562	YY	10.5	0.3970324204	self-energy	sharp_wc_2_b_50	6	2	1.227533433	45.32099255	1.041386012e-11	-2.290617812	1.94754631	0.03427521401	0.8536992348	-2.903876028	1.736456241	0.03299753379	0.864500569	-2.90199499	1.734551568	-4.494179858	1.999999999	-2.772908426	1.298389738	a248bdd	2x2_2C_8b_C2v_L	11.255	1.391214085	2	1.683488853	1.3912140852393016	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	6.090337966e-05	-1.687905171e-05	0.8357530499	-0.4772985034	0.1403557487	-2.102617712	1.216656601	-1.56845737	-0.1397606886	2.106882366	1.216514523	-1.577113331	-0.0001099470178	0.0001503191027	1.635434343	-3.247840929	2024-08-05@14:48	1.5	-0.6402336063	1	-4.1044435069999994e-16	-0.2754579608	1	-1.45707356e-16	0.08710964387	v2.7.1	
1	Broyden	-83.24260083	-84.16	18.65480507	YY	10.5	0.3976706731	self-energy	sharp_wc_2_b_50	6	2	1.22766189	45.24876154	1.972778911e-10	-2.293093949	1.947627764	0.03400552978	0.8522762361	-2.906238502	1.736867647	0.03279763145	0.8624495508	-2.90450286	1.735060463	-4.517677462	1.999999886	-2.77586913	1.298238083	a248bdd	2x2_2C_8b_C2v_L	11.26	1.391870092	2	1.683908259	1.3918700921525766	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.0002646336557	7.347792532e-05	0.835669058	-0.4763844912	0.1402331905	-2.105710626	1.216480377	-1.565959136	-0.1396557692	2.109768902	1.216369602	-1.574170653	0.0009635996903	-0.001313023255	1.635166224	-3.248609857	2024-08-05@14:49	1.5	-0.6396849272	1	-2.580829923e-16	-0.2752699711	1	-1.351236029e-16	0.08709437864	v2.7.1	
1	Broyden	-82.88812524	-84.24	18.65987276	YY	10.5	0.3983278558	self-energy	sharp_wc_2_b_50	6	2	1.22778504	45.54907997	1.886308789e-11	-2.29620435	1.947723164	0.03299827985	0.8576465734	-2.907864302	1.736110403	0.03351317718	0.8533731253	-2.908409218	1.736857171	-4.317128968	1.999999997	-2.779114524	1.298110448	a248bdd	2x2_2C_8b_C2v_L	11.265	1.392544779	2	1.684295541	1.392544779324468	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	8.231433389e-05	-2.272611246e-05	0.8356683679	-0.4753890619	0.1397462557	-2.111983112	1.216301301	-1.568817341	-0.1399843102	2.110234692	1.216317839	-1.565396889	0.0001391257806	-0.0001968532975	1.634966438	-3.249395688	2024-08-05@14:51	1.5	-0.6391589322	1	-2.752148088e-16	-0.2750941776	1	-2.0572160489999997e-16	0.08707991947	v2.7.1	
1	Broyden	-83.47198263	-84.32	18.66531413	YY	10.5	0.3989820237	self-energy	sharp_wc_2_b_50	6	2	1.227916334	45.02782903	2.243468128e-09	-2.298769319	1.947812213	0.03358866036	0.8490283636	-2.91140491	1.737796564	0.03246082189	0.8584123031	-2.90993959	1.736135503	-4.586923908	1.999999976	-2.782118331	1.297950325	a248bdd	2x2_2C_8b_C2v_L	11.27	1.393216188	2	1.684704441	1.3932161876712543	0.9999999999999998	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.000888001905	0.000247873033	0.8355947441	-0.474421486	0.1400296807	-2.112331245	1.216204954	-1.56049364	-0.1395120971	2.11619997	1.216124989	-1.568070596	-0.0004485144772	0.0006047287945	1.634719497	-3.250206814	2024-08-05@14:53	1.5	-0.6385922196	1	-3.8189580189999996e-16	-0.2749053609	1	-1.581906361e-16	0.0870670646	v2.7.1	
1	Broyden	-82.11808079	-84.4	18.67034073	YY	10.5	0.3996623598	self-energy	sharp_wc_2_b_50	6	2	1.228038166	46.33957949	2.116981167e-12	-2.301489084	1.947909975	0.0323617131	0.8560753809	-2.912559122	1.736732047	0.03339734862	0.8475946956	-2.913985949	1.738239993	-3.887472257	1.999999988	-2.785216839	1.297793963	a248bdd	2x2_2C_8b_C2v_L	11.275	1.393913489	2	1.685095021	1.3939134892482126	1.0000000000000002	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-2.800601026e-05	7.617159033e-06	0.8355425418	-0.4733903284	0.1394693263	-2.119534514	1.215981432	-1.564708731	-0.1399512288	2.116012306	1.216076756	-1.557846376	0.0002771842539	-0.0004272746013	1.634484257	-3.251051041	2024-08-05@14:54	1.5	-0.6380675121	1	-2.310363133e-16	-0.2747357432	1	-2.095046848e-16	0.08705492191	v2.7.1	
1	Broyden	-85.01983667	-84.48	18.67577434	YY	10.5	0.4003176264	self-energy	sharp_wc_2_b_50	6	2	1.228169276	43.83680253	1.0064445530000001e-14	-2.304344208	1.947999876	0.03342137465	0.8436631878	-2.916950158	1.739108476	0.03184736696	0.8564364573	-2.914501289	1.736812776	-5.316174431	2.0	-2.788158136	1.297633507	a248bdd	2x2_2C_8b_C2v_L	11.28	1.39458643	2	1.685501464	1.3945864300898263	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-1.834017747e-06	5.251162843e-07	0.835516931	-0.4724234235	0.1399668268	-2.118111866	1.215969515	-1.553269954	-0.1392185859	2.123438497	1.215774273	-1.563672343	-4.842160272e-05	5.789563663e-05	1.634220647	-3.251854499	2024-08-05@14:56	1.5	-0.637502396	1	3.6888135069999996e-16	-0.2745447186	1	1.014750131e-16	0.08704077248	v2.7.1	
1	Broyden	-78.80853394	-84.56	18.6808566	YY	10.5	0.4010091542	self-energy	sharp_wc_2_b_50	6	2	1.228292079	49.55674309	3.783969164e-10	-2.306806908	1.948097871	0.03158525259	0.8552087375	-2.917080331	1.737222568	0.03335168188	0.8410699466	-2.919237929	1.739737743	-2.188469049	1.999969747	-2.791383661	1.297514333	a248bdd	2x2_2C_8b_C2v_L	11.285	1.395294763	2	1.685897844	1.395294763299151	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.0003983067544	0.0001019177439	0.8354301802	-0.4713802924	0.1391135735	-2.127284657	1.215640418	-1.561168047	-0.1399451456	2.121262407	1.215754272	-1.549698235	0.008981867742	-0.02128058721	1.633987511	-3.25263784	2024-08-05@14:57	1.5	-0.6369695046	1	-6.159089373999999e-16	-0.2743749003	1	-2.975775374e-16	0.08702888288	v2.7.1	
1	Broyden	-92.16399911	-84.64	18.68612209	YY	10.5	0.4016985284	self-energy	sharp_wc_2_b_50	6	2	1.228419147	37.57451267	8.670364758e-09	-2.309189612	1.948193342	0.03336806917	0.8376642831	-2.921567321	1.740493791	0.03118246492	0.8548808044	-2.919786445	1.737479386	-8.844690531	1.999999975	-2.794017786	1.297282226	a248bdd	2x2_2C_8b_C2v_L	11.29	1.396001546	2	1.686301829	1.3960015460500652	1.0000000000000002	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.001476804944	-0.0004870238852	0.835326087	-0.4703513747	0.1399457746	-2.12382025	1.215545591	-1.545540445	-0.138935958	2.131326163	1.215554159	-1.55940223	-0.0007998309692	0.0006162221508	1.63366254	-3.253591942	2024-08-05@14:59	1.5	-0.6364190405	1	2.361810954e-16	-0.274195361	1	3.731061664e-16	0.08701640183	v2.7.1	
20	Broyden	-83.27531941	-84.0	18.64411004	YY	10.5	0.3964886554	self-energy	sharp_wc_2_b_50	6	2	1.227400905	45.18690685	3.074625458e-09	-2.286043135	1.947484334	0.03601685094	0.8421437686	-2.902978332	1.738317977	0.03161778323	0.8793146743	-2.896511311	1.731775574	-4.581613393	1.99999939	-2.76919304	1.298370277	a248bdd	2x2_2C_8b_C2v_L	11.25	1.390648501	2	1.683040255	1.3906485005298972	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.001043772273	-0.0002899797205	0.835478891	-0.477999426	0.1413755954	-2.095571525	1.216815925	-1.560460592	-0.1393194558	2.110057467	1.216310953	-1.590181276	-0.002261785235	0.003041709004	1.63549151	-3.247429441	2024-08-05@14:46	1.5	-0.6407735313	1	-5.699139965e-16	-0.2756784518	1	-3.848351759e-17	0.08713666687	v2.7.1	
1	Broyden	-83.15214618	-84.08	18.64950562	YY	10.5	0.3970324204	self-energy	sharp_wc_2_b_50	6	2	1.227533433	45.32099255	1.041386012e-11	-2.290617812	1.94754631	0.03427521401	0.8536992348	-2.903876028	1.736456241	0.03299753379	0.864500569	-2.90199499	1.734551568	-4.494179858	1.999999999	-2.772908426	1.298389738	a248bdd	2x2_2C_8b_C2v_L	11.255	1.391214085	2	1.683488853	1.3912140852393016	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	6.090337966e-05	-1.687905171e-05	0.8357530499	-0.4772985034	0.1403557487	-2.102617712	1.216656601	-1.56845737	-0.1397606886	2.106882366	1.216514523	-1.577113331	-0.0001099470178	0.0001503191027	1.635434343	-3.247840929	2024-08-05@14:48	1.5	-0.6402336063	1	-4.1044435069999994e-16	-0.2754579608	1	-1.45707356e-16	0.08710964387	v2.7.1	
