CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	Unnamed: 66
2	Broyden	-63.87052389	-66.24	17.32678346	YY	12	0.2196039207	parameters	sharp_wc_2_b_50	6	2	1.191600779	-1.934156316	1.871040933	0.09789024793	0.4930066974	-2.329813597	1.704281418	0.1745810493	0.8651428754	-2.330592097	1.704676059	0.1752978713	0.8635259515	0.2110316213	0.01311252197	-2.096281685	1.299125621	a248bdd	2x2_2C_8b_C2v_L	10.14	1.195584809	2	1.575912466	1.1955848088517909	1.0	new_boucle_param.py	R0:N12:S0:0.202/R0:N14:S0:0.798	uncorrelated	-0.867703654	1.00290139	0.1727665531	-1.828031964	-1.25905412	1.802227075	-0.2390738391	1.894540312	1.259250296	-1.800643361	0.2393473334	-1.895509663	-0.2429532267	0.3180625644	1.717508766	-3.072458648	2024-08-05@08:20	1.5	-0.7518265826	1	-2.7835126889999997e-16	-0.3324681781	1	-1.5511922209999998e-16	0.08619786262	v2.7.1	
5	Broyden	-63.93662541	-66.32	17.3393202	YY	12	0.2197170226	parameters	sharp_wc_2_b_50	6	2	1.191976711	-1.940114505	1.871554384	0.09753205034	0.4920671276	-2.337089238	1.705495622	0.1741449877	0.8669378903	-2.336347383	1.705694703	0.1745616044	0.8658328652	0.209870211	0.01308726934	-2.100682797	1.300506308	a248bdd	2x2_2C_8b_C2v_L	10.145	1.195811239	2	1.576363594	1.1958112389189897	1.0	new_boucle_param.py	R0:N12:S0:0.198/R0:N14:S0:0.802	uncorrelated	-0.8682760948	1.00146853	0.1724069656	-1.825395629	-1.26010893	1.798985918	-0.2388535929	1.896884388	1.259874324	-1.797946595	0.2389548611	-1.897307054	-0.2423086333	0.3174399221	1.717596705	-3.070220296	2024-08-05@08:25	1.5	-0.7510001366	1	-9.061751943999999e-17	-0.3317195041	1	9.397778117e-17	0.08613284128	v2.7.1	
5	Broyden	-63.95495602	-66.4	17.34943802	YY	12	0.2198233551	parameters	sharp_wc_2_b_50	6	2	1.192273772	-1.937906377	1.870892561	0.09447122939	0.4964310502	-2.336894508	1.706432904	0.1731969232	0.8735900178	-2.33648092	1.706108831	0.171955887	0.8767474477	0.207374141	0.01314134169	-2.104234792	1.301038182	a248bdd	2x2_2C_8b_C2v_L	10.15	1.195999906	2	1.576796069	1.195999905685	1.0	new_boucle_param.py	R0:N12:S0:0.186/R0:N14:S0:0.814	uncorrelated	-0.8674558325	1.004762862	0.1708363136	-1.824504888	-1.259602824	1.7951623	-0.2377412185	1.904803841	1.259437232	-1.79661052	0.2375975146	-1.905224634	-0.2409591453	0.3165698696	1.717514116	-3.069249398	2024-08-05@08:30	1.5	-0.750248753	1	-2.654877388e-17	-0.3312237281	1	9.184827486e-17	0.08610023432	v2.7.1	
7	Broyden	-64.03051428	-66.48	17.36027371	YY	12	0.2199647181	parameters	sharp_wc_2_b_50	6	2	1.192605788	-1.948208071	1.871619316	0.09523108544	0.4951232471	-2.342234613	1.707321752	0.1717504075	0.8796426751	-2.343365337	1.707601144	0.1722216488	0.8786090689	0.2075277624	0.01315308204	-2.109361619	1.302418602	a248bdd	2x2_2C_8b_C2v_L	10.155	1.196242795	2	1.577164181	1.1962427948133618	1.0000000000000004	new_boucle_param.py	R0:N12:S0:0.18/R0:N14:S0:0.82	uncorrelated	-0.8689131866	1.002987282	0.1711669162	-1.82380873	-1.259922496	1.793065707	-0.237361531	1.909110168	1.260231694	-1.792057092	0.2375738826	-1.909828521	-0.2412242596	0.316855297	1.717745348	-3.067046229	2024-08-05@08:36	1.5	-0.7495817261	1	-3.1906415059999996e-16	-0.3305327128	1	9.885175439e-18	0.08602848052	v2.7.1	
5	Broyden	-64.07150753	-66.56	17.37774135	YY	12	0.2200028374	parameters	sharp_wc_2_b_50	6	2	1.193110365	-1.949282951	1.871963201	0.09311237024	0.4936050104	-2.345772386	1.70797751	0.1709563175	0.8752087934	-2.346065146	1.708207472	0.1716669282	0.8734246667	0.2069751859	0.01317643301	-2.114217445	1.304245353	a248bdd	2x2_2C_8b_C2v_L	10.16	1.196429362	2	1.577846612	1.1964293619167594	1.0	new_boucle_param.py	R0:N12:S0:0.183/R0:N14:S0:0.817	uncorrelated	-0.8685034866	1.001474069	0.1699955654	-1.817219166	-1.260169871	1.791476345	-0.236682342	1.902515138	1.260277679	-1.790469954	0.2368089446	-1.902556901	-0.2406008191	0.3163709137	1.718021245	-3.06400028	2024-08-05@08:41	1.5	-0.7483094524	1	-2.420721593e-16	-0.3295927354	1	-2.4747322569999998e-17	0.08597517802	v2.7.1	
8	Broyden	-64.11820598	-66.64	17.39458349	YY	12	0.2200459357	parameters	sharp_wc_2_b_50	6	2	1.193593463	-1.951521083	1.872139072	0.09113814491	0.4929533439	-2.350212387	1.708894976	0.1707323703	0.8700693655	-2.349827434	1.708669188	0.170637877	0.8703662157	0.2055420392	0.01318244177	-2.11820602	1.305812197	a248bdd	2x2_2C_8b_C2v_L	10.165	1.196608525	2	1.578522477	1.196608524588588	1.0	new_boucle_param.py	R0:N12:S0:0.186/R0:N14:S0:0.814	uncorrelated	-0.8686903765	1.000921602	0.1690308124	-1.811935657	-1.260708156	1.788726146	-0.2360827529	1.897103376	1.260731785	-1.78962687	0.2359943829	-1.896278699	-0.2396544793	0.3156222225	1.718046575	-3.061229112	2024-08-05@08:48	1.5	-0.7470585165	1	2.8073796299999995e-17	-0.3287048826	1	-2.1311346349999998e-17	0.08592637562	v2.7.1	
7	Broyden	-63.60556452	-65.76	17.24239489	YY	12	0.2190403351	parameters	sharp_wc_2_b_50	6	2	1.189094115	-1.916893492	1.868485736	0.1029230191	0.5008446106	-2.309548667	1.699527797	0.1796205602	0.8646570697	-2.312359558	1.700241061	0.1802353418	0.8636380107	0.2168234459	0.01311346784	-2.070640996	1.290346503	a248bdd	2x2_2C_8b_C2v_L	10.11	1.194263323	2	1.572739365	1.1942633231615705	1.0000000000000004	new_boucle_param.py	R0:N12:S0:0.211/R0:N14:S0:0.789	uncorrelated	-0.8677322128	1.011563211	0.1761866982	-1.851206575	-1.258488887	1.815233089	-0.2427737143	1.900670646	1.259114175	-1.812775023	0.2432365806	-1.903302953	-0.246530281	0.3211554276	1.717556659	-3.086593896	2024-08-05@08:02	1.5	-0.7575851396	1	1.720090091e-17	-0.3372340922	1	8.314851982e-17	0.08651207648	v2.7.1	
5	Broyden	-63.55163059	-65.68	17.2277778	YY	12	0.218945764	parameters	sharp_wc_2_b_50	6	2	1.188663588	-1.913355619	1.868132695	0.1037917986	0.5019809905	-2.305458851	1.698889012	0.1803437588	0.8652496017	-2.306964278	1.699181989	0.1808195389	0.8644015632	0.2175087247	0.01309963716	-2.066085663	1.288882981	a248bdd	2x2_2C_8b_C2v_L	10.105	1.1940466	2	1.572170901	1.1940465995088925	1.0000000000000004	new_boucle_param.py	R0:N12:S0:0.212/R0:N14:S0:0.788	uncorrelated	-0.8673265717	1.012676713	0.1768199957	-1.855173404	-1.258015517	1.816716459	-0.2434118732	1.903112079	1.2584538	-1.815763601	0.2436634186	-1.903964418	-0.2469649039	0.3214863372	1.717319993	-3.088958865	2024-08-05@08:07	1.5	-0.7586058722	1	-3.862261983e-16	-0.3380376696	1	-4.502284374e-17	0.08655754861	v2.7.1	
4	Broyden	-63.49771293	-65.6	17.2146664	YY	12	0.2188354072	parameters	sharp_wc_2_b_50	6	2	1.188267769	-1.907601981	1.867518447	0.1041312946	0.5033750618	-2.301980985	1.698042195	0.1813398781	0.8633600309	-2.303059032	1.698148803	0.1813876364	0.8633709851	0.2174900305	0.01308319653	-2.061109642	1.287372291	a248bdd	2x2_2C_8b_C2v_L	10.1	1.193813829	2	1.571698314	1.1938138285629971	0.9999999999999998	new_boucle_param.py	R0:N12:S0:0.215/R0:N14:S0:0.785	uncorrelated	-0.8669196388	1.014524819	0.1770770688	-1.85799787	-1.258025408	1.818973193	-0.2440277294	1.902484403	1.258300838	-1.818748675	0.2440988636	-1.902875734	-0.2470470456	0.3215435685	1.717122475	-3.091293965	2024-08-05@08:11	1.5	-0.7594607894	1	-1.522198389e-16	-0.3388086771	1	4.007778557e-16	0.08661538156	v2.7.1	
5	Broyden	-63.45544553	-65.52	17.20071699	YY	12	0.2187518612	parameters	sharp_wc_2_b_50	6	2	1.187854117	-1.905723481	1.867389901	0.105786082	0.5031283353	-2.298840165	1.697090862	0.1821032991	0.8627257634	-2.299350872	1.69730197	0.1822950618	0.8624337529	0.2188445795	0.01307824848	-2.057087596	1.286059054	a248bdd	2x2_2C_8b_C2v_L	10.095	1.193605791	2	1.571167323	1.1936057908356	1.0	new_boucle_param.py	R0:N12:S0:0.218/R0:N14:S0:0.782	uncorrelated	-0.867050621	1.014681458	0.1780080409	-1.861490866	-1.257945742	1.821841534	-0.2446817189	1.902215146	1.258061177	-1.821057175	0.2448352299	-1.903084096	-0.2479274681	0.3222757056	1.7171339	-3.093444726	2024-08-05@08:16	1.5	-0.7604252259	1	-4.3499503589999994e-16	-0.3395759285	1	-2.471098746e-16	0.08666139508	v2.7.1	
