model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_6b_C2v_L	5.5228028	0	13.587439	3.1170278	2.4602476	-0.21539555	-4.0008191	0.21505298	-3.9994816	-3.2985904	10.212488	1.0751084	-0.23788117	0.024989024	-0.093285249	0.025015604	-2.1482505e-07	-3.3076221e-05	0.093231203	1.9011861	0.2378506	-1.9008527	-2.3699948	2.3439092	1	0.30504082	-0.025810005	1.2214458	1.5786509	-0.73953546	-0.26611703	0.10875554	0.17362713	0.037456667	1.5264503	1.6616274	0.47537218	1.6617954	1.3798403	1.1319136	-0.52424808	1.2752242	0.22738399	0.9966548	0.22720074	-0.00011773277	0.000420311	-0.9961408	-2.1068758	-1.2791429	2.1056726	3.0098878	2	2	0	0	-71.269407	R0:S0:1	1.1319136	-113.52736	uncorrelated	2	817c5bc	v2.2.6	YY	65	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:03
model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_6b_C2v_L	5.5228008	0	13.587439	3.1170278	2.4603042	-0.2153917	-4.0008133	0.21505097	-3.9995564	-3.2985655	10.212488	1.0751161	-0.2378762	0.02499111	-0.093286705	0.025015408	-2.8671283e-06	-3.2346915e-05	0.093236187	1.9011862	0.23784785	-1.9008713	-2.3699863	2.3439092	1	0.30504082	-0.025810349	1.2214456	1.5786513	-0.73953524	-0.2661178	0.10875588	0.17362685	0.037456664	1.526442	1.6616245	0.47537639	1.6617953	1.3798352	1.1319129	-0.52424874	1.2752205	0.22738273	0.99667957	0.22720321	-0.00011181534	0.00041066085	-0.99617927	-2.106883	-1.2791343	2.1056811	3.0098938	2	2	0	0	-71.269494	R0:S0:1	1.1319129	-113.52736	uncorrelated	2	817c5bc	v2.2.6	YY	69	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:03
2x2_2C_6b_C2v_L	5.5407238	0	13.587439	3.1170278	2.4649607	-0.21463567	-4.0078112	0.21444202	-4.0072044	-3.3048706	10.222488	1.0755182	-0.23716189	0.025060552	-0.093993246	0.025074659	-2.0911982e-06	-1.8963363e-05	0.093956284	1.9015897	0.23713522	-1.9014296	-2.3704288	2.3439092	1	0.30504082	-0.025949065	1.2218959	1.5793946	-0.73791601	-0.26522872	0.10838316	0.17386632	0.037464302	1.5273551	1.6635178	0.47354646	1.6636039	1.3818867	1.132502	-0.52470518	1.2760523	0.22640832	0.99639961	0.22629179	-5.2596931e-05	0.00022580712	-0.99611351	-2.1002049	-1.2779623	2.0996072	3.0059243	2	2	0	0	-71.349934	R0:S0:1	1.132502	-113.68736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:04
2x2_2C_6b_C2v_L	5.504877	0	13.587439	3.1170278	2.4554813	-0.21600861	-3.9931148	0.21579547	-3.9924474	-3.2922801	10.202488	1.0746874	-0.23857374	0.024928192	-0.092558622	0.024950591	3.1530632e-06	-2.1894151e-05	0.092520308	1.900611	0.23857081	-1.9004418	-2.3695507	2.3439092	1	0.30504082	-0.025663754	1.2209948	1.5779077	-0.74115479	-0.26700538	0.10913007	0.17338748	0.037449948	1.5248582	1.6597784	0.47646716	1.6599134	1.3777838	1.1313231	-0.52379302	1.2758116	0.22828152	0.9967074	0.22815884	-9.0316055e-05	0.00028581261	-0.99633669	-2.1131322	-1.2786873	2.1122473	3.0138661	2	2	0	0	-71.188487	R0:S0:1	1.1313231	-113.36736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:04
2x2_2C_6b_C2v_L	5.5584823	0	13.587439	3.1170278	2.4696744	-0.21389155	-4.0150409	0.2137496	-4.0142345	-3.3113249	10.232488	1.0759381	-0.2364094	0.025107036	-0.094674968	0.02512387	-1.3730313e-07	-1.4350195e-05	0.094649461	1.9020448	0.23641506	-1.9018555	-2.3709302	2.3439092	1	0.30504082	-0.026077718	1.222342	1.5801275	-0.73631256	-0.264344	0.10800881	0.17410593	0.037473731	1.5287751	1.6653423	0.47216344	1.6654313	1.3839403	1.1330899	-0.52516915	1.2756821	0.2254539	0.99608005	0.22538095	-6.5989503e-05	0.00019961233	-0.99583801	-2.0939177	-1.2777815	2.093262	3.001966	2	2	0	0	-71.429962	R0:S0:1	1.1330899	-113.84736	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:05
2x2_2C_6b_C2v_L	5.4869344	0	13.587439	3.1170278	2.450656	-0.21668816	-3.9857502	0.21647899	-3.985035	-3.2859653	10.192488	1.0742607	-0.239281	0.024856819	-0.091818369	0.024884633	2.3541914e-06	-2.2994819e-05	0.09178741	1.9001245	0.23927792	-1.8999447	-2.3691097	2.3439092	1	0.30504082	-0.025509351	1.220543	1.5771625	-0.74277584	-0.2678927	0.10950477	0.17314806	0.03744421	1.5235731	1.6579027	0.47776653	1.6580342	1.375727	1.1307323	-0.52334028	1.2757752	0.22920434	0.99668649	0.22908198	-9.0193557e-05	0.00029040126	-0.99632369	-2.1195751	-1.2786638	2.1186985	3.0178441	2	2	0	0	-71.107664	R0:S0:1	1.1307323	-113.20736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:06
2x2_2C_6b_C2v_L	5.5764637	0	13.587439	3.1170278	2.4743861	-0.21313602	-4.0219371	0.21314902	-4.0219944	-3.3176468	10.242488	1.0763634	-0.23568702	0.025170049	-0.095350737	0.025170603	-8.24632e-07	-1.7875263e-06	0.09535447	1.9024304	0.23569797	-1.9024477	-2.3713808	2.3439092	1	0.30504082	-0.026200444	1.2227925	1.5808734	-0.73468703	-0.26345096	0.10763738	0.17434513	0.037484052	1.5297885	1.6672144	0.47024098	1.6672206	1.3859926	1.1336775	-0.52563946	1.2763087	0.22446675	0.99557974	0.22447256	-2.8549266e-06	4.8256429e-06	-0.99558892	-2.08728	-1.2763964	2.0872546	2.9979903	2	2	0	0	-71.510557	R0:S0:1	1.1336775	-114.00736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:07
2x2_2C_6b_C2v_L	5.4691434	0	13.587439	3.1170278	2.4459105	-0.21732561	-3.9782798	0.217233	-3.9781923	-3.2797528	10.182488	1.0738584	-0.23998341	0.024794276	-0.091069369	0.024807727	1.3975751e-06	-1.2379443e-05	0.091053867	1.8996083	0.23999277	-1.899587	-2.3687067	2.3439092	1	0.30504082	-0.025345234	1.2200939	1.576426	-0.74438133	-0.26877425	0.10987968	0.17290846	0.037439502	1.5220159	1.6560617	0.47866433	1.6561374	1.3736848	1.1301414	-0.52289359	1.2763594	0.23008597	0.99647527	0.23002271	-4.4815331e-05	0.00014359554	-0.99629528	-2.125781	-1.2778256	2.1253408	3.0217975	2	2	0	0	-71.028059	R0:S0:1	1.1301414	-113.04736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:07
2x2_2C_6b_C2v_L	5.5942123	0	13.587439	3.1170278	2.4790537	-0.21247328	-4.0294501	0.21240849	-4.0291631	-3.3240094	10.252488	1.0767765	-0.23495356	0.025215361	-0.096043417	0.025222199	-2.0352803e-08	-1.0358051e-05	0.09602277	1.9029657	0.23495549	-1.9028992	-2.3718545	2.3439092	1	0.30504082	-0.026315199	1.2232372	1.5816052	-0.733084	-0.26256457	0.10726442	0.17458407	0.037494889	1.5314575	1.6690119	0.46893762	1.6690517	1.3880361	1.1342629	-0.52610722	1.2754324	0.22354138	0.99523241	0.22349605	-2.9784611e-05	0.00010715156	-0.99510448	-2.0811329	-1.2763094	2.0808536	2.9940356	2	2	0	0	-71.591533	R0:S0:1	1.1342629	-114.16736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:09
