model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_6b_C2v_L	5.4512381	0	13.587439	3.1170278	2.4411787	-0.21805169	-3.9711543	0.21784687	-3.9705511	-3.273547	10.172488	1.0734591	-0.24066993	0.024709101	-0.090308434	0.024738025	4.9404894e-06	-1.9974873e-05	0.090284086	1.8991871	0.24069729	-1.8990327	-2.368306	2.3439092	1	0.30504082	-0.025172273	1.2196418	1.5756817	-0.74599812	-0.26965809	0.11025426	0.17266875	0.037436545	1.5213329	1.6541128	0.48039251	1.6542973	1.3716384	1.1295494	-0.52245553	1.2749762	0.23100075	0.99634384	0.23090411	-0.00011862119	0.00030111623	-0.99592082	-2.1326204	-1.2787632	2.131473	3.0257594	2	2	0	0	-70.947683	R0:S0:1	1.1295494	-112.88736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:09
2x2_2C_6b_C2v_L	5.4333948	0	13.587439	3.1170278	2.4363548	-0.21861108	-3.9635062	0.21866674	-3.9636361	-3.2673096	10.162488	1.0730451	-0.24137744	0.024642384	-0.089519717	0.02464078	-3.8729885e-07	6.4855609e-06	0.08952923	1.8986323	0.24138262	-1.8986686	-2.3679022	2.3439092	1	0.30504082	-0.024991613	1.2191903	1.5749415	-0.74760819	-0.27053957	0.11062996	0.17242915	0.03743387	1.5191678	1.6523192	0.4805045	1.6522867	1.3695879	1.1289565	-0.52201414	1.2768736	0.23184961	0.99575115	0.2318768	2.1497931e-05	-7.3325146e-05	-0.99584966	-2.1384551	-1.2761833	2.1386625	3.0297254	2	2	0	0	-70.867403	R0:S0:1	1.1289565	-112.72736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:10
2x2_2C_6b_C2v_L	5.6120906	0	13.587439	3.1170278	2.4837775	-0.2116803	-4.0363065	0.21180179	-4.0369022	-3.3304732	10.262488	1.077216	-0.23420279	0.025264489	-0.096691296	0.025256187	1.6455013e-06	1.1597452e-05	0.096713095	1.9033446	0.23422467	-1.9034884	-2.3723624	2.3439092	1	0.30504082	-0.026423333	1.2236842	1.5823439	-0.73146769	-0.2616734	0.10689256	0.17482306	0.037507735	1.5325623	1.6708562	0.46696313	1.6708201	1.3900898	1.1348482	-0.52658723	1.2757876	0.22253552	0.99456454	0.22260411	2.9443001e-05	-0.00013567126	-0.99471758	-2.0745755	-1.2747813	2.074892	2.9900676	2	2	0	0	-71.672345	R0:S0:1	1.1348482	-114.32736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:10
2x2_2C_6b_C2v_L	5.4155774	0	13.587439	3.1170278	2.4315222	-0.21969197	-3.9574763	0.21896476	-3.9551275	-3.2610988	10.152488	1.0726388	-0.2420662	0.024515581	-0.088763539	0.024594949	1.2769221e-05	-6.423007e-05	0.088701699	1.8984925	0.24207945	-1.8979018	-2.3675066	2.3439092	1	0.30504082	-0.024801699	1.218739	1.5742015	-0.74921541	-0.27141896	0.11100503	0.17218932	0.037433593	1.5209229	1.6501353	0.48442573	1.6506538	1.3675441	1.1283634	-0.52158609	1.270366	0.23290828	0.99596239	0.23259785	-0.00035403578	0.00096350944	-0.99462681	-2.1467677	-1.2818175	2.1433974	3.0336764	2	2	0	0	-70.788307	R0:S0:1	1.1283634	-112.56736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:12
2x2_2C_6b_C2v_L	5.6300072	0	13.587439	3.1170278	2.488477	-0.21108058	-4.0440747	0.21100571	-4.0436239	-3.3369094	10.272488	1.077652	-0.23347828	0.025301483	-0.09736224	0.025300917	3.9164751e-07	-1.238316e-05	0.097352753	1.9039473	0.23346162	-1.9038391	-2.3728649	2.3439092	1	0.30504082	-0.026523068	1.2241314	1.5830848	-0.72984764	-0.26077957	0.1065224	0.1750621	0.037521467	1.5345174	1.6726224	0.46575321	1.6726384	1.392139	1.1354328	-0.52706967	1.2743088	0.22162461	0.99404434	0.22159107	-2.4282078e-05	0.00010245034	-0.99396203	-2.0686022	-1.2748831	2.0684237	2.9861052	2	2	0	0	-71.753297	R0:S0:1	1.1354328	-114.48736	uncorrelated	2	817c5bc	v2.2.6	YY	11	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:12
2x2_2C_6b_C2v_L	5.6477637	0	13.587439	3.1170278	2.4931488	-0.21031636	-4.0511129	0.2103732	-4.0512458	-3.3434352	10.282488	1.0780849	-0.23271405	0.025345945	-0.098001241	0.025336093	2.3088385e-06	7.5928484e-06	0.098025631	1.9043708	0.23272421	-1.9044057	-2.3733986	2.3439092	1	0.30504082	-0.026616284	1.2245746	1.5838152	-0.72824323	-0.25988948	0.10615046	0.17530091	0.037535697	1.5358979	1.6744275	0.46389659	1.6744069	1.3941914	1.1360161	-0.52755129	1.2740093	0.22061245	0.99327896	0.22066889	9.0708752e-06	-7.54952e-05	-0.9933899	-2.0622389	-1.2735955	2.0623775	2.9821428	2	2	0	0	-71.834536	R0:S0:1	1.1360161	-114.64736	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:15
2x2_2C_6b_C2v_L	5.6655866	0	13.587439	3.1170278	2.4977276	-0.20969364	-4.0586324	0.20958218	-4.0583587	-3.349875	10.292488	1.0785111	-0.23197367	0.025366776	-0.098661647	0.025372169	-4.0249768e-07	-1.3112403e-05	0.09863731	1.9049206	0.2319473	-1.9048472	-2.3739073	2.3439092	1	0.30504082	-0.026702837	1.2250188	1.5845497	-0.7266321	-0.25899634	0.10578029	0.17553941	0.037551688	1.5378249	1.6761774	0.46249603	1.6762056	1.3962358	1.1365984	-0.52804226	1.2725844	0.21971731	0.99260547	0.21964153	-1.930861e-05	0.0001213474	-0.99247014	-2.056243	-1.2732264	2.0560342	2.978185	2	2	0	0	-71.915825	R0:S0:1	1.1365984	-114.80736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:16
2x2_2C_6b_C2v_L	5.6833847	0	13.587439	3.1170278	2.5023516	-0.20886935	-4.0655808	0.20899696	-4.0661108	-3.3563892	10.302488	1.0789442	-0.23118893	0.025408298	-0.09928239	0.025404287	5.4470243e-07	1.578053e-05	0.099303767	1.9053218	0.23121258	-1.9054524	-2.3744402	2.3439092	1	0.30504082	-0.026783273	1.2254617	1.5852829	-0.72502293	-0.25810348	0.10541159	0.1757778	0.037568124	1.5391195	1.6779736	0.46044221	1.6779371	1.3982778	1.1371789	-0.52853215	1.2723863	0.21865758	0.9916826	0.21872895	3.1150962e-05	-0.00014771427	-0.99182501	-2.0498488	-1.2714502	2.0501534	2.9742375	2	2	0	0	-71.997093	R0:S0:1	1.1371789	-114.96736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:18
2x2_2C_6b_C2v_L	5.7011207	0	13.587439	3.1170278	2.5069752	-0.20825015	-4.0732727	0.20817161	-4.0728788	-3.3629593	10.312488	1.0793846	-0.23043265	0.025433715	-0.099921653	0.02543689	-6.3042468e-07	-8.0551672e-06	0.099910652	1.9059127	0.2304207	-1.9058186	-2.3749936	2.3439092	1	0.30504082	-0.026854785	1.2259028	1.5860112	-0.72342003	-0.25721089	0.10504254	0.17601605	0.037586201	1.5411981	1.6796922	0.45909067	1.6797159	1.4003222	1.1377589	-0.52903069	1.2705078	0.21772107	0.99087956	0.21768126	-1.9952325e-05	8.5698785e-05	-0.99079862	-2.0440024	-1.2711418	2.0437954	2.9702885	2	2	0	0	-72.078404	R0:S0:1	1.1377589	-115.12736	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:19
2x2_2C_6b_C2v_L	5.718854	0	13.587439	3.1170278	2.5116181	-0.20747137	-4.0802588	0.20752622	-4.0805348	-3.3695591	10.322488	1.0798335	-0.22964043	0.025460089	-0.10053328	0.025458673	5.1782678e-07	4.3471784e-06	0.10054955	1.9063326	0.22965852	-1.9063998	-2.3755642	2.3439092	1	0.30504082	-0.026921865	1.2263432	1.5867395	-0.72181683	-0.25631785	0.10467424	0.17625423	0.037604977	1.5427537	1.6814474	0.45712914	1.6814427	1.4023623	1.1383373	-0.52953007	1.2697296	0.21670741	0.9898662	0.21673999	7.0526817e-06	-5.0290031e-05	-0.98993853	-2.0377847	-1.2695084	2.0378604	2.9663491	2	2	0	0	-72.15993	R0:S0:1	1.1383373	-115.28736	uncorrelated	2	817c5bc	v2.2.6	YY	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:21
2x2_2C_6b_C2v_L	5.73662	0	13.587439	3.1170278	2.5162644	-0.20683365	-4.0879226	0.20676688	-4.0876381	-3.3761646	10.332488	1.0802921	-0.22888392	0.025484197	-0.10116885	0.025484607	-2.7678022e-06	-8.2382928e-06	0.10114869	1.9069184	0.22886641	-1.9068446	-2.3761347	2.3439092	1	0.30504082	-0.026981499	1.2267838	1.5874684	-0.72021071	-0.25542161	0.10430584	0.17649217	0.037625067	1.544719	1.6831776	0.4554641	1.6831927	1.4044087	1.1389158	-0.5300376	1.2681219	0.21575011	0.98889462	0.21570942	-9.7073908e-06	7.3244888e-05	-0.98880034	-2.0318143	-1.2684998	2.0316793	2.9623934	2	2	0	0	-72.242052	R0:S0:1	1.1389158	-115.44736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:23
2x2_2C_6b_C2v_L	5.7543042	0	13.587439	3.1170278	2.5207919	-0.20604137	-4.0948878	0.20609523	-4.0952154	-3.382762	10.342488	1.0807314	-0.22807729	0.025499178	-0.10176345	0.025503376	-7.493402e-07	5.8990886e-06	0.1017647	1.9073381	0.22808722	-1.9074144	-2.3767049	2.3439092	1	0.30504082	-0.02703494	1.227222	1.5881938	-0.71861194	-0.25452837	0.10393963	0.17672988	0.037646239	1.5463508	1.6849051	0.45347938	1.6848939	1.4064381	1.1394915	-0.53054615	1.2671055	0.21472909	0.98775482	0.21474261	1.5601352e-05	-5.4582893e-05	-0.98778552	-2.025684	-1.2667225	2.0258083	2.9584709	2	2	0	0	-72.323401	R0:S0:1	1.1394915	-115.60736	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:24
2x2_2C_6b_C2v_L	5.7721145	0	13.587439	3.1170278	2.5253782	-0.20535186	-4.1022676	0.20532734	-4.1021584	-3.3894492	10.352488	1.0811868	-0.22728269	0.025514854	-0.10236893	0.025516346	2.8884946e-07	-4.9075546e-06	0.10235496	1.9078537	0.22728548	-1.9078297	-2.3773044	2.3439092	1	0.30504082	-0.027083133	1.2276623	1.5889258	-0.71700067	-0.25362962	0.10357506	0.17696755	0.037668678	1.5483619	1.6865972	0.45177327	1.6866134	1.4084761	1.1400672	-0.53106184	1.2652468	0.21374848	0.98662669	0.21372771	-1.2323639e-05	4.4899509e-05	-0.98657073	-2.0198163	-1.2655618	2.0197054	2.9545378	2	2	0	0	-72.404707	R0:S0:1	1.1400672	-115.76736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:25
2x2_2C_6b_C2v_L	5.7897942	0	13.587439	3.1170278	2.5299453	-0.20460176	-4.1094852	0.20462991	-4.1096936	-3.3960912	10.362488	1.0816464	-0.22648721	0.025529097	-0.10294871	0.02552782	-1.519377e-08	6.9735237e-06	0.10295741	1.9083405	0.22648548	-1.9083872	-2.3778947	2.3439092	1	0.30504082	-0.027123955	1.2280993	1.5896492	-0.7154022	-0.25273359	0.10320931	0.17720488	0.037692026	1.5501145	1.6883162	0.4497357	1.6883013	1.4105073	1.1406414	-0.53158095	1.2639825	0.21271954	0.98532513	0.21273688	1.5097263e-05	-5.4269486e-05	-0.98536999	-2.0137303	-1.263628	2.0138526	2.9506095	2	2	0	0	-72.486793	R0:S0:1	1.1406414	-115.92736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:26
2x2_2C_6b_C2v_L	5.8073751	0	13.587439	3.1170278	2.5344711	-0.20390716	-4.1168903	0.2038644	-4.1168656	-3.4027868	10.372488	1.0821005	-0.22568228	0.025534742	-0.10354909	0.025536488	-4.4960257e-06	-4.8044377e-06	0.10353648	1.9088677	0.22566571	-1.9088573	-2.3785029	2.3439092	1	0.30504082	-0.027159684	1.2285337	1.5903661	-0.71381342	-0.2518397	0.10284345	0.17744195	0.037716285	1.5521372	1.6899971	0.44790261	1.6899985	1.4125358	1.1412143	-0.53210233	1.2620705	0.21174728	0.98410011	0.21171278	6.7478223e-06	3.4110754e-05	-0.98404807	-2.0078648	-1.2621005	2.0078542	2.9466906	2	2	0	0	-72.568746	R0:S0:1	1.1412143	-116.08736	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:28
2x2_2C_6b_C2v_L	5.8250274	0	13.587439	3.1170278	2.5391173	-0.20311937	-4.124232	0.2031958	-4.1245753	-3.4095804	10.382488	1.0825916	-0.22484651	0.025546893	-0.1041385	0.025554355	2.0982228e-06	6.8488163e-06	0.10414172	1.9093782	0.22486922	-1.9094581	-2.3791512	2.3439092	1	0.30504082	-0.027189733	1.2289688	1.5910879	-0.71221657	-0.25094337	0.10247926	0.1776786	0.0377423	1.5539936	1.6916879	0.44587355	1.6916845	1.4145632	1.1417852	-0.53263341	1.2604058	0.21068974	0.9827814	0.21071301	6.5614913e-06	-5.7285823e-05	-0.98281703	-2.0018952	-1.2601442	2.001977	2.9427767	2	2	0	0	-72.651868	R0:S0:1	1.1417852	-116.24736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:29
2x2_2C_6b_C2v_L	5.8426171	0	13.587439	3.1170278	2.5436284	-0.20241104	-4.1315539	0.20242627	-4.1316607	-3.4163296	10.392488	1.0830532	-0.22402708	0.025554422	-0.1047167	0.025557874	-6.0327651e-07	7.1523065e-07	0.10471932	1.9098857	0.22403573	-1.9099177	-2.3797778	2.3439092	1	0.30504082	-0.027213233	1.2294021	1.5918054	-0.71062637	-0.25004747	0.10211612	0.17791532	0.037768809	1.5560304	1.69335	0.44395255	1.6933492	1.4165842	1.1423554	-0.53316371	1.2583743	0.20968414	0.98140376	0.20968418	2.9562274e-06	-8.0525892e-06	-0.98141916	-1.9960651	-1.2583387	1.9960869	2.9388737	2	2	0	0	-72.733633	R0:S0:1	1.1423554	-116.40736	uncorrelated	2	817c5bc	v2.2.6	YY	8	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:30
2x2_2C_6b_C2v_L	5.86026	0	13.587439	3.1170278	2.5481782	-0.20166658	-4.1388989	0.20168533	-4.138915	-3.4231609	10.402488	1.0835317	-0.22319352	0.02555618	-0.10529458	0.025556887	2.1126821e-06	4.3358356e-06	0.10530174	1.9103961	0.22319671	-1.9104037	-2.3804358	2.3439092	1	0.30504082	-0.027233305	1.2298361	1.5925258	-0.7090307	-0.24914881	0.10175414	0.17815152	0.037796788	1.5580238	1.6950149	0.44192316	1.6950075	1.4186078	1.1429245	-0.53370213	1.2563854	0.20866272	0.97998313	0.20867714	1.5801179e-06	-2.6582449e-05	-0.98001321	-1.9901978	-1.2562724	1.9902419	2.9349684	2	2	0	0	-72.815962	R0:S0:1	1.1429245	-116.56736	uncorrelated	2	817c5bc	v2.2.6	YY	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:31
2x2_2C_6b_C2v_L	5.8777585	0	13.587439	3.1170278	2.5526434	-0.200934	-4.1462125	0.20093619	-4.1463352	-3.4299427	10.412488	1.0840011	-0.22235609	0.025557759	-0.1058699	0.025556446	9.4445564e-07	8.7319312e-07	0.10586956	1.9109124	0.22235576	-1.9109372	-2.3810794	2.3439092	1	0.30504082	-0.02724599	1.2302662	1.593237	-0.70744887	-0.2482539	0.1013915	0.17838761	0.037825551	1.5600803	1.6966596	0.43990165	1.696661	1.4206202	1.1434919	-0.53424154	1.254232	0.20764407	0.97851108	0.20764382	1.5276051e-06	-7.2235122e-06	-0.978512	-1.9843998	-1.2541867	1.9844134	2.9310791	2	2	0	0	-72.89856	R0:S0:1	1.1434919	-116.72736	uncorrelated	2	817c5bc	v2.2.6	YY	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-03@10:33
