model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1
2x2_2C_8b_C2v_L	9.8487384	0	14	3.4161	-0.63854365	-5.5933858	-5.57903	-0.61428714	-5.5817158	-0.61500792	0.57229427	-4.6380387	11.1	2.7319643e-05	-1.271174e-05	3.5395723e-06	-6.4057076e-06	-5.0753106e-06	-4.0563369e-08	-0.22587171	-1.6059383e-05	-0.21706028	-1.2962447	1.8847701	0.21642028	-1.8851162	-0.21664276	-5.9256802e-05	-2.371021	2.0342	1	0.236	3.5740501e-07	1.283829	1.6661511	-0.48962936	-0.11889334	0.051364517	0.15507839	1.996535	1.9645106	1.8731893	1.9930673	1.8731824	1.993053	0.0089276778	1.7057499	1.1524101	-9.3294377e-05	1.3456741e-05	5.5269907e-07	1.5285428e-05	6.5239905e-06	2.6379137e-06	0.38799593	1.3533088e-05	0.18269462	0.58475915	-1.3234278	-0.30793945	1.3235701	0.30828201	4.9754122e-05	2.2277263
2x2_2C_8b_C2v_L	9.8488952	0	14	3.4161	-0.65170935	-5.617124	-5.5964381	-0.62917947	-5.5936109	-0.62790636	0.58343662	-4.6482164	11.11	-2.2413738e-05	9.241759e-06	-1.3875457e-05	2.0556731e-05	2.4811735e-05	-5.7700885e-05	-0.22603184	7.3556259e-06	-0.21785861	-1.2973456	1.8855222	0.21758774	-1.8852245	-0.21724247	1.206381e-05	-2.3710462	2.0342	1	0.236	-7.9379285e-07	1.2838317	1.6661576	-0.48961149	-0.11888593	0.051361317	0.1550593	1.996513	1.9645383	1.8732592	1.9930056	1.873245	1.9930254	0.0089350637	1.7057794	1.1523923	8.0025427e-05	-5.3481041e-06	1.6733977e-05	-3.7054369e-05	-1.7926573e-05	0.00012718371	0.3881505	-1.0413644e-05	0.18328212	0.58456052	-1.32317	-0.309335	1.3231759	0.30887996	-6.7593789e-06	2.2275803
2x2_2C_8b_C2v_L	9.8489302	0	14	3.4161	-0.66257468	-5.6258249	-5.609355	-0.64071334	-5.6077688	-0.63991919	0.59098203	-4.655284	11.12	3.3352344e-06	-1.3877336e-05	1.2014624e-05	-6.047657e-06	-8.8418629e-06	7.5468505e-06	-0.22518426	-1.3957239e-05	-0.21800563	-1.2971204	1.8858604	0.21799825	-1.8856789	-0.21777499	-2.9425995e-05	-2.3706029	2.0342	1	0.236	1.9697798e-07	1.2838323	1.6661585	-0.48960745	-0.11888451	0.051360496	0.15505728	1.9965089	1.964539	1.8732933	1.9929843	1.8732942	1.9929976	0.0088774265	1.7056958	1.1523911	-1.0180882e-05	1.5817947e-05	-1.0232657e-05	1.2051984e-05	2.7654791e-06	-1.7724706e-05	0.38688867	5.4250753e-06	0.18339268	0.58456137	-1.3230044	-0.30980916	1.3229369	0.30950026	2.6350519e-05	2.2278515
2x2_2C_8b_C2v_L	9.849019	0	14	3.4161	-0.67346184	-5.6493303	-5.6217872	-0.65100136	-5.6117032	-0.64485554	0.59841535	-4.6641425	11.13	5.0474266e-05	-1.6634418e-05	-1.9096585e-05	5.4604265e-05	2.4650218e-05	-3.3692111e-05	-0.22476328	-5.5482218e-06	-0.21865998	-1.2982274	1.8860954	0.21830202	-1.8851095	-0.21683203	-1.3777407e-05	-2.3704582	2.0342	1	0.236	-2.6379395e-09	1.283834	1.666161	-0.48959811	-0.11887904	0.05135818	0.15505697	1.9964886	1.9645641	1.8733042	1.9929642	1.8732365	1.993045	0.00885255	1.7056801	1.1523925	-0.00017252079	1.7662425e-05	7.481723e-06	-0.00011917462	-3.0971082e-05	6.3367715e-05	0.38633812	1.033704e-05	0.18393505	0.58438338	-1.3230178	-0.31027113	1.3231539	0.30842939	8.5970956e-06	2.2278642
2x2_2C_8b_C2v_L	9.8490308	0	14	3.4161	-0.68445364	-5.652056	-5.6351854	-0.66417966	-5.6290172	-0.66120478	0.61390984	-4.6776144	11.14	1.0825542e-05	-1.4033209e-05	-1.6832474e-05	2.732625e-05	-3.3718484e-05	5.6247982e-05	-0.22597522	9.8539545e-07	-0.21842222	-1.2976079	1.8864992	0.21883863	-1.8858437	-0.21800394	9.3962171e-06	-2.370967	2.0342	1	0.236	1.8764744e-08	1.2838339	1.6661652	-0.48959514	-0.11888111	0.051359095	0.15504374	1.9964982	1.9645553	1.8733454	1.9929398	1.8733242	1.9929883	0.0089285225	1.7057686	1.1523772	-3.655684e-05	1.6712404e-05	2.1818567e-05	-6.0439435e-05	3.5819744e-05	-0.00011981999	0.38800427	-3.027524e-06	0.18367536	0.58443098	-1.3228026	-0.31081024	1.3227344	0.30969439	-8.4688322e-06	2.2275974
2x2_2C_8b_C2v_L	9.8489729	0	14	3.4161	-0.69403098	-5.66379	-5.6324804	-0.66617597	-5.6353023	-0.6685293	0.62070738	-4.6857177	11.15	0.00012396247	-9.1188923e-05	2.4728052e-05	-4.5202149e-05	3.0918641e-06	-2.3981014e-06	-0.22518166	2.5855055e-05	-0.21844925	-1.297789	1.8852805	0.21680833	-1.8855185	-0.21735547	9.5295347e-05	-2.3707577	2.0342	1	0.236	-5.2865421e-07	1.2838331	1.6661617	-0.48960266	-0.11888232	0.051359691	0.15506801	1.9964966	1.9645559	1.873211	1.9930486	1.8732368	1.9930193	0.0088774001	1.7057007	1.1524022	-0.00041540204	0.00010985047	-2.558979e-05	9.4141968e-05	-5.5055246e-06	8.1286228e-06	0.38688794	-2.1669757e-05	0.18371672	0.58442767	-1.323353	-0.30836639	1.3232729	0.30903014	-8.8070159e-05	2.2278323
2x2_2C_8b_C2v_L	9.8491169	0	14	3.4161	-0.70578738	-5.6801109	-5.6486401	-0.68095399	-5.6543736	-0.68469972	0.62994225	-4.6940549	11.16	7.1136925e-05	-5.8082701e-05	-1.0540801e-05	1.824931e-05	-1.1827997e-06	-2.6099668e-06	-0.22473755	2.0779747e-05	-0.21877974	-1.2983362	1.8858634	0.21790264	-1.8863945	-0.21884946	5.4964737e-05	-2.3705052	2.0342	1	0.236	-9.5926643e-07	1.2838356	1.6661672	-0.48958609	-0.11887584	0.051356738	0.15504771	1.9964876	1.9645635	1.8733064	1.9929939	1.8733488	1.9929415	0.008844672	1.70567	1.1523832	-0.00023280995	7.4900973e-05	1.1437429e-05	-3.7411196e-05	4.0601568e-06	5.6609545e-06	0.38616467	-2.1636548e-05	0.18396027	0.58439068	-1.3228535	-0.30957883	1.322756	0.31076613	-4.8591673e-05	2.2278938
2x2_2C_8b_C2v_L	9.8490996	0	14	3.4161	-0.71485866	-5.6857406	-5.6664312	-0.69561548	-5.6581189	-0.69137355	0.64021976	-4.7042334	11.17	9.7805918e-06	-1.4082935e-06	-2.0592632e-05	2.7937621e-05	-3.4075512e-05	7.0715348e-05	-0.22475295	5.7997292e-06	-0.21852467	-1.2980069	1.8866341	0.21909722	-1.8857758	-0.21796492	3.2253296e-05	-2.3705673	2.0342	1	0.236	3.3708188e-07	1.2838352	1.6661676	-0.48958765	-0.11887732	0.051357382	0.15505011	1.9964949	1.9645544	1.8733575	1.9929274	1.8733178	1.9929921	0.0088450812	1.705661	1.152385	-3.5164762e-05	-1.5832763e-06	2.2130686e-05	-6.1554186e-05	3.6494799e-05	-0.00014654541	0.38617598	4.9153068e-08	0.18376622	0.58445408	-1.3227572	-0.31108901	1.3227507	0.30960887	-2.9542199e-05	2.2279413
2x2_2C_8b_C2v_L	9.8491691	0	14	3.4161	-0.72649423	-5.7074168	-5.6694637	-0.7013212	-5.6687132	-0.70058109	0.64663466	-4.7113776	11.18	0.00011918703	-8.9932069e-05	1.8341595e-05	1.040655e-06	-2.1381988e-05	3.5800378e-05	-0.22371247	-1.8023347e-06	-0.21913509	-1.2989412	1.8859714	0.21800939	-1.8859328	-0.21782183	-1.4525977e-05	-2.370197	2.0342	1	0.236	-3.6983262e-07	1.2838366	1.6661686	-0.48958073	-0.11887244	0.051355251	0.15505603	1.9964766	1.9645755	1.8732979	1.9929871	1.8732834	1.9929969	0.0087754991	1.7055861	1.152393	-0.00038181751	0.0001085892	-2.0303182e-05	-8.4435986e-06	7.2075834e-06	-7.7541418e-05	0.38464276	-5.7239101e-06	0.18425317	0.58430884	-1.32295	-0.30974363	1.3230265	0.30952549	8.0379826e-06	2.2281597
2x2_2C_8b_C2v_L	9.8492476	0	14	3.4161	-0.74297503	-5.7355621	-5.6761255	-0.70873429	-5.6774534	-0.71050332	0.65916921	-4.7230848	11.19	4.7037737e-06	-6.5527728e-06	1.361873e-05	-1.538941e-05	2.4320189e-05	-6.2924833e-05	-0.22438728	1.6910567e-05	-0.22066864	-1.3000874	1.8857381	0.21729063	-1.8858172	-0.21765755	4.4776894e-05	-2.3704275	2.0342	1	0.236	-7.5221266e-07	1.283838	1.6661719	-0.48957215	-0.11886812	0.051353521	0.15504928	1.9964352	1.9646318	1.8732458	1.9930258	1.8732648	1.9930071	0.0088183359	1.7056599	1.152387	-1.4566835e-05	1.2308927e-05	-1.1162865e-05	3.703038e-05	-2.4904646e-05	0.00012747626	0.38558102	-1.5347313e-05	0.18533959	0.58386623	-1.3232053	-0.3088813	1.3231228	0.30930045	-3.6612648e-05	2.2278837
2x2_2C_8b_C2v_L	9.8491473	0	14	3.4161	-0.74843553	-5.7258128	-5.6819753	-0.71592939	-5.6918237	-0.72148848	0.66332589	-4.729348	11.2	3.5011151e-05	-4.225025e-05	3.7155922e-06	-1.944492e-05	-1.0593125e-05	5.4957364e-05	-0.22278419	2.7509117e-06	-0.21945212	-1.298626	1.8853739	0.21660909	-1.8863359	-0.21809373	2.4785144e-05	-2.3700117	2.0342	1	0.236	0	1.2838362	1.6661687	-0.4895831	-0.11887377	0.051355771	0.15506983	1.9964688	1.9645826	1.873218	1.9930635	1.8732793	1.9929799	0.0087148409	1.7054956	1.1524068	-0.0001108789	5.0000358e-05	-1.2633918e-05	3.0372374e-05	8.319602e-06	-0.00010925948	0.38330897	-8.3934105e-06	0.18445476	0.58424157	-1.3232417	-0.3080183	1.3231521	0.30992719	-2.1757151e-05	2.2284903
2x2_2C_8b_C2v_L	9.8491807	0	14	3.4161	-0.76035791	-5.743601	-5.6930946	-0.72653247	-5.6962766	-0.7296249	0.67411859	-4.7392125	11.21	4.7234426e-05	-2.890241e-05	-7.2802735e-06	-8.979853e-07	3.2139399e-05	-5.0530602e-05	-0.22293894	1.7046237e-05	-0.21991471	-1.2992534	1.8854828	0.21677724	-1.885723	-0.21746136	5.235565e-05	-2.3699531	2.0342	1	0.236	-5.6376254e-07	1.2838369	1.666169	-0.4895799	-0.11887117	0.051354712	0.15507132	1.9964561	1.9645978	1.8732062	1.9930525	1.8732432	1.9930168	0.0087235616	1.7055142	1.1524092	-0.00014894657	3.6463471e-05	1.8138453e-06	3.6208812e-06	-2.5688133e-05	0.0001021852	0.38349707	-1.235789e-05	0.18479223	0.5841319	-1.3233866	-0.3082819	1.3232403	0.30908748	-4.5434384e-05	2.2283985
2x2_2C_8b_C2v_L	9.8492873	0	14	3.4161	-0.77306643	-5.7661596	-5.7119451	-0.74148242	-5.6990725	-0.73578574	0.68179805	-4.7471836	11.22	5.1313714e-05	-4.6103454e-05	3.156906e-05	-7.1704984e-05	-3.3864258e-05	5.6641276e-05	-0.22214602	5.8861947e-06	-0.22069163	-1.3001935	1.886389	0.21807007	-1.8850374	-0.21639599	1.7420006e-05	-2.3697086	2.0342	1	0.236	3.6357372e-08	1.2838388	1.6661723	-0.48956828	-0.11886531	0.051352138	0.15506575	1.9964338	1.9646249	1.8732626	1.9929807	1.8732054	1.9930781	0.0086690762	1.7054621	1.1524054	-0.00015868625	5.4200302e-05	-2.1527537e-05	0.00014003082	3.3746841e-05	-0.00010496094	0.38228824	-8.7472688e-06	0.18538094	0.58393695	-1.323289	-0.30992388	1.3232505	0.30768184	-1.6866203e-05	2.2285411
2x2_2C_8b_C2v_L	9.8493509	0	14	3.4161	-0.79052599	-5.7964998	-5.7102143	-0.74643443	-5.7143041	-0.74965721	0.69140201	-4.7557174	11.23	-6.6942726e-06	-6.1852438e-06	-2.9695571e-05	6.6235492e-05	1.378205e-05	-2.5562316e-05	-0.22192346	-5.7837285e-06	-0.22253229	-1.3014	1.8851666	0.2165599	-1.8855129	-0.21732	-1.7507306e-05	-2.3694486	2.0342	1	0.236	-4.7607133e-07	1.2838401	1.6661727	-0.48956227	-0.11886034	0.051350034	0.15506714	1.9963829	1.9646884	1.8731805	1.9930668	1.8732198	1.9930261	0.0086522289	1.7054527	1.1524088	2.269311e-05	1.0497985e-05	2.4416377e-05	-0.00012957367	-1.2629445e-05	4.564425e-05	0.3819082	-1.9466521e-06	0.18670974	0.58344586	-1.3235005	-0.3079624	1.3233673	0.30888468	1.7173294e-05	2.2285276
2x2_2C_8b_C2v_L	9.8492276	0	14	3.4161	-0.79101072	-5.7792096	-5.7364168	-0.76690395	-5.70856	-0.75037561	0.69645877	-4.7628805	11.24	-3.0610993e-06	-8.208885e-06	1.1190422e-06	-2.6069469e-05	-4.5730911e-05	7.8366867e-05	-0.22058903	3.1389863e-06	-0.22018653	-1.2997578	1.8866895	0.21922457	-1.8839535	-0.21498089	-9.0688914e-07	-2.3691606	2.0342	1	0.236	3.3433639e-08	1.2838379	1.6661685	-0.48957577	-0.11886709	0.051352816	0.15508864	1.9964472	1.9646008	1.8732902	1.9929187	1.8731246	1.9931558	0.00856709	1.7053135	1.1524291	1.0920592e-05	1.0746343e-05	1.1044738e-05	5.0295227e-05	5.2160658e-05	-0.00014609972	0.3800239	-5.9541851e-06	0.18503268	0.5841323	-1.3232969	-0.31133021	1.3234895	0.30590446	8.6726576e-07	2.2290508
2x2_2C_8b_C2v_L	9.8491929	0	14	3.4161	-0.80173201	-5.792413	-5.7204404	-0.75872199	-5.7296933	-0.76539927	0.70570799	-4.7727452	11.25	2.6578435e-05	-5.7607453e-06	1.993444e-05	-2.7136553e-05	1.2081525e-05	-2.215585e-05	-0.22042659	5.4818788e-06	-0.22039594	-1.2999842	1.8843403	0.21471229	-1.8851733	-0.21632566	-7.9035144e-06	-2.3691831	2.0342	1	0.236	-1.3521997e-07	1.2838374	1.6661672	-0.48958013	-0.11886803	0.051353313	0.15510552	1.9964413	1.96461	1.8730526	1.993163	1.8731279	1.9930757	0.0085569265	1.7053018	1.1524461	-7.9409462e-05	7.8831421e-06	-2.2368665e-05	5.1866439e-05	-1.7246428e-05	4.1918891e-05	0.37979915	-9.6018941e-07	0.18518346	0.58405516	-1.3240769	-0.30579229	1.3238721	0.30778839	4.8714522e-06	2.2290994
2x2_2C_8b_C2v_L	9.8493502	0	14	3.4161	-0.81566296	-5.8146289	-5.7415623	-0.77658961	-5.7423756	-0.77817878	0.70968811	-4.7774837	11.26	5.1036311e-05	-3.5162923e-05	2.9121468e-06	4.2458494e-06	-9.6727534e-07	4.9707269e-06	-0.21857235	1.2780078e-05	-0.22137788	-1.3007806	1.8853898	0.21664061	-1.8854116	-0.21693015	3.88212e-05	-2.368475	2.0342	1	0.236	-4.2294103e-07	1.2838403	1.6661716	-0.48956278	-0.11885989	0.05134954	0.15509191	1.9964134	1.9646392	1.8731786	1.9930618	1.8731979	1.993048	0.0084338336	1.705154	1.1524353	-0.0001530855	4.2783612e-05	-5.3420561e-06	-9.8333235e-06	-2.7525887e-06	-1.1194044e-05	0.37703909	-1.1064914e-05	0.18592198	0.58385347	-1.3235467	-0.30808289	1.323442	0.30838984	-3.3473268e-05	2.2295497
2x2_2C_8b_C2v_L	9.8491772	0	14	3.4161	-0.81801433	-5.797144	-5.7420519	-0.77936093	-5.752788	-0.78679065	0.71361429	-4.7842537	11.27	-8.956506e-06	-7.4106564e-06	2.9078186e-05	-5.6409906e-05	-1.106116e-05	4.3636065e-05	-0.21697654	-1.0789911e-05	-0.2192842	-1.2989828	1.8845505	0.21490409	-1.8855346	-0.21676468	-2.9710242e-06	-2.3681673	2.0342	1	0.236	6.2523624e-07	1.2838372	1.6661657	-0.48958211	-0.11886872	0.051353258	0.15512648	1.9964717	1.9645594	1.8730771	1.9931537	1.8731565	1.9930517	0.0083332825	1.7049894	1.1524685	2.5064003e-05	4.3954464e-06	-3.2619518e-05	0.00010176105	3.2791897e-06	-8.2113134e-05	0.37478548	5.6176791e-06	0.18438924	0.58446697	-1.323934	-0.30599785	1.3237577	0.30833044	2.2377754e-06	2.2301768
2x2_2C_8b_C2v_L	9.8493538	0	14	3.4161	-0.8379347	-5.8407618	-5.7641018	-0.79821672	-5.7482024	-0.7878266	0.72331905	-4.793746	11.28	9.1787946e-05	-6.6653912e-05	1.6589026e-05	-2.3900173e-05	-2.1688834e-05	6.1963787e-05	-0.21688043	-2.4759035e-05	-0.22192653	-1.3011712	1.8856718	0.21701468	-1.8841722	-0.21440818	-7.3588632e-05	-2.368079	2.0342	1	0.236	5.3674597e-07	1.2838405	1.6661708	-0.48956321	-0.1188584	0.051348881	0.15511216	1.996398	1.9646553	1.8731578	1.993039	1.8730476	1.9931824	0.0083252159	1.7050175	1.1524569	-0.00026901695	7.3310588e-05	-2.0538531e-05	3.7312385e-05	1.3355198e-05	-0.00011691197	0.37459434	1.4222043e-05	0.18632456	0.58373198	-1.3238084	-0.30862785	1.3240245	0.30534167	5.6944514e-05	2.2300124
