model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-3.942858	0	10.537218	0.2899801	-0.2124139	-4.755881	-5.7068076	-0.18520001	-5.7073655	-0.1851887	0.27801924	-5.5279838	11.887919	1.6483864e-05	1.2034707e-06	0.021748631	-0.17063116	0.021754389	-0.170634	2.5239842e-05	-8.484332e-06	-0.15304106	-1.222062	1.9382644	0.10926495	-1.9383562	-0.10926343	0.2638294	-2.5388396	2.5688778	1	-0.29009221	0.050123734	1.2608231	1.7054835	-0.56973661	-0.19130384	0.086220941	0.38456032	1.9900095	1.9677159	1.7979244	1.5230413	1.7979376	1.5230366	0.0068813867	1.3913069	1.3753258	-0.00010540473	1.3890631e-06	0.25888697	1.707143	0.25886591	1.7071751	-0.00023462	-1.4009164e-05	0.16177612	0.34910805	-1.3729366	-1.175476	1.3729021	1.1754792	-0.21002538	3.2176689	2	2	0	0	-102.57285	R0:S0:1	1.3753258	-185.56702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:00
2x2_2C_8b_C2v_L	-3.9350015	0	10.537218	0.2899801	-0.21147408	-4.7530227	-5.6897245	-0.18234797	-5.6892789	-0.1823609	0.27407156	-5.5157698	11.897919	8.268547e-06	-8.3665927e-06	0.021723059	-0.17010077	0.02172074	-0.17010178	-7.3323776e-06	-3.350733e-08	-0.15359412	-1.2212439	1.934741	0.1087573	-1.9346635	-0.10875865	0.26292345	-2.5348002	2.5688778	1	-0.29009221	0.049667311	1.2609528	1.7063681	-0.56875715	-0.19126758	0.086121661	0.38687818	1.9899079	1.9679051	1.7985421	1.5161703	1.7985352	1.5161842	0.0069053148	1.3899705	1.3776926	-6.3246583e-05	1.0399511e-05	0.25620856	1.726933	0.25622085	1.7269082	7.8552758e-05	1.2678473e-05	0.16191255	0.34664777	-1.3665744	-1.1747315	1.3665824	1.174702	-0.2098782	3.2208645	2	2	0	0	-102.50531	R0:S0:1	1.3776926	-185.72702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:08
2x2_2C_8b_C2v_L	-3.9270414	0	10.537218	0.2899801	-0.2102682	-4.7469575	-5.6716105	-0.17956004	-5.6727196	-0.17960726	0.27039734	-5.5054207	11.907919	1.1991153e-05	-5.3386056e-06	0.021684597	-0.16958036	0.021696192	-0.16960064	8.9763906e-06	-2.3356567e-06	-0.15399428	-1.220094	1.931063	0.10820025	-1.9312529	-0.10821396	0.26213178	-2.5312102	2.5688778	1	-0.29009221	0.049178592	1.261084	1.7072575	-0.56776568	-0.19122854	0.086020453	0.38919148	1.98982	1.9680838	1.7991478	1.5094692	1.7991749	1.509478	0.0069296779	1.3887249	1.3800535	-8.251417e-05	9.9406377e-06	0.25346835	1.746504	0.25343541	1.746545	-9.0232795e-05	-1.0146636e-05	0.16190343	0.34422991	-1.3601888	-1.1734004	1.3601169	1.1734086	-0.209767	3.2239491	2	2	0	0	-102.43624	R0:S0:1	1.3800535	-185.88702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:12
2x2_2C_8b_C2v_L	-3.9190671	0	10.537218	0.2899801	-0.20899857	-4.7416658	-5.654073	-0.17676687	-5.6541605	-0.17679961	0.26664786	-5.4943768	11.917919	3.850658e-05	-2.4536647e-05	0.021635679	-0.16904677	0.021642925	-0.16906152	-1.4799234e-05	5.5694626e-06	-0.15435151	-1.2190562	1.9274939	0.10759603	-1.9275091	-0.10759736	0.2612847	-2.5274468	2.5688778	1	-0.29009221	0.048654404	1.2612156	1.7081411	-0.56677438	-0.19118494	0.085917755	0.39150408	1.9897352	1.9682636	1.7997528	1.5029359	1.7997608	1.5029567	0.0069522215	1.3874462	1.3824155	-0.0002869154	3.4456899e-05	0.25058493	1.7656792	0.25056743	1.7657061	0.00016765508	2.1101499e-05	0.1618576	0.34181549	-1.3538466	-1.1716068	1.3538092	1.1715231	-0.20962747	3.2270647	2	2	0	0	-102.36403	R0:S0:1	1.3824155	-186.04702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:17
2x2_2C_8b_C2v_L	-3.9110261	0	10.537218	0.2899801	-0.20764022	-4.7355092	-5.6368824	-0.17406555	-5.6362706	-0.17408305	0.2629513	-5.484126	11.927919	-7.5401397e-06	-6.815624e-07	0.021601596	-0.16853634	0.021588546	-0.16854799	-2.0487545e-05	5.6686644e-06	-0.15464371	-1.2179283	1.9239892	0.10696516	-1.9238961	-0.10695042	0.26046074	-2.5238648	2.5688778	1	-0.29009221	0.048102572	1.2613482	1.7090256	-0.56577603	-0.19113793	0.085813536	0.39381264	1.9896571	1.9684422	1.800377	1.4965901	1.8003665	1.4966224	0.006973843	1.3862076	1.3847734	4.4094376e-05	-5.2443932e-06	0.24758141	1.7846227	0.24760819	1.7846455	0.00021427341	2.2424029e-05	0.16173801	0.33940256	-1.3474188	-1.169328	1.3474315	1.1691536	-0.20948195	3.2301294	2	2	0	0	-102.29411	R0:S0:1	1.3847734	-186.20702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:26
2x2_2C_8b_C2v_L	-3.9029802	0	10.537218	0.2899801	-0.20628534	-4.7294573	-5.6181932	-0.17136566	-5.6195803	-0.17138839	0.25917516	-5.4730323	11.937919	3.4075406e-05	1.1679415e-05	0.021514861	-0.16802819	0.021557348	-0.16804055	3.5064951e-05	6.9260534e-06	-0.15490687	-1.2168216	1.9202617	0.1062499	-1.9204858	-0.10627167	0.25958682	-2.5200723	2.5688778	1	-0.29009221	0.047519565	1.2614811	1.7099056	-0.56477844	-0.19108771	0.085708309	0.39612869	1.9895832	1.9686218	1.8009627	1.49042	1.8009978	1.4904098	0.0069929978	1.3849251	1.3871402	-0.0002343052	-1.274219e-05	0.24454388	1.803356	0.24447078	1.8033812	-0.00038556483	-6.7215625e-05	0.16157682	0.33698293	-1.3410894	-1.1662771	1.3410004	1.1663921	-0.20931277	3.2332454	2	2	0	0	-102.22204	R0:S0:1	1.3871402	-186.36702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:31
2x2_2C_8b_C2v_L	-3.894878	0	10.537218	0.2899801	-0.20489193	-4.7235578	-5.6009481	-0.16869283	-5.5999275	-0.16867734	0.25548049	-5.4630987	11.947919	4.0690509e-05	-1.3566774e-05	0.021469492	-0.16751551	0.021466662	-0.16750968	9.8727576e-06	-4.7752361e-08	-0.15512588	-1.2157536	1.9167668	0.10552583	-1.9166007	-0.10550795	0.25876075	-2.5165534	2.5688778	1	-0.29009221	0.046905636	1.2616149	1.7107845	-0.56377543	-0.19103332	0.085601682	0.39843936	1.9895121	1.9688016	1.8015847	1.4844027	1.8015602	1.4844227	0.00701358	1.3837057	1.3895017	-0.00030307936	1.795341e-05	0.24129835	1.8217426	0.24133011	1.8217264	-9.0640859e-05	-7.4064921e-06	0.16137622	0.33456711	-1.3346598	-1.1629554	1.3347218	1.1628548	-0.20915676	3.2362757	2	2	0	0	-102.14965	R0:S0:1	1.3895017	-186.52702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:36
2x2_2C_8b_C2v_L	-3.8867338	0	10.537218	0.2899801	-0.20335332	-4.7165918	-5.5829987	-0.16604039	-5.5821285	-0.16600109	0.25178425	-5.4533067	11.957919	-1.3971306e-05	8.1118212e-06	0.021396777	-0.1669983	0.02138383	-0.16698607	-2.3164257e-05	1.3061245e-05	-0.15526057	-1.2145922	1.9131712	0.10473746	-1.9130304	-0.10471777	0.25792129	-2.5130542	2.5688778	1	-0.29009221	0.046264255	1.2617495	1.7116608	-0.5627689	-0.19097457	0.085493778	0.40074305	1.9894484	1.9689765	1.8021904	1.4786025	1.8021655	1.4785912	0.0070326971	1.3824981	1.3918569	9.4899735e-05	-1.8082679e-05	0.23800165	1.8398264	0.23802961	1.8398322	0.0002477986	1.4221582e-05	0.16110109	0.33217887	-1.3282654	-1.1589741	1.3283383	1.1589166	-0.20898421	3.2392764	2	2	0	0	-102.07756	R0:S0:1	1.3918569	-186.68702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:43
2x2_2C_8b_C2v_L	-3.8785627	0	10.537218	0.2899801	-0.2016988	-4.7083267	-5.5647259	-0.16338045	-5.5647045	-0.16337546	0.24800415	-5.443132	11.967919	-4.3097877e-05	2.2455753e-05	0.021308812	-0.16648006	0.021305012	-0.16647523	-6.9074599e-06	1.0436575e-06	-0.15533215	-1.2132843	1.9095415	0.1038918	-1.9095381	-0.10389296	0.25704407	-2.5094514	2.5688778	1	-0.29009221	0.04559369	1.2618846	1.7125348	-0.56176032	-0.19091254	0.085384977	0.40305248	1.98939	1.9691484	1.8027842	1.4729411	1.8027833	1.4729351	0.0070506779	1.3812696	1.3942186	0.00032648758	-3.5816993e-05	0.23458876	1.8577243	0.23459372	1.8577112	6.0735604e-05	2.5664685e-06	0.16076427	0.32980081	-1.3219067	-1.1544225	1.3219092	1.1544451	-0.20879274	3.2423007	2	2	0	0	-102.00202	R0:S0:1	1.3942186	-186.84702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	9	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:51
2x2_2C_8b_C2v_L	-3.8703597	0	10.537218	0.2899801	-0.1999854	-4.7012073	-5.5466753	-0.16075453	-5.545582	-0.16070827	0.24430595	-5.4341104	11.977919	9.2332996e-06	-3.8998408e-06	0.02121497	-0.16597026	0.021205493	-0.16594587	-8.7687094e-06	5.2804065e-06	-0.15537787	-1.2121311	1.9059571	0.10300168	-1.9057675	-0.10298787	0.25621753	-2.506119	2.5688778	1	-0.29009221	0.044893522	1.2620203	1.7134068	-0.56074911	-0.19084701	0.085275305	0.40536095	1.9893312	1.9693241	1.8033915	1.4674439	1.8033651	1.467438	0.0070713647	1.3801072	1.3965797	-7.550928e-05	3.2038658e-06	0.23103676	1.8754312	0.23106754	1.8753779	0.00010543895	8.7406669e-06	0.16041238	0.32740714	-1.3154784	-1.1492721	1.3155445	1.1492709	-0.20861932	3.2452355	2	2	0	0	-101.92816	R0:S0:1	1.3965797	-187.00702	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2024-05-06@20:56
