model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	8.4890516	0	13.8	3.3038	-0.0030586466	-3.0867047	-3.7080577	-0.10512661	-3.7081187	-0.10512585	0.1424335	-3.2810995	9.9	0.00036825122	-7.0888268e-06	0.011188527	-0.16656505	0.011189145	-0.16655781	-5.2842803e-06	-1.1412606e-06	-0.11225741	-1.0491289	1.6369026	0.05496985	-1.6369127	-0.054964596	0.23051355	-2.156921	1.9469	1	0.292	0.014771788	1.2561482	1.6220109	-0.59000741	-0.19468309	0.078733236	0.14129987	0.23199408	1.9403392	1.8039092	1.5838717	1.8039024	1.5839212	0.015775785	1.551548	1.1177195	-0.0040507447	-1.5949863e-05	0.10574862	1.1199865	0.10576018	1.1198088	7.1415519e-05	2.7759084e-05	1.1411693	0.73130146	-1.5584546	-0.60481376	1.5585188	0.60481465	-0.28468697	2.5375583	2	2	0	0	-73.225197	R0:S0:1	1.1177195	-105.5392	uncorrelated	2	817c5bc	v2.2.6	YY	15	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@18:13
2x2_2C_8b_C2v_L	8.3270817	0	13.8	3.3038	0.0044814457	-3.014728	-3.6422397	-0.11741527	-3.642167	-0.11739717	0.15642701	-3.2213612	9.81	6.4389707e-05	1.743635e-06	0.010259482	-0.17905776	0.010254634	-0.17904777	2.585971e-06	-1.6426421e-06	-0.11492608	-1.0430475	1.6328811	0.045327084	-1.6328642	-0.045329671	0.24586301	-2.1553707	1.9469	1	0.292	0.014264382	1.2518181	1.6155104	-0.60555722	-0.20523367	0.082638536	0.13997249	0.26235317	1.936935	1.7933189	1.5543759	1.793313	1.5543676	0.018157271	1.5293755	1.1133604	-0.00061550298	1.4080061e-06	0.11514597	1.191488	0.1151463	1.1914377	-1.6969784e-05	-1.0436854e-06	1.1999624	0.74623431	-1.5931813	-0.589832	1.5932036	0.58986168	-0.30228013	2.5852396	2	2	0	0	-72.395473	R0:S0:1	1.1133604	-104.0992	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@18:33
2x2_2C_8b_C2v_L	8.5071265	0	13.8	3.3038	-0.0040975302	-3.0954212	-3.7154864	-0.10375626	-3.7155367	-0.10377835	0.14062902	-3.2875027	9.91	0.00028208987	-6.8364735e-06	0.011241815	-0.16508684	0.011242619	-0.16509262	-3.1663969e-06	7.3402813e-07	-0.11198147	-1.0498852	1.637385	0.055933387	-1.6373988	-0.055929119	0.2286296	-2.157016	1.9469	1	0.292	0.014774367	1.2566284	1.6227274	-0.588272	-0.19349599	0.078296644	0.14144259	0.22903129	1.9406877	1.8050774	1.5874478	1.8050751	1.5875068	0.015516576	1.553995	1.1181981	-0.0031891676	-1.6517695e-05	0.1046747	1.1112743	0.10469217	1.1111704	5.4306052e-05	2.0682862e-05	1.1347396	0.7298136	-1.5546006	-0.60557565	1.5546349	0.60555151	-0.28255158	2.5322483	2	2	0	0	-73.318845	R0:S0:1	1.1181981	-105.6992	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@18:38
2x2_2C_8b_C2v_L	8.3091191	0	13.8	3.3038	0.0051388792	-3.0071174	-3.6347714	-0.11874936	-3.6347403	-0.11873902	0.15777439	-3.214526	9.8	2.7156973e-05	-1.1807354e-06	0.010096246	-0.18034589	0.010100283	-0.18033975	1.0310743e-06	-1.0946816e-06	-0.11522677	-1.0424069	1.6324122	0.044122745	-1.6324033	-0.044128432	0.24740548	-2.1551403	1.9469	1	0.292	0.014141185	1.2513353	1.6147777	-0.60728356	-0.20639121	0.083069556	0.13982049	0.26612622	1.9365266	1.7921302	1.5513859	1.7921267	1.5513818	0.01843279	1.5269052	1.1128721	-0.00025774894	6.6171853e-06	0.11613165	1.1987183	0.1161225	1.1986741	-6.417059e-06	1.9778394e-07	1.2064163	0.7480556	-1.5970352	-0.58712715	1.5970517	0.58716556	-0.30408634	2.5905062	2	2	0	0	-72.302994	R0:S0:1	1.1128721	-103.9392	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@18:55
2x2_2C_8b_C2v_L	8.5252325	0	13.8	3.3038	-0.0051903693	-3.104395	-3.7227324	-0.10238937	-3.7228637	-0.10237685	0.13877323	-3.2939166	9.92	-5.1823883e-05	2.7464747e-06	0.011281017	-0.16358932	0.011282926	-0.16358113	2.8467931e-06	-9.7756906e-07	-0.11170855	-1.0506749	1.6378294	0.056858491	-1.6378533	-0.056861651	0.22671242	-2.1571182	1.9469	1	0.292	0.014765335	1.2571088	1.6234432	-0.58653289	-0.19230594	0.077859797	0.14158351	0.22620455	1.9410268	1.8062483	1.5910504	1.8062453	1.5910452	0.015261731	1.556437	1.118675	0.00060281411	-6.4596069e-07	0.10360498	1.1024638	0.10359684	1.1023963	-1.8808987e-05	-7.265593e-07	1.1283879	0.72838963	-1.5507144	-0.60607482	1.5507466	0.60611605	-0.2803945	2.5269401	2	2	0	0	-73.412334	R0:S0:1	1.118675	-105.8592	uncorrelated	2	817c5bc	v2.2.6	YY	15	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@19:07
2x2_2C_8b_C2v_L	8.2913441	0	13.8	3.3038	0.0057654636	-2.9996272	-3.6275835	-0.12011982	-3.6275979	-0.12011649	0.15911463	-3.2076681	9.79	1.7801924e-05	3.7303083e-06	0.0099328426	-0.1816326	0.0099323226	-0.18162869	4.1900275e-07	1.0649247e-06	-0.11552276	-1.0417912	1.6320123	0.042915044	-1.6320114	-0.042916005	0.24892218	-2.1549116	1.9469	1	0.292	0.014004173	1.2508568	1.6140528	-0.60899092	-0.20753617	0.083497872	0.13966914	0.26984968	1.9361204	1.7909472	1.5486671	1.7909465	1.5486717	0.018703586	1.5244572	1.1123863	-0.00016693053	-7.5999153e-06	0.11709567	1.2056322	0.11709717	1.2056039	-3.5008471e-06	-1.0136587e-06	1.2127121	0.74984919	-1.6008845	-0.58423387	1.6008908	0.58424771	-0.30584279	2.5957204	2	2	0	0	-72.212134	R0:S0:1	1.1123863	-103.7792	uncorrelated	2	817c5bc	v2.2.6	YY	13	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@19:20
2x2_2C_8b_C2v_L	8.5433606	0	13.8	3.3038	-0.0063248513	-3.1132486	-3.7301483	-0.1010042	-3.7302154	-0.10100498	0.13682977	-3.3002553	9.93	8.0011667e-05	-3.0966352e-06	0.011316314	-0.16207489	0.011319677	-0.16206895	-5.087423e-08	3.3228258e-07	-0.11144745	-1.0514235	1.6383085	0.057773868	-1.6383235	-0.057778186	0.22474634	-2.1571876	1.9469	1	0.292	0.014749986	1.2575889	1.6241602	-0.58479069	-0.19111415	0.077423816	0.14172348	0.22348573	1.9413596	1.8074171	1.5946143	1.8074095	1.5946513	0.015006374	1.5588644	1.1191493	-0.00096940422	-8.6159658e-06	0.10250882	1.0936234	0.10251203	1.0934654	2.2976075e-05	1.2554333e-05	1.1221176	0.72699162	-1.5468233	-0.60648599	1.5468856	0.60652836	-0.27818431	2.5216573	2	2	0	0	-73.505854	R0:S0:1	1.1191493	-106.0192	uncorrelated	2	817c5bc	v2.2.6	YY	15	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@19:37
2x2_2C_8b_C2v_L	8.2736207	0	13.8	3.3038	0.0063505368	-2.9921537	-3.6201963	-0.1214907	-3.6203345	-0.12149985	0.16041045	-3.2007547	9.78	-5.7426509e-06	-1.8723129e-06	0.0097565816	-0.18289555	0.0097549781	-0.18290026	2.8907188e-06	-9.8976538e-08	-0.11581612	-1.0411664	1.6315662	0.041681584	-1.6315938	-0.041675142	0.25040471	-2.154667	1.9469	1	0.292	0.01385006	1.2503792	1.6133278	-0.61069401	-0.20867497	0.083924811	0.139517	0.27361858	1.9357113	1.7897581	1.546106	1.7897641	1.5461067	0.018975796	1.5220174	1.1119011	5.3879956e-05	2.5085058e-06	0.1180465	1.2122944	0.1180494	1.2123371	-1.6579886e-05	-2.5774141e-06	1.2189284	0.75165143	-1.6047434	-0.58110298	1.6047265	0.58106788	-0.30756444	2.6009092	2	2	0	0	-72.120484	R0:S0:1	1.111901	-103.6192	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@19:42
2x2_2C_8b_C2v_L	8.2559421	0	13.8	3.3038	0.0069178584	-2.9849154	-3.6128919	-0.12285335	-3.6129856	-0.12284785	0.16168809	-3.1937882	9.77	2.1110173e-05	3.9673241e-06	0.0095596714	-0.18414293	0.0095606536	-0.18414467	3.113845e-06	-1.2724741e-06	-0.11610809	-1.0405854	1.6311406	0.040389939	-1.631163	-0.040385277	0.25186402	-2.1544096	1.9469	1	0.292	0.01367527	1.2499022	1.6126018	-0.61239339	-0.20980802	0.08435076	0.13936383	0.27744729	1.9352978	1.7885731	1.5436174	1.788576	1.5435965	0.019251883	1.519584	1.1114159	-0.00019688906	-6.1979201e-06	0.1189708	1.218844	0.11896433	1.2188889	-1.5933744e-05	2.4293804e-06	1.2250484	0.75348429	-1.6085803	-0.5775952	1.6085746	0.57756668	-0.30927153	2.6060667	2	2	0	0	-72.029106	R0:S0:1	1.1114159	-103.4592	uncorrelated	2	817c5bc	v2.2.6	YY	12	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@20:05
2x2_2C_8b_C2v_L	8.5614374	0	13.8	3.3038	-0.0075123949	-3.1226399	-3.737523	-0.099630928	-3.7375759	-0.09963385	0.13483096	-3.3065087	9.94	4.7526386e-06	-7.5724413e-07	0.011339938	-0.16054378	0.011339126	-0.16054353	1.1205779e-06	7.1986019e-08	-0.11119348	-1.052247	1.6387812	0.058666046	-1.6387933	-0.058669428	0.2227469	-2.1572324	1.9469	1	0.292	0.014725445	1.2580672	1.6248716	-0.58305399	-0.18992252	0.07698708	0.14186189	0.22088393	1.9416864	1.8085794	1.5982644	1.8085776	1.5982749	0.014752466	1.5612832	1.1196215	-6.0708512e-05	1.0625669e-08	0.10143126	1.0845412	0.10143287	1.0844997	-4.4463537e-06	-5.2305403e-08	1.1159321	0.72564441	-1.5429637	-0.60671901	1.5429813	0.60673919	-0.27594085	2.5163759	2	2	0	0	-73.600249	R0:S0:1	1.1196215	-106.1792	uncorrelated	2	817c5bc	v2.2.6	YY	15	sharp_wc_2.0_b_50	self-energy/D	boucle.py	2023-11-02@20:07
