CDMFT_iterations	CDMFT_method	D	D2	D2_ave	D_ave	E0_1	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tp	tp_1_ave	tp_ave	tpp	tpp_ave	version	
5	Broyden	1e-09	1e-09	7.616024061e-05	-0.0003875717054	-27.43926026	-1.023773743	Y	6	0.07278909546	self-energy	sharp_wc_2_b_35	-0.9176842374	1.955879471	1.362782115	0.01735171675	-1.055510643	1.943667656	1.232334446	0.06211303798	-1.237043339	1.937945845	-1.061277763	1.943572854	-1.242207707	1.992375932	-0.9420032052	1.966599601	a248bdd	2x2_2C_8b_C2v_L	3	1.003018627	0.9996218497	0.9999999998884614	0.2690980748	-0.9677128644	-0.5454015637	0.2750700733	-0.2913038991	0.8537892115	0.400629567	-0.9148785077	-0.03901757572	0.1010605296	0.2915695367	-0.85254366	0.3226559056	-0.1762956527	-0.0003146619263	0.0002004633645	recalcules_de_points_supra.py	R0:S0:1	1	-0.6746514858	-1.011130466	-0.0004378082679	0.0002458514099	0.0002523319043	-0.0008004319016	0.04394138742	-0.1109410624	-0.0335627112	0.0862597194	0.4004930123	-0.9128685126	0.05075772443	-0.127077741	-0.0002761765544	0.0009326683879	-0.2332432352	0.8775986359	2024-12-02@15:29	0.2	0.002437773393	-0.06770666205	0.03	0.02993516214	v2.7.1	
5	Broyden	1e-09	1e-09	7.616024016e-05	-0.0003875717032	-27.43926026	-1.023773743	Y	6	0.07278909546	self-energy	sharp_wc_2_b_35	-0.9176842373	1.955879471	1.362782115	0.01735171675	-1.055510644	1.943667656	1.232334446	0.06211303798	-1.237043338	1.937945845	-1.061277763	1.943572854	-1.242207707	1.992375932	-0.9420032053	1.966599601	a248bdd	2x2_2C_8b_C2v_L	3	1.003018627	0.9996218497	0.9999999998884598	0.2690980748	-0.9677128644	-0.5454015637	0.2750700733	-0.2913038992	0.8537892116	0.400629567	-0.9148785077	-0.03901757553	0.1010605291	0.2915695368	-0.85254366	0.3226559056	-0.1762956527	-0.0003146619287	0.0002004633659	recalcules_de_points_supra.py	R0:S0:1	1	-0.6746514858	-1.011130466	-0.0004378082699	0.0002458514112	0.0002523319055	-0.000800431905	0.04394138725	-0.110941062	-0.03356271108	0.08625971909	0.4004930123	-0.9128685127	0.05075772418	-0.1270777403	-0.0002761765565	0.0009326683952	-0.2332432352	0.8775986359	2024-12-02@15:32	0.2	0.002437773394	-0.06770666205	0.03	0.02993516214	v2.7.1	
7	Broyden	1e-09	1e-09	5.600066114e-05	-0.0002817140969	-27.56295588	-1.023832798	Y	6	0.07286786414	self-energy	sharp_wc_2_b_35	-0.9164772782	1.955691031	1.387428538	0.01733079704	-1.053104015	1.944028698	1.25481182	0.06242099216	-1.257056009	1.937808649	-1.056821722	1.943788232	-1.235493037	1.992369082	-0.9561133277	1.966522897	a248bdd	2x2_2C_8b_C2v_L	3.02	1.003063765	0.9996567489	0.9999999998658745	0.2716689437	-0.9710608757	-0.5468660667	0.275343762	-0.2941273309	0.8548968533	0.4029384277	-0.9196104163	-0.02844394275	0.07225302445	0.2945838856	-0.8562879368	0.3238457174	-0.176500953	-0.0005344804084	0.0003252520977	recalcules_de_points_supra.py	R0:S0:1	1	-0.6745575864	-1.01119294	-0.0002128307104	0.0001200422347	0.0001181697407	-0.0003723666022	0.03211244351	-0.0820306074	-0.02482801647	0.06242081567	0.4026360945	-0.9166926434	0.03651780157	-0.09245080568	-0.0004535598699	0.001557053508	-0.2331578693	0.8787691106	2024-12-02@15:36	0.2	0.00253878825	-0.06769227809	0.03	0.02995326768	v2.7.1	
4	Broyden	1e-09	1e-09	5.209088696e-05	-0.0002676287372	-27.38782805	-1.023800285	Y	6	0.07274616161	self-energy	sharp_wc_2_b_35	-0.9237510865	1.955892914	1.346023789	0.01738491797	-1.066978359	1.94367306	1.216836795	0.06224351062	-1.217523098	1.937721931	-1.069752448	1.943710839	-1.258656715	1.99237904	-0.9339324707	1.966554081	a248bdd	2x2_2C_8b_C2v_L	2.98	1.00294262	0.9995787215	0.9999999998464516	0.2676561338	-0.9667983428	-0.5453612298	0.2751334996	-0.2914764115	0.8567798388	0.4020401797	-0.9174794661	-0.02688418019	0.07092741819	0.2916030934	-0.8559272801	0.3227043521	-0.176333893	-0.0004962555459	0.0003030424767	recalcules_de_points_supra.py	R0:S0:1	1	-0.6746466179	-1.011151635	-4.637282197e-06	3.338561522e-06	-6.990973754e-06	2.1112722e-05	0.03257354461	-0.08091960153	-0.02461829242	0.06466574605	0.4019587007	-0.9172380402	0.03547920194	-0.08779024987	-0.0004301822608	0.001455942072	-0.2342540677	0.8783475786	2024-12-02@15:38	0.2	0.002332915213	-0.06773238749	0.03	0.02992757321	v2.7.1	
6	Broyden	1e-09	1e-09	2.978527924e-05	-0.0001477204775	-27.5999174	-1.023984069	Y	6	0.07286646583	self-energy	sharp_wc_2_b_35	-0.9040763793	1.955305451	1.422131025	0.01736916381	-1.037835529	1.943939219	1.282829634	0.06252539418	-1.284002444	1.937490605	-1.03843327	1.943920215	-1.211834767	1.992366567	-0.975138671	1.966535808	a248bdd	2x2_2C_8b_C2v_L	3.04	1.002920909	0.9996158262	0.9999999998916261	0.273852178	-0.9760558383	-0.5494835842	0.2760176149	-0.2961340586	0.8589369659	0.4050027514	-0.9218486495	-0.0139625876	0.03438478957	0.2962176155	-0.8590019561	0.3236151224	-0.1765429711	-0.0009242458867	0.0005440261691	recalcules_de_points_supra.py	R0:S0:1	1	-0.6744521126	-1.011340369	-0.0003181255086	0.0001863929718	0.000197249456	-0.0006018453619	0.01702025905	-0.04424580318	-0.01341130568	0.03292890613	0.4051167793	-0.9217036737	0.01767971826	-0.0458483544	-0.0007536710876	0.002636937787	-0.2328439326	0.8784736631	2024-12-02@15:42	0.2	0.00258341006	-0.06771584021	0.03	0.02998226123	v2.7.1	
7	Broyden	1e-09	1e-09	4.451515602e-05	-0.0002317925883	-27.31508493	-1.02361386	Y	6	0.07271369998	self-energy	sharp_wc_2_b_35	-0.9303674595	1.956238813	1.314838116	0.01736630026	-1.080958959	1.94375321	1.187621332	0.06212794924	-1.188935665	1.937700291	-1.081987852	1.943907425	-1.280945922	1.992384636	-0.9138035621	1.966564203	a248bdd	2x2_2C_8b_C2v_L	2.96	1.003050337	0.9996091624	0.9999999998585076	0.2650049298	-0.9617948247	-0.5430932403	0.2745844052	-0.2900509889	0.8556240609	0.400342702	-0.9156037994	-0.02805156436	0.07630475131	0.2898490166	-0.8534028816	0.3227852268	-0.1762630194	-0.0004254132548	0.0002633624831	recalcules_de_points_supra.py	R0:S0:1	1	-0.6747216038	-1.010969036	-2.408491912e-05	1.408720888e-05	5.975342262e-06	-2.02245408e-05	0.0346917577	-0.08435278344	-0.02587600292	0.0702883856	0.4005101154	-0.9167911924	0.03756406703	-0.09121666574	-0.0003775134236	0.001261939434	-0.2343061985	0.8781322704	2024-12-02@15:45	0.2	0.002276484312	-0.06770809249	0.03	0.02989315439	v2.7.1	
6	Broyden	1e-09	1e-09	1.551432686e-05	-7.57751794e-05	-27.63887542	-1.024080052	Y	6	0.07288560972	self-energy	sharp_wc_2_b_35	-0.8944469001	1.955112356	1.447300988	0.01737324297	-1.022777112	1.943917304	1.306841665	0.06259788101	-1.306567053	1.937376481	-1.02355151	1.94394574	-1.19069757	1.992361601	-0.9912576402	1.966548076	a248bdd	2x2_2C_8b_C2v_L	3.06	1.002867574	0.9996031378	0.9999999999132732	0.2756313661	-0.9789361351	-0.550690042	0.2762973507	-0.2972334283	0.8601900003	0.4060027339	-0.9229800056	-0.007258728894	0.01744167573	0.2972984078	-0.8599963275	0.3234752998	-0.1765649041	-0.001289672922	0.0007484190979	recalcules_de_points_supra.py	R0:S0:1	1	-0.6744151291	-1.011435165	-0.0003833504727	0.0002272003055	0.000245647226	-0.00073953394	0.008948230064	-0.0236892177	-0.007161432554	0.01718702062	0.406000479	-0.9231456105	0.009065671177	-0.02397601568	-0.00102817743	0.003645771919	-0.2324312304	0.878240667	2024-12-02@15:49	0.2	0.002632778458	-0.06772484297	0.03	0.03000273902	v2.7.1	
6	Broyden	1e-09	1e-09	1.779365884e-05	-9.375968149e-05	-27.19651964	-1.023510325	Y	6	0.07265782131	self-energy	sharp_wc_2_b_35	-0.9326678922	1.956490206	1.286368749	0.0173790222	-1.087413562	1.943931875	1.15849845	0.06231411912	-1.159200498	1.937678069	-1.08622335	1.943921846	-1.296874874	1.992384573	-0.8983595777	1.966547502	a248bdd	2x2_2C_8b_C2v_L	2.94	1.003087122	0.9996001894	0.9999999998572885	0.2622257307	-0.9575530317	-0.5411523071	0.2742219252	-0.288697143	0.8560758907	0.3998877896	-0.918331155	-0.01359910489	0.03808524528	0.2886280746	-0.8561668388	0.3225051867	-0.1762325488	-0.0005105958246	0.0003138848778	recalcules_de_points_supra.py	R0:S0:1	1	-0.6747775702	-1.010863151	0.0003691091611	-0.0002034965312	-0.0002179002917	0.0007129663068	0.01984603934	-0.04744234892	-0.01462400275	0.04105515549	0.4000646606	-0.918660259	0.0184716897	-0.04423763527	-0.0004573507635	0.001519593201	-0.2347022764	0.878215598	2024-12-02@15:52	0.2	0.002178394124	-0.0677165035	0.03	0.02987088916	v2.7.1	
5	Broyden	1e-09	1e-09	3.279020448e-05	-0.0001741706396	-27.06385076	-1.023363368	Y	6	0.07259609481	self-energy	sharp_wc_2_b_35	-0.9334377259	1.956779007	1.25669081	0.01738951819	-1.093012649	1.94376992	1.131401093	0.06212102023	-1.131968507	1.938002411	-1.094817396	1.943664285	-1.310005201	1.992386701	-0.874398046	1.966585405	a248bdd	2x2_2C_8b_C2v_L	2.92	1.003136296	0.9996041419	0.9999999998276217	0.2591312072	-0.9526550298	-0.53897383	0.2737826174	-0.2842467965	0.8482368865	0.3953042524	-0.9102666026	-0.04547507087	0.1317249715	0.2836500384	-0.8463563571	0.3216632465	-0.17608081	-0.000276478028	0.0001762828258	recalcules_de_points_supra.py	R0:S0:1	1	-0.6748677752	-1.010716757	-0.000145937821	8.187603065e-05	7.545940065e-05	-0.0002493631459	0.05438439844	-0.1281807927	-0.03947923538	0.1140481786	0.3940552813	-0.9066605216	0.06252921657	-0.1469801281	-0.0002552327381	0.0008364304864	-0.2341909035	0.8772419696	2024-12-02@15:55	0.2	0.002099955795	-0.06770958466	0.03	0.02984354255	v2.7.1	
4	Broyden	1e-09	1e-09	-7.871454433e-06	3.740563798e-05	-27.67376565	-1.02418109	Y	6	0.07289548079	self-energy	sharp_wc_2_b_35	-0.8828788848	1.955042275	1.467129116	0.0173669746	-1.006200617	1.943774559	1.332470745	0.06254525719	-1.330848064	1.937265448	-1.004912302	1.943980068	-1.165013122	1.992361034	-1.015687196	1.966607338	a248bdd	2x2_2C_8b_C2v_L	3.08	1.00280572	0.9995760505	0.999999999936237	0.2768820357	-0.9804365262	-0.5509258682	0.2763290547	-0.2981812561	0.8619567806	0.4068158653	-0.922730228	0.00354680362	-0.008255936866	0.2977572967	-0.8599835893	0.3230169459	-0.1764803681	-0.002222507952	0.001267997322	recalcules_de_points_supra.py	R0:S0:1	1	-0.6744636444	-1.011534154	-8.581455958e-05	5.465950434e-05	5.224767548e-05	-0.0001537394259	-0.004231362038	0.01149048893	0.003408461415	-0.00790801703	0.4067915062	-0.924473966	-0.004397181643	0.01193078228	-0.00172988576	0.00622495202	-0.2325790167	0.8777376262	2024-12-02@15:58	0.2	0.002643809637	-0.06773686963	0.03	0.03001460873	v2.7.1	
