CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	opt_method	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1_ave	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1_ave	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	fixed_point	-124.3650855	-140.64	19.08497663	YY	16	0.1834180013	self-energy	sharp_wc_5_b_50	6	2	1.273788375	1.182245127	0.002202844168	-6.524841504	1.957627739	-6.707353361	1.840796506	-1.526891742	1.996974021	1.840796435	1.996974049	1.801494993	0.001531975667	-5.736700397	1.631798368	bce2d27	2x2_2C_8b_C2v_L	14.79	1.179804123	2	1.666134573	1.179804123	2	Nelder-Mead	0.000261135139	-0.000212058037	5.910409824e-05	-0.0001265321476	0.0006781616173	9.931987976e-05	-0.1767741511	0.1936020113	-8.901589831e-05	-0.1936016838	-0.002039409352	0.003607843672	0.0002492198788	-3.090184937e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.1057042778	0.1960704165	-1.419956311	0.6124725491	2.064334339	-1.459885775	0.005017416406	-0.008123096179	-1.459886293	-0.008114979102	0.2494932965	-0.1390605075	-2.582369613	2.464613542	2025-01-21@23:34	2.1719	-0.5284197287	1	-4.163336342e-17	-0.1434349565	0.1609	2.220446049e-16	0.06238903101	v2.8.0	
4	fixed_point	-123.1731704	-139.04	19.09702729	YY	16	0.1840065187	self-energy	sharp_wc_5_b_50	6	2	1.274033549	1.377761815	0.002906766642	-6.694268805	1.960214785	-6.531755012	1.840394433	-1.49574091	1.997450697	1.840394433	1.997450697	1.850602094	0.001404951378	-5.599293872	1.632765269	bce2d27	2x2_2C_8b_C2v_L	14.69	1.180658572	2	1.666466237	1.180658572	2	Nelder-Mead	-0.1861548028	0.1587357189	-3.66140926e-05	3.43192503e-05	1.492458013e-05	-1.349355405e-05	-0.1566680593	0.1766460992	1.262533781e-05	-0.1766460994	4.446512457e-05	-7.430408988e-05	-7.601189513e-06	5.693123503e-06	run_cdmft.py	R0:S0:1	uncorrelated	-0.0001127571459	0.0002059101773	-1.413059919	0.5934171908	2.054214858	-1.461611869	5.834319386e-05	-8.978605486e-05	-1.461611869	-9.044092745e-05	0.2320021846	-0.1311764542	-2.575314528	2.46184025	2025-01-21@23:39	2.1719	-0.5275260362	1	4.30211422e-16	-0.1427875481	0.1609	3.955169525e-16	0.06212439716	v2.8.0	
1	fixed_point	-121.9098182	-137.44	19.09744841	YY	16	0.1839801242	self-energy	sharp_wc_5_b_50	6	2	1.274045024	1.393353353	0.00324784345	-6.658234149	1.960629638	-6.420475968	1.840419938	-1.465300656	1.997543737	1.840419939	1.997543737	1.805344266	0.001338091798	-5.492003676	1.632864801	bce2d27	2x2_2C_8b_C2v_L	14.59	1.180665805	2	1.666449934	1.180665805	2	Nelder-Mead	-0.2013791995	0.1679183553	-1.935831916e-05	1.611620871e-05	-8.433776447e-05	2.226412714e-05	-0.1491085183	0.1723472155	-2.123376804e-05	-0.1723472193	-0.0003505855519	0.0005875266275	5.270791514e-05	-2.569788139e-05	run_cdmft.py	R0:S0:1	uncorrelated	-2.557357301e-05	5.073977571e-05	-1.414211784	0.5904712748	2.051650424	-1.461509839	-0.0006018145913	0.0009270771804	-1.461509833	0.0009277998437	0.2223299307	-0.1274527495	-2.572937569	2.461558331	2025-01-21@23:41	2.1719	-0.5275066134	1	-3.60822483e-16	-0.1427561672	0.1609	3.469446952e-18	0.06211171454	v2.8.0	
2	fixed_point	-120.4179362	-135.84	19.09836547	YY	16	0.1840254822	self-energy	sharp_wc_5_b_50	6	2	1.274065682	1.424374503	0.003731738353	-6.63091494	1.961148609	-6.299932119	1.840368584	-1.383747318	1.997687584	1.840368584	1.997687583	1.78922402	0.001272788488	-5.383072354	1.632930517	bce2d27	2x2_2C_8b_C2v_L	14.49	1.180754493	2	1.666455688	1.180754493	2	Nelder-Mead	-0.2215353015	0.1801733286	1.448278794e-05	-1.657802234e-05	-3.8488594e-05	-1.150397271e-06	-0.1382364641	0.1657393299	2.743961112e-06	-0.1657393333	-0.0004117721923	0.0006781426581	6.167599227e-05	-2.819998153e-05	run_cdmft.py	R0:S0:1	uncorrelated	3.342624179e-05	-5.94872062e-05	-1.41459141	0.5867161354	2.047766627	-1.46168374	-0.0003544358489	0.0005442099616	-1.461683737	0.0005453567987	0.2134092934	-0.1237905638	-2.570447745	2.461345036	2025-01-21@23:43	2.1719	-0.5274451536	1	1.318389842e-16	-0.142704525	0.1609	1.040834086e-16	0.06209066157	v2.8.0	
4	fixed_point	-118.7658958	-134.24	19.11548827	YY	16	0.1841893367	self-energy	sharp_wc_5_b_50	6	2	1.274412458	1.347935226	0.00413999339	-6.611697478	1.961608815	-6.371575194	1.847876694	-1.074863862	1.993065622	1.847876694	1.99306562	1.770213459	0.001144856532	-5.26852046	1.634365046	bce2d27	2x2_2C_8b_C2v_L	14.39	1.181283528	2	1.666945063	1.181283528	2	Nelder-Mead	-0.2352986568	0.1902948013	-4.498154242e-05	4.770728247e-05	0.0003363234204	-3.18005959e-05	-0.001863940562	0.002604063181	3.09855279e-05	-0.002605157557	6.032801075e-05	-9.807247623e-05	-4.51232373e-06	-5.644695135e-06	run_cdmft.py	R0:S0:1	uncorrelated	-6.252742531e-05	0.0001219662195	-1.41707035	0.5837830852	2.043223467	-1.427385823	0.1923958582	-0.3023556494	-1.42738582	-0.3023556594	0.1976929862	-0.1162551291	-2.566894754	2.458246915	2025-01-21@23:48	2.1719	-0.5261269522	1	3.053113318e-16	-0.1418848821	0.1609	2.706168623e-16	0.06174446521	v2.8.0	
3	fixed_point	-117.8782917	-132.64	19.11601868	YY	16	0.1841008904	self-energy	sharp_wc_5_b_50	6	2	1.274422432	1.329160593	0.004521530668	-6.579083981	1.962034178	-6.31174736	1.848941054	-1.084177587	1.992149569	1.848941054	1.992149569	1.700253367	0.001069811764	-5.159574427	1.63439366	bce2d27	2x2_2C_8b_C2v_L	14.29	1.181210667	2	1.666949024	1.181210667	2	Nelder-Mead	-0.2496769053	0.1989582004	2.097914745e-05	-2.375031477e-05	1.844547904e-05	2.598499787e-06	-0.0001057422211	0.000153797193	-1.277347396e-06	-0.0001518395151	-0.0003704647228	0.0005940582105	4.595226974e-05	-2.029923365e-05	run_cdmft.py	R0:S0:1	uncorrelated	3.76825795e-05	-7.292533242e-05	-1.417983987	0.5806880587	2.044744701	-1.422547308	0.2101852755	-0.3218830223	-1.422547309	-0.3218830216	0.1863957083	-0.1115579613	-2.564189428	2.458066755	2025-01-21@23:51	2.1719	-0.5260838312	1	9.020562075e-17	-0.1418598738	0.1609	3.816391647e-17	0.06173386548	v2.8.0	
3	fixed_point	-116.9402997	-131.04	19.11654105	YY	16	0.1840100597	self-energy	sharp_wc_5_b_50	6	2	1.274432208	1.293811973	0.004843560107	-6.537944995	1.962397223	-6.252374826	1.850016371	-1.084424336	1.9912243	1.850016372	1.9912243	1.621364492	0.000994687716	-5.05112716	1.634430578	bce2d27	2x2_2C_8b_C2v_L	14.19	1.181134983	2	1.666952755	1.181134983	2	Nelder-Mead	-0.2615210582	0.2059927608	4.442236736e-05	-3.82701933e-05	1.267044336e-05	-5.578732159e-06	-4.943262078e-05	7.140477458e-05	4.246929321e-06	-7.397518812e-05	0.0008220467823	-0.001313887428	-9.63117806e-05	4.267800849e-05	run_cdmft.py	R0:S0:1	uncorrelated	9.094531364e-05	-0.0002017566653	-1.418826177	0.5780496566	2.046200828	-1.417640062	0.2275239008	-0.3404741561	-1.417640059	-0.340474156	0.1748309431	-0.1066523247	-2.561580507	2.457868686	2025-01-21@23:55	2.1719	-0.5260410757	1	-3.261280135e-16	-0.1418356054	0.1609	-3.191891196e-16	0.06172355688	v2.8.0	
4	fixed_point	-115.8618602	-129.44	19.11897528	YY	16	0.1838730774	self-energy	sharp_wc_5_b_50	6	2	1.27448204	1.170688326	0.004822258184	-6.485119043	1.962895267	-6.187676914	1.850931469	-1.013437318	1.99051429	1.850931469	1.99051429	0.8171116134	0.009366066811	-5.044148037	1.644042651	bce2d27	2x2_2C_8b_C2v_L	14.09	1.181089721	2	1.667030475	1.181089721	2	Nelder-Mead	-0.2649298784	0.2071133939	2.468042063e-05	-2.956207307e-05	-1.427011692e-05	-2.188130525e-06	7.139200346e-05	-0.0001131929446	2.365911638e-06	0.0001145117873	0.2131281427	-0.3935938319	1.78527838e-05	6.361670962e-06	run_cdmft.py	R0:S0:1	uncorrelated	-3.885960554e-05	9.205708424e-05	-1.421491457	0.5746377619	2.048154018	-1.413591424	0.2384233311	-0.3541329374	-1.413591423	-0.3541329374	-5.836353096e-05	4.460305529e-05	-2.554314953	2.426869102	2025-01-21@23:59	2.1719	-0.5258401228	1	3.122502257e-16	-0.1417570672	0.1609	-1.908195824e-16	0.06170759703	v2.8.0	
4	fixed_point	-114.7439442	-127.84	19.119169	YY	16	0.1837645386	self-energy	sharp_wc_5_b_50	6	2	1.274484707	1.095424515	0.004966222732	-6.41717835	1.963076918	-6.12069584	1.851750563	-0.973363707	1.989809913	1.851750563	1.989809913	0.8038095345	0.01064027171	-4.965616488	1.645494748	bce2d27	2x2_2C_8b_C2v_L	13.99	1.180978469	2	1.667037557	1.180978469	2	Nelder-Mead	-0.2700706163	0.2101905871	-3.590157666e-06	3.636626422e-06	-1.244301467e-05	2.931792432e-05	-1.528936361e-05	3.231099199e-05	-2.937219583e-05	-3.258280134e-05	0.2315771455	-0.4195503699	-4.708091553e-06	1.865107866e-06	run_cdmft.py	R0:S0:1	uncorrelated	-1.922674054e-07	1.352495557e-07	-1.422237696	0.5732516341	2.04948793	-1.409818122	0.2505088408	-0.3671424679	-1.409818122	-0.3671424679	1.429112814e-05	-1.022540429e-05	-2.555369699	2.422115465	2025-01-22@00:03	2.1719	-0.5258198713	1	0	-0.1417521658	0.1609	-8.67361738e-17	0.06170563116	v2.8.0	
4	fixed_point	-113.5894624	-126.24	19.11944342	YY	16	0.1836585956	self-energy	sharp_wc_5_b_50	6	2	1.274488684	1.026813643	0.00516842207	-6.363247756	1.963321043	-6.049904741	1.852459475	-0.9212661642	1.989203465	1.852459475	1.989203465	0.778075721	0.01188470366	-4.88640598	1.646923726	bce2d27	2x2_2C_8b_C2v_L	13.89	1.180870611	2	1.667047423	1.180870611	2	Nelder-Mead	-0.2770654927	0.2144408021	8.056340435e-05	-7.807953853e-05	-3.251074143e-05	4.620174383e-05	3.286102428e-05	-4.528467803e-05	-4.447035486e-05	4.847346349e-05	0.248749949	-0.4434411943	2.376015089e-05	-2.970638912e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.0001832641769	-0.0004644155165	-1.423502999	0.571390807	2.050750247	-1.406546585	0.2606521316	-0.3779902063	-1.406546583	-0.3779902063	-9.513338828e-05	5.854157916e-05	-2.556325018	2.417409677	2025-01-22@00:07	2.1719	-0.525792471	1	-1.942890293e-16	-0.1417434913	0.1609	4.579669977e-16	0.06170205301	v2.8.0	
4	fixed_point	-112.2999458	-124.64	19.11960101	YY	16	0.183563555	self-energy	sharp_wc_5_b_50	6	2	1.274490752	0.9317836136	0.005213337575	-6.278666745	1.96339382	-5.975919755	1.853051878	-0.8554918902	1.988716235	1.853051878	1.988716235	0.7305492118	0.01289320434	-4.80429723	1.648085292	bce2d27	2x2_2C_8b_C2v_L	13.79	1.180772801	2	1.667053388	1.180772801	2	Nelder-Mead	-0.2785534187	0.2153759877	3.88669018e-05	-5.279911014e-05	1.777581109e-05	-3.245020901e-05	-3.013554436e-06	-2.768984877e-06	3.296134008e-05	3.735492664e-06	0.2620314695	-0.4619083054	-2.768451307e-05	3.752415363e-05	run_cdmft.py	R0:S0:1	uncorrelated	-8.578326577e-06	2.787170612e-05	-1.424172797	0.5708372352	2.052089459	-1.403821926	0.2685091307	-0.3864889199	-1.403821924	-0.3864889192	7.666787377e-05	-5.058354479e-05	-2.557309844	2.413609938	2025-01-22@00:11	2.1719	-0.5257754739	1	-3.469446952e-17	-0.141740064	0.1609	9.36750677e-17	0.06170069842	v2.8.0	
4	fixed_point	-110.9036962	-123.04	19.11971287	YY	16	0.183484095	self-energy	sharp_wc_5_b_50	6	2	1.274492108	0.8300410386	0.005216734653	-6.187225531	1.96342129	-5.894935442	1.853459197	-0.7742023645	1.988392507	1.853459197	1.988392507	0.6709377331	0.01379813342	-4.720885884	1.64912809	bce2d27	2x2_2C_8b_C2v_L	13.69	1.180690517	2	1.667058208	1.180690517	2	Nelder-Mead	-0.2786087332	0.2154482771	-6.630217246e-05	7.067121148e-05	-7.963221411e-06	9.244444774e-06	1.05703352e-05	-1.924745233e-05	-9.834545932e-06	1.916782193e-05	0.2734170809	-0.4778787296	1.593136646e-05	-8.761712108e-06	run_cdmft.py	R0:S0:1	uncorrelated	-8.89381931e-05	0.0002660519659	-1.424858833	0.5706291153	2.053216058	-1.401954156	0.2734638892	-0.3920337665	-1.401954155	-0.3920337663	-7.701039472e-05	6.286245617e-05	-2.558329809	2.410205604	2025-01-22@00:15	2.1719	-0.5257628853	1	9.298117831e-16	-0.1417381623	0.1609	6.591949209e-17	0.06170009198	v2.8.0	
4	fixed_point	-109.3335152	-121.44	19.11961498	YY	16	0.1834324407	self-energy	sharp_wc_5_b_50	6	2	1.274490254	0.713268432	0.005119990067	-6.072171302	1.963338804	-5.803464751	1.8535991	-0.6746801461	1.988308612	1.8535991	1.988308613	0.5898321696	0.01432572637	-4.632225763	1.649748801	bce2d27	2x2_2C_8b_C2v_L	13.59	1.180635638	2	1.667054654	1.180635638	2	Nelder-Mead	-0.2752511273	0.213433776	7.666003736e-05	-6.363679865e-05	-5.509064656e-05	3.372647451e-05	0.0001164651059	-0.000262502089	-3.231972314e-05	0.000262247943	0.2797001881	-0.4869622585	1.879922966e-05	-5.757671992e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.0002395270919	-0.000787976748	-1.424669909	0.5712551424	2.053971481	-1.401333461	0.274469942	-0.3934579957	-1.401333466	-0.3934579957	-7.661347031e-05	3.112887546e-05	-2.559251593	2.408234603	2025-01-22@00:19	2.1719	-0.5257702237	1	1.665334537e-16	-0.1417441631	0.1609	1.734723476e-17	0.06170281787	v2.8.0	
5	fixed_point	-107.529063	-119.84	19.11930604	YY	16	0.1834227062	self-energy	sharp_wc_5_b_50	6	2	1.274485264	0.5818712117	0.004927171174	-5.936619173	1.963148964	-5.693773228	1.853287206	-0.5496904742	1.988631066	1.853287206	1.988631066	0.4821320713	0.01427011629	-4.535145631	1.649720088	bce2d27	2x2_2C_8b_C2v_L	13.49	1.180622922	2	1.667042148	1.180622922	2	Nelder-Mead	-0.2685762008	0.2093635491	3.634428662e-05	-5.673607295e-05	-5.051196428e-06	-1.014762269e-05	2.549510104e-05	-7.245389562e-05	1.166375188e-05	7.729068238e-05	0.2786849886	-0.4860394328	-2.000910031e-05	2.88073579e-05	run_cdmft.py	R0:S0:1	uncorrelated	1.953637818e-05	-5.810271108e-05	-1.42391623	0.5726956085	2.054020841	-1.402824092	0.2691429428	-0.3879627271	-1.40282409	-0.3879627273	-1.143225358e-05	1.231956147e-05	-2.560052486	2.40844956	2025-01-22@00:24	2.1719	-0.5257984113	1	3.191891196e-16	-0.1417569011	0.1609	1.318389842e-16	0.06170851158	v2.8.0	
