GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	11.5	3.1695	0.3673104	-4.2935281	-4.9187826	0.73023075	-4.9172908	0.72867768	0.95115115	-4.4790727	a248bdd	2x2_2C_8b_C2v_L	11.06	validity_data_2022.py	-0.039707188	1.1197059	-1.6866763	-0.10486862	1.6863999	-0.10464706	-0.16956612	-2.1931045	2024-08-14@10:21	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.37945954	-4.3102822	-4.9341463	0.73833199	-4.9347016	0.73925851	0.96001696	-4.4929573	a248bdd	2x2_2C_8b_C2v_L	11.07	validity_data_2022.py	-0.041273978	1.1207131	-1.6878491	-0.10676606	1.6879465	-0.10688167	-0.17214498	-2.194363	2024-08-14@10:21	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.39375469	-4.3280097	-4.9490794	0.74511502	-4.9529096	0.75149798	0.96719209	-4.5073663	a248bdd	2x2_2C_8b_C2v_L	11.08	validity_data_2022.py	-0.042901081	1.1218608	-1.6889133	-0.10853859	1.6896619	-0.10930572	-0.17465437	-2.1957365	2024-08-14@10:22	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.40423903	-4.3437017	-4.9630164	0.7481146	-4.9683468	0.75995939	0.97627528	-4.5210852	a248bdd	2x2_2C_8b_C2v_L	11.09	validity_data_2022.py	-0.044348166	1.1227123	-1.6897883	-0.11001714	1.6908376	-0.11126979	-0.17723886	-2.1969493	2024-08-14@10:22	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.41473579	-4.3597189	-4.9771089	0.75771244	-4.9815115	0.76255713	0.97975582	-4.5347823	a248bdd	2x2_2C_8b_C2v_L	11.1	validity_data_2022.py	-0.04572255	1.1236599	-1.6908	-0.11188897	1.6915902	-0.11255938	-0.17920013	-2.1981243	2024-08-14@10:23	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.42890439	-4.3787633	-4.9950099	0.7664828	-4.9962955	0.76835478	0.98721527	-4.5484563	a248bdd	2x2_2C_8b_C2v_L	11.11	validity_data_2022.py	-0.047489409	1.1249892	-1.6924084	-0.11405988	1.6926548	-0.11428177	-0.18169614	-2.1993324	2024-08-14@10:23	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.44260917	-4.3967503	-5.014437	0.78084746	-5.0123627	0.7746599	0.98851703	-4.5610706	a248bdd	2x2_2C_8b_C2v_L	11.12	validity_data_2022.py	-0.049184884	1.1261475	-1.6943461	-0.11674911	1.6939328	-0.11616673	-0.18342493	-2.2001797	2024-08-14@10:23	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.44817123	-4.4111865	-5.0306812	0.78755329	-5.0295181	0.78502536	0.99223662	-4.5748048	a248bdd	2x2_2C_8b_C2v_L	11.13	validity_data_2022.py	-0.050316388	1.1268585	-1.6956757	-0.11863375	1.6954506	-0.11838434	-0.18546111	-2.2013422	2024-08-14@10:24	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.45198736	-4.4228082	-5.0439291	0.78782332	-5.0479045	0.79618589	0.999488	-4.5895867	a248bdd	2x2_2C_8b_C2v_L	11.14	validity_data_2022.py	-0.051225185	1.1271773	-1.6964187	-0.11982221	1.6971916	-0.12076751	-0.18799874	-2.2028122	2024-08-14@10:24	1.9492	1	0.2373	v2.7.1	
YY	11.5	3.1695	0.46677908	-4.4437503	-5.0615048	0.79685086	-5.0624211	0.79928999	0.998089	-4.6014435	a248bdd	2x2_2C_8b_C2v_L	11.15	validity_data_2022.py	-0.053021113	1.1287262	-1.6979989	-0.12200579	1.6981628	-0.12223247	-0.189352	-2.2034459	2024-08-14@10:25	1.9492	1	0.2373	v2.7.1	
