D	D2	D2_ave	D_ave	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	mu_ave	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	script	t	t_ave	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tp	tp_ave	tpp	tpp_ave	version	
1e-09	0	-0.01960127894	-0.09990158895	-1.070417602	7.5	0.3482320161	0.1357325148	0.8009377853	0.1467936563	0.1468279302	0.8009933514	0.780157382	0.107940908	a248bdd	2x2_2C_8b_C2v_L	1.3	0.8634734882	-3.384666289e-06	0.1383676809	-0.03507524091	-0.1509372456	-0.1509286953	-0.03512167848	7.313985215e-06	0.1743582352	recalcules_averages.py	1	-1.02386167	0.2233042456	1.043273784e-06	-0.4107833384	0.1102781136	-0.1103535983	0.4107416932	0.5342212276	-5.598863019e-06	2024-12-09@15:18	-0.4	0.1163898303	0	-0.2460478957	v2.7.1	
1e-09	0	-0.01943170951	-0.09906194186	-1.06769611	7.55	0.3474586445	0.1355174487	0.7974405089	0.1461848605	0.1462318238	0.7974600545	0.7777413422	0.1075388822	a248bdd	2x2_2C_8b_C2v_L	1.3	0.862773899	2.293491753e-06	0.1381464473	-0.03517058488	-0.150766998	-0.1507645581	-0.03521292394	-2.3252426e-05	0.17424554	recalcules_averages.py	1	-1.021140462	0.2231168567	-7.839404717e-06	-0.4099770555	0.1098897085	-0.1099568373	0.4099374362	0.5332465879	4.024908881e-05	2024-12-09@15:19	-0.4	0.1163891203	0	-0.2452365996	v2.7.1	
1e-09	0	-0.01932985578	-0.1006463983	-1.069533619	7.5	0.3436476289	0.1382900167	0.8047028229	0.1517453551	0.1518344047	0.8047334225	0.7792334211	0.1166003908	a248bdd	2x2_2C_8b_C2v_L	1.32	0.8657737492	-5.297158103e-06	0.1395908819	-0.03624628138	-0.1528371465	-0.1528498263	-0.03629010349	-9.523659638e-06	0.1777100269	recalcules_averages.py	1	-1.022520324	0.2220302324	-4.213188806e-06	-0.4095153514	0.1124428376	-0.1125055454	0.409488731	0.5332831327	1.516019359e-05	2024-12-09@15:19	-0.4	0.1175332377	0	-0.2435264037	v2.7.1	
1e-09	0	-0.01973290968	-0.1031537566	-1.070500376	7.5	0.3335347227	0.1524866793	0.791334754	0.1524706703	0.1525223504	0.7913678476	0.7757092917	0.1118090151	a248bdd	2x2_2C_8b_C2v_L	1.3	0.8621174703	-4.966395277e-06	0.1479708089	-0.03628707301	-0.1543615568	-0.1543587233	-0.03633271666	-5.01026922e-06	0.17480592	recalcules_averages.py	1	-1.031471644	0.2239061048	-1.574687503e-06	-0.406133345	0.1104107098	-0.1104781178	0.406096716	0.5277010497	5.594074407e-06	2024-12-09@15:19	-0.38	0.1027071891	0	-0.238420092	v2.7.1	
1e-09	0	-0.01983443942	-0.100700995	-1.069601761	7.533333333	0.3413690244	0.1441403519	0.7873923193	0.1450128219	0.1449474784	0.7869678943	0.7769573745	0.1018734858	a248bdd	2x2_2C_8b_C2v_L	1.28	0.8597910744	1.370727955e-05	0.1433557611	-0.03460412508	-0.1511841419	-0.1511536167	-0.03457143257	-7.966674008e-07	0.1713699123	recalcules_averages.py	1	-1.028582412	0.2247038682	-1.806887572e-05	-0.4084196564	0.1076417259	-0.1076161493	0.4083373904	0.5302901416	1.467236964e-06	2024-12-09@15:20	-0.3866666667	0.1060845214	0	-0.2430014216	v2.7.1	
1e-09	0	-0.02010201774	-0.1008059746	-1.069722209	7.55	0.3404185316	0.1476343849	0.7840286492	0.1426894042	0.1427224172	0.7838147831	0.7764042428	0.09536560614	a248bdd	2x2_2C_8b_C2v_L	1.26	0.8567128615	-8.209820881e-06	0.1454752484	-0.03444747008	-0.1505881485	-0.1505898543	-0.03447742134	-4.19019429e-06	0.1684874146	recalcules_averages.py	1	-1.031674846	0.2260565577	-5.944199787e-06	-0.4082334445	0.1061664281	-0.1061943167	0.4081776827	0.5287800425	-1.463729579e-06	2024-12-09@15:20	-0.38	0.1001246407	0	-0.2426161047	v2.7.1	
1e-09	0	-0.02022249586	-0.1036126814	-1.072791326	7.483333333	0.3340505886	0.1561090432	0.7888304753	0.1494685188	0.1495490946	0.7888446553	0.7773331647	0.1026552554	a248bdd	2x2_2C_8b_C2v_L	1.273333333	0.8587264809	8.207994076e-06	0.1500539897	-0.03598442715	-0.1533751824	-0.1533850883	-0.03602967686	4.564892733e-05	0.1708972781	recalcules_averages.py	1	-1.036855452	0.2257595713	-1.762945197e-05	-0.4067382619	0.108808471	-0.1088718174	0.4067077747	0.5272587145	-7.058192825e-05	2024-12-09@15:21	-0.3733333333	0.0962568042	0	-0.2392791522	v2.7.1	
1e-09	0	-0.02059326471	-0.1058255359	-1.075693342	7.45	0.3280214231	0.1663085477	0.7806302481	0.1505594046	0.1506056777	0.7806479185	0.777093605	0.1001240392	a248bdd	2x2_2C_8b_C2v_L	1.26	0.8565598881	-5.137952624e-06	0.1561325068	-0.03580728722	-0.154819092	-0.1548124014	-0.03585849543	3.332696686e-06	0.1692594292	recalcules_averages.py	1	-1.044787479	0.2270641177	-2.732625979e-06	-0.4049126012	0.107217508	-0.1072908561	0.4048695465	0.5242810051	-4.661768793e-06	2024-12-09@15:21	-0.36	0.08584962036	0	-0.2359211986	v2.7.1	
1e-09	0	-0.02075263966	-0.1067876424	-1.074607525	7.5	0.3217325318	0.1751490513	0.7648349092	0.1509948206	0.1510135131	0.76486801	0.7723833828	0.09689626854	a248bdd	2x2_2C_8b_C2v_L	1.246666667	0.8531000861	2.057353339e-06	0.1617468446	-0.0357198505	-0.1562538227	-0.1562469554	-0.03576044484	6.347263409e-06	0.1675356966	recalcules_averages.py	1	-1.048519348	0.2281837446	-7.92923401e-06	-0.4015657067	0.1048714512	-0.1049499868	0.4015260778	0.519623531	3.718019492e-07	2024-12-09@15:22	-0.3466666667	0.07525435588	0	-0.231292351	v2.7.1	
1e-09	0	-0.02147751159	-0.1108551447	-1.078512058	7.5	0.3113118285	0.1967607659	0.746771098	0.1571048337	0.1571720731	0.7467893122	0.7693244051	0.09315974351	a248bdd	2x2_2C_8b_C2v_L	1.22	0.8472425562	-9.206038113e-06	0.1746088353	-0.03683230252	-0.160657304	-0.1606615757	-0.03689012971	-6.922659059e-07	0.1650605298	recalcules_averages.py	1	-1.061580007	0.2308544024	4.66824537e-06	-0.3966195993	0.1028831774	-0.102963271	0.3965788763	0.5125442044	5.767142093e-06	2024-12-09@15:22	-0.32	0.0529126608	0	-0.2224925214	v2.7.1	
1e-09	0	-0.02167959492	-0.1085161293	-1.079323988	7.5	0.3187460791	0.1881897801	0.7523745631	0.1484027453	0.1484328247	0.7522013579	0.774202283	0.08419986584	a248bdd	2x2_2C_8b_C2v_L	1.193333333	0.8446517993	-2.708443932e-06	0.1699114354	-0.03510412882	-0.1568661425	-0.1568620799	-0.0351268674	-9.272410495e-06	0.1620654626	recalcules_averages.py	1	-1.061163056	0.2319373758	-5.019423966e-06	-0.4006345797	0.1002865681	-0.1003207378	0.4005786704	0.5160835293	1.35886321e-05	2024-12-09@15:22	-0.3266666667	0.05559468946	0	-0.2284542142	v2.7.1	
