D	D2	D2_ave	D_ave	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	mu_ave	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	script	t	t_ave	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tp	tp_ave	tpp	tpp_ave	version	
1e-09	0	0.02092214981	-0.07774309244	-0.7924912009	10.5	0.3801922423	0.1810916996	0.3124019477	0.6672153059	0.6672881114	0.3124066043	-0.3149605948	0.6221128019	a248bdd	2x2_2C_8b_C2v_L	2.393333333	0.9507248594	0.2693708541	-0.0003044945173	0.2164146407	0.1482217959	0.1480659742	0.2164894972	-0.0001171019841	-0.0001319697258	recalcules_averages.py	1	-0.7774162468	-0.0001936882595	-0.1222435088	-0.1531729988	0.1820796924	-0.1822144507	0.1530750382	-0.2513285383	-0.3089970763	2024-12-09@16:47	-0.22	0.06852251793	0	-0.0496198744	v2.7.1	
1e-09	0	0.02855008911	-0.07913643115	-0.7775244713	10.1	0.5087331057	0.2434789306	0.354811262	0.7497403521	0.7500390794	0.3548879063	-0.3446895344	0.7333042851	a248bdd	2x2_2C_8b_C2v_L	2.5	0.9653384721	0.3140910306	-0.0003401216017	0.2194163854	0.1779946761	0.1778390305	0.2195252306	-8.983322638e-05	-0.0001163616037	recalcules_averages.py	1	-0.7716855983	-0.0001754356024	-0.1152062381	-0.1443160757	0.1456753642	-0.1458288805	0.1442405237	-0.2473269691	-0.2754709285	2024-12-09@16:47	-0.14	0.04170623521	0	-0.02959880061	v2.7.1	
1e-09	0	0.02930877723	-0.06848625229	-0.7595473706	10.03333333	0.5188155471	0.2534520638	0.3703842585	0.7971983221	0.7977066036	0.3705131694	-0.361362814	0.8481694443	a248bdd	2x2_2C_8b_C2v_L	2.573333333	0.9761959947	0.3097455968	-0.0008187654072	0.2304168291	0.1640205597	0.1638383445	0.2305410858	-7.81751022e-05	-0.0001106893799	recalcules_averages.py	1	-0.7519264562	-0.0003603901325	-0.09930513293	-0.1249130076	0.1460807626	-0.1462566993	0.1248298276	-0.2553240151	-0.2683836575	2024-12-09@16:48	-0.16	0.04763071479	0	-0.02558333277	v2.7.1	
1e-09	0	0.0008177172452	-0.001169156398	-0.7207475416	9.5	1.101416565	0.2779001742	0.5711234966	1.346911839	1.325598028	0.5692980501	-0.4664725364	1.886912098	a248bdd	2x2_2C_8b_C2v_L	2.76	1.003100475	0.3372440173	-0.1634925778	0.2985796306	0.01149421512	0.01112825474	0.298206491	-0.0001066700076	-0.000187426096	recalcules_averages.py	1	-0.7189612959	-6.71045474e-05	-3.632784031e-05	-0.004434793732	0.1561179799	-0.1548241067	0.004269162201	-0.2549714852	-0.255982663	2024-12-09@16:48	-0.08	0.0223280714	0	-0.005966049058	v2.7.1	
1e-09	0	0.02328661857	-0.0405837523	-0.7392848286	9.488888889	0.6471156829	0.4496537216	0.4663224688	1.063965084	1.052429547	0.463646986	-0.4133654405	1.509408637	a248bdd	2x2_2C_8b_C2v_L	2.688888889	0.9962989202	0.3477139631	-0.01761355066	0.2671846158	0.1305364814	0.1303456131	0.2666825035	-0.0001329869862	-0.0001211803255	recalcules_averages.py	1	-0.7370551811	-0.004211861748	-0.07038836961	-0.06925587791	0.1391610403	-0.1381687251	0.0690935371	-0.2520075069	-0.2558633086	2024-12-09@16:48	-0.08666666667	0.02572670148	0	-0.009193160514	v2.7.1	
1e-09	0	0.001373677361	-0.002615252982	-0.7386136864	9.148148148	1.140561215	0.308467188	0.711965709	1.332173227	1.337047455	0.7122170799	-0.5490496642	2.082086749	a248bdd	2x2_2C_8b_C2v_L	2.794814815	1.002802222	0.3842442136	-0.1533910662	0.31989127	0.01792546955	0.01718613704	0.3199478168	0.0001375381051	0.0003168449364	recalcules_averages.py	1	-0.7384990465	-0.0003424873945	-0.0004557188141	-0.008015193359	0.155435177	-0.1557491318	0.007759296374	-0.2407595872	-0.2597737851	2024-12-09@16:49	0.02222222222	-0.005158795284	0	0.001919230129	v2.7.1	
1e-09	0	0.02556926446	-0.07436007736	-0.7787137548	10.23703704	0.4362319926	0.2199171268	0.3376230335	0.7265047223	0.7260961753	0.3375080172	-0.3340417602	0.7067388497	a248bdd	2x2_2C_8b_C2v_L	2.483703704	0.9635905051	0.2843390792	-0.0005820175152	0.2244987558	0.151898101	0.151713402	0.224560454	-0.0001045619069	-0.0001261489246	recalcules_averages.py	1	-0.7660643978	-0.0003216747292	-0.1129472119	-0.1404803437	0.1685137894	-0.1686256599	0.1403646884	-0.2556098853	-0.2917056588	2024-12-09@16:49	-0.2044444444	0.06187185447	0	-0.03890618223	v2.7.1	
1e-09	0	-0.01739815366	0.07499590196	-0.7952073448	10.75802469	0.334241755	0.1471485631	0.6245158411	0.293886588	0.2941761445	0.6270485063	0.5826034039	0.306225921	a248bdd	2x2_2C_8b_C2v_L	2.349135802	0.9442923533	0.2515913558	-0.0001179257419	0.1396494547	-0.2118959164	-0.2120729451	0.1396619341	-2.429688687e-05	0.2519534472	recalcules_averages.py	1	-0.7756943099	7.767819422e-05	0.1226370962	-0.1940514815	-0.1560751374	0.156019324	0.1944713217	-0.3218414656	-4.724456611e-06	2024-12-09@16:49	-0.2496296296	0.07816794404	0	-0.0577786051	v2.7.1	
1e-09	0	0.03022411619	-0.06550162257	-0.7576290236	9.80617284	0.568936918	-0.308395331	0.3954621042	0.8515799619	0.8461034653	0.3952112801	-0.3782442359	0.9741221625	a248bdd	2x2_2C_8b_C2v_L	2.603950617	0.9816377155	0.3263226808	0.09631213868	0.2363724655	0.1669458503	0.1682928514	0.2355422169	-0.0003757640921	-0.0006040589167	recalcules_averages.py	1	-0.7528037914	-0.002591065237	-0.006717513247	-0.1155790332	0.139518101	-0.1383636712	0.1162036056	-0.2528023749	-0.2622126481	2024-12-09@16:50	-0.1274074074	0.03787246111	0	-0.01948762828	v2.7.1	
1e-09	0	0.02800333973	-0.07380835211	-0.7719766792	10.10843621	-0.2401676741	-0.4860495751	-0.3554211385	-0.7590321676	-0.7604590925	-0.354563631	0.3467889626	-0.7656244676	a248bdd	2x2_2C_8b_C2v_L	2.521399177	0.9688908296	-0.1089740975	0.0006723431662	-0.1359332043	0.1556043475	-0.155995158	-0.1355050984	0.2539853639	0.2799287704	recalcules_averages.py	1	-0.7629505987	-0.001386109089	-0.3011347334	-0.2264314322	-0.1618815031	-0.1612491248	0.2265410513	-8.255750338e-05	-9.149676413e-05	2024-12-09@16:50	-0.1734567901	0.05203647809	0	-0.03169969844	v2.7.1	
