CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
2	Broyden	-66.34432016	-83.2048	-0.6246585478	YY	10	0.1658294039	self-energy	sharp_wc_5_b_50	2.0097	2	1.133584652	-0.1386471312	0.6018394805	-3.299979508	1.806570067	-3.652690595	1.22597083	0.6631442228	0.01246538744	-3.652515995	1.225947576	0.662970937	0.01246398132	0.7281802322	0.0202040602	-2.631744861	1.028641883	a248bdd	2x2_2C_8b_C2v_L	7.21	1.016474184	2	1.504171149	1.016474183605396	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.249212217	2.655552801	1.273426908	-1.217607148	-1.952767083	3.565526024	-0.4553852257	0.3809920553	1.952747418	-3.565557242	-0.4553449704	0.3809766081	0.6131980301	-0.5409829861	-2.457063521	3.73177931	2024-11-25@20:03	2.1394	-0.9780360643	1	7.939104509999999e-17	-0.4396512848	0.2577	4.2683328739999997e-16	0.1772489318	v2.7.1	
3	Broyden	-66.29837251	-82.8848	-0.7206760643	YY	10	0.1700191537	self-energy	sharp_wc_5_b_50	2.0097	2	1.132446133	0.3104157916	0.4040804873	-3.249555742	1.872554853	-3.676420016	1.25849058	0.664684879	0.01408411512	-3.676253874	1.258460666	0.6654395882	0.01408370366	0.8096945566	0.02024128929	-2.635983966	1.041205405	a248bdd	2x2_2C_8b_C2v_L	7.19	1.029199725	2	1.492410594	1.0291997249019762	1.0	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3259677257	-2.39558435	1.29678139	-0.9288758972	-1.957897079	3.505924144	-0.4576332982	0.3893910251	1.957877174	-3.505959475	-0.4577205009	0.389423177	0.6220816736	-0.5386591237	-2.464153309	3.72206269	2024-11-25@20:05	2.1394	-0.9936798304	1	4.90587196e-16	-0.4354886737	0.2577	1.978464301e-17	0.1756498081	v2.7.1	
2	Broyden	-65.97472335	-82.5648	-0.6890196948	YY	10	0.1650435222	self-energy	sharp_wc_5_b_50	2.0097	2	1.131507097	-0.1334371484	0.6252161347	-3.250204758	1.797416097	-3.624818601	1.223635825	0.6751437675	0.01266704451	-3.624821373	1.223637979	0.6754013998	0.01266811365	0.7443425693	0.02057606336	-2.597619334	1.026867126	a248bdd	2x2_2C_8b_C2v_L	7.17	1.014328904	2	1.499952849	1.0143289038804943	1.0	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.2454104085	2.674922754	1.270357778	-1.255987789	-1.952852858	3.570092144	-0.4584615597	0.3841122345	1.95283659	-3.570081571	-0.4584979217	0.3841313282	0.6172766823	-0.5462024261	-2.456589934	3.732474909	2024-11-25@20:07	2.1394	-0.9852423317	1	3.592576606e-16	-0.4416907172	0.2577	1.5700049529999998e-16	0.1779399214	v2.7.1	
3	Broyden	-66.04004919	-82.2448	-0.7797136172	YY	10	0.1693576313	self-energy	sharp_wc_5_b_50	2.0097	2	1.130520544	0.304224737	0.4258605041	-3.269336096	1.868729672	-3.637464624	1.254436127	0.6710157171	0.01394328339	-3.636846644	1.254358994	0.6709523685	0.01393881353	0.8295757397	0.02056715487	-2.601430305	1.039665545	a248bdd	2x2_2C_8b_C2v_L	7.15	1.027124977	2	1.488554708	1.0271249764531374	0.9999999999999996	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3298128096	-2.447303785	1.300706883	-0.9524071669	-1.955934175	3.514347393	-0.4582634462	0.3898675718	1.955812708	-3.514448762	-0.4581907314	0.389839931	0.6258696147	-0.5432594369	-2.46422012	3.722972454	2024-11-25@20:09	2.1394	-1.000226689	1	1.0354488909999999e-16	-0.4373971721	0.2577	-2.0508002949999998e-16	0.1760592683	v2.7.1	
2	Broyden	-65.63021398	-81.9248	-0.7526764514	YY	10	0.1642716023	self-energy	sharp_wc_5_b_50	2.0097	2	1.129437379	-0.1280798095	0.6484183744	-3.222620751	1.789850435	-3.591463127	1.220674082	0.6766772223	0.01276945201	-3.591211462	1.220650224	0.6762780673	0.01276765135	0.7556222402	0.02093926706	-2.563434799	1.025184028	a248bdd	2x2_2C_8b_C2v_L	7.13	1.012186622	2	1.49577587	1.0121866216082531	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.2443812807	2.698067674	1.269047621	-1.290787638	-1.951758451	3.575602314	-0.4595300337	0.386218634	1.951691501	-3.57562613	-0.4594498608	0.3861929777	0.6207403026	-0.5512470721	-2.455903259	3.733122269	2024-11-25@20:10	2.1394	-0.9923520525	1	1.30552333e-16	-0.443700134	0.2577	4.872853768e-16	0.1785629181	v2.7.1	
3	Broyden	-65.75698575	-81.6048	-0.8373966666	YY	10	0.1687206187	self-energy	sharp_wc_5_b_50	2.0097	2	1.128637122	0.3111024513	0.4430575197	-3.257975155	1.865338516	-3.608302182	1.25194757	0.675471874	0.01400316284	-3.608215947	1.251940596	0.6753740454	0.0140028112	0.8469495678	0.02087703674	-2.566457648	1.038109384	a248bdd	2x2_2C_8b_C2v_L	7.11	1.025180851	2	1.484702682	1.025180850847555	1.0	new_boucle_param.py	R0:N10:S0:1	uncorrelated	0.3352520806	-2.486173057	1.300870909	-0.9722449886	-1.955718099	3.520285539	-0.4604471847	0.3917773707	1.95568989	-3.520291223	-0.4604260458	0.3917725402	0.629055281	-0.5475891363	-2.463874671	3.723870685	2024-11-25@20:12	2.1394	-1.006629935	1	-9.492900481999999e-17	-0.4392217757	0.2577	-1.534025675e-16	0.1763741271	v2.7.1	
4	Broyden	-65.59622982	-81.2848	-0.8656998826	YY	10	0.1684857316	self-energy	sharp_wc_5_b_50	2.0097	2	1.127743078	0.3240128724	0.4476143913	-3.244592079	1.86459387	-3.594044121	1.2514097	0.6775248057	0.014094746	-3.595477461	1.25161568	0.6767542667	0.01410803744	0.8458942169	0.02098234681	-2.547474901	1.037521499	a248bdd	2x2_2C_8b_C2v_L	7.09	1.024514932	2	1.482674781	1.0245149321412264	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-0.3387285853	2.497354434	1.300257595	-0.9772439928	-1.955595485	3.521761948	-0.4616394018	0.3931048736	1.955794326	-3.521470011	-0.4617161434	0.3931650007	0.6288941757	-0.5490173969	-2.462954333	3.724115378	2024-11-25@20:14	2.1394	-1.009852774	1	5.079081614e-16	-0.4399820476	0.2577	-2.591268843e-17	0.1764423019	v2.7.1	
2	Broyden	-84.3632281	-92.6448	-0.008572691248	YY	10	0.1908538871	self-energy	sharp_wc_5_b_50	2.0097	2	1.158052289	36.4010133	1.113191769e-13	43.91274382	7.854488279000001e-14	0.5806270855	0.007261877395	-4.099353793	1.298500788	-3.737917937	1.273962202	-10.95216769	1.999999005	0.6457552113	0.01462187899	-3.160405045	1.091069925	a248bdd	2x2_2C_8b_C2v_L	7.8	1.078646081	2	1.534112641	1.07864608061899	1.0000000000000002	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-5.000054123e-06	1.762596195e-06	-4.999988012e-06	1.481630757e-06	-0.4118515637	0.2959743899	1.959035603	-3.487961618	1.864626708	-3.532389214	0.005691320822	-0.004256864647	-0.5577101672	0.450039969	-2.469552046	3.695898988	2024-11-26@08:08	2.1394	-0.9219897683	1	2.048817537e-16	-0.4002878179	0.2577	1.1388227649999998e-16	0.1652987132	v2.7.1	
2	Broyden	-84.20366463	-92.3248	-0.0495209396	YY	10	0.1907615204	self-energy	sharp_wc_5_b_50	2.0097	2	1.156985634	36.4010133	1.114148078e-13	43.91274382	7.860024084e-14	0.587616932	0.007335857717	-4.07682476	1.298143504	-3.716810322	1.273898785	-10.95216761	1.999999165	0.6572152323	0.01474204834	-3.149596154	1.09179099	a248bdd	2x2_2C_8b_C2v_L	7.78	1.078522412	2	1.531036432	1.0785224123870134	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-5.000054123e-06	1.763265357e-06	-4.999988012e-06	1.482080246e-06	-0.4129898609	0.2974881282	1.957372951	-3.487968882	1.862956185	-3.532187152	0.005221418431	-0.003899613085	-0.5602670904	0.4517305699	-2.47092956	3.695289985	2024-11-26@08:13	2.1394	-0.9270632571	1	3.6313313949999996e-16	-0.4010512685	0.2577	1.8386340049999998e-16	0.165732989	v2.7.1	
2	Broyden	-84.09182826	-92.0048	-0.08635781694	YY	10	0.1904508514	self-energy	sharp_wc_5_b_50	2.0097	2	1.155975806	36.4010133	1.114830279e-13	43.91274382	7.863851227000001e-14	0.5887319023	0.007361618866	-4.070538535	1.299155782	-3.711534463	1.275235953	-10.95216759	1.99999921	0.6640960407	0.01482838509	-3.132227136	1.091336096	a248bdd	2x2_2C_8b_C2v_L	7.76	1.078020739	2	1.528332823	1.0780207386706002	0.9999999999999998	new_boucle_param.py	R0:N10:S0:1	uncorrelated	-5.000054123e-06	1.763651439e-06	-4.999988012e-06	1.482311802e-06	-0.4136423689	0.2978718449	1.958607694	-3.486658602	1.864246019	-3.530680433	0.005083604016	-0.003795464834	-0.5611315239	0.4530698956	-2.470641919	3.695306171	2024-11-26@08:17	2.1394	-0.9315030443	1	5.008204919e-17	-0.4019100617	0.2577	-1.311435912e-16	0.1661511755	v2.7.1	
