CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
1	Broyden	-100.6420684	-160.5648	3.735661832	YY	11	0.3891514524	self-energy	sharp_wc_2_b_50	2.0097	2	1.268245403	-0.1194903727	1.979765797	-4.950683814	1.966902619	-5.663667577	1.851969604	0.1318713086	0.6535119925	-5.661267883	1.851853993	0.1314506478	0.654144209	0.1560382235	0.01124962577	-5.659149007	1.496839253	a248bdd	2x2_2C_8b_C2v_L	12.045	1.383440727	2	1.715032262	1.3834407265395816	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1379562942	0.2285637807	1.125105992	-0.3782670429	-1.711531543	1.131348388	0.1692220523	-2.367031549	1.711174062	-1.131906966	-0.1690018034	2.367565045	0.2154695656	-0.1997195525	-2.261544785	2.959360293	2024-08-08@12:10	2.1394	-0.536051332	1	-2.923530926e-17	-0.1753554994	0.2577	-3.159696419e-16	0.07222174343	v2.7.1	
1	Broyden	-100.260299	-156.5648	3.474352363	YY	11	0.3478815189	self-energy	sharp_wc_2_b_50	2.0097	2	1.263808294	-0.08688889082	1.980402092	-4.925713657	1.962166539	-5.846513846	1.842903076	0.1765066091	0.7373898523	-5.846136871	1.842777347	0.1762640844	0.7387314527	0.2032728932	0.01213549022	-5.763759421	1.517999897	a248bdd	2x2_2C_8b_C2v_L	11.795	1.341373563	2	1.686915011	1.3413735630497472	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1306591212	0.2375337006	1.134889908	-0.4382247211	-1.758181145	1.23143047	-0.1789987817	2.285152341	1.758101363	-1.232246662	0.17905004	-2.286441156	0.2289013159	-0.2105390173	-2.315454777	2.886349062	2024-08-08@12:10	2.1394	-0.5711905924	1	-3.9991864e-17	-0.1791298654	0.2577	2.965389603e-17	0.07519186544	v2.7.1	
1	Broyden	-100.6275778	-160.4848	3.730770951	YY	11	0.3882498665	self-energy	sharp_wc_2_b_50	2.0097	2	1.268161386	-0.1183025469	1.979651887	-4.946548592	1.966778034	-5.665574338	1.851707562	0.132528208	0.6554982668	-5.663950703	1.851647418	0.1323664323	0.6558153321	0.1571606803	0.01136480733	-5.664608312	1.497457737	a248bdd	2x2_2C_8b_C2v_L	12.04	1.382519739	2	1.714522242	1.3825197387803438	1.0000000000000002	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1377782928	0.2291665322	1.124915195	-0.379684423	-1.712155722	1.133773677	0.1694621034	-2.366125305	1.711899699	-1.134056141	-0.1693972468	2.366413923	0.2160450556	-0.2003404928	-2.263231087	2.957452647	2024-08-08@12:12	2.1394	-0.5366982148	1	2.579186194e-17	-0.175445788	0.2577	-1.7113130979999998e-17	0.07227135246	v2.7.1	
3	Broyden	-100.2308813	-156.4848	3.468257517	YY	11	0.3472336603	self-energy	sharp_wc_2_b_50	2.0097	2	1.263705363	-0.08476458098	1.980567809	-4.91051142	1.96204051	-5.85368267	1.842888478	0.177865903	0.738386737	-5.84955264	1.842682601	0.1773202482	0.7401115735	0.2050084536	0.01209281779	-5.767513302	1.518402302	a248bdd	2x2_2C_8b_C2v_L	11.79	1.340706793	2	1.686272184	1.3407067929804917	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1299158276	0.2365429926	1.133670996	-0.4393854226	-1.759739939	1.232482467	-0.179380502	2.283820858	1.759023328	-1.233597879	0.1792338074	-2.285220447	0.2292391057	-0.2105472861	-2.316955039	2.885193681	2024-08-08@12:13	2.1394	-0.5720182604	1	7.061617402999999e-17	-0.1792071658	0.2577	-1.540893473e-16	0.07528212424	v2.7.1	
1	Broyden	-100.6417985	-160.4048	3.725506045	YY	11	0.3874003095	self-energy	sharp_wc_2_b_50	2.0097	2	1.268071795	-0.1181052114	1.979639085	-4.947440797	1.966693474	-5.674751988	1.851633235	0.133710617	0.6571624493	-5.669886819	1.851523679	0.1334982904	0.6574071531	0.1579908581	0.01138863804	-5.667821537	1.497943739	a248bdd	2x2_2C_8b_C2v_L	12.035	1.381652137	2	1.713990561	1.3816521367874717	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1378344605	0.2295676671	1.125207461	-0.3808177668	-1.71387879	1.135447036	0.1699119307	-2.365733661	1.71314344	-1.135846817	-0.1697731775	2.365780027	0.2164082761	-0.2006111923	-2.264486605	2.955894303	2024-08-08@12:13	2.1394	-0.5373935289	1	1.96125096e-16	-0.1755470754	0.2577	4.522835906e-16	0.07232539302	v2.7.1	
1	Broyden	-100.6259204	-160.3248	3.720817009	YY	11	0.386337171	self-energy	sharp_wc_2_b_50	2.0097	2	1.26799203	-0.1179009015	1.979539083	-4.954837313	1.966578608	-5.671667428	1.851157744	0.1339082718	0.6596249864	-5.671451616	1.851129199	0.1337090496	0.6598916005	0.1579923343	0.01145885403	-5.666974108	1.498316825	a248bdd	2x2_2C_8b_C2v_L	12.03	1.380575775	2	1.713454665	1.3805757748119936	0.9999999999999998	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1378332165	0.2304599946	1.12619399	-0.3823860484	-1.713782251	1.13899542	0.1698482562	-2.363364774	1.713723352	-1.139154231	-0.1697537943	2.363606889	0.216393043	-0.2008704765	-2.264902203	2.954207026	2024-08-08@12:15	2.1394	-0.5380250689	1	6.257674357999999e-16	-0.1756094412	0.2577	5.709273518999999e-17	0.0723671992	v2.7.1	
2	Broyden	-100.344885	-156.4048	3.460665305	YY	11	0.3466075495	self-energy	sharp_wc_2_b_50	2.0097	2	1.263581274	-0.08854471235	1.980565388	-4.955004483	1.962208921	-5.85911627	1.842835669	0.1796842092	0.7402567557	-5.861018287	1.842888195	0.1796111259	0.7401125099	0.2065645139	0.0119820154	-5.771006515	1.518874074	a248bdd	2x2_2C_8b_C2v_L	11.785	1.340069118	2	1.685482321	1.340069117719687	1.0000000000000004	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1315478982	0.2381010234	1.13826366	-0.4390109624	-1.760941094	1.233723451	-0.1797681112	2.284019422	1.761188309	-1.233483304	0.179686744	-2.28387678	0.2295254441	-0.210539189	-2.318375996	2.883825278	2024-08-08@12:15	2.1394	-0.5730612952	1	-6.605211408999999e-16	-0.1792870324	0.2577	2.2186076149999999e-16	0.07539845484	v2.7.1	
3	Broyden	-100.6900526	-161.2048	3.773778263	YY	11	0.3974027164	self-energy	sharp_wc_2_b_50	2.0097	2	1.268895769	-4.933101287	1.967870777	-0.1209293866	1.980247689	-5.637784351	1.854538178	0.1281731509	0.635472767	-5.638040138	1.854483474	0.1279156204	0.6360008787	0.1539164127	0.01085203724	-5.649045553	1.493257086	a248bdd	2x2_2C_8b_C2v_L	12.085	1.391819278	2	1.71921279	1.39181927834876	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	1.121657488	-0.3660589766	0.1381551313	-0.2230645173	-1.704864525	1.107934991	0.1681845754	-2.378651124	1.704892104	-1.108283531	-0.1681043143	2.379277903	0.2143904423	-0.1976456574	-2.254696487	2.973227573	2024-08-08@12:15	2.1394	-0.5309609712	1	4.199968974e-16	-0.1747541746	0.2577	-2.773489849e-16	0.07186005816	v2.7.1	
1	Broyden	-100.6181841	-160.2448	3.715677584	YY	11	0.385549368	self-energy	sharp_wc_2_b_50	2.0097	2	1.267904204	-0.1173106536	1.979551055	-4.947477508	1.966473654	-5.682489889	1.851189222	0.1352691413	0.6606432113	-5.675328737	1.850934051	0.1346483074	0.6619701188	0.1586349463	0.01148420768	-5.668291947	1.498677873	a248bdd	2x2_2C_8b_C2v_L	12.025	1.379769152	2	1.712941274	1.379769151727939	0.9999999999999996	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1377023089	0.2305603599	1.125592278	-0.383561072	-1.715748947	1.140083997	0.1703748075	-2.362539647	1.714623367	-1.14127779	-0.1701412943	2.363742238	0.2167025133	-0.2011042286	-2.265789442	2.952965193	2024-08-08@12:16	2.1394	-0.5387020639	1	5.057689784e-17	-0.1757120271	0.2577	-3.0384748589999997e-16	0.07242273424	v2.7.1	
1	Broyden	-97.92582652	-160.6448	3.747565145	YY	11	0.3886324159	self-energy	sharp_wc_2_b_50	2.0097	2	1.268437005	-0.02604685517	1.969085519	-3.962726588	1.960179534	-5.561255576	1.846968359	0.1147100881	0.6698038841	-5.569770778	1.848680965	0.1191123223	0.655610689	0.1428281138	0.02367891758	-5.580969353	1.49411805	a248bdd	2x2_2C_8b_C2v_L	12.05	1.382968521	2	1.715564616	1.3829685205556324	1.0000000000000002	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.09713762141	0.2041670907	-1.034535463	0.4143697387	-1.695842702	1.156268888	0.1614013716	-2.352663279	1.697122485	-1.146160372	0.1623132154	-2.336734282	0.2078595726	-0.2122650319	-2.245078752	2.958225353	2024-08-08@12:16	2.1394	-0.5345925355	1	2.87884903e-16	-0.1748511042	0.2577	2.1181445929999998e-16	0.07205629197	v2.7.1	
2	Broyden	-100.2159528	-156.3248	3.456238648	YY	11	0.3457891696	self-energy	sharp_wc_2_b_50	2.0097	2	1.263504343	-0.08288754539	1.980729239	-4.908216942	1.961878308	-5.861930185	1.842628171	0.1798067614	0.7415849231	-5.858409141	1.842478746	0.1794910189	0.7426045967	0.2076923578	0.01204787707	-5.770912413	1.519120907	a248bdd	2x2_2C_8b_C2v_L	11.78	1.339231808	2	1.684946601	1.3392318079962535	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	-0.1293899041	0.2360710158	1.134078666	-0.4414523214	-1.76179626	1.235807138	-0.1797065025	2.280250365	1.761251103	-1.236572295	0.1795959173	-2.2810255	0.2297389081	-0.2107192235	-2.319128322	2.882742621	2024-08-08@12:17	2.1394	-0.5736712489	1	1.6279907509999997e-16	-0.1793202264	0.2577	-1.824917009e-16	0.07546514535	v2.7.1	
3	Broyden	-100.6172671	-161.4448	3.789432848	YY	11	0.4001487867	self-energy	sharp_wc_2_b_50	2.0097	2	1.269161302	-0.1197449595	1.980429638	-4.911860591	1.968075436	-5.615085248	1.854955123	0.1248202527	0.6301404779	-5.61835115	1.854971608	0.1247943724	0.630418613	0.1522279853	0.01074840745	-5.641188681	1.491790263	a248bdd	2x2_2C_8b_C2v_L	12.1	1.394617608	2	1.72079732	1.3946176082719188	1.0	new_boucle_param.py	R0:N16:S0:1	uncorrelated	0.1372587416	-0.2207043882	1.119147994	-0.3627321634	-1.700447784	1.101906119	-0.1669198011	2.37979804	1.700968632	-1.101983698	-0.1669563974	2.380290095	0.2133781482	-0.1966903816	-2.25142575	2.978163977	2024-08-08@12:17	2.1394	-0.5288940394	1	1.7697821139999997e-16	-0.1744508177	0.2577	-5.978944529999999e-17	0.07170174253	v2.7.1	
