CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
8	Broyden	0	0.006322391467	-63.24765856	-98.5362963	4.191700729	YY	8	0.4318059714	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.176855147	0.02785214295	0.2342754762	2.123794248	0.1032487207	-3.230404698	1.634298045	-0.261194878	1.056865972	-0.2585510221	1.053617011	-3.225201135	1.632797362	-0.2814112892	1.988319231	2.997080801	0.9209258972	a248bdd	2x2_2C_8b_C2v_L	9.14	1.403643507	2	1.614418594	0.999999999830232	1.0000000000000002	0.000603234877	-0.005159837563	1.011418204	-0.5566803029	0.00228550597	0.04906611567	-0.290047014	2.724404776	-0.2888522861	2.723188202	0.002188239454	0.0493382303	0.3653091576	-0.3754681961	2.265893834	-3.713298684	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1470986917	-1.698493709	-0.0002091969256	0.0007176726493	1.674534705	-1.831159316	0.007552807755	-0.1274213255	-0.007553752496	0.1280859962	-1.672903556	1.83618013	0.0001572605621	-0.0009282331363	7.314482172e-05	-2.624232233e-05	2024-09-22@00:38	2.148148148	-0.8296591346	1	-5.629850668e-17	-0.3852925998	0.3888888889	-1.887200427e-16	0.1439616459	v2.7.1	
8	Broyden	0	0.004563796843	-63.292961	-98.6962963	4.208365232	YY	8	0.4328250251	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.177300964	0.02786312537	0.2317774312	2.131095213	0.1022162379	-3.233541569	1.635237784	-0.258989719	1.057028205	-0.2578367035	1.055846159	-3.228476622	1.634473355	-0.2793638641	1.988408763	3.000929644	0.9206767927	a248bdd	2x2_2C_8b_C2v_L	9.15	1.4048739	2	1.615418375	0.9999999998628881	1.0000000000000004	-0.0003253965986	0.002705435908	1.012654775	-0.5525451077	0.001643736437	0.0319199132	-0.2892268772	2.727117954	-0.2886367226	2.726005582	0.001441459714	0.03418117755	0.3640745236	-0.3742649602	2.264689074	-3.71309449	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1467999459	-1.692211936	-1.377419034e-05	-0.0002582295345	1.673928118	-1.826735011	0.004980578634	-0.08381076515	-0.005399595117	0.0895033583	-1.672490831	1.828875567	8.72950014e-05	-0.0005668247639	-0.0001027789352	0.0001721198998	2024-09-22@00:51	2.148148148	-0.8279217444	1	1.736077079e-17	-0.3846913939	0.3888888889	-1.636973857e-16	0.1436845982	v2.7.1	
8	Broyden	0	0.002755927331	-63.33101753	-98.8562963	4.225714438	YY	8	0.4338277308	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.17775665	0.02805462761	0.2290058889	2.128239204	0.1013005048	-3.232921835	1.63572773	-0.2562726371	1.057703214	-0.2562439164	1.057601807	-3.23162881	1.635625091	-0.2784115417	1.988461656	3.005711433	0.9204989106	a248bdd	2x2_2C_8b_C2v_L	9.16	1.406066693	2	1.61648271	0.9999999998000254	0.9999999999999998	0.0006424744306	-0.005502013846	1.011408094	-0.5480501373	0.0008829045199	0.01827869078	-0.2882323711	2.727944585	-0.2881717444	2.727801606	0.0008508364453	0.01773091589	0.3636845456	-0.3737403141	2.263979192	-3.713101225	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1465520452	-1.683997691	6.34547412e-06	-0.0002320433324	1.672371417	-1.823335464	0.00304555042	-0.04924355174	-0.002770743537	0.04639331857	-1.672097272	1.82351716	-0.0001781302166	0.001039098469	-4.560508335e-05	1.269047672e-05	2024-09-22@01:04	2.148148148	-0.826083528	1	-4.480034743e-16	-0.3841068947	0.3888888889	2.632631038e-17	0.1434048024	v2.7.1	
5	Broyden	0	0.008865001552	-63.34552841	-99.0162963	4.249961371	YY	8	0.4342184924	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.17834455	0.02891287414	0.2246784418	2.135803917	0.09986996732	-3.232897196	1.634581268	-0.2519899676	1.064167551	-0.2511832225	1.063865212	-3.228181348	1.634153591	-0.2763312225	1.98859691	3.005293082	0.9210427191	a248bdd	2x2_2C_8b_C2v_L	9.17	1.406588411	2	1.617991334	0.999999999905973	1.0000000000000002	-0.0001445159858	0.001332224403	1.013184873	-0.5424365608	0.003702368146	0.07617237252	-0.2868279284	2.713720911	-0.2864628023	2.712475554	0.003912059312	0.07694916794	0.3623240721	-0.3725902588	2.261535752	-3.713077699	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1466434877	-1.672592825	-0.0002937057993	0.001406275772	1.671107091	-1.826297051	0.01274179682	-0.2050574105	-0.01341125779	0.2117968476	-1.669598827	1.827183182	-0.0001737574239	0.001284998634	-6.835569878e-05	-0.0003410395669	2024-09-22@01:12	2.148148148	-0.8233845349	1	-4.326653096e-16	-0.3834404399	0.3888888889	-1.252476792e-17	0.1430581876	v2.7.1	
7	Broyden	0	0.004022207583	-63.41186168	-99.1762963	4.260980171	YY	8	0.4357151132	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.178678618	0.02890715559	0.2237254233	2.136147757	0.09930655625	-3.237934203	1.637843068	-0.2534757003	1.063948941	-0.2520378222	1.062070449	-3.232568171	1.636813526	-0.2763664314	1.988611139	3.013184903	0.9202759762	a248bdd	2x2_2C_8b_C2v_L	9.18	1.408336098	2	1.618623247	0.9999999998458153	1.0	-6.524662222e-06	-5.316227991e-05	1.012284406	-0.5396631228	0.001320279022	0.02855583421	-0.2872656094	2.72653953	-0.2865238741	2.725418092	0.001501302639	0.02934627487	0.3622187868	-0.3721617189	2.261780103	-3.712926226	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1464615683	-1.670179733	6.24106056e-05	-0.0005843563053	1.671072996	-1.813168499	0.004644819547	-0.07553604477	-0.005098135776	0.0805882183	-1.669646576	1.816326053	-0.000142033331	0.000818153613	-0.0001493398918	0.0001432144085	2024-09-22@01:24	2.148148148	-0.8223520556	1	-2.923101186e-16	-0.3829000387	0.3888888889	9.269138873e-18	0.142848865	v2.7.1	
7	Broyden	0	-0.0005680557645	-63.45987246	-99.3362963	4.278338864	YY	8	0.4366774812	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.17913164	0.02936920391	0.2220784974	2.144557385	0.0980802094	-3.239545867	1.638552765	-0.2510949553	1.064648607	-0.2507508988	1.064241385	-3.23778834	1.638253062	-0.274460261	1.988641575	3.017714718	0.9200781328	a248bdd	2x2_2C_8b_C2v_L	9.19	1.409481877	2	1.619681891	0.9999999998335258	0.9999999999999999	0.005387591203	-0.04402630015	1.013375056	-0.5348765558	7.526352004e-05	-0.0001811806178	-0.2865371521	2.728071818	-0.286351564	2.727503735	-0.0009287728007	-0.00922237996	0.3610788051	-0.3709707642	2.261002436	-3.712886954	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1464267213	-1.662889327	-0.0005464408427	0.002639160724	1.670217879	-1.809289062	0.001241235781	-0.009001090923	0.003271499318	-0.0388554282	-1.669743677	1.810191621	-0.002855577352	0.01769841447	-0.0006584422876	-0.0008473388679	2024-09-22@01:35	2.148148148	-0.8205144696	1	-1.073724765e-16	-0.3823065492	0.3888888889	-1.055356922e-16	0.1425779865	v2.7.1	
5	Broyden	0	0.008227061183	-63.46472484	-99.4962963	4.301929054	YY	8	0.4371446834	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.179702777	0.0298103336	0.2172233043	2.144110525	0.09700675927	-3.237273606	1.63759933	-0.2470548716	1.071681337	-0.2448087515	1.068506833	-3.231121473	1.636245444	-0.2735060294	1.988794055	3.017289476	0.9207477183	a248bdd	2x2_2C_8b_C2v_L	9.2	1.410074342	2	1.621156559	0.9999999998612441	1.0	0.001493072374	-0.01212680515	1.013282722	-0.5300156455	0.003726536147	0.07208125867	-0.2851950492	2.713767869	-0.2842213956	2.713477405	0.003517384093	0.07013122455	0.3604178166	-0.3704022484	2.258867831	-3.713095245	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1465101019	-1.652167293	-4.328869781e-05	3.487684561e-05	1.668215206	-1.811099955	0.0134489264	-0.2036452772	-0.01238400309	0.1933582528	-1.666610124	1.815397379	-0.001020168368	0.006353497986	-0.0003130471922	-0.000213783485	2024-09-22@01:43	2.148148148	-0.8178893904	1	-4.782670248e-16	-0.3816571494	0.3888888889	5.260687941e-17	0.1422491085	v2.7.1	
1	Broyden	0	0.01405172848	-63.46363397	-99.6562963	4.342667739	YY	8	0.4360787506	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.180594903	0.03111528606	0.219043185	2.167585152	0.09423168061	-3.230726174	1.633716474	-0.2366369935	1.089680836	-0.2367395436	1.091296926	-3.229412498	1.628445941	-0.2708707119	1.988038833	3.015672185	0.9220556921	a248bdd	2x2_2C_8b_C2v_L	9.21	1.408930324	2	1.62376715	0.9999999998121428	1.0	-0.0162349684	0.1265415075	1.018451977	-0.5202118075	0.007350065561	0.1405184198	-0.2819709485	2.672422518	-0.281189279	2.6425819	0.01038953995	0.1658579409	0.3591051111	-0.3699930293	2.257059045	-3.7128792	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1467171443	-1.626289016	0.001217962161	-0.005564328012	1.665135539	-1.822451854	0.02465483247	-0.3828372959	-0.04022423093	0.5407226896	-1.663878211	1.844650704	0.01009146594	-0.06477309151	0.00214183594	0.004658661832	2024-09-22@01:47	2.148148148	-0.8131013119	1	3.777337357e-17	-0.3808368762	0.3888888889	3.395848401e-16	0.1417706372	v2.7.1	
1	Broyden	0	0.01453818518	-63.48944743	-99.8162963	4.358462746	YY	8	0.4371422906	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.181018427	0.02981537858	0.207210849	2.170487432	0.09358561411	-3.228902722	1.632537187	-0.2347631952	1.090902996	-0.2343343314	1.089353865	-3.230847137	1.631501928	-0.2686041698	1.989086474	3.016474932	0.9223091925	a248bdd	2x2_2C_8b_C2v_L	9.22	1.41021491	2	1.624702015	0.9999999998765529	1.0	-0.001589332955	0.01258359152	1.01890977	-0.5171257349	0.008666647913	0.1461578871	-0.2807927502	2.662777574	-0.2805664978	2.660919416	0.008340182954	0.1492378186	0.3576030521	-0.3678615198	2.254825854	-3.713256539	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1467622661	-1.624549659	-5.373359965e-05	0.0002915129377	1.662994519	-1.826219184	0.03101849348	-0.4412866871	-0.03183487131	0.4515221746	-1.663858944	1.830780889	0.001284846164	-0.008465133427	0.0002533458495	0.0007772277458	2024-09-22@01:50	2.148148148	-0.8114732232	1	-2.603008659e-16	-0.3802334478	0.3888888889	-5.14554514e-16	0.1415172759	v2.7.1	
5	Broyden	0	0.0073300964	-63.61857884	-99.9762963	4.352751808	YY	8	0.4400843901	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.181031313	0.0294449513	0.210620922	2.160058337	0.09426055113	-3.244797688	1.640649894	-0.2423569846	1.077542208	-0.2419830593	1.077427368	-3.243091487	1.640496753	-0.2702745306	1.988985541	3.034491803	0.9198378888	a248bdd	2x2_2C_8b_C2v_L	9.23	1.413567375	2	1.624231872	0.9999999998022435	1.0000000000000004	0.0003114201766	-0.002601258786	1.014635447	-0.5185863654	0.003252031829	0.06237480846	-0.2835142149	2.716234979	-0.2833297453	2.715773952	0.003323688647	0.06281531987	0.3586879272	-0.3680814846	2.257817358	-3.712829321	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1464648703	-1.634884282	1.578333009e-05	-0.000430967786	1.666455145	-1.796240622	0.01188105284	-0.1772863689	-0.01212053404	0.1798691901	-1.665864755	1.796542086	9.239449711e-05	-0.0007408008729	-5.517065044e-05	0.0002971354602	2024-09-22@01:58	2.148148148	-0.8125420853	1	-3.315227168e-16	-0.3798619331	0.3888888889	-5.270962212e-17	0.1414722587	v2.7.1	
