CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	min_dist	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	opt_method	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1_ave	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1_ave	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
4	Broyden	0	-0.0162662058	-93.68110611	-93.76	31.69694243	YY	20	0.1736534677	self-energy	sharp_wc_5_b_50	10	2	1.22473689	3.674701146	0.0690346839	-0.01592860512	1.773617607	-0.2367619252	1.598154965	-3.924701857	1.74618651	1.59817047	1.74618585	0.3110839917	0.01630284691	-2.905142647	1.411530449	26f4f61	91.26875784	2x2_2C_8b_C2v_L	15.86	1.154900517	2	1.606175854	1.154900517	2	PRAXIS	-1.342081878	0.7644457024	-0.151296177	1.190837658	-0.2903601088	1.167083118	0.01923135702	0.1643395458	-1.167078232	-0.1643361476	-8.494243151e-05	0.0002700740055	-2.053494659e-05	-2.339739884e-05	run_cdmft.py	R0:S0:1	uncorrelated	-3.803025294e-05	6.966225355e-05	-9.01580158e-05	0.000552935031	-0.09185238497	0.6737294036	-2.004531415	1.727626389	0.6737303257	1.727624755	0.4190756476	-0.3536783592	2.519345025	-2.737744034	2025-02-03@20:25	2.1719	-0.658874727	1	1.133172232e-17	-0.2681964722	0.1609	1.560570858e-16	0.1086704106	v2.9.1	
4	Broyden	0	-0.01670000491	-94.06852867	-94.56	31.83802574	YY	20	0.1741283687	self-energy	sharp_wc_5_b_50	10	2	1.227372115	3.714662063	0.06722741955	-0.01253006186	1.785999233	-0.2281289233	1.605325677	-3.966001252	1.75218898	1.605349774	1.752186991	0.3047006535	0.01550123127	-2.944626054	1.423546954	26f4f61	89.75466044	2x2_2C_8b_C2v_L	15.91	1.156241349	2	1.609468949	1.156241349	2	PRAXIS	-1.343659115	0.756790353	-0.1487800577	1.160020602	-0.2820199848	1.145818108	0.01973304063	0.1594933115	-1.14577185	-0.159498702	-2.447638273e-05	6.739439267e-05	-5.241504461e-06	4.770768285e-06	run_cdmft.py	R0:S0:1	uncorrelated	2.530996727e-08	-1.018446766e-05	-9.757220044e-05	0.0006258861788	-0.09793670124	0.6822751862	-2.005715849	1.710714499	0.6822713657	1.710728929	0.4090489488	-0.3445333884	2.521019428	-2.720566215	2025-02-03@20:29	2.1719	-0.6519335273	1	2.511864035e-16	-0.2622352036	0.1609	-2.115272666e-16	0.1064246626	v2.9.1	
4	Broyden	0	-0.01699221482	-94.4592476	-95.36	31.9791811	YY	20	0.1745883957	self-energy	sharp_wc_5_b_50	10	2	1.229996865	3.756114027	0.06553207935	-0.008252096083	1.797556687	-0.2196945567	1.613640706	-4.008264273	1.758106414	1.613567203	1.758113425	0.297571397	0.01469246409	-2.983779906	1.435474344	26f4f61	88.12307091	2x2_2C_8b_C2v_L	15.96	1.157562319	2	1.612757501	1.157562319	2	PRAXIS	-1.345303441	0.7496027	-0.1463613439	1.129782487	-0.2733924333	1.122146021	0.02012384759	0.1544621733	-1.122300244	-0.1544497777	6.57624779e-05	-0.0001667603259	2.109170864e-05	-2.740782111e-05	run_cdmft.py	R0:S0:1	uncorrelated	2.079339288e-05	3.168401989e-06	0.0005132878404	-0.00343640701	-0.1038807882	0.6889049115	-2.007116415	1.693942229	0.6889174242	1.693889191	0.3984434068	-0.3349827088	2.522632056	-2.703356956	2025-02-03@20:34	2.1719	-0.6449506895	1	-3.067969764e-17	-0.2562344881	0.1609	3.188260534e-17	0.1041720229	v2.9.1	
2	Broyden	0	-0.01721144389	-94.84125471	-96.16	32.11442745	YY	20	0.1750321846	self-energy	sharp_wc_5_b_50	10	2	1.232498553	3.799772662	0.0640926131	-0.003105253691	1.806281105	-0.2105418221	1.619115059	-4.049569244	1.763717563	1.619221612	1.763710737	0.2886340156	0.01392594269	-3.02232733	1.446454051	26f4f61	86.29774734	2x2_2C_8b_C2v_L	16.01	1.158811611	2	1.615933888	1.158811611	2	PRAXIS	-1.347065084	0.7438593092	-0.1443040939	1.103734148	-0.2642571073	1.099791746	0.02044150224	0.1496328213	-1.099618902	-0.1496516918	-0.0001930859844	0.0005565000056	-5.65616321e-05	2.598351601e-05	run_cdmft.py	R0:S0:1	uncorrelated	-2.303977687e-05	-7.355929057e-06	-0.001749511635	0.01259834308	-0.1102143747	0.6982089789	-2.008164707	1.677678976	0.6981836316	1.677729132	0.3871378987	-0.3252115007	2.524003811	-2.687405961	2025-02-03@20:37	2.1719	-0.6381952234	1	1.097942749e-16	-0.2504955641	0.1609	6.879350227e-16	0.1020223388	v2.9.1	
4	Broyden	0	-0.01713861593	-95.23357917	-96.96	32.26160824	YY	20	0.1754471429	self-energy	sharp_wc_5_b_50	10	2	1.235216947	3.84776027	0.06252019844	0.002666984376	1.817233192	-0.2034438522	1.633774643	-4.09137848	1.769692671	1.633729026	1.769698148	0.2807475636	0.01312136827	-3.061714705	1.459148823	26f4f61	84.71627971	2x2_2C_8b_C2v_L	16.06	1.160130604	2	1.619283968	1.160130604	2	PRAXIS	-1.349240448	0.7370740229	-0.1425714049	1.074108141	-0.2556395369	1.068327955	0.02050001144	0.1436376609	-1.068442365	-0.143626796	-1.216704277e-05	7.408398924e-05	-4.103840264e-06	-3.253638099e-05	run_cdmft.py	R0:S0:1	uncorrelated	-1.99273902e-06	3.573627375e-05	-0.0008220188459	0.006574641883	-0.1142851948	0.6928942538	-2.009608029	1.660470562	0.6929079629	1.660424118	0.3762658169	-0.315304133	2.525475802	-2.668692051	2025-02-03@20:41	2.1719	-0.6309030914	1	5.213731656e-16	-0.2440741969	0.1609	-8.106197256e-17	0.09964304563	v2.9.1	
4	Broyden	0	-0.01705923449	-95.61465689	-97.76	32.39922475	YY	20	0.1758426365	self-energy	sharp_wc_5_b_50	10	2	1.237737943	3.899130274	0.06138145481	0.01071070445	1.822416813	-0.195423469	1.643666866	-4.132011683	1.775252049	1.643558096	1.775265859	0.2708910612	0.01239153517	-3.100838304	1.470108552	26f4f61	82.6911685	2x2_2C_8b_C2v_L	16.11	1.161331632	2	1.622488663	1.161331631	2	PRAXIS	-1.35132882	0.7328680595	-0.1418438471	1.05518576	-0.2463189783	1.03991783	0.020387185	0.1385966579	-1.040197232	-0.1385664482	-7.712165178e-05	0.0003345739237	-3.898215824e-05	-7.513022635e-05	run_cdmft.py	R0:S0:1	uncorrelated	-2.206103466e-05	0.0001145569306	-0.0003772142752	0.00377769704	-0.1189999178	0.6926876527	-2.010735374	1.643929254	0.6927286441	1.643808919	0.3645124161	-0.3051858174	2.526910218	-2.652526638	2025-02-03@20:46	2.1719	-0.6239526056	1	7.252637753e-16	-0.2381551927	0.1609	-2.835700638e-16	0.09745188176	v2.9.1	
6	Broyden	0	-0.01682953416	-95.98473223	-98.56	32.53211719	YY	20	0.1761737052	self-energy	sharp_wc_5_b_50	10	2	1.240151797	3.961349661	0.06067623202	0.02170234331	1.820466534	-0.186769749	1.651697322	-4.171703084	1.780688091	1.651586049	1.780709841	0.25749915	0.01179485078	-3.139738568	1.480008361	26f4f61	80.2251636	2x2_2C_8b_C2v_L	16.16	1.162411364	2	1.625605892	1.162411364	2	PRAXIS	-1.354055607	0.7315311225	-0.1429173728	1.049449032	-0.2371379163	1.013268648	0.02003820432	0.1332096341	-1.013639325	-0.1331917606	-0.0001674841679	0.0006948442675	-1.325341265e-05	-0.0001655246082	run_cdmft.py	R0:S0:1	uncorrelated	3.533753516e-05	6.715568055e-05	-0.0001362429895	0.002391382887	-0.1220896154	0.6885211514	-2.011797394	1.627136583	0.6885677131	1.626947064	0.3523025457	-0.2953507625	2.52800974	-2.637569175	2025-02-03@20:53	2.1719	-0.617128607	1	3.532015663e-16	-0.2324821473	0.1609	2.177011724e-17	0.09536890109	v2.9.1	
16	Broyden	0	-0.01681843139	-96.57709625	-99.36	32.82368951	YY	20	0.1769692289	self-energy	sharp_wc_5_b_50	10	2	1.245764629	4.357520699	0.04331496988	0.1488416968	0.01191674074	-0.1880861246	1.701181435	-4.26095815	1.787499295	1.700555344	1.787554043	0.2905679089	0.01779372711	-3.165280034	1.526932154	26f4f61	79.06830721	2x2_2C_8b_C2v_L	16.21	1.165855024	2	1.630574367	1.165855024	2	PRAXIS	-1.373050273	0.6276490555	-0.2121294311	0.1999042831	-0.2039146854	0.8834125303	0.02302710526	0.1293658932	-0.8846429081	-0.1292357108	-0.000553778313	0.00180866629	-6.781660538e-05	-0.0005229327358	run_cdmft.py	R0:S0:1	uncorrelated	0.0001562991159	0.0002699660389	-0.0004928321698	0.005679504331	-0.1679478775	0.7495808633	-2.016763592	1.622889564	0.7500490535	1.622329198	0.3238698611	-0.2856738171	2.531682921	-2.560409181	2025-02-03@21:06	2.1719	-0.6049960741	1	9.453557917e-16	-0.2167972874	0.1609	2.048867972e-16	0.08932136009	v2.9.1	
6	Broyden	0	-0.01648290183	-97.0167808	-100.16	32.96299879	YY	20	0.1772991074	self-energy	sharp_wc_5_b_50	10	2	1.248269715	4.438038478	0.04308528416	0.1628618106	0.0121323862	-0.182173787	1.709842726	-4.310109988	1.793366189	1.709839172	1.793374574	0.2757347131	0.01708954961	-3.202401834	1.537027207	26f4f61	74.55169614	2x2_2C_8b_C2v_L	16.26	1.166948762	2	1.633831255	1.166948762	2	PRAXIS	-1.378124386	0.6277276084	-0.2196045577	0.205164526	-0.1920453713	0.8489126291	0.02219534947	0.1255744107	-0.8490006289	-0.1255765655	-0.0003816918216	0.0008924145457	-9.849830237e-05	5.536253263e-05	run_cdmft.py	R0:S0:1	uncorrelated	1.117021195e-05	-2.533227321e-05	5.918537545e-05	-0.0003750489744	-0.1738604124	0.7449609009	-2.01877104	1.604160753	0.7449628583	1.604093627	0.3086988694	-0.2740433989	2.532335459	-2.545022604	2025-02-03@21:11	2.1719	-0.5977952985	1	5.941630031e-17	-0.2106928693	0.1609	-1.409881799e-16	0.08709501514	v2.9.1	
6	Broyden	0	-0.01616410858	-97.47306221	-100.96	33.10701618	YY	20	0.1776386553	self-energy	sharp_wc_5_b_50	10	2	1.250845396	4.522392869	0.04279157112	0.1797798017	0.01210814059	-0.1795081219	1.721554237	-4.359987807	1.799177203	1.721520902	1.799179666	0.263132494	0.01604229725	-3.239765374	1.547089787	26f4f61	69.9015339	2x2_2C_8b_C2v_L	16.31	1.168056251	2	1.637222642	1.168056251	2	PRAXIS	-1.383402594	0.6272082801	-0.2276369207	0.2099042259	-0.1792762164	0.8094479101	0.02125848952	0.1232870188	-0.8094985253	-0.1232803199	-1.384098491e-05	6.27853756e-05	-1.14439237e-05	-1.404781122e-05	run_cdmft.py	R0:S0:1	uncorrelated	5.307923846e-05	-5.216226571e-05	-6.045282015e-05	0.0005012765631	-0.181168647	0.7375012399	-2.02064524	1.585664702	0.7375266756	1.585639013	0.2928029139	-0.2610679307	2.533178182	-2.529949433	2025-02-03@21:17	2.1719	-0.5902929976	1	6.290357331e-16	-0.2043724777	0.1609	4.003606793e-17	0.08482252493	v2.9.1	
