CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version
19	Broyden	-105.4238085	-154.6448	3.53425612	YY	11	0.2348220622	self-energy	sharp_wc_2_b_50	2.0097	2	1.264737082	0.3776258504	0.006003824038	-6.059658608	1.956110244	-6.744325414	1.810019967	0.5879317	0.009774539305	-5.252651002	1.761336533	-1.001162935	2	0.5370226671	0.002808082684	-6.224429034	1.542786997	a248bdd	2x2_2C_8b_C2v_L	11.675	1.227789954	2	1.668083463	1.2277899533793994	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1306805574	-0.344222945	1.28323981	-0.5495473734	-1.912790925	1.535225571	-0.2092158855	0.3562665495	1.669305754	-1.735349312	-1.325840238e-05	4.88257053e-05	0.2644026265	-0.1815471154	-2.437590942	2.791235236	2024-08-08@14:04	2.1394	-0.5670544175	1	4.89769967e-16	-0.1690954659	0.2577	1.724545001e-16	0.07215733743	v2.7.1	
19	Broyden	-105.4238085	-154.6448	3.53425612	YY	11	0.2348220622	self-energy	sharp_wc_2_b_50	2.0097	2	1.264737082	0.3776258504	0.006003824038	-6.059658608	1.956110244	-6.744325414	1.810019967	0.5879317	0.009774539305	-5.252651002	1.761336533	-1.001162935	2	0.5370226671	0.002808082684	-6.224429034	1.542786997	a248bdd	2x2_2C_8b_C2v_L	11.675	1.227789954	2	1.668083463	1.2277899533793994	1.0	new_boucle_param.py	R0:N14:S0:1	uncorrelated	0.1306805574	-0.344222945	1.28323981	-0.5495473734	-1.912790925	1.535225571	-0.2092158855	0.3562665495	1.669305754	-1.735349312	-1.325840238e-05	4.88257053e-05	0.2644026265	-0.1815471154	-2.437590942	2.791235236	2024-08-08@14:04	2.1394	-0.5670544175	1	4.89769967e-16	-0.1690954659	0.2577	1.724545001e-16	0.07215733743	v2.7.1	
