CDMFT_iterations	CDMFT_method	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	opt_method	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1_ave	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1_ave	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
# 5	Broyden	-79.7625948	-57.76	24.73514864	YY	20	0.153692221	self-energy	sharp_wc_10_b_50	10	2	1.081721909	2.326617872	0.1912771828	0.3749774481	0.6145455083	-0.7996679997	1.975382701	-2.315528167	1.137727697	1.975382779	1.137727613	0.8789670926	0.054481243	-1.095730904	0.8693148271	bce2d27	2x2_2C_8b_C2v_L	13.61	1.082062296	2	1.444542847	1.082062296	2	Nelder-Mead	-1.337799486	1.187180759	0.0005528469809	-0.001795295945	-0.6105656695	0.530725949	0.0002285941776	0.0001956078914	-0.5307257762	-8.99611369e-05	-0.001612913586	0.002352596741	-0.0006102635071	0.0005247249045	run_cdmft.py	R0:S0:1	uncorrelated	0.000454295726	-0.0006299554183	0.4370301239	-2.295214119	-0.0005000409968	0.001811025148	-1.981027826	3.181175941	0.001719527602	3.181176119	0.896341011	-0.8592271576	2.412529421	-3.266117112	2025-01-23@18:34	2.1719	-0.9613319292	1	1.595945598e-16	-0.5154139506	0.1609	1.45716772e-16	0.1936682641	v2.8.0	
# 3	Broyden	-80.33479132	-59.36	24.97897648	YY	20	0.1541442293	self-energy	sharp_wc_10_b_50	10	2	1.086964348	2.375944287	0.1817351711	0.3543450171	0.5717817424	-0.7655994873	1.976110228	-2.400588172	1.149410324	1.976110261	1.149410285	0.8452257066	0.05161497013	-1.186468253	0.8766295391	bce2d27	2x2_2C_8b_C2v_L	13.71	1.083779198	2	1.45200452	1.083779198	2	Nelder-Mead	-1.341359214	1.146170663	0.0007697175366	-0.002343095392	-0.6005690012	0.5191158946	4.509705216e-05	0.0001600089252	-0.5191158238	-0.0001227211131	0.003555262429	-0.005371650775	0.001496253503	-0.001317373934	run_cdmft.py	R0:S0:1	uncorrelated	0.0006819911287	-0.001088614598	0.4222470178	-2.237125349	-0.0001413112617	0.0006365071207	-1.984805194	3.167334349	0.000562819336	3.167334437	0.881121946	-0.8354139268	2.419820672	-3.269121598	2025-01-23@19:19	2.1719	-0.9503748799	1	1.040834086e-16	-0.5104051983	0.1609	2.775557562e-17	0.19394914	v2.8.0	
# 3	Broyden	-80.95778277	-60.96	25.23156665	YY	20	0.1546082141	self-energy	sharp_wc_10_b_50	10	2	1.092327119	2.429004005	0.1731693793	0.3263003777	0.5324001007	-0.7459847751	1.976889308	-2.482304871	1.16011943	1.976889241	1.160119477	0.8190337491	0.04884148868	-1.275381636	0.8835780713	bce2d27	2x2_2C_8b_C2v_L	13.81	1.085472722	2	1.459793495	1.085472722	2	Nelder-Mead	-1.344851457	1.109247636	-0.001042367042	0.00382419572	-0.5913466156	0.5076199034	4.351039034e-05	-0.0003959739797	-0.5076200409	-0.0003873136986	-0.000477220161	0.0007904806145	-8.532907388e-05	-1.644456556e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.0004114623637	-0.0001128585118	0.4058601745	-2.177522689	-6.52527071e-05	-7.664397205e-05	-1.988527676	3.154059054	0.000579652364	3.154058953	0.8664166487	-0.8120297377	2.426736021	-3.271906517	2025-01-23@19:24	2.1719	-0.9386734246	1	3.60822483e-16	-0.5052564372	0.1609	8.326672685e-17	0.1939855127	v2.8.0	
# 3	Broyden	-81.57902083	-62.56	25.49714416	YY	20	0.1551087636	self-energy	sharp_wc_10_b_50	10	2	1.097934208	2.483527295	0.1622759175	0.3104776316	0.4862055382	-0.7253120472	1.977564949	-2.564256288	1.172437233	1.97756485	1.172437333	0.7914373577	0.04617931586	-1.36355669	0.8908189871	bce2d27	2x2_2C_8b_C2v_L	13.91	1.087331951	2	1.467767398	1.087331951	2	Nelder-Mead	-1.348816025	1.064917335	-0.0004141276553	0.001514417549	-0.5819153632	0.4965601139	2.415031091e-05	5.150035352e-05	-0.4965603533	-0.000442687667	-3.690537945e-05	7.252938162e-05	1.61739939e-05	-3.830125882e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.0001119910662	-0.0001774993813	0.392018675	-2.106331424	-0.0001142157853	0.0004794708968	-1.992272806	3.138137061	0.0008259212444	3.138136821	0.8512843569	-0.7887663149	2.433512275	-3.27400122	2025-01-23@19:29	2.1719	-0.9263046939	1	9.714451465e-17	-0.4995933167	0.1609	1.734723476e-17	0.1935391478	v2.8.0	
# 3	Broyden	-82.20473318	-64.16	25.77482312	YY	20	0.1555954685	self-energy	sharp_wc_10_b_50	10	2	1.103728516	2.533628213	0.1515008801	0.297677431	0.4387455388	-0.705912851	1.978122551	-2.645675258	1.185166697	1.978122553	1.185166694	0.7545782335	0.04363696463	-1.452261948	0.8981531116	bce2d27	2x2_2C_8b_C2v_L	14.01	1.089219278	2	1.476065397	1.089219278	2	Nelder-Mead	-1.352400686	1.021031813	1.591102935e-05	-6.403240248e-05	-0.5728284783	0.4863882789	-2.485010856e-05	0.0002107392217	-0.4863882722	-0.0001906682116	0.0003006125527	-0.0005176219972	0.0001472888083	-0.0001214062826	run_cdmft.py	R0:S0:1	uncorrelated	-2.254240674e-06	2.830137893e-05	0.3778321267	-2.025244927	-2.041095687e-05	0.0002579164067	-1.995903886	3.120716755	0.0002368200106	3.120716762	0.8349494692	-0.7657439684	2.439802135	-3.275557084	2025-01-23@19:35	2.1719	-0.9130515392	1	2.636779683e-16	-0.4936282921	0.1609	4.857225733e-17	0.1927127024	v2.8.0	
# 3	Broyden	-82.8350057	-65.76	26.06453458	YY	20	0.1560576634	self-energy	sharp_wc_10_b_50	10	2	1.109679809	2.58451607	0.1419350543	0.2784773528	0.3944532777	-0.6881796033	1.978665344	-2.725974427	1.19721382	1.97866518	1.197213981	0.7200017577	0.04128012135	-1.539885745	0.9049606168	bce2d27	2x2_2C_8b_C2v_L	14.11	1.091036118	2	1.48482626	1.091036118	2	Nelder-Mead	-1.35570427	0.9817522903	-0.0003456859039	0.001209930532	-0.5638744344	0.4766487355	-1.541216071e-05	0.0002484975978	-0.476649144	-0.0006904864512	-0.000141216901	0.0002621695371	-6.824361446e-05	4.523927486e-05	run_cdmft.py	R0:S0:1	uncorrelated	-3.841854952e-05	-0.0002753600734	0.3619758513	-1.940154666	-7.642031818e-05	0.0005467520646	-1.999344187	3.103484518	0.0009978907972	3.103484098	0.8194978774	-0.7439339562	2.445630177	-3.276696556	2025-01-23@19:41	2.1719	-0.8987145186	1	6.938893904e-17	-0.4875193073	0.1609	-1.387778781e-17	0.1915318227	v2.8.0	
# 3	Broyden	-83.45463596	-67.36	26.37060648	YY	20	0.1564985529	self-energy	sharp_wc_10_b_50	10	2	1.115877865	2.633562286	0.1327001173	0.2601162918	0.3504110403	-0.6677911669	1.979140477	-2.806391434	1.209376371	1.979141066	1.209375912	0.6841200316	0.03899627799	-1.626250364	0.9114906834	bce2d27	2x2_2C_8b_C2v_L	14.21	1.09283422	2	1.494115041	1.09283422	2	Nelder-Mead	-1.358660489	0.9439845029	-0.0002929881399	0.001006948875	-0.554733604	0.4674096226	-0.0001345859328	-0.001300968696	-0.4674082949	0.0008507018536	4.462651862e-05	-8.492912384e-05	1.49299978e-05	-1.241184311e-05	run_cdmft.py	R0:S0:1	uncorrelated	-7.59579633e-06	-0.0002938619089	0.3458582783	-1.84709193	0.0002944952221	-0.002841580132	-2.002666882	3.085445654	-0.002346749771	3.085446848	0.803393034	-0.7222513652	2.450995664	-3.277477445	2025-01-23@19:47	2.1719	-0.883105438	1	5.828670879e-16	-0.4811093038	0.1609	8.67361738e-17	0.1898664878	v2.8.0	
# 3	Broyden	-84.05969526	-68.96	26.6961111	YY	20	0.1569227614	self-energy	sharp_wc_10_b_50	10	2	1.122369219	2.683163763	0.1237923855	0.244453493	0.3067706174	-0.64328714	1.979524034	-2.886776727	1.221525676	1.979523854	1.221525827	0.6440204193	0.03683535484	-1.712242509	0.9177678975	bce2d27	2x2_2C_8b_C2v_L	14.31	1.094604314	2	1.504049683	1.094604313	2	Nelder-Mead	-1.361973931	0.9079945154	0.0002812553703	-0.0007565490086	-0.5456166964	0.4589780433	7.722979463e-05	-0.0009166304924	-0.4589785014	0.001085136859	0.0005458630347	-0.001190131452	0.0002592670316	-9.117092223e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.0001748150169	-0.0002407954798	0.3298986281	-1.745826861	1.123763568e-05	-0.001021584851	-2.005824884	3.066696969	-0.001280358489	3.066696546	0.7869778601	-0.7011397527	2.456032098	-3.277923479	2025-01-23@19:53	2.1719	-0.8659693749	1	-4.093947403e-16	-0.4743717764	0.1609	-4.510281038e-17	0.1875834503	v2.8.0	
4	Broyden	-89.44688578	-84.96	30.24510078	YY	20	0.1681989229	self-energy	sharp_wc_5_b_50	10	2	1.196657821	3.278619217	0.08534765818	-0.02436845224	1.768458308	-0.3303054451	1.664914128	-3.484142812	1.658531107	1.6649293	1.658529035	0.370767582	0.01996744299	-2.456345854	1.287030604	bce2d27	2x2_2C_8b_C2v_L	15.31	1.139912749	2	1.57406716	1.139912749	2	COBYLA	-1.325054432	0.8079474975	-0.1744398785	1.457002737	-0.369451233	1.17136747	7.328622922e-05	-0.002417789451	-1.171334996	0.002528488048	-5.918117212e-05	0.0002190720434	-0.0001513743709	6.14645905e-05	run_cdmft.py	R0:S0:1	uncorrelated	-3.291273044e-05	0.0002436931362	0.0009513164769	-0.006233370181	0.0001829120037	-0.005340698119	-1.991876986	1.974030412	-0.005219864138	1.974040607	0.5142534926	-0.4320511541	2.497491887	-2.900427079	2025-01-24@17:00	2.1719	-0.7256152725	1	7.355227538e-16	-0.3300173218	0.1609	3.60822483e-16	0.131157114	v2.8.0	
3	Broyden	-90.1401591	-86.56	30.56447633	YY	20	0.1691721466	self-energy	sharp_wc_5_b_50	10	2	1.202825291	3.342806147	0.07914556208	-0.01667227455	1.79780848	-0.3064493725	1.686514606	-3.560361565	1.673914935	1.68671593	1.673887514	0.3449365897	0.01848431592	-2.535443488	1.31405215	bce2d27	2x2_2C_8b_C2v_L	15.41	1.142951457	2	1.581681157	1.142951457	2	COBYLA	-1.325651336	0.7819827802	-0.1705590309	1.378246233	-0.3559166571	1.146308761	0.0002369884644	0.01237517186	-1.145834081	-0.01253377706	0.0007567111685	-0.002783291435	0.0001348975543	0.000614086889	run_cdmft.py	R0:S0:1	uncorrelated	-2.70070189e-05	-0.0005248141784	-0.003102676533	0.02071564535	-0.001131975244	0.03129014114	-1.995347717	1.934275908	0.03111725943	1.934425018	0.4937091112	-0.4128653089	2.500871881	-2.866067057	2025-01-24@17:10	2.1719	-0.7104040727	1	-6.245004514e-17	-0.3175325419	0.1609	2.983724379e-16	0.1265693938	v2.8.0	
