model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.91838905	0	9.5001094	0.1287419	0.17741287	0.7315111	0.25045598	0.25041842	0.7315341	0.69115974	0.29472981	2.1007969	-0.1373665	0.0011817889	0.079193251	-0.19758429	-0.19757301	0.079179263	2.9235583e-05	0.26621058	0.997375	0.0010993993	0.14745082	0.31963997	0.14868388	-0.14866764	-0.31964498	-0.4612046	3.3236155e-05	-0.49770312	0.0013836315	0.92706322	-0.83100438	0.17995879	0.025719009	0.038145967	0.19212101	0.08236189	0.27508157	0.27506929	0.082358317	0.040940392	0.089396103	0.91982222	0.30226327	-0.002232843	-0.021775266	0.98388966	0.98389606	-0.021747547	-8.1598921e-05	-0.88628182	-0.49992388	-0.011996849	-1.4287188	-0.9354511	-0.95670511	0.95663115	0.93542225	0.46239717	-4.8661636e-05	0.0012995458	-10.37334	R0:S0:1	0.91982222	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:38
2x2_2C_8b_C2v_L	-0.91639243	0	9.5001641	0.12834461	0.17678708	0.73032539	0.2503946	0.25036429	0.7304708	0.69006965	0.29487132	2.1021953	-0.13709061	0.0015128191	0.079302549	-0.19752597	-0.1975215	0.079304089	4.9029476e-05	0.26630472	0.9960625	0.0013982579	0.14688062	0.31884553	0.14850992	-0.14850021	-0.31886911	-0.46031368	5.4844754e-05	-0.49805469	0.0014702289	0.92732779	-0.82987709	0.18026732	0.025681297	0.038121293	0.19160334	0.082025622	0.27434553	0.27434781	0.082016369	0.040864198	0.089351148	0.92010709	0.30166593	-0.0028792421	-0.022552125	0.98176823	0.98180082	-0.022565512	-0.00014142386	-0.88561605	-0.49948096	-0.015260045	-1.4256049	-0.93345266	-0.95504776	0.95500932	0.93341818	0.46239361	-7.1525734e-05	0.0013510417	-10.373125	R0:S0:1	0.92010709	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:41
2x2_2C_8b_C2v_L	-0.91327665	0	9.5002461	0.12813289	0.1759087	0.72865704	0.2503597	0.25035756	0.72868645	0.68827483	0.2950114	2.103293	-0.13696534	4.3884222e-05	0.079573636	-0.19742656	-0.1974184	0.079580721	6.2471195e-06	0.26630079	0.99409375	4.2062119e-05	0.14616586	0.317527	0.14833107	-0.14833681	-0.31751765	-0.45875226	7.0987866e-06	-0.49758203	0.0016053177	0.92763721	-0.82845863	0.1802941	0.025619925	0.038121094	0.19094026	0.081480647	0.27342281	0.27342054	0.08146846	0.040723428	0.089247614	0.92045632	0.30115872	-7.6009304e-05	-0.024005898	0.97900214	0.97899911	-0.024036885	-1.4145527e-05	-0.88456842	-0.49890463	-0.00046777406	-1.4215661	-0.93026828	-0.95332709	0.95332431	0.93018998	0.46213908	-1.1513161e-05	0.0013523294	-10.36896	R0:S0:1	0.92045632	817c5bc	v2.2.6	Y	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:47
2x2_2C_8b_C2v_L	-0.91398261	0	9.5012246	0.12840609	0.17600081	0.72891935	0.25039486	0.25030058	0.72878885	0.68858307	0.29495563	2.1025293	-0.13715592	0.0006756667	0.079550333	-0.19744844	-0.19743763	0.079477615	-3.1162889e-05	0.26623335	0.99460938	0.00062211284	0.14637926	0.31776287	0.1484107	-0.1483385	-0.31778788	-0.45901998	-3.5867866e-05	-0.4971582	0.001573993	0.92750754	-0.82893466	0.18005621	0.025627737	0.038201064	0.19124053	0.081607208	0.27377726	0.27374747	0.081641499	0.040749284	0.089274018	0.9203186	0.30161824	-0.0012936311	-0.023751456	0.97993323	0.97995275	-0.023546295	7.7799162e-05	-0.88484734	-0.49906178	-0.0067802488	-1.4228917	-0.93098352	-0.95414426	0.95391292	0.93116212	0.4621066	4.2818841e-05	0.0013179784	-10.368029	R0:S0:1	0.9203186	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:51
2x2_2C_8b_C2v_L	-0.91259596	0	9.5000869	0.12886499	0.17522102	0.72826211	0.25046951	0.25040749	0.72828413	0.68802102	0.2950788	2.1035439	-0.13751695	0.001130198	0.079606471	-0.19751726	-0.19749616	0.079604079	2.7491256e-05	0.26618198	0.99391406	0.0010417268	0.14599594	0.31704167	0.14824375	-0.14823743	-0.31703604	-0.45805813	3.2789616e-05	-0.4959873	0.0016741061	0.92769875	-0.82856036	0.17959767	0.025618617	0.038393539	0.19085915	0.081297191	0.27318334	0.27319089	0.081290846	0.040606936	0.089127593	0.92052992	0.3018902	-0.0021569556	-0.024140199	0.97876662	0.97875963	-0.024152599	-7.7949176e-05	-0.88408436	-0.49899934	-0.011340593	-1.4202913	-0.92926149	-0.95316084	0.9531668	0.92922001	0.46146755	-4.5914311e-05	0.0012233383	-10.368258	R0:S0:1	0.92052992	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:53
2x2_2C_8b_C2v_L	-0.90906835	0	9.4997554	0.12925428	0.17375259	0.72624856	0.25050828	0.25045914	0.72634502	0.68610824	0.29525411	2.1049409	-0.1378241	0.0012641061	0.079857774	-0.19749544	-0.1974851	0.079870273	4.4901675e-05	0.26609616	0.99187109	0.0011589946	0.14512558	0.31537017	0.14796857	-0.14796987	-0.31538353	-0.45599602	5.3065542e-05	-0.49435596	0.0018612742	0.92807027	-0.82724798	0.17911182	0.025560728	0.038634795	0.19014014	0.080629109	0.27205419	0.27207864	0.080627137	0.040376664	0.088933782	0.92094241	0.30197334	-0.0024319135	-0.025541016	0.97584054	0.9758446	-0.025580811	-0.00012908283	-0.88267245	-0.4985169	-0.012579784	-1.4151885	-0.92536709	-0.95120772	0.95127917	0.92537982	0.4606755	-6.7039513e-05	0.0011297346	-10.364191	R0:S0:1	0.92094241	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:57
2x2_2C_8b_C2v_L	-0.90920227	0	9.5005505	0.12854525	0.1741514	0.72634875	0.25043418	0.2504117	0.72640362	0.68616213	0.29531343	2.1055691	-0.13731372	0.00070552926	0.079872672	-0.19743215	-0.19743444	0.079867229	8.2940524e-06	0.26626868	0.99178711	0.00064411177	0.14510789	0.31557673	0.14800531	-0.14800037	-0.31559267	-0.45638675	1.0850144e-05	-0.4958606	0.0018318277	0.92811773	-0.82684943	0.17977566	0.025555566	0.038399306	0.19001542	0.080673597	0.27199766	0.27200878	0.080678514	0.040445437	0.08900526	0.92098246	0.3011783	-0.0013623356	-0.025660702	0.97536203	0.97537605	-0.02564682	-3.0483307e-05	-0.88284187	-0.498336	-0.0070038421	-1.4151845	-0.92557024	-0.95079396	0.95081174	0.92561864	0.46120005	-1.1607979e-05	0.0012475337	-10.366713	R0:S0:1	0.92098246	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@10:59
2x2_2C_8b_C2v_L	-0.90390529	0	9.5007946	0.12841192	0.17243617	0.72313115	0.25023223	0.25025917	0.72312538	0.6829062	0.29543054	2.1061974	-0.13721823	0.00030985677	0.080252792	-0.19720692	-0.19721655	0.080263758	4.2537415e-05	0.26612443	0.98843066	0.00028492295	0.14392992	0.3133422	0.14763866	-0.1476467	-0.31335084	-0.4536752	4.8246484e-05	-0.49444714	0.0020444589	0.9285371	-0.82464887	0.17958857	0.025441387	0.038548997	0.18917875	0.079860775	0.27069371	0.27069742	0.07986862	0.040223675	0.08886727	0.92146758	0.30079637	-0.00059156062	-0.02783734	0.97122566	0.97121466	-0.027846809	-0.00011620183	-0.88120884	-0.49736135	-0.0031096753	-1.409061	-0.92067856	-0.94826518	0.94831635	0.92073666	0.46076505	-5.9585811e-05	0.0012276972	-10.355083	R0:S0:1	0.92146758	817c5bc	v2.2.6	Y	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:05
2x2_2C_8b_C2v_L	-0.89642232	0	9.501145	0.12827625	0.17006626	0.71868124	0.25005254	0.2500963	0.71878333	0.67859857	0.29577429	2.1083117	-0.13713266	0.00085973622	0.080786967	-0.1969774	-0.19697766	0.080839192	7.6298473e-06	0.26603996	0.983771	0.00078058775	0.14217612	0.31011307	0.14706576	-0.14710744	-0.31009936	-0.44978476	9.9281713e-06	-0.49265509	0.002375523	0.92925228	-0.82139498	0.17935016	0.025292778	0.038735328	0.18765757	0.078636298	0.26853193	0.26855117	0.078610331	0.039861909	0.08858983	0.92227429	0.2999614	-0.0016548628	-0.030885071	0.96480858	0.96480518	-0.031034042	-2.6319342e-05	-0.87857664	-0.49601901	-0.0085141518	-1.3991679	-0.91332013	-0.94407935	0.9442077	0.91317679	0.45992315	-1.3649531e-05	0.0011873482	-10.343195	R0:S0:1	0.92227429	817c5bc	v2.2.6	Y	9	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:12
2x2_2C_8b_C2v_L	-0.89999752	0	9.4996239	0.12871824	0.17093945	0.72110325	0.25034678	0.25032971	0.72121794	0.68100434	0.29569039	2.108528	-0.13747532	0.00072098344	0.080569562	-0.19722448	-0.19721992	0.080569831	-4.3814825e-06	0.26611308	0.9861521	0.00065523342	0.14290151	0.31149264	0.14732652	-0.14733131	-0.31150743	-0.45143369	-7.3813033e-06	-0.49306863	0.0022643932	0.9290321	-0.82303288	0.17920814	0.025386805	0.038740575	0.18813121	0.079072037	0.2692476	0.26926063	0.07907136	0.039954321	0.088611911	0.92201154	0.30051544	-0.0013961446	-0.029509452	0.96754696	0.96753956	-0.02951367	2.855387e-06	-0.87945662	-0.49682616	-0.0071206902	-1.4026171	-0.91608254	-0.94571802	0.94578239	0.91610664	0.45985188	1.157797e-05	0.0011398079	-10.353489	R0:S0:1	0.92201155	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:16
2x2_2C_8b_C2v_L	-0.89404918	0	9.5002913	0.12927516	0.16868008	0.71769777	0.25023214	0.25024282	0.71777035	0.6776789	0.29593124	2.1103819	-0.13790409	0.001198362	0.080959495	-0.19712368	-0.19712026	0.080985835	2.0338288e-05	0.26593616	0.9826969	0.0010841356	0.14150279	0.30876873	0.14681767	-0.14684027	-0.30876586	-0.44802548	2.0571286e-05	-0.49038811	0.0025636362	0.92959954	-0.82075792	0.17841564	0.025278323	0.039092731	0.18694441	0.078028399	0.26750122	0.26751733	0.07801773	0.039590664	0.088300253	0.92266193	0.30048277	-0.0023214676	-0.031745962	0.96270017	0.96268981	-0.031819476	-6.4598412e-05	-0.8770598	-0.49593955	-0.011760526	-1.3943095	-0.90987278	-0.94254215	0.94264311	0.90982414	0.4586254	-2.4745633e-05	0.00099829984	-10.344849	R0:S0:1	0.92266193	817c5bc	v2.2.6	Y	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:23
2x2_2C_8b_C2v_L	-0.88440909	0	9.5003139	0.12989562	0.16533347	0.71237163	0.25016373	0.25015729	0.71245254	0.672378	0.29633715	2.1139264	-0.13838613	0.0015030522	0.081677274	-0.19696662	-0.19695726	0.081712256	2.1673631e-05	0.26574117	0.97699847	0.0013542093	0.13917037	0.30436169	0.14603902	-0.14606664	-0.30434688	-0.44259469	2.3343762e-05	-0.48679115	0.0030509246	0.93059943	-0.81682347	0.17743502	0.025109397	0.039500514	0.18471492	0.076291565	0.26449502	0.26451476	0.076269473	0.039009227	0.087768586	0.92379616	0.2997893	-0.002911813	-0.035630769	0.95431799	0.95431584	-0.035744028	-6.4009969e-05	-0.87299944	-0.4944562	-0.014664861	-1.3800828	-0.8994526	-0.93712917	0.93722827	0.8993248	0.45671829	-3.3258788e-05	0.00080826469	-10.332824	R0:S0:1	0.92379616	817c5bc	v2.2.6	Y	14	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:35
2x2_2C_8b_C2v_L	-0.88574216	0	9.4998685	0.12957567	0.16600274	0.71287016	0.25006798	0.25007486	0.71296987	0.67290754	0.2961958	2.1122844	-0.13810673	0.0013779104	0.081586407	-0.19688121	-0.19687474	0.081609591	-3.0553068e-06	0.26571909	0.97760922	0.0012438713	0.13959149	0.30507424	0.14618889	-0.14621247	-0.30506855	-0.44351239	-4.7876739e-06	-0.48757482	0.0029451416	0.93037748	-0.81737022	0.1777645	0.025119722	0.039373756	0.18523334	0.07663472	0.26515965	0.26517104	0.07661808	0.03915212	0.087928016	0.92354073	0.29981908	-0.0026670966	-0.035152415	0.95580123	0.95579025	-0.035226936	4.2639392e-07	-0.8739065	-0.49456725	-0.013492419	-1.3831885	-0.90143326	-0.9382787	0.9383644	0.90134548	0.45734367	3.4117693e-06	0.00088305182	-10.33016	R0:S0:1	0.92354073	817c5bc	v2.2.6	Y	9	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:43
2x2_2C_8b_C2v_L	-0.87420478	0	9.5007202	0.12920041	0.16270456	0.70637235	0.24976909	0.24978499	0.70649795	0.66638545	0.29667193	2.1165844	-0.13778474	0.0013628888	0.082475047	-0.19650579	-0.1965134	0.082495326	2.0920115e-05	0.26569635	0.9703943	0.0012152404	0.13679592	0.30009147	0.14528934	-0.14530375	-0.30010087	-0.4375795	2.4091998e-05	-0.48568889	0.0034624591	0.93160854	-0.81194099	0.17768961	0.024896236	0.039449563	0.1824392	0.074681037	0.26157533	0.26158509	0.074666822	0.038588294	0.087435995	0.92491369	0.29767027	-0.0026521518	-0.040028581	0.94502381	0.94505292	-0.040090378	-6.4103693e-05	-0.869357	-0.49239833	-0.013199149	-1.3665439	-0.88940434	-0.93125171	0.93128091	0.88933661	0.45601473	-3.0941491e-05	0.00086408887	-10.31579	R0:S0:1	0.92491369	817c5bc	v2.2.6	Y	17	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@11:58
2x2_2C_8b_C2v_L	-0.85673219	0	9.5012027	0.12947609	0.15782175	0.69677646	0.24928262	0.24928262	0.69692287	0.65679664	0.29723328	2.1224061	-0.1378431	0.0017511498	0.083768703	-0.19599125	-0.19599277	0.083780815	2.8403206e-05	0.26547169	0.95965591	0.0015466998	0.13264509	0.29239428	0.14378181	-0.14378707	-0.29240741	-0.42823308	3.1982709e-05	-0.48135535	0.0042771803	0.93347556	-0.80405044	0.17683493	0.024568633	0.039641321	0.17797909	0.071708023	0.25615823	0.25615701	0.071693247	0.037647464	0.08652669	0.92698746	0.29463221	-0.0033954762	-0.047040033	0.92898078	0.92900306	-0.047081995	-7.7624663e-05	-0.86183786	-0.48930759	-0.016824177	-1.3406292	-0.87085944	-0.9208049	0.92079091	0.87078269	0.45325025	-4.7944659e-05	0.00070155116	-10.291809	R0:S0:1	0.92698746	817c5bc	v2.2.6	Y	17	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@12:13
2x2_2C_8b_C2v_L	-0.86163885	0	9.5016411	0.12998786	0.15891398	0.6993493	0.24944844	0.24948355	0.69945405	0.65940827	0.29702376	2.1199363	-0.13829887	0.00039130753	0.083410669	-0.19617316	-0.19616935	0.083432856	-2.956615e-06	0.26535472	0.9628652	0.00034586242	0.13390322	0.29441624	0.14421992	-0.14424485	-0.29441584	-0.43058706	-4.1628283e-06	-0.48111957	0.0040667739	0.93285169	-0.80670446	0.17644511	0.02466068	0.039776999	0.17947237	0.072525815	0.2578769	0.25788189	0.072515749	0.037867033	0.086737913	0.92632009	0.2962837	-0.00076055593	-0.045014911	0.93418231	0.93415088	-0.045070909	5.056329e-06	-0.86389873	-0.49034256	-0.0037510912	-1.3484853	-0.87603463	-0.92442863	0.924527	0.87598894	0.453626	5.5665176e-06	0.00063950394	-10.295566	R0:S0:1	0.92632009	817c5bc	v2.2.6	Y	18	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-05@12:29
