model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	7.4238717	0	14	3.0428	-0.0039219234	-3.1792033	-3.8448655	-0.10637019	-3.8449041	-0.10637204	0.14554452	-3.424352	9.93	0.0003326623	-6.2164802e-06	0.011656554	-0.16725236	0.011651799	-0.16725493	-4.5716838e-06	1.1554322e-06	-0.11268965	-1.0712408	1.682123	0.056450181	-1.6821313	-0.056439099	0.2345418	-2.2163655	2.0089	1	0.226	0.014817721	1.2576354	1.6220395	-0.58698371	-0.19064172	0.078425921	0.13857041	0.22767346	1.9415978	1.8058061	1.587046	1.8058054	1.5870838	0.016174667	1.558438	1.1141488	-0.0037071894	-1.9355827e-05	0.10453668	1.1176441	0.10455344	1.1175729	7.051246e-05	2.6506677e-05	1.1319819	0.72430254	-1.5537598	-0.60821705	1.5537846	0.60815637	-0.28636572	2.5247291	2	2	0	0	-74.459534	R0:S0:1	1.1141488	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@16:11
2x2_2C_8b_C2v_L	7.4240672	0	14.001	3.0428	-0.0039133136	-3.1794054	-3.8446739	-0.10634987	-3.8447518	-0.10635276	0.14550709	-3.4243145	9.93	-1.2402441e-05	6.2232587e-06	0.01164612	-0.16725337	0.011641144	-0.16725886	-2.1547122e-06	1.1914213e-06	-0.11268869	-1.0712735	1.6820921	0.056407284	-1.6821106	-0.056394374	0.23453778	-2.2163564	2.0089	1	0.226	0.014812488	1.2576397	1.6220342	-0.58696257	-0.1906313	0.0784218	0.13854556	0.22774644	1.9415982	1.805817	1.586994	1.8058216	1.5869814	0.0161817	1.5584663	1.1141222	0.0001373227	-1.5051089e-05	0.10452805	1.1176298	0.10453523	1.1177089	1.213594e-05	2.0734746e-06	1.131996	0.7243315	-1.553709	-0.60803557	1.5536888	0.60796787	-0.2863936	2.524588	2	2	0	0	-74.458501	R0:S0:1	1.1141222	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@16:39
2x2_2C_8b_C2v_L	7.4260264	0	14	3.0438	-0.0038328371	-3.1785812	-3.844066	-0.10645898	-3.8440696	-0.10646994	0.14569393	-3.4236609	9.93	-7.16326e-05	3.4377823e-07	0.011642352	-0.16736872	0.011652546	-0.16737045	-8.6345232e-06	3.1187024e-06	-0.11271557	-1.0712112	1.6820628	0.056356481	-1.6820605	-0.056379918	0.23470322	-2.2163377	2.0089	1	0.226	0.014818225	1.257593	1.621986	-0.58714093	-0.1907451	0.078465385	0.1385818	0.22783633	1.9415692	1.8056968	1.5867761	1.8056959	1.5867853	0.016192984	1.5582185	1.1141379	0.00079549263	7.2226106e-06	0.10463878	1.1182951	0.10462442	1.1182441	3.5892371e-05	-5.6797514e-06	1.1324461	0.72442101	-1.5541407	-0.60807545	1.5541468	0.6081753	-0.28652581	2.5252423	2	2	0	0	-74.45452	R0:S0:1	1.1141379	-110.1792	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@16:59
2x2_2C_8b_C2v_L	7.4159636	0	14	3.0428	-0.0036816045	-3.1771364	-3.8443325	-0.1068721	-3.844416	-0.10686301	0.14616798	-3.4246628	9.93	-0.0001706372	3.0505399e-06	0.011672697	-0.16770222	0.011673878	-0.16770168	-5.9841468e-08	8.6066681e-07	-0.11281083	-1.0713765	1.6826851	0.056357325	-1.6827045	-0.056364734	0.23510015	-2.2173369	2.0099	1	0.226	0.014840435	1.2574819	1.6218482	-0.58760448	-0.19100858	0.07856952	0.13864019	0.22809875	1.9414922	1.8053612	1.5863666	1.8053611	1.5863399	0.016218988	1.5576281	1.1141187	0.001888615	9.7324136e-06	0.1049711	1.1198787	0.10495816	1.1198997	-1.7223487e-05	-1.0262441e-05	1.133822	0.72462257	-1.5553806	-0.60878539	1.5553843	0.60882238	-0.28678625	2.5269384	2	2	0	0	-74.461183	R0:S0:1	1.1141187	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@17:42
2x2_2C_8b_C2v_L	7.4256047	0	14	3.0428	0.0039753089	-3.1796635	-3.8452214	-0.10618698	-3.8454049	-0.10622461	0.14534827	-3.4254724	9.93	0.11267178	-2.1988125e-05	0.011639504	-0.16713028	0.011634201	-0.16713779	-1.8039681e-05	2.6124812e-06	0.00074295191	-1.0713506	1.6821288	0.056443076	-1.682167	-0.056447921	0.2343342	-2.2164685	2.0089	1	0.227	0.014813296	1.2576747	1.6220865	-0.58683849	-0.19054225	0.078374385	0.1385589	1.7723499	1.9416097	1.8059065	1.5870787	1.8058983	1.5872258	0.016160666	1.5586775	1.1141588	-1.1315734	-3.115729e-05	0.10443489	1.1173134	0.10447365	1.1169602	0.00019771225	5.7204734e-05	-0.0082938205	0.72429497	-1.5533661	-0.60799063	1.5534766	0.6080024	-0.28620231	2.524181	2	2	0	0	-74.455325	R0:S0:1	1.1141588	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	27	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@19:53
2x2_2C_8b_C2v_L	7.4256359	0	14	3.0428	-0.0040161092	-3.1801975	-3.8455702	-0.10622189	-3.845686	-0.1062456	0.14537355	-3.4249593	9.931	0.00052620578	-1.4373878e-05	0.01165716	-0.16710867	0.011658244	-0.16711546	-1.4388866e-05	1.3197891e-06	-0.11265951	-1.0713368	1.6821673	0.056527072	-1.6821893	-0.056535584	0.23436721	-2.2163676	2.0089	1	0.226	0.014817987	1.2576816	1.6221092	-0.58681287	-0.19052756	0.07838261	0.1385844	0.22741007	1.9416318	1.8059228	1.5873519	1.8059187	1.5874475	0.016150114	1.558677	1.1141972	-0.0058804243	-2.3671174e-05	0.10442948	1.1168962	0.104448	1.1166658	0.00015088383	4.4231945e-05	1.1313226	0.72416112	-1.5533533	-0.60821328	1.5534206	0.60823258	-0.28617373	2.5241929	2	2	0	0	-74.46908	R0:S0:1	1.1141972	-110.2112	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@20:26
2x2_2C_8b_C2v_L	7.4227803	0	13.999	3.0432	-0.0038742877	-3.1783266	-3.8450716	-0.10652995	-3.8450641	-0.10652554	0.14573608	-3.4249371	9.9304	0.00081463426	-2.585709e-05	0.01166927	-0.16738174	0.011664521	-0.16736266	-1.49895e-05	2.1590501e-06	-0.11272782	-1.0713071	1.6824046	0.056485967	-1.6823965	-0.056489289	0.23466701	-2.2168006	2.0093	1	0.2264	0.014833233	1.2575869	1.6219955	-0.58718814	-0.1907559	0.078465697	0.13862941	0.22776003	1.9415615	1.8056648	1.5868853	1.8056437	1.5870332	0.016174494	1.5581841	1.1141824	-0.0090679775	-2.4837725e-05	0.1046871	1.1184253	0.10472166	1.1179065	0.00019428702	6.3746986e-05	1.1324705	0.72438279	-1.5542661	-0.60861925	1.554436	0.60867748	-0.28640563	2.5255444	2	2	0	0	-74.464618	R0:S0:1	1.1141824	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:22
2x2_2C_8b_C2v_L	7.4201093	0	13.9996	3.04336	-0.0037743644	-3.1773728	-3.8443832	-0.10678665	-3.8444004	-0.10677244	0.14608648	-3.4237161	9.93056	0.00074686463	-3.0383002e-05	0.011683671	-0.16759007	0.011683452	-0.16757018	-2.1265105e-05	2.3787487e-06	-0.112762	-1.0711894	1.6824697	0.056432975	-1.6824618	-0.056454969	0.23502304	-2.216875	2.00946	1	0.22516	0.014838396	1.2575167	1.6219062	-0.58745253	-0.1909301	0.078549097	0.13864484	0.22796806	1.9415297	1.8054832	1.5866273	1.8054629	1.5867539	0.016204251	1.5577833	1.1141561	-0.0082910432	-3.1920108e-06	0.10485898	1.1193772	0.10487348	1.1188578	0.00021888134	5.9667668e-05	1.1331998	0.72445343	-1.5549127	-0.60878292	1.5550786	0.60891529	-0.28670201	2.5264918	2	2	0	0	-74.460428	R0:S0:1	1.1141561	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@22:19
2x2_2C_8b_C2v_L	7.4203161	0	13.99944	3.043584	-0.0037416574	-3.1773292	-3.8446634	-0.10675288	-3.8447138	-0.10678889	0.14606774	-3.424419	9.930784	0.00019726743	-5.2923615e-07	0.01167389	-0.16759986	0.011678782	-0.16762025	5.8796884e-06	-2.3213387e-07	-0.11278562	-1.0713028	1.6826149	0.056431596	-1.6826271	-0.056418444	0.23500582	-2.2171155	2.009684	1	0.225824	0.01484157	1.2575082	1.6218971	-0.58749807	-0.19094562	0.078547255	0.13866133	0.22789683	1.9415155	1.8054354	1.5865433	1.8054471	1.5865659	0.016202685	1.5577575	1.1141674	-0.0021855866	-1.5847772e-05	0.10488372	1.1192767	0.10489491	1.1194077	-1.8259989e-05	5.8422189e-06	1.1333576	0.72451564	-1.555149	-0.60890935	1.5550901	0.60880418	-0.28667964	2.526634	2	2	0	0	-74.4648	R0:S0:1	1.1141674	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@22:53
2x2_2C_8b_C2v_L	7.4184823	0	13.99916	3.043976	-0.0036826566	-3.1765446	-3.8442872	-0.10695407	-3.844189	-0.10695266	0.14628782	-3.4243693	9.931176	8.56101e-05	-4.2799803e-06	0.011688682	-0.16776556	0.01168645	-0.16776214	-1.8728269e-06	2.731817e-06	-0.11283342	-1.0713612	1.6828131	0.05641344	-1.6827889	-0.056415626	0.23520914	-2.2174709	2.010076	1	0.225736	0.014852729	1.257443	1.6218252	-0.5877591	-0.19110364	0.07861019	0.13870624	0.22811073	1.9414678	1.8052482	1.5862128	1.8052465	1.5862278	0.0162192	1.5573927	1.1141745	-0.00094706275	3.8721292e-06	0.1050638	1.1202707	0.10506985	1.1202328	1.6763238e-05	5.897171e-08	1.1341701	0.72467337	-1.5558144	-0.60923886	1.5558168	0.6092487	-0.28682615	2.5276325	2	2	0	0	-74.465979	R0:S0:1	1.1141745	-110.1952	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@23:15
