model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0034582	0	8.001	0.22009797	0.26749456	0.78389006	0.26425056	0.26423541	0.78393166	0.7690511	0.26471861	1.798	0.0003963707	-0.21216193	0.072356663	0.20147268	-0.20146782	-0.072370487	-6.5261836e-06	-0.22717557	1	-0.18799974	-0.00038930486	0.33240509	-0.14891301	-0.14892247	0.33240144	0.46259613	-1.1888728e-05	-0.299	-0.0055413856	0.90522804	-0.97842128	0.083735602	0.033767536	0.21684834	0.050852625	0.099941155	0.34669759	0.34671703	0.099932003	0.039061719	0.083363616	0.8980928	-0.00080204357	0.39438588	0.032852808	-1.2670238	1.2670294	-0.032792413	2.2225331e-05	0.94254646	-0.56845085	1.6488763	0.0031948957	-1.0438517	1.1498955	1.1499563	-1.0438096	-0.40161579	1.5310345e-05	-0.016945786	-9.5143649	R0:S0:1	0.8980928	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:12
2x2_2C_8b_C2v_L	-1.0033487	0	8.0013333	0.22008267	0.26646454	0.78463539	0.26398006	0.26397272	0.78467592	0.76945454	0.26480428	1.7986667	0.0008259874	-0.21156984	0.072187038	0.20134583	-0.20134986	-0.072183044	-4.1532443e-06	-0.22734235	1	-0.1878213	-0.00080924941	0.33271917	-0.14883767	-0.1488281	0.33273394	0.4629772	-3.7557997e-06	-0.30033333	-0.0055257839	0.90538805	-0.97797728	0.08447749	0.033768383	0.21668168	0.050725674	0.099991838	0.34622641	0.34622932	0.099994252	0.039094529	0.083380128	0.89823433	-0.0016746202	0.39376428	0.033314163	-1.2655548	1.2655869	-0.033327604	2.1587935e-05	0.94241869	-0.5683172	1.6481966	0.0066489757	-1.0442637	1.1488513	1.1488128	-1.0442848	-0.4019639	2.6840214e-06	-0.016819067	-9.5166607	R0:S0:1	0.89823433	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:15
2x2_2C_8b_C2v_L	-1.0035016	0	8.0005556	0.22011566	0.26709286	0.78420605	0.26407166	0.26401262	0.78422333	0.76923115	0.26467963	1.7977778	0.00079339484	-0.2118992	0.072254675	0.20139555	-0.20138044	-0.072238378	-5.0197914e-06	-0.22721214	1	-0.1879698	-0.00077280144	0.33260986	-0.14886323	-0.14883935	0.33262034	0.46281838	-8.4009786e-06	-0.29955556	-0.0055551702	0.90524583	-0.97833311	0.084019557	0.033767282	0.2168889	0.05080722	0.10002952	0.3466425	0.34664386	0.1000384	0.039091854	0.083391019	0.89810043	-0.0016193255	0.39422799	0.033188173	-1.2667246	1.2667293	-0.033234361	1.8775221e-05	0.94259917	-0.56840643	1.6490787	0.0063331809	-1.0443528	1.1496222	1.1495761	-1.0444005	-0.40180896	1.2657906e-05	-0.016892621	-9.5137423	R0:S0:1	0.89810043	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:18
2x2_2C_8b_C2v_L	-1.0036467	0	8.0003333	0.22029262	0.26728798	0.78394699	0.26398898	0.26401562	0.78398262	0.76906621	0.26457725	1.7966667	0.00047330706	-0.21196038	0.072233119	0.20135263	-0.20135542	-0.072265325	-1.5326933e-05	-0.22712674	1	-0.18812489	-0.0004628085	0.3326666	-0.14884353	-0.14887533	0.33265018	0.46284395	-2.0663625e-05	-0.29933333	-0.0055941324	0.90511145	-0.97855117	0.083838069	0.033758585	0.21710245	0.05081853	0.10015257	0.34693804	0.34696113	0.10013124	0.039115103	0.083414684	0.89796617	-0.00096459987	0.39446107	0.033340448	-1.2674196	1.2674212	-0.033218999	5.0471609e-05	0.94275633	-0.56842636	1.6501811	0.003794091	-1.0448993	1.1500697	1.1501843	-1.0447902	-0.40183708	2.5954473e-05	-0.016916848	-9.510071	R0:S0:1	0.89796617	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:22
2x2_2C_8b_C2v_L	-1.0037143	0	8.0017778	0.22029542	0.26749317	0.78355287	0.26392508	0.26392131	0.78362185	0.76880962	0.26444481	1.7955556	0.00061641262	-0.21201607	0.072233508	0.20132472	-0.20131558	-0.072267924	-9.1048556e-06	-0.2270506	1	-0.18824015	-0.00060577519	0.33268344	-0.14883581	-0.14886593	0.33267104	0.46283733	-1.2734152e-05	-0.29911111	-0.0056305754	0.90495941	-0.9786888	0.083666194	0.033735693	0.21739953	0.050863059	0.10025945	0.34728907	0.34732532	0.10024149	0.039143149	0.083463499	0.89781155	-0.0012495019	0.39479941	0.033409335	-1.2681401	1.2681202	-0.033278194	3.3357309e-05	0.94295278	-0.56837497	1.6513177	0.00497322	-1.0453185	1.1505293	1.1506989	-1.0452382	-0.4019174	1.5189758e-05	-0.01693661	-9.5061134	R0:S0:1	0.89781155	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:26
2x2_2C_8b_C2v_L	-1.0039425	0	8.0026667	0.22049552	0.26785491	0.78290243	0.2637503	0.26381356	0.78312583	0.76844612	0.26414352	1.7933333	0.00061545013	-0.21212453	0.072213666	0.20125055	-0.20124572	-0.072301152	-4.3992777e-06	-0.22686745	1	-0.1885072	-0.0006077962	0.3327673	-0.14880291	-0.14889102	0.33273476	0.46287139	-1.020499e-05	-0.29866667	-0.0057074324	0.90467779	-0.97906052	0.083310271	0.0337066	0.21789015	0.05091594	0.10049889	0.34795579	0.34802061	0.10043563	0.039195485	0.083532036	0.89752676	-0.0012481625	0.39534781	0.033622424	-1.2695713	1.2695492	-0.033288067	1.8495216e-05	0.94327185	-0.56835725	1.6534933	0.0049892004	-1.0463414	1.1514587	1.1518152	-1.046036	-0.40202445	1.2310727e-05	-0.016982287	-9.4985223	R0:S0:1	0.89752676	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:30
2x2_2C_8b_C2v_L	-1.0040261	0	8.0013333	0.2204733	0.26866229	0.78251906	0.26400695	0.26404384	0.78260505	0.76828752	0.26416532	1.7933333	0.00020719167	-0.21260441	0.07236334	0.2013676	-0.20137058	-0.072405608	-8.7751954e-06	-0.22677682	1	-0.18859041	-0.00020286972	0.3324813	-0.1488879	-0.14892993	0.33246949	0.46256593	-1.1409334e-05	-0.29766667	-0.0057051341	0.90462182	-0.9793851	0.082780651	0.033720013	0.21789445	0.051006423	0.10038613	0.34822018	0.3482513	0.10036218	0.039153391	0.083498489	0.89748599	-0.00042210853	0.39572518	0.033167333	-1.2705269	1.270513	-0.033016325	2.9351713e-05	0.9433338	-0.56850382	1.6535145	0.0016610327	-1.0456987	1.1522234	1.152399	-1.0455895	-0.40168842	1.3565496e-05	-0.017077834	-9.498642	R0:S0:1	0.89748599	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:33
2x2_2C_8b_C2v_L	-1.0042845	0	8.0018889	0.22075862	0.26835489	0.78242471	0.26362414	0.26363307	0.78250539	0.76816632	0.26387184	1.7908889	0.00068991397	-0.21229299	0.072210804	0.20118355	-0.20117293	-0.072255286	-2.5703049e-05	-0.22667629	1	-0.188816	-0.00067870145	0.33286222	-0.14880607	-0.14884093	0.33284658	0.46292612	-2.9131287e-05	-0.29811111	-0.005795833	0.90437976	-0.97957652	0.082881829	0.033689327	0.21840346	0.050973006	0.10073115	0.34872753	0.34876314	0.10070629	0.039247423	0.083600957	0.89722625	-0.0014045141	0.39595872	0.033799713	-1.2713227	1.2713037	-0.033636469	8.7013352e-05	0.94370563	-0.56840812	1.6558976	0.0055650243	-1.0473423	1.1526978	1.1528725	-1.0472225	-0.40208311	3.437777e-05	-0.017040018	-9.4904648	R0:S0:1	0.89722625	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:37
2x2_2C_8b_C2v_L	-1.0047001	0	8.0023333	0.22111448	0.26879418	0.78173961	0.26333379	0.26338218	0.7819133	0.76775668	0.26347234	1.7873333	0.0006902379	-0.21236235	0.07215315	0.20104255	-0.20103339	-0.072248528	-1.8855348e-05	-0.22643599	1	-0.18922557	-0.00068455571	0.33308791	-0.14876141	-0.1488513	0.33304637	0.46309616	-2.0938242e-05	-0.29766667	-0.0059230619	0.90395471	-0.98015711	0.082451246	0.033650606	0.21916835	0.051026993	0.10111708	0.34975083	0.34982609	0.10105518	0.039339498	0.083718929	0.89679126	-0.0013977961	0.39672649	0.034227327	-1.2734985	1.2734695	-0.033865205	6.7069112e-05	0.94430057	-0.56838961	1.6593871	0.0056222521	-1.0490374	1.1541334	1.1545218	-1.0487359	-0.40231307	2.3125616e-05	-0.01709011	-9.4785446	R0:S0:1	0.89679126	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:41
2x2_2C_8b_C2v_L	-1.0047987	0	8.0038889	0.221113	0.26953635	0.780924	0.26339663	0.26344148	0.7809367	0.76721254	0.26328624	1.786	0.00027852431	-0.21275687	0.072260879	0.20108231	-0.2010923	-0.072284986	3.1649894e-06	-0.22625669	1	-0.18942798	-0.00027369539	0.33289855	-0.14880049	-0.14882319	0.33288498	0.46283331	1.9237981e-06	-0.29666667	-0.0059626439	0.90372166	-0.9805175	0.081846602	0.033626258	0.2195283	0.05114591	0.10117992	0.35036416	0.35036996	0.10115927	0.039342653	0.083745451	0.89656832	-0.00057440458	0.39739768	0.03398189	-1.2749561	1.2749809	-0.033892847	-8.7960272e-06	0.94448593	-0.56841179	1.6607361	0.0022352072	-1.0491496	1.1552354	1.1552629	-1.0490337	-0.40216811	-1.3159465e-06	-0.017185171	-9.4737405	R0:S0:1	0.89656832	817c5bc	v2.2.6	Y	3	sharp_wc_2.0_b_50	self-energy/D	test4.py	2023-12-17@20:45
