model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.0721567	0	7.4990156	0.34778135	0.13691736	0.79837664	0.14474957	0.14478226	0.79835934	0.77844779	0.10436054	1.2984687	7.8422415e-07	0.13952768	-0.034704233	-0.15039887	-0.15040786	-0.034725834	1.4479741e-06	0.17281251	1	0.22439636	-8.5803532e-07	-0.41151557	0.10993144	-0.10995698	0.41150115	0.53313827	-3.6510789e-06	-0.39920313	0.003296876	-0.019758047	0.86277499	-1.0245641	0.11714872	-0.25068582	0.031856505	0.2765932	0.029613497	0.18954045	0.48528343	0.48529387	0.18952328	0.062224442	0.095474584	0.85316751	-3.6162264e-07	-0.35391739	-0.15971987	1.4322298	1.4322111	-0.15964148	-4.6928351e-06	-0.9268375	-0.57156828	-2.0000989	1.3135745e-05	1.403794	-1.2116965	1.2118039	-1.4037294	-0.46125587	7.1836971e-06	-0.0077106636	-7.8936292	R0:S0:1	0.85316751	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@19:55
2x2_2C_8b_C2v_L	-1.0728152	0	7.4985234	0.34793808	0.13694572	0.79774617	0.14392428	0.14387775	0.79765829	0.77796184	0.10296798	1.2977031	4.475255e-06	0.13973228	-0.03455616	-0.1501665	-0.15015776	-0.034517813	-6.7981019e-06	0.17224497	1	0.22477005	-3.0338818e-06	-0.41189926	0.10978933	-0.10974664	0.4118967	0.53288882	1.0217941e-05	-0.39930469	0.0044453135	-0.019806576	0.86254139	-1.0247053	0.11767353	-0.25247411	0.031861066	0.27764676	0.029737118	0.1903257	0.48728659	0.48725572	0.19034939	0.062270417	0.095425128	0.85294887	-8.6684837e-06	-0.35502198	-0.16001445	1.4340217	1.4340818	-0.16015818	2.2593115e-05	-0.92597783	-0.57149889	-2.0031325	4.0628201e-05	1.4063969	-1.2131198	1.2128605	-1.4064338	-0.4609433	-2.0615639e-05	-0.0075093618	-7.8925021	R0:S0:1	0.85294887	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@19:57
2x2_2C_8b_C2v_L	-1.0727168	0	7.4975273	0.34727007	0.13762512	0.797634	0.14449363	0.14450281	0.79759741	0.77787247	0.10373579	1.2988203	-4.8959113e-05	0.14009128	-0.034659269	-0.15040471	-0.15040781	-0.034664787	1.885013e-05	0.17250841	1	0.22469771	4.9798056e-05	-0.41161903	0.10991638	-0.10992645	0.41160512	0.5326846	-2.1597135e-05	-0.39860547	0.0042695323	-0.019796216	0.86266445	-1.0249357	0.1171735	-0.25182125	0.031885201	0.27752893	0.029867337	0.19000768	0.48643522	0.48644212	0.19000091	0.062179656	0.095413145	0.85306284	7.7815885e-05	-0.35560559	-0.16002682	1.4338719	1.433869	-0.16000122	-6.7747129e-05	-0.92653786	-0.57163434	-2.0025036	-0.00068601752	1.4053154	-1.2128901	1.2129237	-1.4052781	-0.46067092	4.1520016e-05	-0.0076216622	-7.896372	R0:S0:1	0.85306284	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:03
2x2_2C_8b_C2v_L	-1.0731402	0	7.496791	0.34669312	0.13859565	0.79657839	0.14406818	0.1440352	0.79656264	0.77742265	0.10275012	1.2972305	-5.6744825e-05	0.14075196	-0.034580554	-0.15035877	-0.15035327	-0.03454644	1.4948756e-05	0.17204454	1	0.22501232	6.791355e-05	-0.41162175	0.10972799	-0.10970222	0.41163051	0.53220383	-8.2146376e-06	-0.3974082	0.0049042979	-0.019849037	0.86232368	-1.0255872	0.11654182	-0.25249693	0.031876489	0.27858645	0.030157893	0.19058699	0.48802596	0.48801904	0.19061236	0.062168219	0.095387166	0.85271773	5.9488956e-05	-0.3575685	-0.16036046	1.4365685	1.4365934	-0.16047881	-5.1025915e-05	-0.92624444	-0.57173519	-2.0053764	-0.00096297044	1.4070222	-1.2137853	1.2136696	-1.4071141	-0.46008578	1.8999232e-05	-0.0076570695	-7.8918062	R0:S0:1	0.85271773	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:09
2x2_2C_8b_C2v_L	-1.0740249	0	7.4951865	0.34606595	0.13972733	0.79516093	0.14334418	0.14330227	0.79509717	0.77663965	0.10121205	1.2958457	-2.9158478e-05	0.14166157	-0.034430663	-0.15026374	-0.15025814	-0.034401526	7.6908175e-06	0.1713352	1	0.22558285	3.1212651e-05	-0.41182595	0.10951679	-0.10947939	0.41182987	0.53148028	-1.0977351e-05	-0.3961123	0.0063564463	-0.019929215	0.861898	-1.026382	0.11619549	-0.25428836	0.03188794	0.28029792	0.03057319	0.19158934	0.49056306	0.49055046	0.19161495	0.062136183	0.095301087	0.85230202	3.8690524e-05	-0.36043495	-0.16097172	1.4402837	1.4403439	-0.16107949	-2.5993929e-05	-0.92556781	-0.57184404	-2.010073	-0.00043507024	1.4101628	-1.2155864	1.2153786	-1.4102292	-0.45913762	2.2906179e-05	-0.0075804605	-7.8892259	R0:S0:1	0.85230202	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:14
2x2_2C_8b_C2v_L	-1.074178	0	7.4968218	0.34680317	0.1389204	0.79513875	0.14270951	0.14268004	0.79502855	0.7764778	0.10054497	1.2962783	-7.1440821e-05	0.14129513	-0.034293561	-0.15001237	-0.15000198	-0.034275109	1.9121477e-06	0.17111772	1	0.22569666	6.8567533e-05	-0.41215875	0.10943706	-0.10941342	0.41214562	0.53161321	-1.2885874e-05	-0.39715186	0.0068950205	-0.019930033	0.86190215	-1.0258891	0.11715407	-0.25538645	0.031882636	0.28039775	0.030435389	0.19193432	0.49126015	0.4912443	0.19196115	0.062202391	0.09527398	0.85234732	0.00012094525	-0.35978692	-0.16106256	1.4397351	1.4397256	-0.1611433	-4.3541771e-06	-0.92482845	-0.57164749	-2.0104767	-0.00093356499	1.4113772	-1.2157467	1.2156339	-1.4114403	-0.45938547	2.9915822e-05	-0.0073686561	-7.8909934	R0:S0:1	0.85234732	b8cfe21	v2.4.3	Y	Broyden	7	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:21
2x2_2C_8b_C2v_L	-1.0754993	0	7.4960452	0.34655708	0.13976389	0.79306752	0.141108	0.14114321	0.79310184	0.77535131	0.097902274	1.2947925	-2.4465956e-05	0.14220689	-0.03396431	-0.1496376	-0.14964458	-0.033987696	-4.6752461e-06	0.16998733	1	0.22654212	2.5375911e-05	-0.4126958	0.10906085	-0.10909096	0.4126902	0.53077973	2.9070014e-06	-0.39629028	0.0092800303	-0.020040252	0.86133081	-1.0265359	0.11749616	-0.25870734	0.031893667	0.28280674	0.030881682	0.19362752	0.49543223	0.4954478	0.1936091	0.062222342	0.095147377	0.85182474	3.5450595e-05	-0.36311903	-0.16193181	1.4443498	1.4443104	-0.16184513	1.9000703e-05	-0.92334062	-0.57161654	-2.0170917	-0.00035009584	1.4167259	-1.2183049	1.2184697	-1.4166808	-0.45835321	-2.2448566e-06	-0.0070804512	-7.8890652	R0:S0:1	0.85182474	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:27
2x2_2C_8b_C2v_L	-1.0755521	0	7.494485	0.34726363	0.13905172	0.79364621	0.14099756	0.14102164	0.79370584	0.77566781	0.097922036	1.2948933	-4.4598085e-05	0.14179782	-0.033925133	-0.14953235	-0.14953892	-0.033953516	5.680211e-06	0.17003365	1	0.22651137	4.6182852e-05	-0.41287895	0.10909773	-0.10912108	0.41288086	0.53109943	-9.6840866e-06	-0.39712512	0.0092069102	-0.02003634	0.86142974	-1.026292	0.11803852	-0.2589309	0.03190818	0.28244442	0.030699814	0.19359614	0.49525414	0.49528731	0.19357428	0.062257865	0.095135908	0.85193143	6.1348222e-05	-0.36207282	-0.16194309	1.4434767	1.4434802	-0.16182715	-1.8002391e-05	-0.92317005	-0.57159617	-2.016495	-0.00064397963	1.4167752	-1.2183771	1.218511	-1.4167229	-0.45860453	2.2856459e-05	-0.0070030047	-7.8895686	R0:S0:1	0.85193143	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:32
2x2_2C_8b_C2v_L	-1.0762388	0	7.4945927	0.34665393	0.14009972	0.79213849	0.14012842	0.1401317	0.79202519	0.7750226	0.09629431	1.292797	-2.222716e-05	0.14260866	-0.033765381	-0.14937578	-0.14936879	-0.033762155	5.0768676e-06	0.16930942	1	0.22701187	1.569677e-05	-0.41304244	0.10878938	-0.10878955	0.41301666	0.53045814	-1.15188e-05	-0.39581073	0.010374818	-0.020107753	0.86092949	-1.0270163	0.11753319	-0.26039742	0.031890496	0.28410049	0.031083247	0.19462076	0.49798188	0.49795654	0.19463188	0.06226094	0.095089676	0.85143675	6.2904054e-05	-0.36474954	-0.16237434	1.4472816	1.4472191	-0.16240851	-2.0290753e-05	-0.92251722	-0.57163669	-2.0209227	-0.00018716105	1.4198788	-1.2197583	1.2197526	-1.4198783	-0.45784401	2.1411204e-05	-0.0069590406	-7.8838497	R0:S0:1	0.85143675	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:34
2x2_2C_8b_C2v_L	-1.0780095	0	7.4931254	0.34652082	0.14119008	0.78916215	0.13773385	0.13775961	0.78912952	0.7737613	0.09266528	1.2897853	-9.576364e-06	0.14383015	-0.033257772	-0.14878353	-0.14879213	-0.033249201	-3.76828e-06	0.16776163	1	0.22820317	1.6356234e-05	-0.41374922	0.10812444	-0.10812745	0.41374577	0.52935502	1.7910736e-05	-0.39441336	0.013427461	-0.020252846	0.86004716	-1.0280272	0.11771389	-0.26470898	0.031893629	0.28737134	0.031679481	0.19709036	0.5040513	0.50403146	0.19709678	0.062284532	0.094908761	0.85062327	5.6289698e-06	-0.36923815	-0.16357525	1.4540263	1.4540174	-0.16362869	1.2300159e-05	-0.92052276	-0.57163337	-2.0300529	-0.00023128477	1.4275561	-1.2228856	1.2228685	-1.4275728	-0.45639437	-3.6291665e-05	-0.0066237237	-7.877613	R0:S0:1	0.85062327	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-13@20:37
