model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	7.8118841	0	13.999104	3.0459144	-0.0025379133	-3.1949134	-3.6839104	-0.087940785	-3.6841972	-0.087954173	0.12521939	-3.2226378	9.6798544	0.00077813013	-1.2843198e-05	0.0077977829	-0.15619371	0.0077957771	-0.15619195	-8.4451337e-06	8.4685572e-07	-0.10664487	-1.0398104	1.6041792	0.039340242	-1.6042355	-0.039340872	0.22200783	-2.1085991	1.9031544	1	0.2241544	0.012100094	1.2619778	1.6239906	-0.56515113	-0.1810068	0.074330969	0.12769759	0.26181575	1.9442853	1.8227449	1.5631184	1.8227364	1.5632312	0.018536703	1.5828801	1.1051238	-0.0085584513	-2.7551846e-05	0.08756535	1.0955864	0.087590164	1.0952237	0.00013581491	4.5213875e-05	1.0949302	0.72706191	-1.4821595	-0.51637116	1.4822812	0.51641484	-0.29552715	2.4240755	2	2	0	0	-71.842286	R0:S0:1	1.1051238	-106.14304	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	64	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@20:20
2x2_2C_8b_C2v_L	7.8077806	0	13.998746	3.0458402	-0.002485368	-3.1943726	-3.684045	-0.088179059	-3.6841594	-0.088199452	0.12550734	-3.2224339	9.6807962	0.0008514613	-1.4004345e-05	0.0078136828	-0.15638207	0.0078117286	-0.15638284	-1.0205309e-05	2.3996047e-06	-0.1066974	-1.039864	1.6045062	0.039356936	-1.6045242	-0.039359069	0.22229951	-2.1090029	1.9036562	1	0.22325616	0.012111119	1.2619076	1.6239202	-0.56544269	-0.18117944	0.074410625	0.12776301	0.26189244	1.9442504	1.8225448	1.5630923	1.8225385	1.5632163	0.018551954	1.5824653	1.1051533	-0.0093500918	-2.5967015e-05	0.087748651	1.0963615	0.087777488	1.0960446	0.00014371448	4.2509175e-05	1.0956432	0.72712385	-1.4829444	-0.51679713	1.4830333	0.51682835	-0.29570443	2.4252671	2	2	0	0	-71.848678	R0:S0:1	1.1051533	-106.1593	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@20:32
2x2_2C_8b_C2v_L	7.8007081	0	13.998118	3.0457102	-0.0023394542	-3.1926322	-3.6838916	-0.088629822	-3.6840753	-0.088643379	0.12605675	-3.222835	9.6811942	0.0013815865	-2.0775589e-05	0.0078388454	-0.1567497	0.0078322236	-0.15674475	-1.1649053e-05	5.8007811e-07	-0.1067981	-1.0399677	1.6050386	0.039326931	-1.605071	-0.039328387	0.22279645	-2.1098763	1.9045342	1	0.22293424	0.012125185	1.2617801	1.6237763	-0.56596932	-0.18148935	0.074536742	0.12785001	0.26226289	1.944172	1.8221873	1.5629669	1.822173	1.5631377	0.018585778	1.5817703	1.1051645	-0.015109949	-4.1018166e-05	0.088069803	1.0980729	0.088112483	1.097541	0.00020232043	7.0133748e-05	1.0969962	0.72731989	-1.4842711	-0.517298	1.484437	0.51735268	-0.29604294	2.4272889	2	2	0	0	-71.853751	R0:S0:1	1.1051645	-106.16774	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@20:54
2x2_2C_8b_C2v_L	7.80316	0	13.999393	3.0451243	-0.0024397435	-3.1938718	-3.6846079	-0.088282624	-3.684618	-0.08829646	0.12563587	-3.2235396	9.6807139	0.00052710605	-1.2220234e-05	0.0078127801	-0.15646977	0.0078171119	-0.15647659	3.5581571e-06	-1.9000157e-06	-0.10673791	-1.0399952	1.6048592	0.039349783	-1.60486	-0.039344767	0.22239138	-2.1095473	1.9041499	1	0.22370986	0.012115315	1.2618793	1.6238788	-0.56557108	-0.18124477	0.074431447	0.12776962	0.26191766	1.9442224	1.8224508	1.5629848	1.8224519	1.5630427	0.018562231	1.582327	1.1051334	-0.0057783522	-3.2990403e-06	0.087848056	1.0967625	0.087856438	1.0966905	2.4688457e-05	2.1463206e-05	1.0961179	0.72721843	-1.4833194	-0.51699122	1.4833317	0.51695248	-0.29577276	2.4257177	2	2	0	0	-71.853614	R0:S0:1	1.1051334	-106.16943	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:04
2x2_2C_8b_C2v_L	7.7969713	0	13.99871	3.04435	-0.0023982837	-3.1932835	-3.6848197	-0.088477145	-3.6852433	-0.088529945	0.12585728	-3.224114	9.6806154	0.0017385525	-2.8271813e-05	0.0078374623	-0.1566408	0.0078332372	-0.15664701	-1.5720181e-05	4.4133455e-06	-0.1067795	-1.0401062	1.6051774	0.039376109	-1.6052619	-0.03937117	0.22259495	-2.1100557	1.9046658	1	0.2236498	0.012126086	1.26182	1.6238129	-0.56582214	-0.18138868	0.074489172	0.12781278	0.2625242	1.9441792	1.8222895	1.562734	1.8222774	1.5629919	0.018577815	1.5819935	1.1051372	-0.019046357	-5.2295504e-05	0.087977767	1.0979024	0.088040201	1.09727	0.000255885	8.0794341e-05	1.0967707	0.72735576	-1.483875	-0.517425	1.4840692	0.51745723	-0.29591532	2.4267164	2	2	0	0	-71.858374	R0:S0:1	1.1051372	-106.18025	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:14
2x2_2C_8b_C2v_L	7.7860367	0	13.998265	3.0431949	-0.0022342465	-3.1918478	-3.6854232	-0.088889551	-3.6855657	-0.088930658	0.12637904	-3.2253665	9.6806431	0.0010292413	-1.5795926e-05	0.0078480424	-0.15698653	0.0078491573	-0.15699633	-5.6763139e-06	2.2060732e-06	-0.10689465	-1.0403211	1.6059161	0.039323626	-1.6059458	-0.039320001	0.22303707	-2.1111552	1.9057687	1	0.2237447	0.012139816	1.2617028	1.6236724	-0.56632526	-0.18166811	0.074599172	0.12788956	0.2623284	1.9441041	1.8219384	1.5626375	1.8219353	1.5627864	0.01860658	1.5813704	1.1051369	-0.011222843	-2.5842102e-05	0.088307326	1.0993214	0.088341524	1.0990496	0.00011469546	3.8718908e-05	1.0982021	0.72753833	-1.4852569	-0.5178557	1.4853293	0.5178489	-0.29620301	2.4286025	2	2	0	0	-71.866711	R0:S0:1	1.1051369	-106.19917	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:26
2x2_2C_8b_C2v_L	7.7928958	0	13.997616	3.0437479	-0.0024083785	-3.1932241	-3.6864354	-0.08851786	-3.6862529	-0.088507893	0.12589787	-3.2262767	9.6814326	-3.2425478e-05	2.8577808e-06	0.0078532259	-0.15665863	0.0078522831	-0.15665128	1.2821226e-05	-1.4637186e-06	-0.10683347	-1.0403628	1.6057662	0.039489077	-1.6057268	-0.039460992	0.2225627	-2.110849	1.9053733	1	0.22454768	0.01214482	1.2618054	1.6238159	-0.56592483	-0.18141422	0.07449012	0.12788246	0.26175927	1.9441586	1.8221991	1.562887	1.8222017	1.56286	0.018553149	1.5819299	1.1051989	0.00035674876	-1.6564794e-06	0.088071731	1.0976649	0.088077362	1.0977807	-8.2004981e-05	-6.8284727e-06	1.0971515	0.72738067	-1.4843751	-0.51809523	1.4843331	0.51796606	-0.29577006	2.4272196	2	2	0	0	-71.874502	R0:S0:1	1.1051989	-106.20296	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:36
2x2_2C_8b_C2v_L	7.7833278	0	13.996424	3.0425719	-0.002370691	-3.1924915	-3.6877775	-0.088831758	-3.6879321	-0.088842209	0.1261949	-3.228814	9.682149	7.4865015e-05	1.471543e-08	0.0078841656	-0.15688226	0.0078875229	-0.15688433	-8.3057268e-06	1.4591733e-06	-0.1069296	-1.0407401	1.6066167	0.039578258	-1.6066512	-0.039588956	0.22275038	-2.1121475	1.9066099	1	0.22537152	0.012170818	1.2617305	1.623747	-0.56628237	-0.18158482	0.074549391	0.12798775	0.2614637	1.9441049	1.8219398	1.5632641	1.8219365	1.5632944	0.018533298	1.5815492	1.1052562	-0.00082095079	-8.2162272e-06	0.088341901	1.0984585	0.08834226	1.0983426	5.9358916e-05	8.1708284e-06	1.0980273	0.72744985	-1.4854025	-0.51883908	1.485447	0.51890617	-0.2957188	2.428673	2	2	0	0	-71.894202	R0:S0:1	1.1052562	-106.23323	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	7	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:47
2x2_2C_8b_C2v_L	7.7821975	0	13.99744	3.0425965	-0.0023198459	-3.1923565	-3.6870914	-0.088938167	-3.6873093	-0.088936761	0.12637375	-3.2273423	9.6824961	0.0014824301	-2.9141902e-05	0.0078845845	-0.15698416	0.0078798117	-0.1569719	-1.8340292e-05	4.019957e-06	-0.10691808	-1.0405902	1.6064931	0.039516196	-1.606532	-0.03952013	0.22299897	-2.1119341	1.9065011	1	0.22378012	0.012164506	1.2617002	1.6237039	-0.56638145	-0.18166636	0.074601029	0.12797814	0.26203925	1.9441026	1.8218917	1.5630043	1.821872	1.5631665	0.018567595	1.5813456	1.105231	-0.016200572	-2.704905e-05	0.088367304	1.0991834	0.088404006	1.0985557	0.00025415302	7.3973007e-05	1.0981267	0.72744704	-1.4854991	-0.51867533	1.485707	0.51876325	-0.29598756	2.4290358	2	2	0	0	-71.889766	R0:S0:1	1.105231	-106.23839	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	6	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@21:58
2x2_2C_8b_C2v_L	7.7701854	0	13.996697	3.0430031	-0.0019344234	-3.1879798	-3.68561	-0.089903876	-3.686111	-0.089958074	0.12755401	-3.2270251	9.6817025	0.0029627529	-4.6058383e-05	0.0079044316	-0.15781719	0.0079047477	-0.15781873	-4.3711269e-05	8.6386629e-06	-0.1071133	-1.0406784	1.6073001	0.039293333	-1.607394	-0.039326502	0.22407076	-2.1133394	1.9079495	1	0.22374017	0.012178082	1.2614145	1.6233487	-0.56752821	-0.1823631	0.074871998	0.12809815	0.26388829	1.9439161	1.8211261	1.5623132	1.8211006	1.5626601	0.018668457	1.5798174	1.1051726	-0.032047388	-5.3229609e-05	0.089064456	1.1033169	0.089129033	1.1022753	0.00048119182	0.00011805193	1.1011067	0.72803338	-1.4882633	-0.51915784	1.4885817	0.51940215	-0.29685183	2.4332024	2	2	0	0	-71.883889	R0:S0:1	1.1051726	-106.21919	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-09@22:05
