model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	5.9497768	0	12.011883	3.3807735	0.013876916	-2.869638	-4.7812974	-0.19332731	-4.7815674	-0.19332986	0.26900029	-5.1148352	11.556513	-7.6325614e-05	-9.3336117e-06	0.024433088	-0.22734753	0.024435543	-0.22734366	-8.9823473e-06	2.6792675e-06	-0.1440782	-1.316072	2.1787077	0.13460249	-2.1787628	-0.13461003	0.25608799	-2.9680614	2.7664103	1	1.0915422	0.033982916	1.2240017	1.6248327	-0.72023336	-0.26641086	0.09533147	0.28065734	0.14426869	1.9132873	1.6725402	1.5217793	1.6725398	1.5217876	0.0072783979	1.3582008	1.2524787	0.00051905687	1.1444675e-05	0.23439458	1.4323712	0.23438689	1.4323159	4.5763267e-05	4.088954e-06	1.2308578	0.65724312	-1.9573463	-1.1061708	1.9573832	1.1062245	-0.21641962	3.2445542	2	2	0	0	-93.622952	R0:S0:1	1.2524787	-130.81184	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@12:47
2x2_2C_8b_C2v_L	5.9435578	0	12.011771	3.3798753	0.013982326	-2.8692966	-4.7807012	-0.19334686	-4.7813759	-0.19336424	0.26908378	-5.115038	11.556439	-6.271867e-05	9.8769397e-07	0.024434358	-0.22745515	0.024436719	-0.2274688	5.1535533e-06	-3.7665667e-06	-0.14413906	-1.3161408	2.1788373	0.13454062	-2.1789849	-0.13454067	0.2562585	-2.9685069	2.7669121	1	1.0911838	0.033992427	1.2239655	1.6247802	-0.72038198	-0.26649149	0.095364705	0.28067643	0.14442976	1.9132411	1.6723871	1.5213586	1.6724036	1.5213554	0.0072853653	1.3580391	1.2524719	0.00042856186	-2.5491037e-05	0.23450096	1.4331929	0.23448961	1.4332339	-1.3278621e-05	1.3920131e-05	1.2315543	0.65733629	-1.9577859	-1.1063743	1.95779	1.1063716	-0.2165167	3.2449633	2	2	0	0	-93.623556	R0:S0:1	1.2524719	-130.82502	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@12:54
2x2_2C_8b_C2v_L	5.9354459	0	12.011574	3.3795533	0.014254188	-2.8675423	-4.7796484	-0.19345089	-4.780477	-0.19349331	0.26919562	-5.1142704	11.556309	-1.8036347e-05	4.8980645e-06	0.024458086	-0.22778339	0.024472187	-0.2278099	5.9958074e-06	-3.3722875e-07	-0.14429847	-1.3161093	2.1792044	0.13442099	-2.1793895	-0.13443762	0.2566271	-2.9692048	2.7677901	1	1.0905566	0.034016542	1.223859	1.6246417	-0.72078231	-0.26673275	0.095448762	0.28073068	0.14490916	1.9130989	1.6720276	1.5201139	1.6720477	1.5201085	0.0073004807	1.357561	1.2524593	0.00012489969	-2.5558307e-05	0.23474703	1.4356436	0.23471626	1.4356764	-2.1350231e-05	6.8464334e-06	1.2335272	0.65765906	-1.9588347	-1.1071153	1.9588439	1.10716	-0.21673399	3.2460757	2	2	0	0	-93.62051	R0:S0:1	1.2524593	-130.82809	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@13:14
2x2_2C_8b_C2v_L	5.9404186	0	12.010974	3.380329	0.014188013	-2.8678992	-4.7795158	-0.19335515	-4.7804216	-0.1933998	0.2690332	-5.1146419	11.555723	-7.0469907e-05	-5.7309896e-06	0.024446589	-0.22769596	0.024459298	-0.22772572	-4.9787057e-06	3.8481057e-06	-0.14427584	-1.3161651	2.1789891	0.13442924	-2.1791982	-0.13444333	0.25644552	-2.9689393	2.7674058	1	1.0918312	0.034003915	1.2238782	1.624668	-0.7206936	-0.26668635	0.095405354	0.28071281	0.14489396	1.913097	1.6721106	1.5202352	1.6721263	1.5202299	0.0072956512	1.3576979	1.2524547	0.00047965481	-2.8051967e-06	0.23465883	1.4352951	0.23462857	1.4353176	2.9798599e-05	5.3572044e-06	1.2333684	0.65775937	-1.9585587	-1.1069913	1.9585996	1.1070324	-0.21663636	3.2457651	2	2	0	0	-93.61693	R0:S0:1	1.2524547	-130.80631	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@13:27
2x2_2C_8b_C2v_L	5.9346899	0	12.012074	3.3802689	0.014438975	-2.8664251	-4.7776979	-0.19340511	-4.7789485	-0.19346257	0.26913419	-5.1136073	11.554949	-0.0001123411	-6.6208923e-06	0.024460503	-0.22796263	0.02447952	-0.2279994	-9.3764834e-06	6.6723979e-06	-0.14442164	-1.3160904	2.1790609	0.13429549	-2.1793393	-0.13431586	0.25678575	-2.9694161	2.7679217	1	1.0911483	0.034017446	1.223788	1.6245224	-0.72104425	-0.26688555	0.095474549	0.28067726	0.14538238	1.9129615	1.671794	1.5191424	1.6718231	1.5191352	0.0073126238	1.3573618	1.252353	0.00076270804	-1.0963717e-05	0.23484959	1.4373112	0.23480598	1.4373581	5.3182439e-05	8.2148078e-06	1.2353131	0.65819494	-1.959552	-1.1075115	1.9595724	1.1075682	-0.21686103	3.2465196	2	2	0	0	-93.604872	R0:S0:1	1.252353	-130.79488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@13:39
2x2_2C_8b_C2v_L	5.9245181	0	12.012448	3.3803638	0.014883915	-2.8636831	-4.7739254	-0.19346177	-4.7767812	-0.1935893	0.26927149	-5.1122697	11.553794	-6.9436143e-05	4.6953192e-06	0.024465958	-0.22846164	0.024516181	-0.22853527	8.4466336e-07	4.7142851e-06	-0.14468669	-1.316049	2.1791376	0.13402497	-2.1797754	-0.13407783	0.25736241	-2.970412	2.7690246	1	1.0907034	0.034045993	1.2236135	1.6242709	-0.72170165	-0.26727381	0.095593397	0.28069401	0.1462768	1.9126994	1.6711747	1.5170246	1.6712314	1.5170091	0.00734076	1.3566744	1.2522532	0.00047654014	-5.1030156e-05	0.23526444	1.4413333	0.23515406	1.4413676	1.383357e-05	1.9267584e-05	1.2388681	0.65895574	-1.9613254	-1.1084568	1.9614186	1.1086533	-0.21722888	3.2481113	2	2	0	0	-93.587471	R0:S0:1	1.2522532	-130.77488	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@13:59
2x2_2C_8b_C2v_L	5.9290541	0	12.011347	3.3811668	0.014825772	-2.8638699	-4.7747246	-0.19350454	-4.7755279	-0.19354261	0.2693142	-5.1116029	11.554347	-0.000107482	-1.2256894e-05	0.024482884	-0.2284025	0.024493581	-0.22843063	-1.3210049e-05	3.5411292e-06	-0.1446426	-1.3159235	2.1791016	0.13409153	-2.1792829	-0.13409805	0.25733327	-2.970021	2.7686292	1	1.0900544	0.034048206	1.2236288	1.624326	-0.72162093	-0.26724934	0.095599274	0.28076738	0.14608191	1.9127581	1.671256	1.5173461	1.6712779	1.5173351	0.0073361309	1.3566687	1.2523538	0.00072542987	9.5612622e-06	0.23520417	1.4407759	0.23517714	1.4408466	6.8787166e-05	9.052008e-06	1.238178	0.65867805	-1.9610906	-1.1084711	1.9610886	1.1084712	-0.21720819	3.2480997	2	2	0	0	-93.587585	R0:S0:1	1.2523538	-130.77088	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@14:12
2x2_2C_8b_C2v_L	5.9184434	0	12.010938	3.3819906	0.015391354	-2.86021	-4.7713565	-0.19368724	-4.7713566	-0.19368918	0.269489	-5.1085834	11.553171	-2.3662737e-05	-4.2344658e-06	0.024529131	-0.22909297	0.024530612	-0.22909348	-2.2054741e-07	3.2956789e-07	-0.14498693	-1.3157648	2.1794741	0.13379764	-2.1794725	-0.13380223	0.2580972	-2.9709506	2.7698658	1	1.0888625	0.034090285	1.2233931	1.6240152	-0.72248709	-0.26778156	0.095773589	0.28085061	0.14720339	1.9124323	1.6704829	1.5145858	1.6704834	1.5145872	0.0073700051	1.3556575	1.2522939	0.00015775979	1.0001356e-05	0.23569201	1.4460729	0.23568838	1.4460644	1.7827925e-06	-4.1901855e-07	1.2426925	0.65954277	-1.9633838	-1.1099312	1.9633823	1.1099458	-0.21769352	3.2503734	2	2	0	0	-93.564767	R0:S0:1	1.2522939	-130.73888	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@14:31
2x2_2C_8b_C2v_L	5.9170687	0	12.011251	3.3803992	0.015196158	-2.8617274	-4.7728014	-0.19357826	-4.7738971	-0.19363929	0.26938038	-5.110743	11.553196	-7.6366462e-05	-1.5624699e-06	0.024506754	-0.22883269	0.024519007	-0.22887329	6.5691052e-06	-4.0548184e-07	-0.14487318	-1.315961	2.1794881	0.1338903	-2.1797336	-0.13390208	0.25778482	-2.9709433	2.769757	1	1.0898786	0.034072349	1.2234847	1.6241164	-0.72217082	-0.26756883	0.095695106	0.2807839	0.14684128	1.9125341	1.6707507	1.5155362	1.6707842	1.5155277	0.0073579632	1.3560837	1.2522697	0.00051583392	-2.1223885e-05	0.23550764	1.4441727	0.23547961	1.444274	-2.0322844e-05	8.6147327e-06	1.241201	0.65932438	-1.9626109	-1.1094011	1.9625893	1.1094019	-0.21748802	3.249466	2	2	0	0	-93.576781	R0:S0:1	1.2522697	-130.76474	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@14:38
2x2_2C_8b_C2v_L	5.9061253	0	12.010973	3.3803593	0.015585209	-2.8595654	-4.7705576	-0.1937039	-4.7715985	-0.19374619	0.26962038	-5.1102748	11.553602	-9.6233904e-05	-5.4787479e-06	0.024530905	-0.22931001	0.024541951	-0.22933378	1.6243515e-06	9.5876355e-07	-0.14512641	-1.3160642	2.1799443	0.13370139	-2.1801733	-0.13371705	0.25837694	-2.9722505	2.7712054	1	1.0891347	0.034106416	1.2233203	1.6239118	-0.72278135	-0.26794083	0.095821628	0.28089538	0.14758141	1.912312	1.670168	1.5136179	1.6701903	1.5136197	0.0073816344	1.3553557	1.2522827	0.00064685165	-1.3266469e-05	0.23590107	1.4478897	0.23587319	1.4479014	3.6031762e-06	9.8437366e-06	1.2442393	0.65982624	-1.9642375	-1.1104698	1.964264	1.1105271	-0.21782475	3.2511967	2	2	0	0	-93.574515	R0:S0:1	1.2522827	-130.77189	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-13@14:57
