model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.80613396	0	12.000109	0.12568856	0.16833899	0.57320982	0.24971899	0.57322315	0.24973937	0.53174748	0.31430558	2.2022969	-0.00018479588	0.16742826	0.11579576	0.19358418	0.11583711	0.19356971	-6.2332427e-06	0.26688872	1	-0.13820815	-0.00017125801	-0.25060153	0.16394988	0.25056352	-0.16399079	0.38878351	3.8363144e-06	-0.39920313	-0.002624999	-0.0053053232	0.91909197	-0.75209858	0.13602085	-0.10078713	0.016730525	0.21382892	0.057414323	0.063138358	0.29069972	0.063117891	0.29071723	0.037255586	0.093596952	0.9154531	0.00045266523	-0.34606386	-0.14045046	-0.89754331	-0.14057816	-0.8974961	1.8792629e-05	-0.8379675	-0.43975212	1.3529651	0.0015065029	0.77123452	-0.99535142	-0.77107376	0.99549518	-0.45997118	-2.0718451e-06	-0.0018406444	-10.454403	R0:S0:1	0.9154531	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:58
2x2_2C_8b_C2v_L	-0.8054491	0	12.000164	0.12595069	0.16835718	0.57312038	0.24959902	0.57317713	0.24959218	0.53180562	0.31401134	2.2019453	-0.00042324626	0.16752933	0.11578946	0.19358483	0.11581181	0.19357023	-2.0539056e-05	0.26679429	1	-0.13787948	-0.00039994842	-0.25006285	0.16368135	0.25005439	-0.16370266	0.38846421	2.0694712e-05	-0.39780469	-0.003937499	-0.0053916771	0.91921225	-0.75204188	0.1352408	-0.099605923	0.016731585	0.2124589	0.057163064	0.062906291	0.29045667	0.062901847	0.29048308	0.03719079	0.093420354	0.91558827	0.0010020005	-0.34480825	-0.14044556	-0.89722772	-0.14050038	-0.89718917	5.0092863e-05	-0.83700189	-0.43988974	1.3492104	0.003550393	0.76981902	-0.99500812	-0.7697953	0.995156	-0.45965438	-2.9739065e-05	-0.0020576415	-10.451178	R0:S0:1	0.91558827	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:00
2x2_2C_8b_C2v_L	-0.80442307	0	12.000246	0.1265363	0.16786867	0.57324683	0.24940073	0.57333031	0.24940132	0.53208549	0.31359292	2.202418	-0.00051071849	0.1673661	0.11575692	0.19360402	0.11576873	0.19359945	-1.5265912e-05	0.26682662	1	-0.1373315	-0.00047481236	-0.24936694	0.16325975	0.24937687	-0.16326436	0.38814622	2.0739766e-05	-0.39670703	-0.005906249	-0.0055251568	0.91949051	-0.75167781	0.13441505	-0.097884206	0.016736406	0.21018216	0.056636714	0.062551898	0.28984931	0.062549586	0.28985599	0.037101413	0.0931711	0.91588434	0.0012059445	-0.34239086	-0.14028273	-0.89609375	-0.14030344	-0.89608656	3.5940226e-05	-0.83548722	-0.44001586	1.3430147	0.0042128956	0.7677344	-0.9938839	-0.76773259	0.99392301	-0.45934339	-2.9198828e-05	-0.0023209361	-10.450151	R0:S0:1	0.91588434	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:05
2x2_2C_8b_C2v_L	-0.80464342	0	12.001225	0.12639396	0.16776952	0.57321403	0.24945152	0.57324058	0.24942828	0.53195629	0.31381426	2.2028418	-0.00042504586	0.1672588	0.11577361	0.19358802	0.11577916	0.19358378	-4.0839339e-05	0.26691722	1	-0.13743056	-0.00040115407	-0.24957097	0.16337729	0.24956816	-0.16338104	0.38828968	4.5155661e-05	-0.3974707	-0.005390624	-0.0054919508	0.91946832	-0.7515979	0.13479139	-0.098337949	0.016733992	0.21069703	0.056723705	0.062638461	0.28984815	0.062635987	0.28986686	0.037130624	0.093238886	0.91585532	0.00099200886	-0.34280988	-0.1403367	-0.89591931	-0.14035844	-0.89592508	0.00010384323	-0.8358139	-0.43991859	1.3443353	0.0035743737	0.76822829	-0.99383646	-0.76821674	0.99388458	-0.45952256	-6.2791684e-05	-0.0022192407	-10.452386	R0:S0:1	0.91585532	b8cfe21	v2.4.3	Y	Broyden	1	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:07
2x2_2C_8b_C2v_L	-0.80404168	0	12.000087	0.12639249	0.16802645	0.57333672	0.2494424	0.57326159	0.24943137	0.53199397	0.31359971	2.2040127	0.00010229546	0.16753048	0.11583179	0.19368288	0.11584941	0.19366916	-2.278501e-05	0.26689172	1	-0.13709025	9.8463067e-05	-0.24905228	0.16317227	0.24901583	-0.16319139	0.38779814	2.1761364e-05	-0.39645605	-0.0060859365	-0.0055878402	0.91967795	-0.75140704	0.13425995	-0.097524977	0.016745588	0.20959544	0.056609973	0.062350212	0.28945278	0.0623393	0.2894643	0.037020734	0.093046154	0.91607946	-0.00023241525	-0.34195907	-0.14040003	-0.89531578	-0.14047176	-0.89528539	6.6901467e-05	-0.83476399	-0.44003217	1.3407833	-0.00088278126	0.76650548	-0.99325456	-0.7664006	0.99332429	-0.4589147	-2.4045003e-05	-0.0023759075	-10.455112	R0:S0:1	0.91607946	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:24
2x2_2C_8b_C2v_L	-0.80276639	0	11.999755	0.1269454	0.16782505	0.57335698	0.24927534	0.57344252	0.24931001	0.5321452	0.31323846	2.205644	-0.00033087894	0.16756881	0.11587469	0.1937591	0.11593041	0.19375304	-2.541183e-06	0.26696187	1	-0.13639974	-0.00030738549	-0.24808283	0.16270815	0.24805544	-0.16274966	0.38718806	4.6280711e-06	-0.39505908	-0.0081289053	-0.005767516	0.92008557	-0.75088302	0.13329721	-0.095572738	0.016758607	0.20687075	0.056046188	0.061848528	0.28860026	0.061822539	0.28861683	0.036868565	0.092686735	0.91650944	0.00076868331	-0.33923577	-0.14041414	-0.89370822	-0.14057653	-0.89369268	3.2779203e-06	-0.83270985	-0.4401896	1.3330084	0.0027316046	0.76344993	-0.99179111	-0.76325614	0.99190172	-0.45823462	-7.4815352e-06	-0.0026853926	-10.457777	R0:S0:1	0.91650944	b8cfe21	v2.4.3	Y	Broyden	3	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:29
2x2_2C_8b_C2v_L	-0.80286396	0	12.000551	0.12705313	0.16799969	0.57334406	0.24929334	0.57338332	0.24926036	0.53218095	0.31315264	2.2041394	-0.0003176351	0.16766468	0.11588939	0.1937052	0.11588148	0.1937027	-3.69854e-05	0.2668069	1	-0.13654371	-0.00029515311	-0.24812811	0.16276478	0.24813899	-0.16275398	0.38726211	4.4115976e-05	-0.39443091	-0.0082128896	-0.0057429445	0.91993672	-0.75116384	0.13306532	-0.095576141	0.016750164	0.20708379	0.056078887	0.061914946	0.28893816	0.061918039	0.2889482	0.0368994	0.092717558	0.9163645	0.00073108449	-0.33952622	-0.14052148	-0.89444526	-0.14050119	-0.89446114	9.4528356e-05	-0.83298443	-0.4402332	1.3340225	0.0026293375	0.76382422	-0.99257076	-0.7638587	0.99256669	-0.45834647	-6.0860594e-05	-0.0027231222	-10.452393	R0:S0:1	0.9163645	b8cfe21	v2.4.3	Y	Broyden	2	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:32
2x2_2C_8b_C2v_L	-0.80125696	0	12.000795	0.12867956	0.16668664	0.57365401	0.2488669	0.57366331	0.24880042	0.53280099	0.31254655	2.2055529	-0.00070444839	0.16697402	0.1156653	0.1937495	0.11560907	0.19376021	-2.5963946e-05	0.2670543	1	-0.13569762	-0.00064728611	-0.24721065	0.16195932	0.2472506	-0.16190655	0.38701452	2.6040594e-05	-0.39380261	-0.011569335	-0.0059582616	0.92047071	-0.75028855	0.13215148	-0.092761637	0.016759037	0.20288282	0.054852519	0.061399917	0.28769753	0.061418005	0.28768808	0.036782641	0.092303267	0.91691848	0.001595623	-0.33454773	-0.13968674	-0.89206326	-0.13953688	-0.89213316	6.3748486e-05	-0.83042675	-0.44035613	1.3232938	0.0057843147	0.76092055	-0.98977145	-0.76107549	0.98959774	-0.45814359	-3.598073e-05	-0.0030860444	-10.453302	R0:S0:1	0.91691848	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:40
2x2_2C_8b_C2v_L	-0.79887804	0	12.001145	0.13125822	0.16579468	0.57409962	0.248374	0.57416267	0.24835371	0.53364302	0.31163289	2.2073449	-0.00051121758	0.16656494	0.11544997	0.19388781	0.11544751	0.19388811	-9.7525782e-05	0.26723562	1	-0.13458547	-0.00046460395	-0.24568255	0.16083149	0.24570041	-0.16082124	0.38629656	0.00010829516	-0.39168829	-0.016229003	-0.006287636	0.92120157	-0.74924828	0.13038104	-0.088666307	0.016775088	0.19671545	0.053107356	0.060576707	0.28610674	0.060580369	0.28611631	0.03655788	0.091595051	0.9176827	0.0011140486	-0.32762682	-0.13876833	-0.88929896	-0.13875496	-0.8893198	0.00025121894	-0.82647724	-0.44064437	1.307693	0.0041783806	0.75614961	-0.98638787	-0.75619282	0.98638059	-0.45736728	-0.00014789798	-0.0036959912	-10.453566	R0:S0:1	0.9176827	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:48
2x2_2C_8b_C2v_L	-0.79983054	0	11.999624	0.12962434	0.16698221	0.57384523	0.24876146	0.57389214	0.24875712	0.53307305	0.31197683	2.2069314	-0.00025265262	0.16732416	0.1157328	0.19389593	0.11574734	0.19389104	0.00010680442	0.26699002	1	-0.13502361	-0.00023123283	-0.24605301	0.16142239	0.24605565	-0.16143077	0.38616085	-0.00011713943	-0.39147195	-0.013847899	-0.0061723629	0.92089061	-0.74988559	0.13078388	-0.09050252	0.016776558	0.19964231	0.054153608	0.060800256	0.28689051	0.060799411	0.28690484	0.036583848	0.091831596	0.91736564	0.00056352445	-0.33144912	-0.13970473	-0.89085554	-0.13973411	-0.89084525	-0.00028714888	-0.8279658	-0.44062866	1.3144553	0.0020675413	0.75727569	-0.98850769	-0.75727579	0.98857724	-0.45712024	0.0001532751	-0.0034966489	-10.454592	R0:S0:1	0.91736564	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@20:55
