model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.98282538	0	10.000141	-0.15256096	0.31032829	0.63287099	-0.23510775	0.23515421	0.63315063	0.629251	-0.21588794	1.9996719	0.00012260675	-0.00010515203	0.074718276	-0.13203957	0.19598254	0.074722161	-2.001491e-05	-4.971472e-05	1	-0.10180532	0.16283805	-0.36788703	0.19601513	-0.13209013	0.36789484	-0.52857338	-0.25547609	-0.70196875	0.003953126	0.0051710121	0.90771258	-0.77752778	0.29135753	-0.19572369	0.022360004	1.9852542	0.21330952	0.13152113	1.6807014	0.31919277	0.13140979	0.071462669	1.8812645	0.90206518	-0.0018862006	3.4916891e-05	-0.010560849	0.89170415	-1.0380767	-0.010620807	1.0700291e-05	0.0001211719	-0.46196193	0.23276948	-1.5547146	1.1312094	-1.038183	0.89159486	-1.1306865	0.59834102	0.93235047	0.024808957	-11.297426	R0:S0:1	0.90206518	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@00:02
2x2_2C_8b_C2v_L	-0.98227148	0	9.9994141	-0.1511743	0.31000125	0.63405529	-0.23511119	0.23505642	0.63379418	0.62975939	-0.2168976	1.9988672	-0.0001355986	0.00010892925	0.074786554	-0.13239634	0.19578907	0.074833898	6.8006744e-06	4.4815553e-05	1	-0.10155343	0.16284773	-0.36763413	0.19573925	-0.13238128	0.3676233	-0.52836615	-0.25572294	-0.70079688	0.0036953135	0.0051597494	0.9077413	-0.77792839	0.29055663	-0.19535713	0.022357201	1.9852776	0.21306808	0.13096785	1.6809555	0.31927834	0.13112409	0.071222113	1.8815286	0.90207612	0.0021954747	6.6512012e-05	-0.010840474	0.89285458	-1.03757	-0.010924196	5.8286047e-05	-0.00014535963	-0.46215841	0.23233773	-1.554473	1.129144	-1.0374396	0.8933921	-1.1299817	0.59761426	0.93224677	0.024623737	-11.293011	R0:S0:1	0.90207612	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@00:26
2x2_2C_8b_C2v_L	-0.98290385	0	9.9984961	-0.15160881	0.3101846	0.63366691	-0.23524759	0.23524342	0.63359372	0.62951437	-0.21639086	1.9999258	-4.4636031e-05	3.6728336e-05	0.074862606	-0.13244089	0.19598645	0.074883547	-5.056824e-06	3.1563932e-06	1	-0.1016737	0.16301143	-0.36786788	0.19597856	-0.13244805	0.36785544	-0.52844538	-0.25555011	-0.70144531	0.0044179698	0.0051904055	0.90769836	-0.77783588	0.29111531	-0.19612888	0.022374648	1.9852534	0.21351978	0.13123627	1.6803355	0.31972245	0.13126908	0.071316402	1.8813997	0.90205141	0.00069546565	-2.6567477e-06	-0.010806038	0.89343234	-1.0387508	-0.010853777	3.2363235e-05	-2.3867068e-05	-0.46209144	0.23268947	-1.555731	1.1302192	-1.0387373	0.89360212	-1.1303931	0.59774498	0.93247778	0.024769672	-11.298361	R0:S0:1	0.90205141	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@01:03
2x2_2C_8b_C2v_L	-0.98389261	0	9.9973691	-0.15173745	0.3106601	0.63338171	-0.23528035	0.23523506	0.63319394	0.62912152	-0.21546578	2.0002637	-0.00010431215	9.4360015e-05	0.074888016	-0.13252808	0.19624116	0.074896908	-1.3548202e-05	7.7727957e-06	1	-0.10175535	0.16343976	-0.3683114	0.19621495	-0.13249644	0.36830991	-0.52848596	-0.25513222	-0.70191797	0.0057519541	0.0052506972	0.90750658	-0.77794423	0.29178856	-0.1976287	0.022392489	1.9852215	0.21443165	0.13162885	1.6791139	0.32099709	0.13172741	0.071448848	1.8812005	0.90189015	0.00161423	-3.2972184e-05	-0.010396142	0.89470557	-1.041386	-0.010381227	7.691895e-05	-5.3506303e-05	-0.46203189	0.23319089	-1.5587277	1.1317216	-1.0413111	0.89490443	-1.1322176	0.59779748	0.93292032	0.024976393	-11.300286	R0:S0:1	0.90189015	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@01:31
2x2_2C_8b_C2v_L	-0.98454413	0	9.9979307	-0.15295291	0.31146299	0.63243919	-0.23518927	0.23515662	0.63238354	0.62870393	-0.21417303	1.9993076	-3.3993239e-05	2.826274e-05	0.074702126	-0.13205888	0.19641595	0.074708959	7.1689385e-07	7.5338961e-06	1	-0.10193651	0.16356216	-0.36874098	0.19641751	-0.13204762	0.36873822	-0.52879531	-0.25473186	-0.7029043	0.0060439463	0.0052712568	0.90732628	-0.7776813	0.29259278	-0.19823332	0.022384445	1.985216	0.2147797	0.13229285	1.6787905	0.32125745	0.13232466	0.0717574	1.8808824	0.9017411	0.00053484851	2.3537743e-06	-0.0097420819	0.89327493	-1.0425054	-0.0097543072	1.1568447e-05	-2.5863808e-05	-0.46185122	0.23356769	-1.5597618	1.134162	-1.0424893	0.89336225	-1.1343244	0.59869596	0.93313434	0.025163446	-11.297413	R0:S0:1	0.9017411	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@01:46
2x2_2C_8b_C2v_L	-0.98644347	0	9.996896	-0.15428172	0.31277292	0.63105994	-0.23504483	0.23510631	0.63120661	0.62770449	-0.21156102	1.9989614	7.0338309e-05	-5.2926072e-05	0.07460337	-0.13174364	0.19689066	0.074584776	-2.3859666e-05	-5.602586e-05	1	-0.10222071	0.16424347	-0.3696907	0.19691369	-0.13177802	0.36969474	-0.5290973	-0.25372661	-0.70435645	0.008065919	0.0053690392	0.90692705	-0.77761459	0.29418326	-0.20072112	0.022401372	1.9851663	0.21631242	0.13344774	1.6766857	0.32319798	0.13340984	0.072229829	1.880304	0.90139439	-0.001129313	-3.8297678e-05	-0.0087262929	0.89387185	-1.0469758	-0.0086639795	3.0204413e-05	0.00012113086	-0.46161162	0.23459003	-1.5646278	1.138521	-1.0471585	0.89386195	-1.1383339	0.59959368	0.93383655	0.025607612	-11.297063	R0:S0:1	0.90139439	b8cfe21	v2.4.3	Y	Broyden	4	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@02:01
2x2_2C_8b_C2v_L	-0.98594628	0	9.9979724	-0.15276383	0.31237547	0.63195482	-0.23514062	0.23512307	0.63184476	0.62810849	-0.21274479	1.9990696	-6.1976592e-05	6.0122373e-05	0.074754549	-0.13217919	0.19675131	0.074696545	1.1425194e-05	2.3015192e-05	1	-0.101995	0.16426633	-0.36941417	0.19675449	-0.13210893	0.36942862	-0.52884043	-0.25406386	-0.70339502	0.0080456553	0.0053606344	0.90696974	-0.7778862	0.29350048	-0.20051881	0.02239858	1.9851748	0.21616237	0.13297483	1.6767361	0.32319337	0.13299871	0.071967169	1.8805723	0.90143404	0.00085242356	-0.00012188517	-0.0091443572	0.89559666	-1.0465586	-0.0089425594	-3.3393056e-05	-3.4487248e-05	-0.4617412	0.23426255	-1.5644699	1.1368718	-1.046537	0.89524578	-1.1369065	0.59881127	0.93381635	0.025454646	-11.296381	R0:S0:1	0.90143404	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@02:29
2x2_2C_8b_C2v_L	-0.98729623	0	9.996775	-0.15444708	0.31307185	0.6305204	-0.23514637	0.23519266	0.6307474	0.62730697	-0.21077787	2.0001161	0.00012452662	-0.00011199705	0.074604172	-0.13174464	0.19717163	0.074616125	-1.7133281e-05	-4.3459676e-05	1	-0.10233326	0.16453488	-0.37003876	0.19720759	-0.13180593	0.37002999	-0.52910544	-0.25342756	-0.70502222	0.0092130137	0.005410907	0.90682251	-0.77755207	0.29486138	-0.20192502	0.022419039	1.9851276	0.2170186	0.13383888	1.6758088	0.32409605	0.13372884	0.072343335	1.8801227	0.90132003	-0.0018970349	6.1093757e-05	-0.0082932448	0.89449652	-1.0489937	-0.0083800038	7.0689001e-06	0.0001090677	-0.46151468	0.2350774	-1.5666817	1.1399686	-1.0491137	0.8944479	-1.1394454	0.5996654	0.9341568	0.025802281	-11.302016	R0:S0:1	0.90132003	b8cfe21	v2.4.3	Y	Broyden	9	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@03:01
2x2_2C_8b_C2v_L	-0.98984274	0	9.9954555	-0.15598175	0.31483116	0.62893083	-0.2350863	0.23509714	0.62879996	0.62602036	-0.20747344	2.0007405	-9.0828515e-05	7.4376879e-05	0.074386688	-0.13130719	0.19794429	0.074475416	-1.3439178e-05	1.1997022e-05	1	-0.10271173	0.16541776	-0.37128183	0.19790496	-0.13135352	0.37126186	-0.52943953	-0.25219748	-0.70713489	0.011971864	0.0055290009	0.90636028	-0.7773463	0.29702913	-0.20521305	0.022450992	1.9850582	0.21891569	0.13518117	1.6734429	0.32677597	0.135317	0.072927969	1.8793882	0.90094371	0.0015072699	7.9742186e-05	-0.0067184085	0.89433648	-1.0549782	-0.0069143317	0.00010383116	-8.540122e-05	-0.46119699	0.23640069	-1.572612	1.1446906	-1.054978	0.89512211	-1.1454665	0.60070282	0.93500955	0.026395456	-11.305658	R0:S0:1	0.90094371	b8cfe21	v2.4.3	Y	Broyden	8	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@03:28
2x2_2C_8b_C2v_L	-0.99028569	0	9.9937059	-0.15460754	0.31499345	0.62951221	-0.23499231	0.23492772	0.62932366	0.62613599	-0.20744407	1.9998457	-9.8831301e-05	7.3404219e-05	0.074514111	-0.1316932	0.19790453	0.074513207	2.4510662e-05	4.2118107e-05	1	-0.10250373	0.16582904	-0.37149844	0.19789545	-0.13167346	0.37147464	-0.52933616	-0.25199081	-0.70643341	0.01296457	0.0055832456	0.9061615	-0.77784426	0.29693694	-0.20635118	0.022461544	1.9850532	0.21961779	0.13526183	1.6720784	0.32804573	0.13534051	0.072858103	1.8794057	0.90076038	0.0015623671	2.7985578e-05	-0.0065768098	0.89746616	-1.057159	-0.0065746795	-2.715019e-05	-0.00010660872	-0.46131159	0.23646171	-1.5753531	1.1453625	-1.0570884	0.89767405	-1.1457448	0.60017244	0.93542159	0.02642819	-11.300855	R0:S0:1	0.90076038	b8cfe21	v2.4.3	Y	Broyden	6	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@03:50
2x2_2C_8b_C2v_L	-0.99410459	0	9.9904885	-0.15581966	0.3175959	0.62744069	-0.23464088	0.23456902	0.62719639	0.62439897	-0.2027038	1.9999327	-0.00014065162	0.00012232551	0.074303514	-0.13131931	0.19887781	0.074302235	6.3161349e-06	3.180769e-05	1	-0.10290136	0.16736054	-0.37331436	0.1988555	-0.13126633	0.37331566	-0.52965028	-0.2500604	-0.70866574	0.017470292	0.0057829335	0.905363	-0.77794775	0.29979949	-0.2117432	0.022513985	1.9849534	0.22270985	0.13730621	1.6674424	0.33270957	0.13747251	0.073619201	1.8783916	0.90010101	0.0022005851	-1.7421871e-05	-0.0042537202	0.89998376	-1.0670976	-0.0041788325	3.9794719e-05	-0.00010963482	-0.46097699	0.23832982	-1.585385	1.152961	-1.0670598	0.9003083	-1.1537809	0.60115731	0.93679699	0.027264075	-11.301301	R0:S0:1	0.90010101	b8cfe21	v2.4.3	Y	Broyden	5	sharp_wc_2.0_b_35	self-energy/D	run_optim.py	2024-06-15@04:09
