model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.68166659	0	12.715614	1.383557	-0.26659651	1.3264989	0.26358112	1.3265502	0.2636538	0.70287275	0.47609229	2.8669403	-0.52609369	-4.4338439e-06	-0.40406259	0.14709834	-0.40404659	0.14712834	-0.18965877	0.00010685688	1	-1.2708185e-05	-0.19323352	-0.01929987	-0.094477224	0.019318398	0.094485785	7.4939761e-05	0.1056788	0.35641018	0.047592284	0.96922255	-0.64355845	-0.10692215	0.01951376	0.0048532581	1.9988384	0.031801712	0.13619274	0.031795105	0.13619516	0.013710123	0.0028144045	0.97149035	0.19692615	1.9480964e-05	0.49130487	-0.54760366	0.4912657	-0.54763164	0.35426005	-0.00021991183	-0.43724033	4.435411e-05	0.081970948	-0.16592311	0.84450008	0.16586012	-0.84451404	-8.406066e-05	-0.12517282	-0.025369391	-13.203622	R0:S0:1	0.97149036	b8cfe21	v2.4.3	Y	Broyden	36	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@12:57
2x2_2C_8b_C2v_L	-0.65772219	0	12.726232	1.4220284	-0.27506752	1.3384815	0.26565221	1.3384127	0.26562924	0.69071117	0.50930434	2.8711378	-0.52466282	4.6688557e-06	-0.40041201	0.14636892	-0.40041036	0.14635468	-0.18975909	-0.0001625413	1	3.7669907e-06	-0.19506196	-0.0174335	-0.083638846	0.017427132	0.083634783	-9.4233825e-05	0.099793268	0.34332376	0.046771687	0.9772714	-0.62558599	-0.093603212	0.019488066	0.0046708404	1.9989128	0.025075178	0.10765407	0.025077777	0.10764959	0.011251182	0.0023894557	0.97886757	0.19596479	-2.6596731e-05	0.44003383	-0.45407322	0.4400466	-0.45405763	0.32409151	0.00029890319	-0.43159716	-1.0761668e-05	0.082326378	-0.14605739	0.75926179	0.14608296	-0.7592454	0.00010297438	-0.11709609	-0.019297392	-13.211871	R0:S0:1	0.97886757	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@13:13
2x2_2C_8b_C2v_L	-0.65894523	0	12.707548	1.4268651	-0.27589043	1.3467322	0.26701893	1.3468221	0.26704944	0.70310792	0.51416886	2.8780926	-0.52767585	-3.3233458e-06	-0.40237313	0.14689031	-0.4023768	0.14690256	-0.18928582	5.237415e-05	1	-3.4338603e-06	-0.19523842	-0.01717464	-0.083107217	0.017182031	0.083110756	3.1527721e-05	0.09880881	0.35007273	0.046836725	0.9775003	-0.62544563	-0.095693241	0.019574576	0.0047201483	1.9989196	0.025046972	0.10682519	0.025044328	0.10682522	0.011013144	0.0023252828	0.97909396	0.19721809	1.7680962e-05	0.440822	-0.45294625	0.44081139	-0.45295601	0.32222328	-9.6204921e-05	-0.43190885	1.0512931e-05	0.082445919	-0.14742682	0.75681368	0.14739885	-0.75681508	-3.4303826e-05	-0.11554224	-0.019210439	-13.243669	R0:S0:1	0.97909396	b8cfe21	v2.4.3	Y	Broyden	14	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@13:32
2x2_2C_8b_C2v_L	-0.64749261	0	12.716698	1.4394205	-0.27895379	1.3431262	0.26585408	1.3431121	0.26583942	0.68341012	0.5303743	2.872976	-0.52366311	3.4011236e-06	-0.39853012	0.14598425	-0.39853469	0.14597431	-0.18991337	-0.0003395559	1	2.1377051e-06	-0.19578555	-0.016416043	-0.07819839	0.016412585	0.078200777	-0.00019760523	0.097045299	0.33654735	0.045698317	0.98086593	-0.61788669	-0.087969563	0.019515378	0.0045888717	1.9989483	0.022197987	0.094654954	0.022198994	0.094658139	0.01015592	0.0021922077	0.98219234	0.19544528	-1.9364216e-05	0.41777934	-0.41175423	0.41778451	-0.41174746	0.31101243	0.00058914362	-0.4294492	-6.9627111e-06	0.082458447	-0.1360213	0.71479594	0.13603402	-0.71482039	0.00021674452	-0.11303904	-0.016586275	-13.216718	R0:S0:1	0.98219234	b8cfe21	v2.4.3	Y	Broyden	17	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@13:54
2x2_2C_8b_C2v_L	-0.70767076	0	12.705793	0.98391364	-0.1961408	1.3031479	0.26428103	1.3032355	0.264295	0.71429457	0.45133992	2.8688196	-0.53915242	-0.11548558	-0.40624936	0.14660055	-0.40625773	0.14660375	-0.19063805	0.00018417038	1	-1.1060667e-05	-2.5812606e-05	-0.021666879	-0.10507848	0.021668997	0.10508388	0.00013848844	0.11481169	0.36440743	0.046304715	0.96150694	-0.66553781	-0.11562046	0.019553827	0.014140598	1.969954	0.03849653	0.15812416	0.038493633	0.15812777	0.017649218	0.0032273875	0.96202848	0.24547253	0.61113269	0.54098119	-0.62147031	0.54097013	-0.62147234	0.40183662	-0.00044739833	-0.44224971	3.7832575e-05	1.9842842e-05	-0.17571747	0.90746753	0.1757056	-0.90749181	-0.00014469443	-0.13301344	-0.025818067	-13.126556	R0:S0:1	0.96202848	b8cfe21	v2.4.3	Y	Broyden	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@14:12
2x2_2C_8b_C2v_L	-0.66082033	0	12.713063	1.4179274	-0.27422966	1.3380229	0.26581351	1.3381008	0.26586615	0.69397175	0.50664608	2.8715905	-0.52527027	-1.0691407e-05	-0.40109411	0.14650656	-0.40108641	0.14652913	-0.18964714	0.00011533138	1	-8.1301398e-06	-0.19483253	-0.017623632	-0.084853109	0.017636044	0.0848566	6.7115255e-05	0.10041242	0.34583405	0.046967566	0.97644824	-0.62784283	-0.095356425	0.0195287	0.0047031897	1.9989054	0.025794681	0.11060916	0.025790332	0.11060716	0.011480548	0.0024278702	0.978113	0.19633211	5.9076391e-05	0.44588549	-0.46409963	0.44586218	-0.46411659	0.3272351	-0.0002155002	-0.43247825	2.2842893e-05	0.082315433	-0.14860791	0.76905783	0.14856247	-0.76904727	-7.249856e-05	-0.11782816	-0.019938365	-13.215841	R0:S0:1	0.978113	b8cfe21	v2.4.3	Y	Broyden	12	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@14:28
2x2_2C_8b_C2v_L	-0.64811373	0	12.71903	1.4441863	-0.27966119	1.3508543	0.26694787	1.350735	0.26688356	0.69458622	0.53270061	2.8788333	-0.52638937	-1.1035514e-05	-0.40036179	0.14644195	-0.40036594	0.14641299	-0.18949222	0.00061381584	1	-8.9077501e-06	-0.19606667	-0.016208877	-0.077802616	0.016190877	0.077792913	0.00035513599	0.096097476	0.34266532	0.045773601	0.98095701	-0.61735127	-0.089774089	0.019539113	0.0046255686	1.9989527	0.022219054	0.094276525	0.022224148	0.094269546	0.0099855609	0.0021435119	0.98228806	0.19644991	6.1047573e-05	0.41853859	-0.41156689	0.41856807	-0.41153628	0.30937057	-0.0010652398	-0.4293147	2.6947752e-05	0.082564816	-0.13737813	0.7135466	0.13744218	-0.71351015	-0.00038733368	-0.11178085	-0.016572868	-13.242392	R0:S0:1	0.98228806	b8cfe21	v2.4.3	Y	Broyden	13	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@14:46
2x2_2C_8b_C2v_L	-0.6770085	0	12.708598	1.391704	-0.26833518	1.330201	0.26449272	1.3303395	0.26451194	0.70249939	0.48321572	2.868895	-0.52630453	5.8557059e-06	-0.40360637	0.14704701	-0.40360811	0.14706401	-0.1895813	-6.6643425e-05	1	4.7798721e-06	-0.19352846	-0.018923221	-0.092270796	0.018926584	0.092266468	-4.2503096e-05	0.10438578	0.35482582	0.047590126	0.97097959	-0.63996725	-0.10439275	0.019539335	0.0048271811	1.9988555	0.030343992	0.1300408	0.030339887	0.13003785	0.013145556	0.0027157783	0.97309688	0.19699615	-3.2283679e-05	0.48059576	-0.52778457	0.48058104	-0.52780299	0.34764668	0.00013487036	-0.43624317	-1.4015733e-05	0.082042585	-0.16217158	0.82756986	0.16214513	-0.82753296	4.627063e-05	-0.12332813	-0.024066417	-13.210375	R0:S0:1	0.97309688	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@15:01
2x2_2C_8b_C2v_L	-0.68712151	0	12.717301	1.3695789	-0.26352545	1.3167897	0.26209623	1.3170556	0.26215341	0.69633256	0.46747223	2.8601913	-0.5242401	-0.00012147646	-0.40344808	0.14687456	-0.40346187	0.14690964	-0.18994287	0.00029803636	1	-8.8900152e-05	-0.19241154	-0.019922005	-0.097394785	0.019941499	0.097405271	0.0002053397	0.10794111	0.35464063	0.047421383	0.96700032	-0.64852126	-0.10884327	0.019480484	0.004870057	1.9988158	0.03359958	0.14386157	0.033588594	0.14387483	0.014543914	0.0029769069	0.96946103	0.19632299	0.00067031387	0.5041544	-0.57159638	0.50410822	-0.57164025	0.36363797	-0.00064290129	-0.438676	0.00026033832	0.081730802	-0.16934413	0.86515249	0.16926404	-0.86519353	-0.00021593683	-0.12827986	-0.026965466	-13.176092	R0:S0:1	0.96946103	b8cfe21	v2.4.3	Y	Broyden	11	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@15:16
2x2_2C_8b_C2v_L	-0.72240327	0	12.714613	0.97457542	-0.19438395	1.2866486	0.26017135	1.2868114	0.26022719	0.7060938	0.43475362	2.8590939	-0.53902691	-0.12336643	-0.40637383	0.14638246	-0.40638236	0.14640502	-0.19118024	0.00016618982	1	-1.0610634e-05	-2.7161932e-05	-0.022759285	-0.11129009	0.022776576	0.11130121	0.00013557887	0.11928241	0.36475037	0.045051506	0.95603015	-0.67780817	-0.12226198	0.019498236	0.015715231	1.964959	0.043355367	0.17659632	0.043346204	0.17660286	0.019889413	0.0035550384	0.95667196	0.25139143	0.65715617	0.57514433	-0.67990134	0.57510594	-0.67992589	0.42696274	-0.00043351911	-0.44536725	3.641726e-05	2.2217917e-05	-0.18376492	0.95010871	0.18370245	-0.95013763	-0.00014166538	-0.13857445	-0.029045605	-13.105008	R0:S0:1	0.95667196	b8cfe21	v2.4.3	Y	Broyden	10	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-06-03@15:31
