CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	M	M_ave	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tbA1down_1	tbA1down_1_ave	tbA1up_1	tbA1up_1_ave	tbA2down_1	tbA2down_1_ave	tbA2up_1	tbA2up_1_ave	tbA3down_1	tbA3down_1_ave	tbA3up_1	tbA3up_1_ave	tbA4down_1	tbA4down_1_ave	tbA4up_1	tbA4up_1_ave	tbA5down_1	tbA5down_1_ave	tbA5up_1	tbA5up_1_ave	tbA6down_1	tbA6down_1_ave	tbA6up_1	tbA6up_1_ave	tbA7down_1	tbA7down_1_ave	tbA7up_1	tbA7up_1_ave	tbA8down_1	tbA8down_1_ave	tbA8up_1	tbA8up_1_ave	tbB1down_1	tbB1down_1_ave	tbB1up_1	tbB1up_1_ave	tbB2down_1	tbB2down_1_ave	tbB2up_1	tbB2up_1_ave	tbB3down_1	tbB3down_1_ave	tbB3up_1	tbB3up_1_ave	tbB4down_1	tbB4down_1_ave	tbB4up_1	tbB4up_1_ave	tbB5down_1	tbB5down_1_ave	tbB5up_1	tbB5up_1_ave	tbB6down_1	tbB6down_1_ave	tbB6up_1	tbB6up_1_ave	tbB7down_1	tbB7down_1_ave	tbB7up_1	tbB7up_1_ave	tbB8down_1	tbB8down_1_ave	tbB8up_1	tbB8up_1_ave	time	tp	tp_1_ave	tp_ave	trb1_1	trb1_1_ave	trb2_1	trb2_1_ave	trb3_1	trb3_1_ave	trb4_1	trb4_1_ave	trb5_1	trb5_1_ave	trb6_1	trb6_1_ave	trb7_1	trb7_1_ave	trb8_1	trb8_1_ave	version	
5	Broyden	0	-0.1981452825	-12.95329349	-1.292088185	Y	0	-9.078452777e-05	4.880593742	0.1196538208	self-energy	sharp_wc_2_b_35	0.6420334017	0.06152455616	0.6389002804	0.0611195534	0.2381143614	0.1691976973	0.2396796925	0.1689526055	0.3835996017	0.6166227011	0.6968450289	0.07476767696	0.696779062	0.07476895183	0.3835779473	0.6166269962	a248bdd	2x2_2C_8b_C2v_L	2.440296871	1.000329423	1.000408372	1.000002352709771	0.0646571661	-0.06584404295	0.3956688733	-0.4044471456	-0.2144104974	1.503208153	0.06010588642	-0.4207285939	0.2331820601	-1.918535335	-0.2142509467	0.6428787586	-0.2142138718	0.6427469383	0.2331960039	-1.918650028	boucle_1bande_AF.py	R0:S0:1	1	-0.7210441974	-1.292083771	0.398564203	-0.1015809203	0.3977382441	-0.1012276036	-0.0626970097	0.01604444295	-0.06699856009	0.01712575153	0.05670154638	-0.09962371039	0.0630977218	-0.1107596631	0.2152993849	-0.3776438689	0.2137283642	-0.3745919645	-0.2317498632	0.478844092	-0.2316666957	0.4787914935	-0.2175532352	0.1662247487	-0.2182019185	0.1670871431	0.2187584301	-0.1676014789	0.2187103591	-0.1676336917	0.2323922144	-0.4798559161	0.2320742258	-0.4794108058	-0.3985226829	0.1015081186	-0.3979409151	0.1015146947	0.06268799529	-0.01602483094	0.06701378864	-0.01714678847	0.05674939118	-0.0996368771	0.06300962378	-0.1107335789	0.2154273071	-0.3776798053	0.213451092	-0.3745003403	0.2325165795	-0.4798954453	0.2319944277	-0.479427564	0.218537958	-0.1672682051	0.2188928363	-0.1678930758	0.2175106051	-0.1661757455	0.2182707971	-0.1671977602	0.2317346621	-0.478747933	0.2316224493	-0.4788270999	2025-04-13@20:43	-0.002272954803	0.0003932674669	0.001942021681	-0.002151362088	0.002196384308	0.0003445104515	-0.0003497974781	-0.0008932434928	0.006253808378	-0.003177889113	0.02224060789	-0.0001530172033	0.0005038753404	-0.000256225397	0.001496658695	-0.0001840114139	0.001068490292	-0.0001006633355	0.0003447247307	v2.7.1	
1	Broyden	0	-0.1981633555	-12.87331659	-1.292081539	Y	0	-0.001320498019	4.880593742	0.1184750966	self-energy	sharp_wc_2_b_35	0.6425867064	0.06110915569	0.63849676	0.06158616451	0.2379650663	0.1679782307	0.2392287651	0.1702178324	0.3836989254	0.6165789939	0.6970396913	0.07474792529	0.69697556	0.0747497756	0.3836756974	0.6165838928	a248bdd	2x2_2C_8b_C2v_L	2.420296871	0.9979656289	0.9981392963	1.0000020958896418	0.06470098738	-0.06624482453	0.3957276401	-0.4068076933	-0.2139576183	1.4967779	0.0599377624	-0.4187530309	0.2332339701	-1.921365946	-0.2141850167	0.6442659676	-0.2141489214	0.6441376006	0.2332469051	-1.921476234	boucle_1bande_AF.py	R0:S0:1	1	-0.7210499688	-1.292084189	0.3986691852	-0.1013867184	0.3975527398	-0.1002979966	-0.06269365626	0.0160162977	-0.06695137093	0.01696668847	0.05679723577	-0.1000158648	0.06313540047	-0.1111420397	0.21574262	-0.3794017594	0.213863996	-0.3759780064	-0.2318754333	0.4786446063	-0.2315808152	0.4776424023	-0.217706654	0.1661660581	-0.2183044968	0.1664116463	0.2188668836	-0.1674894257	0.218781269	-0.1669214914	0.2324940346	-0.479619519	0.2319644856	-0.478227527	-0.398338678	0.1005786198	-0.3980440856	0.1013197169	0.06263146599	-0.01587178397	0.06702311136	-0.01712043947	0.05675472122	-0.09993371154	0.0631422977	-0.1112187957	0.2155700459	-0.3790875803	0.2138858491	-0.3762346891	0.2324046618	-0.4787064236	0.2320984971	-0.4791939729	0.218604472	-0.1665522252	0.219005538	-0.1677852505	0.2176175088	-0.1655077636	0.2184193295	-0.1671325483	0.2316508346	-0.4776028089	0.2317461866	-0.4786252224	2025-04-13@20:46	-0.002272954803	-0.0007172018004	-0.001165558758	-0.002159526365	0.002214722113	0.0003459339532	-0.0003531148674	-0.0008934365687	0.006243399164	-0.003182393492	0.02222958864	-0.0001524444394	0.0005020481695	-0.0002546025015	0.001490131991	-0.0001857686796	0.001078949366	-0.0001001997637	0.0003468009896	v2.7.1	
CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E_kin	GS_consistency	M	M_ave	U	U_1_ave	convergence	dist_function	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_ave	n_1	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	t	t_1_ave	t_ave	tbA1down_1	tbA1down_1_ave	tbA1up_1	tbA1up_1_ave	tbA2down_1	tbA2down_1_ave	tbA2up_1	tbA2up_1_ave	tbA3down_1	tbA3down_1_ave	tbA3up_1	tbA3up_1_ave	tbA4down_1	tbA4down_1_ave	tbA4up_1	tbA4up_1_ave	tbA5down_1	tbA5down_1_ave	tbA5up_1	tbA5up_1_ave	tbA6down_1	tbA6down_1_ave	tbA6up_1	tbA6up_1_ave	tbA7down_1	tbA7down_1_ave	tbA7up_1	tbA7up_1_ave	tbA8down_1	tbA8down_1_ave	tbA8up_1	tbA8up_1_ave	tbB1down_1	tbB1down_1_ave	tbB1up_1	tbB1up_1_ave	tbB2down_1	tbB2down_1_ave	tbB2up_1	tbB2up_1_ave	tbB3down_1	tbB3down_1_ave	tbB3up_1	tbB3up_1_ave	tbB4down_1	tbB4down_1_ave	tbB4up_1	tbB4up_1_ave	tbB5down_1	tbB5down_1_ave	tbB5up_1	tbB5up_1_ave	tbB6down_1	tbB6down_1_ave	tbB6up_1	tbB6up_1_ave	tbB7down_1	tbB7down_1_ave	tbB7up_1	tbB7up_1_ave	tbB8down_1	tbB8down_1_ave	tbB8up_1	tbB8up_1_ave	time	tp	tp_1_ave	tp_ave	trb1_1	trb1_1_ave	trb2_1	trb2_1_ave	trb3_1	trb3_1_ave	trb4_1	trb4_1_ave	trb5_1	trb5_1_ave	trb6_1	trb6_1_ave	trb7_1	trb7_1_ave	trb8_1	trb8_1_ave	version	
5	Broyden	0	-0.198145283	-12.9532935	-1.292088185	Y	0	-9.075914517e-05	4.880593742	0.1196538209	self-energy	sharp_wc_2_b_35	0.6420334082	0.0615245556	0.6389002851	0.06111955286	0.2381143644	0.1691976964	0.2396796959	0.168952605	0.3835996019	0.6166227024	0.6968450308	0.07476767676	0.6967790639	0.07476895162	0.3835779475	0.6166269974	a248bdd	2x2_2C_8b_C2v_L	2.440296871	1.000329423	1.000408372	1.0000023526990693	0.06465716591	-0.06584404259	0.3956688744	-0.4044471447	-0.2144104974	1.503208151	0.060105887	-0.4207285962	0.2331820606	-1.918535338	-0.2142509467	0.6428787573	-0.2142138718	0.6427469369	0.2331960044	-1.918650031	boucle_1bande_AF.py	R0:S0:1	1	-0.7210441975	-1.292083771	0.3985642033	-0.1015809147	0.3977382473	-0.1012276084	-0.06269700995	0.01604444213	-0.06699856069	0.01712575231	0.05670154622	-0.09962370999	0.06309772247	-0.1107596642	0.2152993846	-0.3776438665	0.2137283671	-0.3745919678	-0.2317498635	0.4788440839	-0.231666696	0.4787915027	-0.2175532309	0.1662247377	-0.218201923	0.1670871538	0.2187584257	-0.1676014678	0.2187103635	-0.1676337023	0.2323922146	-0.4798559081	0.2320742261	-0.4794108151	-0.3985226863	0.1015081238	-0.3979409156	0.1015146891	0.06268799589	-0.01602483166	0.06701378883	-0.01714678753	0.0567493918	-0.09963687821	0.0630096234	-0.1107335783	0.2154273096	-0.3776798086	0.2134510909	-0.3745003376	0.2325165797	-0.4798954544	0.2319944277	-0.479427556	0.2185379627	-0.1672682159	0.2188928322	-0.167893065	0.2175106098	-0.1661757564	0.2182707931	-0.1671977495	0.2317346623	-0.4787479421	0.2316224494	-0.4788270918	2025-04-13@20:48	-0.002272954803	0.0003932675688	0.00194202193	-0.002151362129	0.002196384333	0.0003445104367	-0.000349797357	-0.0008932433133	0.006253807469	-0.00317788918	0.02224060813	-0.0001530172792	0.0005038753416	-0.0002562252145	0.00149665802	-0.00018401126	0.001068489751	-0.0001006634178	0.0003447247403	v2.7.1	
2	Broyden	0	-0.198224616	-12.79383082	-1.292128899	Y	0	-0.0003463035859	4.880593742	0.1173240303	self-energy	sharp_wc_2_b_35	0.6458744066	0.06059652888	0.6351677872	0.06220870595	0.2377115608	0.1667813172	0.2386878166	0.1716286783	0.3840454289	0.6164449467	0.6977201997	0.07471759145	0.6976635621	0.07471902477	0.3840179047	0.6164502165	a248bdd	2x2_2C_8b_C2v_L	2.400296871	0.9956130443	0.9958515464	1.0000021196719948	0.06490884572	-0.06671117144	0.3951757805	-0.4094549364	-0.2135845607	1.490993468	0.05976638376	-0.4167673944	0.2336823447	-1.925697573	-0.2136696196	0.6426090729	-0.2136349023	0.6424882486	0.233694137	-1.925805695	boucle_1bande_AF.py	R0:S0:1	1	-0.7210525848	-1.292138638	0.3990147395	-0.1004947367	0.3981329296	-0.1000005754	-0.06260665502	0.01590737691	-0.06694654348	0.01695618223	0.0567266099	-0.1001545121	0.06320549469	-0.1115719947	0.2159750366	-0.3809115622	0.2141783119	-0.3776493623	-0.2315937308	0.477347814	-0.2313909221	0.4770455876	-0.2184049595	0.166284842	-0.2191362759	0.1671195104	0.2193809222	-0.1673924836	0.2194920179	-0.1674969439	0.2321089618	-0.4781609043	0.2316749656	-0.4774868134	-0.3989303924	0.1002837566	-0.3983777145	0.1004252776	0.06257581106	-0.01584803958	0.06698396154	-0.01701731587	0.05670914298	-0.1001304931	0.06318265458	-0.111583282	0.2159157159	-0.3808218831	0.2140898394	-0.3776845258	0.2321073729	-0.4779519842	0.2317209466	-0.4777490168	0.2192972974	-0.1671075153	0.2195393952	-0.1677117821	0.2184631557	-0.1662301993	0.2191001412	-0.1672298793	0.2314743719	-0.4770242882	0.2314523695	-0.4773121919	2025-04-13@20:49	-0.002272954803	-0.001848605968	-0.004284739065	-0.002193245287	0.002257113255	0.0003505365379	-0.000359212195	-0.0009041591042	0.006306375861	-0.003225597282	0.02249036225	-0.0001484169784	0.0004887426751	-0.0002496317325	0.001460448708	-0.0001937492258	0.001128256564	-0.0001063093556	0.0003637697532	v2.7.1	
1	Broyden	0	-0.1981839429	-13.03339651	-1.29211073	Y	0	-0.0005195662981	4.880593742	0.1208433794	self-energy	sharp_wc_2_b_35	0.6407250458	0.06210467142	0.640859299	0.06068454395	0.2368863603	0.1705608623	0.2391585396	0.1677490917	0.3839237755	0.6164791013	0.6978255155	0.07472359051	0.6977673712	0.07472493058	0.3838969323	0.6164847902	a248bdd	2x2_2C_8b_C2v_L	2.460296871	1.002690405	1.0026826	1.0000022905225896	0.06450859395	-0.06539138236	0.3958952884	-0.4021920135	-0.2145051691	1.509279301	0.06010909065	-0.4219640221	0.2331126648	-1.915208566	-0.2146366906	0.6422902579	-0.2146013803	0.6421667862	0.2331246553	-1.915316408	boucle_1bande_AF.py	R0:S0:1	1	-0.7210620305	-1.2920993	0.3984718242	-0.1023495462	0.3975570801	-0.1017592426	-0.06267017726	0.01614392225	-0.0670025502	0.01718997016	0.05643939869	-0.09901285576	0.06285784915	-0.1102550121	0.2149102522	-0.3761706792	0.2130955101	-0.3729114911	-0.232117874	0.4799660901	-0.2318933805	0.4795446977	-0.2174652275	0.1664641014	-0.2181770265	0.1672029467	0.2184640632	-0.1676097668	0.2185479027	-0.1676040211	0.2326507505	-0.4808058712	0.2321937417	-0.4800064126	-0.398349984	0.1020433134	-0.397841584	0.1022815447	0.06263419977	-0.0160708685	0.06704570701	-0.01726625568	0.05641428993	-0.0989780024	0.06284297325	-0.1102779218	0.2148196699	-0.37603916	0.2130339862	-0.3729857008	0.2326263743	-0.4804747917	0.2322622726	-0.4803895118	0.2183539793	-0.1672142737	0.2186213513	-0.1679278505	0.2175017082	-0.1663076458	0.2181628463	-0.16741667	0.2319735102	-0.4795195018	0.2319799707	-0.4799352858	2025-04-13@20:50	-0.002272954803	0.001516083216	0.005028725955	-0.002173987494	0.002212418708	0.0003480669679	-0.0003524265186	-0.0009087173739	0.006385826997	-0.003240989906	0.02274815158	-0.0001491685168	0.0004897064252	-0.0002498041638	0.001455655984	-0.0001923366837	0.001114613293	-0.0001054753948	0.0003607017087	v2.7.1	
1	Broyden	0	-0.1980126623	-12.71449673	-1.292238494	Y	0	-0.01264346123	4.880593742	0.1161877334	self-energy	sharp_wc_2_b_35	0.6475020933	0.06012123901	0.6333041527	0.0627847968	0.238314933	0.1655684104	0.2383268002	0.1730501844	0.3839677915	0.6166737427	0.6979594643	0.07479130577	0.6979017941	0.07479598951	0.3839428546	0.6166814125	a248bdd	2x2_2C_8b_C2v_L	2.380296871	0.993249849	0.9935792091	1.000002211118984	0.06500340928	-0.0671807853	0.3949948689	-0.4121539337	-0.2133744321	1.485344634	0.05956190803	-0.4145705174	0.2339792507	-1.929985712	-0.2131856663	0.6417413906	-0.2131499923	0.6416076776	0.2339893252	-1.930074521	boucle_1bande_AF.py	R0:S0:1	1	-0.7210315481	-1.29225529	0.4005536061	-0.1034208815	0.397030038	-0.095942019	-0.06273862841	0.01635846942	-0.06669343501	0.01628143134	0.05702519863	-0.1007953938	0.06300020941	-0.1115121167	0.2173949345	-0.3842078192	0.2134460254	-0.3777504109	-0.2318991472	0.4810345426	-0.2304487364	0.4715652023	-0.220010538	0.1705793396	-0.2188089887	0.1636134427	0.2208812246	-0.1715782304	0.2190923935	-0.1639127165	0.2323488081	-0.481754638	0.2306717585	-0.4719173128	-0.3978301159	0.09621866228	-0.3999073966	0.1033426006	0.06230244869	-0.01520496202	0.06716289322	-0.01751073428	0.05644994194	-0.09994154381	0.06360438032	-0.1124514591	0.2151949045	-0.3809544055	0.2154816884	-0.3809227468	0.2310950783	-0.4723594054	0.2319657282	-0.4813414334	0.2188872841	-0.1635123559	0.2210516343	-0.1719105549	0.218148537	-0.1627507173	0.2206966962	-0.1715247939	0.230540326	-0.4715583927	0.2317487897	-0.4809880453	2025-04-13@20:51	-0.002272954803	-0.002966103419	-0.007389537227	-0.002216192813	0.002289002103	0.0003539812096	-0.0003633846739	-0.0009111621642	0.006338653917	-0.003253272321	0.02264109821	-0.0001460433581	0.0004785809918	-0.0002464846087	0.001445431997	-0.0001982430915	0.001152471618	-0.0001079194689	0.0003730250874	v2.7.1	
1	Broyden	0	-0.1981581114	-13.11392167	-1.292237992	Y	0	-0.00066604193	4.880593742	0.1220631845	self-energy	sharp_wc_2_b_35	0.63896049	0.0626671132	0.6425667748	0.0602493893	0.2364811834	0.1719858539	0.2392067017	0.1666303705	0.3838647794	0.6168258182	0.6978649324	0.0747701604	0.6978070934	0.07477145546	0.3838386662	0.6168316336	a248bdd	2x2_2C_8b_C2v_L	2.480296871	1.005049748	1.004955973	1.000001490300642	0.0643791011	-0.06498163408	0.3961255037	-0.4000330886	-0.2148393351	1.515946912	0.06020957241	-0.4237178255	0.2329224341	-1.912196318	-0.2150111994	0.6424450519	-0.2149760791	0.642323705	0.2329344376	-1.912306338	boucle_1bande_AF.py	R0:S0:1	1	-0.7210444793	-1.292219467	0.3982845947	-0.1030393607	0.3973516214	-0.1023827863	-0.06267631011	0.01623309971	-0.06701254816	0.01727678994	0.05633811319	-0.09864018531	0.06274469005	-0.109846143	0.2146016229	-0.3747560698	0.2127539308	-0.3714675148	-0.2323096442	0.4810114797	-0.2320690585	0.4804867954	-0.2171979955	0.1665965959	-0.2178802502	0.1672358093	0.2181804237	-0.1677281663	0.2182402454	-0.1676280313	0.232835482	-0.4818387811	0.232362966	-0.4809359918	-0.3981437371	0.1026694325	-0.3976563397	0.102970186	0.06263876855	-0.01615159112	0.0670563789	-0.01736062684	0.05630564103	-0.09859596037	0.06273965958	-0.1098805045	0.2144765551	-0.3745860531	0.2127248415	-0.371578755	0.2327943423	-0.4814039501	0.2324482967	-0.4814234228	0.2180441859	-0.1672360555	0.2183403404	-0.1680498541	0.2172057908	-0.1663396898	0.2178946367	-0.1675492239	0.2321493677	-0.4804615451	0.2321714526	-0.4809798795	2025-04-13@20:53	-0.002272954803	0.002640059617	0.008150377302	-0.002172213171	0.002203549621	0.0003481418515	-0.0003522454246	-0.0009097728342	0.006414858881	-0.003254351291	0.02289424028	-0.0001493921796	0.0004893395955	-0.0002489931055	0.001450076053	-0.0001927009298	0.001116040369	-0.0001060928513	0.0003622232156	v2.7.1	
1	Broyden	0	-0.1981086245	-13.19510397	-1.292459008	Y	0	-0.006264646358	4.880593742	0.1233155915	self-energy	sharp_wc_2_b_35	0.6367606588	0.06324063107	0.644268573	0.05978985837	0.2365463336	0.1734346505	0.2397044349	0.1655111234	0.3837921379	0.6174027686	0.6985356936	0.07481600887	0.6984815552	0.07481912671	0.3837717592	0.6174096268	a248bdd	2x2_2C_8b_C2v_L	2.500296871	1.007413032	1.007230435	1.0000020291333134	0.06418322518	-0.06453758363	0.3963893983	-0.3978427351	-0.2153038992	1.523048446	0.06028087948	-0.4250684053	0.2326238309	-1.909047811	-0.2156210415	0.6435724563	-0.2155894346	0.6434621199	0.232635678	-1.909152124	boucle_1bande_AF.py	R0:S0:1	1	-0.7210314774	-1.292433429	0.3986267527	-0.1052069263	0.3965859479	-0.1015697285	-0.0627069245	0.01652366197	-0.06693365968	0.01711242152	0.05626153505	-0.09822197825	0.06246043329	-0.1091955499	0.2150088536	-0.3741833713	0.2119619682	-0.3693993937	-0.233043736	0.4843485457	-0.2320776244	0.4797541785	-0.217287325	0.1682607261	-0.2171810911	0.1654490965	0.2180809432	-0.1691820971	0.2174147797	-0.1657041173	0.2334642089	-0.4850110695	0.2322733307	-0.480053545	-0.3973853873	0.1018550075	-0.3979899593	0.1051341446	0.06250407168	-0.0159848261	0.06715746013	-0.01769083537	0.05592509815	-0.09779583501	0.06279431708	-0.1096558282	0.2137084585	-0.3725552027	0.2130957408	-0.3709548424	0.2326904014	-0.4805006727	0.2330852918	-0.4846069453	0.2171973558	-0.1652908755	0.2182625449	-0.169532047	0.2165255882	-0.1645739587	0.2179683484	-0.1691993404	0.2321713437	-0.4797459819	0.232894674	-0.4842995627	2025-04-13@20:56	-0.002272954803	0.003762884531	0.01125335444	-0.002193278139	0.002218354754	0.0003514487517	-0.000353907831	-0.0009294858415	0.00656739618	-0.003324238972	0.02343998753	-0.0001461933018	0.0004775299605	-0.0002433135014	0.001415038982	-0.0001996284371	0.001153896361	-0.0001103711009	0.0003775834426	v2.7.1	
4	Broyden	0	-0.1981726033	-12.63579837	-1.292477255	Y	0	0.0003290432239	4.880593742	0.1150906203	self-energy	sharp_wc_2_b_35	0.6486836987	0.05969837324	0.6317226535	0.06335645314	0.2387723631	0.1645213765	0.2380929741	0.1745834205	0.3838454682	0.6174789913	0.698069947	0.07485354798	0.6980177156	0.07485483122	0.3838257012	0.6174818262	a248bdd	2x2_2C_8b_C2v_L	2.360296871	0.9908854861	0.9912973532	1.0000024720005576	0.0650700086	-0.0676381361	0.394868584	-0.4148740166	-0.2131580151	1.480134085	0.05941223	-0.4127457649	0.2342071841	-1.93485376	-0.2128871385	0.6418435722	-0.2128550753	0.6417269833	0.2342189576	-1.934955367	boucle_1bande_AF.py	R0:S0:1	1	-0.7210114395	-1.29250114	0.3992979514	-0.09917624083	0.3985921961	-0.09911818731	-0.06246104522	0.01568259597	-0.06689592456	0.01682013824	0.05679564259	-0.1006861465	0.06345070937	-0.1124678346	0.2167297516	-0.3843972076	0.2149536827	-0.3812041177	-0.2310302159	0.4756040639	-0.2309141406	0.4758095889	-0.2195066649	0.1666451276	-0.2202747893	0.1678249246	0.2203027242	-0.1675414069	0.2205136042	-0.1680732878	0.2314364758	-0.4762472045	0.2311000165	-0.4761062062	-0.399399535	0.09940237588	-0.3986490548	0.09910376485	0.06246789778	-0.01570247005	0.06689401837	-0.01679862848	0.05679911255	-0.1007028957	0.0634074686	-0.1124348898	0.2167276582	-0.3844583668	0.2148115827	-0.3810913643	0.2315199466	-0.4765536752	0.2310574035	-0.4758519889	0.2203000878	-0.1676648145	0.2204802813	-0.1678837749	0.2196207164	-0.1669565613	0.2201849817	-0.1675666423	0.231013545	-0.4758094981	0.2308758259	-0.4755488744	2025-04-13@20:56	-0.002272954803	-0.004084018521	-0.01050825388	-0.002232582113	0.002315553141	0.0003564677211	-0.000367000048	-0.0009165170151	0.006358978798	-0.003270770705	0.02272157909	-0.0001446549025	0.0004770413349	-0.0002444492134	0.00143284989	-0.0002016060349	0.001176001581	-0.0001092592902	0.0003757086908	v2.7.1	
