w	up_1	down_1	cumul_up_1	cumul_down_1	
-5.8375	0.0884699	0.00732045	0.0582702	0.337868
-5.8	0.087384	0.00694264	0.0615471	0.338128
-5.7625	0.0857699	0.00659934	0.0647635	0.338375
-5.725	0.0830476	0.00628683	0.0678778	0.338611
-5.6875	0.0798081	0.00600158	0.0708706	0.338836
-5.65	0.0773002	0.00574046	0.0737693	0.339051
-5.6125	0.0764772	0.00550076	0.0766372	0.339258
-5.575	0.0776066	0.00528016	0.0795475	0.339456
-5.5375	0.0804533	0.00507666	0.0825645	0.339646
-5.5	0.0844404	0.00488844	0.085731	0.339829
-5.4625	0.088595	0.0047137	0.0890533	0.340006
-5.425	0.0914906	0.00455069	0.0924842	0.340177
-5.3875	0.0915867	0.00439789	0.0959187	0.340342
-5.35	0.0881123	0.00425442	0.0992229	0.340501
-5.3125	0.0818137	0.00411994	0.102291	0.340656
-5.275	0.0746347	0.00399417	0.10509	0.340806
-5.2375	0.0684361	0.00387667	0.107656	0.340951
-5.2	0.0640821	0.0037669	0.110059	0.341092
-5.1625	0.0614452	0.00366437	0.112363	0.34123
-5.125	0.0596579	0.00356864	0.114601	0.341363
-5.0875	0.0576603	0.00347932	0.116763	0.341494
-5.05	0.0551049	0.00339592	0.118829	0.341621
-5.0125	0.0524581	0.00331761	0.120796	0.341746
-4.975	0.0502571	0.00324313	0.122681	0.341867
-4.9375	0.0487158	0.00317127	0.124508	0.341986
-4.9	0.04782	0.00310171	0.126301	0.342103
-4.8625	0.0474744	0.00303512	0.128081	0.342216
-4.825	0.0475601	0.00297243	0.129865	0.342328
-4.7875	0.0479173	0.00291418	0.131662	0.342437
-4.75	0.0482686	0.0028605	0.133472	0.342544
-4.7125	0.04823	0.00281136	0.135281	0.34265
-4.675	0.0476165	0.00276667	0.137066	0.342754
-4.6375	0.0466842	0.00272607	0.138817	0.342856
-4.6	0.0458629	0.0026883	0.140537	0.342957
-4.5625	0.045397	0.00265084	0.142239	0.343056
-4.525	0.0453233	0.0026114	0.143939	0.343154
-4.4875	0.0456038	0.00257041	0.145649	0.34325
-4.45	0.0462019	0.00253053	0.147381	0.343345
-4.4125	0.0470964	0.0024939	0.149148	0.343439
-4.375	0.0482636	0.00246096	0.150957	0.343531
-4.3375	0.0496256	0.00243067	0.152818	0.343622
-4.3	0.0509702	0.00240121	0.15473	0.343712
-4.2625	0.0519473	0.00237159	0.156678	0.343801
-4.225	0.0523092	0.00234259	0.158639	0.343889
-4.1875	0.0521675	0.00231565	0.160596	0.343976
-4.15	0.0518324	0.00229167	0.162539	0.344062
-4.1125	0.0515318	0.00227095	0.164472	0.344147
-4.075	0.0513982	0.00225353	0.166399	0.344231
-4.0375	0.0515093	0.00223909	0.168331	0.344315
-4	0.0518656	0.00222666	0.170276	0.344399
-3.9625	0.0523973	0.00221434	0.172241	0.344482
-3.925	0.0530043	0.00220028	0.174228	0.344564
-3.8875	0.0536175	0.00218438	0.176239	0.344646
-3.85	0.0542342	0.00216828	0.178273	0.344728
-3.8125	0.0548942	0.00215377	0.180331	0.344808
-3.775	0.0556098	0.00214184	0.182417	0.344889
-3.7375	0.0563369	0.00213278	0.184529	0.344969
-3.7	0.0569959	0.00212653	0.186667	0.345049
-3.6625	0.0575432	0.00212306	0.188825	0.345128
-3.625	0.0580157	0.00212255	0.191	0.345208
-3.5875	0.0585153	0.00212499	0.193194	0.345287
-3.55	0.0591487	0.00212951	0.195413	0.345367
-3.5125	0.0599411	0.00213399	0.19766	0.345447
-3.475	0.0608489	0.00213626	0.199942	0.345527
-3.4375	0.0618516	0.00213659	0.202262	0.345608
-3.4	0.0629556	0.00213767	0.204622	0.345688
-3.3625	0.0641496	0.00214185	0.207028	0.345768
-3.325	0.0653821	0.00214944	0.20948	0.345849
-3.2875	0.0665499	0.00215828	0.211975	0.34593
-3.25	0.0675111	0.00216476	0.214507	0.346011
-3.2125	0.0681585	0.002167	0.217063	0.346092
-3.175	0.0684956	0.00216685	0.219632	0.346173
-3.1375	0.0686223	0.00216736	0.222205	0.346255
-3.1	0.0687801	0.00217027	0.224784	0.346336
-3.0625	0.0693783	0.0021763	0.227386	0.346418
-3.025	0.0706893	0.00218585	0.230037	0.346499
-2.9875	0.0726139	0.00219914	0.23276	0.346582
-2.95	0.0748988	0.00221621	0.235569	0.346665
-2.9125	0.0773884	0.00223682	0.238471	0.346749
-2.875	0.0800447	0.00226008	0.241472	0.346834
-2.8375	0.0828798	0.00228416	0.24458	0.346919
-2.8	0.0859008	0.00230721	0.247802	0.347006
-2.7625	0.0890744	0.00232895	0.251142	0.347093
-2.725	0.0922871	0.00235101	0.254603	0.347181
-2.6875	0.095259	0.00237546	0.258175	0.34727
-2.65	0.0974953	0.00240373	0.261831	0.347361
-2.6125	0.0985262	0.00243644	0.265526	0.347452
-2.575	0.0983705	0.00247382	0.269215	0.347545
-2.5375	0.0976448	0.00251604	0.272876	0.347639
-2.5	0.0970436	0.00256338	0.276515	0.347735
-2.4625	0.0965919	0.00261565	0.280138	0.347833
-2.425	0.0954472	0.00267107	0.283717	0.347933
-2.3875	0.0924637	0.0027261	0.287184	0.348036
-2.35	0.0870164	0.00277784	0.290447	0.34814
-2.3125	0.0796731	0.00282749	0.293435	0.348246
-2.275	0.0720561	0.00287969	0.296137	0.348354
-2.2375	0.0655608	0.00293899	0.298596	0.348464
-2.2	0.0604971	0.00300802	0.300864	0.348577
-2.1625	0.0564794	0.00308756	0.302982	0.348693
-2.125	0.052964	0.00317699	0.304968	0.348812
-2.0875	0.0495942	0.0032751	0.306828	0.348935
-2.05	0.0465945	0.00338125	0.308576	0.349061
-2.0125	0.044561	0.00349491	0.310247	0.349192
-1.975	0.0438651	0.00361399	0.311891	0.349328
-1.9375	0.0444585	0.00373668	0.313559	0.349468
-1.9	0.0459243	0.00386391	0.315281	0.349613
-1.8625	0.0476181	0.00399844	0.317067	0.349763
-1.825	0.0491271	0.00414609	0.318909	0.349918
-1.7875	0.0505748	0.00431565	0.320805	0.35008
-1.75	0.05225	0.00451341	0.322765	0.35025
-1.7125	0.0541403	0.00473823	0.324795	0.350427
-1.675	0.0558935	0.00498104	0.326891	0.350614
-1.6375	0.0570777	0.00523215	0.329031	0.35081
-1.6	0.0575271	0.00549473	0.331189	0.351016
-1.5625	0.0575032	0.00578821	0.333345	0.351233
-1.525	0.0575119	0.00613527	0.335502	0.351463
-1.4875	0.0580303	0.00654647	0.337678	0.351709
-1.45	0.0593474	0.007015	0.339903	0.351972
-1.4125	0.0614732	0.00753115	0.342209	0.352254
-1.375	0.0641535	0.00810978	0.344614	0.352558
-1.3375	0.0670662	0.0087909	0.347129	0.352888
-1.3	0.0697581	0.00960861	0.349745	0.353248
-1.2625	0.0713807	0.0105651	0.352422	0.353645
-1.225	0.0717568	0.0116393	0.355113	0.354081
-1.1875	0.0715114	0.0128379	0.357795	0.354563
-1.15	0.0710584	0.0142148	0.360459	0.355096
-1.1125	0.0710206	0.0158072	0.363123	0.355688
-1.075	0.0722036	0.0175386	0.36583	0.356346
-1.0375	0.0748568	0.0192071	0.368637	0.357066
-1	0.0785091	0.020629	0.371581	0.35784
-0.9625	0.0824487	0.0218002	0.374673	0.358657
-0.925	0.0862069	0.0229151	0.377906	0.359517
