model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.8487384	0	14	3.4161	-0.63854365	-5.5933858	-5.57903	-0.61428714	-5.5817158	-0.61500792	0.57229427	-4.6380387	11.1	2.7319643e-05	-1.271174e-05	3.5395723e-06	-6.4057076e-06	-5.0753106e-06	-4.0563369e-08	-0.22587171	-1.6059383e-05	-0.21706028	-1.2962447	1.8847701	0.21642028	-1.8851162	-0.21664276	-5.9256802e-05	-2.371021	2.0342	1	0.236	3.5740501e-07	1.283829	1.6661511	-0.48962936	-0.11889334	0.051364517	0.15507839	1.996535	1.9645106	1.8731893	1.9930673	1.8731824	1.993053	0.0089276778	1.7057499	1.1524101	-9.3294377e-05	1.3456741e-05	5.5269907e-07	1.5285428e-05	6.5239905e-06	2.6379137e-06	0.38799593	1.3533088e-05	0.18269462	0.58475915	-1.3234278	-0.30793945	1.3235701	0.30828201	4.9754122e-05	2.2277263	2	2	0	0	-97.298334	R0:S0:1	1.1524101	-122.9424	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:18
2x2_2C_8b_C2v_L	9.8488952	0	14	3.4161	-0.65170935	-5.617124	-5.5964381	-0.62917947	-5.5936109	-0.62790636	0.58343662	-4.6482164	11.11	-2.2413738e-05	9.241759e-06	-1.3875457e-05	2.0556731e-05	2.4811735e-05	-5.7700885e-05	-0.22603184	7.3556259e-06	-0.21785861	-1.2973456	1.8855222	0.21758774	-1.8852245	-0.21724247	1.206381e-05	-2.3710462	2.0342	1	0.236	-7.9379285e-07	1.2838317	1.6661576	-0.48961149	-0.11888593	0.051361317	0.1550593	1.996513	1.9645383	1.8732592	1.9930056	1.873245	1.9930254	0.0089350637	1.7057794	1.1523923	8.0025427e-05	-5.3481041e-06	1.6733977e-05	-3.7054369e-05	-1.7926573e-05	0.00012718371	0.3881505	-1.0413644e-05	0.18328212	0.58456052	-1.32317	-0.309335	1.3231759	0.30887996	-6.7593789e-06	2.2275803	2	2	0	0	-97.547482	R0:S0:1	1.1523923	-123.1024	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:25
2x2_2C_8b_C2v_L	9.8489302	0	14	3.4161	-0.66257468	-5.6258249	-5.609355	-0.64071334	-5.6077688	-0.63991919	0.59098203	-4.655284	11.12	3.3352344e-06	-1.3877336e-05	1.2014624e-05	-6.047657e-06	-8.8418629e-06	7.5468505e-06	-0.22518426	-1.3957239e-05	-0.21800563	-1.2971204	1.8858604	0.21799825	-1.8856789	-0.21777499	-2.9425995e-05	-2.3706029	2.0342	1	0.236	1.9697798e-07	1.2838323	1.6661585	-0.48960745	-0.11888451	0.051360496	0.15505728	1.9965089	1.964539	1.8732933	1.9929843	1.8732942	1.9929976	0.0088774265	1.7056958	1.1523911	-1.0180882e-05	1.5817947e-05	-1.0232657e-05	1.2051984e-05	2.7654791e-06	-1.7724706e-05	0.38688867	5.4250753e-06	0.18339268	0.58456137	-1.3230044	-0.30980916	1.3229369	0.30950026	2.6350519e-05	2.2278515	2	2	0	0	-97.741919	R0:S0:1	1.1523911	-123.2624	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:31
2x2_2C_8b_C2v_L	9.849019	0	14	3.4161	-0.67346184	-5.6493303	-5.6217872	-0.65100136	-5.6117032	-0.64485554	0.59841535	-4.6641425	11.13	5.0474266e-05	-1.6634418e-05	-1.9096585e-05	5.4604265e-05	2.4650218e-05	-3.3692111e-05	-0.22476328	-5.5482218e-06	-0.21865998	-1.2982274	1.8860954	0.21830202	-1.8851095	-0.21683203	-1.3777407e-05	-2.3704582	2.0342	1	0.236	-2.6379395e-09	1.283834	1.666161	-0.48959811	-0.11887904	0.05135818	0.15505697	1.9964886	1.9645641	1.8733042	1.9929642	1.8732365	1.993045	0.00885255	1.7056801	1.1523925	-0.00017252079	1.7662425e-05	7.481723e-06	-0.00011917462	-3.0971082e-05	6.3367715e-05	0.38633812	1.033704e-05	0.18393505	0.58438338	-1.3230178	-0.31027113	1.3231539	0.30842939	8.5970956e-06	2.2278642	2	2	0	0	-97.931617	R0:S0:1	1.1523925	-123.4224	uncorrelated	2	8eae08f	v2.2.3	YY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:36
2x2_2C_8b_C2v_L	9.8490308	0	14	3.4161	-0.68445364	-5.652056	-5.6351854	-0.66417966	-5.6290172	-0.66120478	0.61390984	-4.6776144	11.14	1.0825542e-05	-1.4033209e-05	-1.6832474e-05	2.732625e-05	-3.3718484e-05	5.6247982e-05	-0.22597522	9.8539545e-07	-0.21842222	-1.2976079	1.8864992	0.21883863	-1.8858437	-0.21800394	9.3962171e-06	-2.370967	2.0342	1	0.236	1.8764744e-08	1.2838339	1.6661652	-0.48959514	-0.11888111	0.051359095	0.15504374	1.9964982	1.9645553	1.8733454	1.9929398	1.8733242	1.9929883	0.0089285225	1.7057686	1.1523772	-3.655684e-05	1.6712404e-05	2.1818567e-05	-6.0439435e-05	3.5819744e-05	-0.00011981999	0.38800427	-3.027524e-06	0.18367536	0.58443098	-1.3228026	-0.31081024	1.3227344	0.30969439	-8.4688322e-06	2.2275974	2	2	0	0	-98.147466	R0:S0:1	1.1523772	-123.5824	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:42
2x2_2C_8b_C2v_L	9.8489729	0	14	3.4161	-0.69403098	-5.66379	-5.6324804	-0.66617597	-5.6353023	-0.6685293	0.62070738	-4.6857177	11.15	0.00012396247	-9.1188923e-05	2.4728052e-05	-4.5202149e-05	3.0918641e-06	-2.3981014e-06	-0.22518166	2.5855055e-05	-0.21844925	-1.297789	1.8852805	0.21680833	-1.8855185	-0.21735547	9.5295347e-05	-2.3707577	2.0342	1	0.236	-5.2865421e-07	1.2838331	1.6661617	-0.48960266	-0.11888232	0.051359691	0.15506801	1.9964966	1.9645559	1.873211	1.9930486	1.8732368	1.9930193	0.0088774001	1.7057007	1.1524022	-0.00041540204	0.00010985047	-2.558979e-05	9.4141968e-05	-5.5055246e-06	8.1286228e-06	0.38688794	-2.1669757e-05	0.18371672	0.58442767	-1.323353	-0.30836639	1.3232729	0.30903014	-8.8070159e-05	2.2278323	2	2	0	0	-98.271245	R0:S0:1	1.1524022	-123.7424	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:47
2x2_2C_8b_C2v_L	9.8491169	0	14	3.4161	-0.70578738	-5.6801109	-5.6486401	-0.68095399	-5.6543736	-0.68469972	0.62994225	-4.6940549	11.16	7.1136925e-05	-5.8082701e-05	-1.0540801e-05	1.824931e-05	-1.1827997e-06	-2.6099668e-06	-0.22473755	2.0779747e-05	-0.21877974	-1.2983362	1.8858634	0.21790264	-1.8863945	-0.21884946	5.4964737e-05	-2.3705052	2.0342	1	0.236	-9.5926643e-07	1.2838356	1.6661672	-0.48958609	-0.11887584	0.051356738	0.15504771	1.9964876	1.9645635	1.8733064	1.9929939	1.8733488	1.9929415	0.008844672	1.70567	1.1523832	-0.00023280995	7.4900973e-05	1.1437429e-05	-3.7411196e-05	4.0601568e-06	5.6609545e-06	0.38616467	-2.1636548e-05	0.18396027	0.58439068	-1.3228535	-0.30957883	1.322756	0.31076613	-4.8591673e-05	2.2278938	2	2	0	0	-98.517069	R0:S0:1	1.1523832	-123.9024	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@15:54
2x2_2C_8b_C2v_L	9.8490996	0	14	3.4161	-0.71485866	-5.6857406	-5.6664312	-0.69561548	-5.6581189	-0.69137355	0.64021976	-4.7042334	11.17	9.7805918e-06	-1.4082935e-06	-2.0592632e-05	2.7937621e-05	-3.4075512e-05	7.0715348e-05	-0.22475295	5.7997292e-06	-0.21852467	-1.2980069	1.8866341	0.21909722	-1.8857758	-0.21796492	3.2253296e-05	-2.3705673	2.0342	1	0.236	3.3708188e-07	1.2838352	1.6661676	-0.48958765	-0.11887732	0.051357382	0.15505011	1.9964949	1.9645544	1.8733575	1.9929274	1.8733178	1.9929921	0.0088450812	1.705661	1.152385	-3.5164762e-05	-1.5832763e-06	2.2130686e-05	-6.1554186e-05	3.6494799e-05	-0.00014654541	0.38617598	4.9153068e-08	0.18376622	0.58445408	-1.3227572	-0.31108901	1.3227507	0.30960887	-2.9542199e-05	2.2279413	2	2	0	0	-98.692673	R0:S0:1	1.152385	-124.0624	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:01
2x2_2C_8b_C2v_L	9.8491691	0	14	3.4161	-0.72649423	-5.7074168	-5.6694637	-0.7013212	-5.6687132	-0.70058109	0.64663466	-4.7113776	11.18	0.00011918703	-8.9932069e-05	1.8341595e-05	1.040655e-06	-2.1381988e-05	3.5800378e-05	-0.22371247	-1.8023347e-06	-0.21913509	-1.2989412	1.8859714	0.21800939	-1.8859328	-0.21782183	-1.4525977e-05	-2.370197	2.0342	1	0.236	-3.6983262e-07	1.2838366	1.6661686	-0.48958073	-0.11887244	0.051355251	0.15505603	1.9964766	1.9645755	1.8732979	1.9929871	1.8732834	1.9929969	0.0087754991	1.7055861	1.152393	-0.00038181751	0.0001085892	-2.0303182e-05	-8.4435986e-06	7.2075834e-06	-7.7541418e-05	0.38464276	-5.7239101e-06	0.18425317	0.58430884	-1.32295	-0.30974363	1.3230265	0.30952549	8.0379826e-06	2.2281597	2	2	0	0	-98.870343	R0:S0:1	1.152393	-124.2224	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:06
2x2_2C_8b_C2v_L	9.8492476	0	14	3.4161	-0.74297503	-5.7355621	-5.6761255	-0.70873429	-5.6774534	-0.71050332	0.65916921	-4.7230848	11.19	4.7037737e-06	-6.5527728e-06	1.361873e-05	-1.538941e-05	2.4320189e-05	-6.2924833e-05	-0.22438728	1.6910567e-05	-0.22066864	-1.3000874	1.8857381	0.21729063	-1.8858172	-0.21765755	4.4776894e-05	-2.3704275	2.0342	1	0.236	-7.5221266e-07	1.283838	1.6661719	-0.48957215	-0.11886812	0.051353521	0.15504928	1.9964352	1.9646318	1.8732458	1.9930258	1.8732648	1.9930071	0.0088183359	1.7056599	1.152387	-1.4566835e-05	1.2308927e-05	-1.1162865e-05	3.703038e-05	-2.4904646e-05	0.00012747626	0.38558102	-1.5347313e-05	0.18533959	0.58386623	-1.3232053	-0.3088813	1.3231228	0.30930045	-3.6612648e-05	2.2278837	2	2	0	0	-99.088886	R0:S0:1	1.152387	-124.3824	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:13
