GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	3.0461	-0.32526896	-3.3804734	-3.3896761	0.013871267	-3.3892121	0.013864806	0.024597981	-3.0892421	a248bdd	2x2_2C_8b_C2v_L	9.84	validité_data_2022.py	-0.17317272	1.0292796	-1.4938991	0.12269802	1.4938041	-0.12271335	0.15924103	-1.9813418	2024-08-12@14:43	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.32344306	-3.3789843	-3.3967392	0.014284971	-3.396696	0.014209318	0.025001793	-3.0968329	a248bdd	2x2_2C_8b_C2v_L	9.85	validité_data_2022.py	-0.1711813	1.0291444	-1.4940766	0.12226626	1.4940156	-0.12227576	0.1588218	-1.9813641	2024-08-12@14:43	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.32750806	-3.3904231	-3.4033985	0.0148493	-3.403492	0.01488721	0.025859662	-3.1042903	a248bdd	2x2_2C_8b_C2v_L	9.86	validité_data_2022.py	-0.17103689	1.0300158	-1.4943305	0.12119217	1.4943775	-0.1211957	0.1576726	-1.981641	2024-08-12@14:44	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.32793315	-3.395968	-3.4108601	0.015340179	-3.4108853	0.015345982	0.026476588	-3.1117006	a248bdd	2x2_2C_8b_C2v_L	9.87	validité_data_2022.py	-0.16985241	1.0304905	-1.4946757	0.12045244	1.4946834	-0.12044108	0.15689787	-1.9817508	2024-08-12@14:44	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.33035675	-3.3888482	-3.4174062	0.017996683	-3.4182162	0.017958923	0.029548698	-3.1204939	a248bdd	2x2_2C_8b_C2v_L	9.88	validité_data_2022.py	-0.16789735	1.0295288	-1.4948636	0.11957308	1.4950106	-0.11956668	0.15635433	-1.9822491	2024-08-12@14:44	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.33047375	-3.4033844	-3.4258741	0.017030055	-3.4265434	0.017009098	0.028497709	-3.1271655	a248bdd	2x2_2C_8b_C2v_L	9.89	validité_data_2022.py	-0.16750495	1.030834	-1.4952792	0.11912713	1.4954177	-0.11913485	0.15570975	-1.9820329	2024-08-12@14:45	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.33020407	-3.3958433	-3.4350013	0.018928988	-3.4331117	0.01903525	0.031076348	-3.1358481	a248bdd	2x2_2C_8b_C2v_L	9.9	validité_data_2022.py	-0.16521052	1.0299252	-1.4959932	0.1181701	1.495623	-0.11816079	0.15503573	-1.9825808	2024-08-12@14:45	1.9019	1	0.2229	v2.7.1	
YY	9.5	3.0461	-0.33517754	-3.4114343	-3.4414221	0.019432425	-3.4418515	0.019467048	0.031425443	-3.1435365	a248bdd	2x2_2C_8b_C2v_L	9.91	validité_data_2022.py	-0.16533501	1.0311119	-1.4959744	0.11792209	1.4960616	-0.11794866	0.15481589	-1.9826019	2024-08-12@14:46	1.9019	1	0.2229	v2.7.1	
NY	9.5	3.0461	-0.3338627	-3.4177339	-3.449054	0.018585653	-3.4494704	0.01856892	0.030254347	-3.1508551	a248bdd	2x2_2C_8b_C2v_L	9.92	validité_data_2022.py	-0.16408561	1.0315941	-1.4961271	0.11783463	1.4961842	-0.11783788	0.15458273	-1.9824251	2024-08-12@14:46	1.9019	1	0.2229	v2.7.1	
YY	9.5	3.0461	-0.3376384	-3.4244035	-3.4563203	0.020957585	-3.4572366	0.020879862	0.033266289	-3.1591555	a248bdd	2x2_2C_8b_C2v_L	9.93	validité_data_2022.py	-0.16325912	1.0320124	-1.4964949	0.11683916	1.4966632	-0.11684534	0.15389614	-1.9828652	2024-08-12@14:47	1.9019	1	0.2229	v2.7.1	
YY	9.5	3.0461	-0.33449389	-3.4172201	-3.4642218	0.021780844	-3.4645205	0.021779706	0.034576566	-3.1667354	a248bdd	2x2_2C_8b_C2v_L	9.94	validité_data_2022.py	-0.16085025	1.0312098	-1.4968449	0.11611491	1.4969198	-0.11611226	0.1533188	-1.9829913	2024-08-12@14:47	1.9019	1	0.2229	v2.7.1	
