model	E_kin	D	J	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	tpp	ave_D	ave_mu	ave_t	ave_tp	ave_tpp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-0.83624571	0	1	0.16634365	0.14152845	0.24694298	0.59360914	0.5937675	0.24695321	-0.30443477	0.56100224	2.10075	0.16330782	0.0021606799	0.19275015	0.10358393	0.10363918	0.19273617	2.7018077e-05	2.5417223e-05	1	0.0021270285	-0.14919673	-0.15972804	0.27201239	-0.27198611	0.15977553	-0.26011078	-0.4080537	-0.39925	-0.001999999	0.0029275524	0.91184561	-0.7815783	0.13749725	-0.11418058	0.017683762	0.05494706	0.22699291	0.304428	0.074570877	0.074530459	0.30445972	1.9042745	0.040160072	0.90748809	-0.35595819	-0.0050996821	-0.95455715	-0.10331977	-0.10350473	-0.95454535	-3.5161797e-05	-8.0673828e-05	-0.45232328	-0.019421907	1.4410884	1.0118507	-0.85133545	0.85109568	-1.0120066	0.86599698	0.46965943	-0.00176083	-10.761506	R0:S0:1	0.90748809	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:42
2x2_2C_8b_C2v_L	-0.83624571	0	1	0.16634365	0.14152845	0.24694298	0.59360914	0.5937675	0.24695321	-0.30443477	0.56100224	2.10075	0.16330782	0.0021606799	0.19275015	0.10358393	0.10363918	0.19273617	2.7018077e-05	2.5417223e-05	1	0.0021270285	-0.14919673	-0.15972804	0.27201239	-0.27198611	0.15977553	-0.26011078	-0.4080537	-0.39925	-0.001999999	0.0029275524	0.91184561	-0.7815783	0.13749725	-0.11418058	0.017683762	0.05494706	0.22699291	0.304428	0.074570877	0.074530459	0.30445972	1.9042745	0.040160072	0.90748809	-0.35595819	-0.0050996821	-0.95455715	-0.10331977	-0.10350473	-0.95454535	-3.5161797e-05	-8.0673828e-05	-0.45232328	-0.019421907	1.4410884	1.0118507	-0.85133545	0.85109568	-1.0120066	0.86599698	0.46965943	-0.00176083	-10.761506	R0:S0:1	0.90748809	b8cfe21	v2.4.3	Y	Broyden	0	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-14@19:42
