model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	2.6394444	-0.0045029172	-3.2954979	-3.952538	-0.095464456	-3.9525336	-0.095460746	0.13235863	-3.5674464	9.6355556	-9.6836703e-06	4.4076405e-07	0.0099084766	-0.16019143	0.0099083157	-0.16019087	-2.0257029e-06	-1.0121736e-05	-0.1104743	-1.0834772	1.6935986	0.049427786	-1.693598	-0.04942341	0.22316987	-2.2326957	2.0058889	1	0.24561111	0.12981214	0.24266484	1.9434614	1.8170945	1.5728053	1.8170951	1.5727905	0.017375162	1.5825729	1.1047057	0.00010960315	-5.7886675e-06	0.094981446	1.1146085	0.094977412	1.1146301	1.9602995e-05	1.6841404e-05	1.1189033	0.72343362	-1.5117055	-0.57445995	1.5117026	0.57443886	-0.28779032	2.4582631	0.028212886	0.21934384	0.05513687	0.16843907	0.35471835	0.16843852	0.35472959	0.017461241	0.3318701	0.035144055	4.0338929	5.3654527	5.1120551	5.076342	5.1120513	5.0763402	4.3206554	6.0453396	5.2789546	2.7662428	3.3807906	5.1150772	3.3807833	5.1151147	3.7306449	3.2685705	-74.014751	R0:S0:1	-55.968889	uncorrelated	b7fd39a	v1.0.3	 1.31e+02	 1.69e-02	 1.00e+06	2022-07-26@16:23
2x2_2C_8b_C2v_L	0	14	2.6394444	-0.0047583441	-3.2781094	-3.9110503	-0.094642875	-3.9110546	-0.094638434	0.13133027	-3.5188142	9.6355556	9.446031e-06	-5.5174712e-06	0.0097801229	-0.15976874	0.0097810287	-0.15976483	1.0494442e-07	8.9992857e-07	-0.11011818	-1.0776061	1.6799228	0.048893792	-1.6799239	-0.048892378	0.22261356	-2.2139384	2.0058889	1	0.24561111	0.12931203	0.24942367	1.9432454	1.8178651	1.5677174	1.8178627	1.5677176	0.017658445	1.5823714	1.1044577	-0.00010939765	1.1306383e-05	0.09427713	1.1155876	0.094275742	1.1155518	1.1698783e-06	-1.9999254e-06	1.1208392	0.72637595	-1.5072208	-0.57196676	1.5072365	0.57197403	-0.28939109	2.4533925	0.028121741	0.22474902	0.055327003	0.16774938	0.35700887	0.16775142	0.35701323	0.017743534	0.33195401	0.034989348	4.0720929	5.3516127	5.1053732	5.0859926	5.1053732	5.085996	4.3139903	6.0469164	5.2807021	2.7760932	3.3781645	5.129936	3.3781859	5.1299185	3.7371129	3.2741178	-73.657013	R0:S0:1	-55.968889	uncorrelated	b7fd39a	v1.0.3	 1.31e+02	 7.16e-04	 1.46e-02	2022-07-26@16:29
2x2_2C_8b_C2v_L	0	14	2.7073333	-0.0036891062	-3.2782217	-3.9113082	-0.093844684	-3.911313	-0.093847039	0.13061716	-3.5201092	9.6266667	1.0551006e-05	-2.3821549e-06	0.009409133	-0.15969081	0.0094086868	-0.15969157	5.2467039e-07	1.8645354e-06	-0.10999868	-1.0773183	1.6798653	0.047013406	-1.679866	-0.047012302	0.22236856	-2.2141127	1.9870667	1	0.25473333	0.12908939	0.24746307	1.9434383	1.8181085	1.5684225	1.8181091	1.5684258	0.017661843	1.5831955	1.1042589	-0.00011788063	5.3095721e-06	0.093595083	1.1151366	0.093596781	1.1151433	-4.5136664e-06	-4.1036099e-06	1.1172394	0.72521881	-1.5063477	-0.5627327	1.5063441	0.56272657	-0.28928141	2.4512534	0.028080761	0.22310135	0.055148363	0.16755579	0.35778957	0.16755526	0.35778655	0.017747102	0.33148689	0.034938205	4.063809	5.3519211	5.1051119	5.0802356	5.1051119	5.0802299	4.3149061	6.043105	5.2813728	2.7768449	3.3807897	5.1286549	3.3807864	5.1286551	3.7363602	3.2773758	-73.615815	R0:S0:1	-55.354667	uncorrelated	b7fd39a	v1.0.3	 1.27e+02	 1.70e-02	 1.00e+06	2022-07-26@16:34
2x2_2C_8b_C2v_L	0	14	2.7073333	-0.0041304832	-3.2619952	-3.869306	-0.09321838	-3.8693054	-0.093215661	0.12962672	-3.4714395	9.6266667	9.6253185e-06	2.8318653e-05	0.0093231094	-0.15920704	0.0093228606	-0.15920616	-3.105504e-06	-8.3946946e-06	-0.1096298	-1.0716512	1.6661611	0.046694821	-1.6661609	-0.046694464	0.22167645	-2.1954512	1.9870667	1	0.25473333	0.12858939	0.25463596	1.9432128	1.8188228	1.5636197	1.818822	1.5636245	0.017932254	1.5828342	1.1039958	-0.00011407119	-7.0601362e-05	0.09305227	1.1158747	0.09305689	1.1158431	3.665508e-05	3.1867954e-05	1.119647	0.72823585	-1.5020246	-0.56120062	1.5020349	0.5611958	-0.29069423	2.4467223	0.02798931	0.22884183	0.055347199	0.16691193	0.35968145	0.16691273	0.35968166	0.018016721	0.33165184	0.034787693	4.1035483	5.3379212	5.0984715	5.090415	5.0984691	5.0904136	4.3082553	6.045347	5.2832029	2.7867199	3.3780465	5.1433881	3.3780704	5.1433626	3.7427508	3.282646	-73.259542	R0:S0:1	-55.354667	uncorrelated	b7fd39a	v1.0.3	 1.27e+02	 9.29e-04	 1.44e-02	2022-07-26@16:39
2x2_2C_8b_C2v_L	0	14	2.7752222	-0.0030490888	-3.2621423	-3.8700089	-0.092429358	-3.8700134	-0.092430175	0.1291669	-3.4745298	9.6177778	1.0232547e-05	2.7172627e-06	0.0089629734	-0.15917653	0.0089616005	-0.15917499	-4.2460917e-07	-6.0642984e-07	-0.10950593	-1.0713872	1.6661589	0.044867195	-1.66616	-0.044867841	0.22160989	-2.1961577	1.9682444	1	0.26385556	0.12836964	0.25266163	1.9434041	1.8190814	1.5639272	1.8190799	1.5639357	0.017954972	1.5837286	1.103795	-0.00011367152	-8.3389548e-06	0.092371552	1.1157166	0.092375295	1.1156837	5.2048081e-06	3.146364e-06	1.1159921	0.72706675	-1.5010928	-0.55222286	1.5011036	0.55223304	-0.29077667	2.4445557	0.027948721	0.22716432	0.055169904	0.16670382	0.36072568	0.16670516	0.36072229	0.018039592	0.33114861	0.034738014	4.0952544	5.3382772	5.0980381	5.0849505	5.0980391	5.0849516	4.3093814	6.0411871	5.2841246	2.7873711	3.3805171	5.1426785	3.3805359	5.1426487	3.7418326	3.285845	-73.224646	R0:S0:1	-54.740444	uncorrelated	b7fd39a	v1.0.3	 1.22e+02	 1.71e-02	 1.00e+06	2022-07-26@16:44
2x2_2C_8b_C2v_L	0	14	2.7752222	-0.003532918	-3.248312	-3.8272826	-0.091782615	-3.8272917	-0.091782402	0.12819817	-3.4253329	9.6177778	1.5667189e-05	9.8859355e-09	0.008852935	-0.15867509	0.0088523058	-0.15867506	-9.4534232e-07	-6.542022e-06	-0.10916972	-1.066048	1.6523349	0.044504259	-1.6523369	-0.044501193	0.22092312	-2.1773268	1.9682444	1	0.26385556	0.12785653	0.26086325	1.9431467	1.8197471	1.5581124	1.8197473	1.5581092	0.018269091	1.5831575	1.1034993	-0.00017705254	-5.465056e-06	0.091905531	1.1173582	0.091904975	1.1173607	1.3660771e-05	1.2264951e-05	1.1191963	0.7304258	-1.4968656	-0.55076664	1.4968666	0.55075177	-0.29236309	2.4403281	0.027854475	0.23363803	0.055397091	0.16609252	0.36305623	0.16609228	0.36305982	0.018353089	0.33141886	0.034590833	4.1398875	5.3232664	5.0908788	5.0964383	5.0908756	5.0964316	4.3025548	6.0442882	5.2867303	2.7976688	3.3770227	5.1604441	3.3770264	5.1604556	3.7483514	3.2907978	-72.869122	R0:S0:1	-54.740444	uncorrelated	b7fd39a	v1.0.3	 1.22e+02	 8.78e-04	 1.45e-02	2022-07-26@16:49
2x2_2C_8b_C2v_L	0	14	2.8431111	-0.0023275987	-3.2480441	-3.8283213	-0.09096898	-3.8283267	-0.090967375	0.12762391	-3.4275965	9.6088889	1.7215959e-05	-5.9071167e-08	0.0084840729	-0.15866182	0.0084842847	-0.15866153	1.7971026e-06	5.2548742e-06	-0.10903281	-1.0656589	1.6523621	0.042575507	-1.6523647	-0.042575191	0.22084194	-2.1777519	1.9494222	1	0.27297778	0.12763298	0.25856868	1.9433588	1.8200248	1.5582607	1.8200239	1.5582633	0.018286206	1.584082	1.1033013	-0.0001865879	2.5195114e-06	0.091157921	1.1172216	0.09115935	1.1172117	-1.2965062e-05	-8.0002154e-06	1.1151246	0.72912102	-1.4958922	-0.5412698	1.4958978	0.54127096	-0.29242081	2.4380256	0.027813154	0.23168211	0.055200636	0.16586875	0.36433523	0.16586954	0.36433501	0.018370379	0.33090032	0.034538551	4.1303778	5.3237581	5.0904157	5.0906629	5.0904166	5.0906591	4.303585	6.040019	5.2877621	2.7982876	3.3796304	5.1597411	3.3796369	5.159731	3.7475185	3.2941315	-72.832479	R0:S0:1	-54.126222	uncorrelated	b7fd39a	v1.0.3	 1.18e+02	 1.69e-02	 1.00e+06	2022-07-26@16:54
2x2_2C_8b_C2v_L	0	14	2.8431111	-0.002731389	-3.2313202	-3.7877602	-0.090783389	-3.7877755	-0.090787088	0.12663213	-3.3773044	9.6088889	-7.1131485e-06	-8.1113519e-08	0.0084299785	-0.15838447	0.0084303246	-0.15838545	-1.1837974e-06	1.6110517e-07	-0.10867567	-1.0599595	1.6390379	0.042287404	-1.6390407	-0.042289917	0.22010357	-2.158634	1.9494222	1	0.27297778	0.12712787	0.26581684	1.9431478	1.8207219	1.5546904	1.8207221	1.554696	0.018526563	1.5835895	1.1030255	7.8255029e-05	6.7836052e-08	0.090738451	1.1174421	0.090738761	1.1174357	5.6016932e-06	-5.3079657e-07	1.1173231	0.73199025	-1.491702	-0.5393752	1.4917022	0.53938701	-0.29364501	2.4335734	0.027720239	0.23750221	0.055387151	0.16524634	0.36541696	0.16524614	0.36541193	0.018610548	0.33113257	0.034388885	4.1691836	5.3101745	5.0842521	5.0993612	5.0842509	5.0993638	4.2968478	6.0428549	5.2897452	2.8081346	3.3776285	5.1722841	3.3776312	5.1722746	3.7540305	3.2995459	-72.480154	R0:S0:1	-54.126222	uncorrelated	b7fd39a	v1.0.3	 1.18e+02	 7.36e-04	 1.45e-02	2022-07-26@16:59
2x2_2C_8b_C2v_L	0	14	2.911	-0.0017500747	-3.2310572	-3.7881302	-0.090017145	-3.788142	-0.090015167	0.12622679	-3.3793038	9.6	-7.1959126e-06	1.1488858e-06	0.0080885741	-0.15826608	0.0080883782	-0.15826608	2.1847712e-06	7.0561897e-07	-0.10854383	-1.0596112	1.638926	0.040594833	-1.6389286	-0.040591526	0.21996214	-2.1590228	1.9306	1	0.2821	0.12690184	0.26421776	1.9433136	1.820961	1.5543508	1.8209617	1.5543458	0.018555764	1.5843396	1.1028084	7.7377978e-05	-1.2412995e-06	0.090134743	1.1175301	0.090134755	1.1175471	-1.3621271e-05	-1.6681748e-06	1.114172	0.7310023	-1.4908019	-0.53122602	1.4907981	0.5312089	-0.29369917	2.4316455	0.027678296	0.23609503	0.055232725	0.16504889	0.36675693	0.16504825	0.36676058	0.018640058	0.33070264	0.034341169	4.1632272	5.3099728	5.0834071	5.0951235	5.0834051	5.0951172	4.297825	6.0393073	5.2908151	2.8089505	3.3796311	5.1730322	3.3796239	5.1730506	3.7531913	3.3024702	-72.440442	R0:S0:1	-53.512	uncorrelated	b7fd39a	v1.0.3	 1.14e+02	 1.73e-02	 1.00e+06	2022-07-26@17:03
2x2_2C_8b_C2v_L	0	14	2.911	-0.002029047	-3.2120894	-3.7455393	-0.089462573	-3.7455483	-0.089465157	0.12528798	-3.3298151	9.6	-2.2459711e-05	1.4944617e-06	0.0079973203	-0.15788635	0.0079975635	-0.15788717	3.889912e-06	9.0858399e-06	-0.10819432	-1.0535861	1.6251393	0.040206906	-1.6251411	-0.040210555	0.21938877	-2.1401123	1.9306	1	0.2821	0.12637948	0.27321121	1.9429964	1.8215532	1.5473059	1.8215531	1.5473178	0.018922322	1.5834599	1.1024714	0.00024482723	3.4148408e-06	0.089683567	1.1205598	0.089687103	1.1205523	-3.4412077e-05	-1.7924899e-05	1.1177633	0.73459234	-1.4867959	-0.52982585	1.4867951	0.5298449	-0.29554785	2.4279835	0.027581609	0.2429287	0.055514588	0.16449084	0.36961593	0.16449097	0.36960634	0.019006004	0.33112674	0.034200606	4.2113326	5.2943972	5.0757157	5.107628	5.0757187	5.1076309	4.291098	6.0435706	5.2948557	2.8192098	3.3754899	5.1945295	3.3754885	5.1945033	3.7596424	3.3069409	-72.075219	R0:S0:1	-53.512	uncorrelated	b7fd39a	v1.0.3	 1.14e+02	 7.02e-04	 1.47e-02	2022-07-26@17:08
