GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	3.4473	-0.0098591894	-3.9295269	-3.8518474	-0.0021894908	-3.8507206	-0.0021490023	0.0037403934	-3.6255487	a248bdd	2x2_2C_8b_C2v_L	11.84	validity_data_2022.py	0.066817906	1.05023	-1.4562829	0.11215855	1.4560796	0.11219904	-0.14699969	-1.8998377	2024-08-14@09:11	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.010530565	-3.9222002	-3.8491031	-0.0026849989	-3.8474604	-0.0026388362	0.0039316648	-3.6215687	a248bdd	2x2_2C_8b_C2v_L	11.83	validity_data_2022.py	0.067052969	1.0497489	-1.4560704	0.11257199	1.4557886	0.11258712	-0.14735555	-1.8998049	2024-08-14@09:11	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.011162468	-3.9146354	-3.8477776	-0.0030221471	-3.8462168	-0.0029794282	0.0040525551	-3.6179107	a248bdd	2x2_2C_8b_C2v_L	11.82	validity_data_2022.py	0.067280108	1.0492464	-1.456169	0.11292096	1.4558891	0.11297053	-0.14766886	-1.8998185	2024-08-14@09:12	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.011779647	-3.9092323	-3.8475747	-0.0032650417	-3.8462084	-0.0032857623	0.0042467228	-3.6141429	a248bdd	2x2_2C_8b_C2v_L	11.81	validity_data_2022.py	0.067459137	1.0488925	-1.4565467	0.11333597	1.4562302	0.11334106	-0.14803887	-1.899828	2024-08-14@09:13	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.0126453	-3.905435	-3.8419324	-0.003440982	-3.8412474	-0.0034371149	0.0045434608	-3.6108887	a248bdd	2x2_2C_8b_C2v_L	11.8	validity_data_2022.py	0.067746998	1.0488893	-1.4558614	0.11371277	1.4557199	0.11374949	-0.14837985	-1.8999785	2024-08-14@09:13	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.013034161	-3.8975312	-3.8360808	-0.0035140992	-3.8378898	-0.0035396185	0.0048189534	-3.6086396	a248bdd	2x2_2C_8b_C2v_L	11.79	validity_data_2022.py	0.067982373	1.0483708	-1.4551921	0.11408757	1.4555734	0.11415629	-0.14873898	-1.9003972	2024-08-14@09:14	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.013391796	-3.8895012	-3.8384496	-0.0036434543	-3.8339828	-0.0035686643	0.0050754757	-3.6030863	a248bdd	2x2_2C_8b_C2v_L	11.78	validity_data_2022.py	0.06811956	1.0478005	-1.456026	0.11452827	1.4552214	0.11439947	-0.14900904	-1.8999632	2024-08-14@09:14	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.013940779	-3.8833353	-3.8356412	-0.0035868561	-3.8345545	-0.0035116038	0.0054045424	-3.5998993	a248bdd	2x2_2C_8b_C2v_L	11.77	validity_data_2022.py	0.06843286	1.0474522	-1.455964	0.11483193	1.4557763	0.11490507	-0.14934289	-1.9001742	2024-08-14@09:15	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.014504906	-3.879267	-3.8323521	-0.0034478079	-3.8315554	-0.0034869333	0.0057092026	-3.5962463	a248bdd	2x2_2C_8b_C2v_L	11.76	validity_data_2022.py	0.068697255	1.0473676	-1.4557947	0.1152449	1.4556639	0.11518791	-0.14963752	-1.9002583	2024-08-14@09:16	1.9316	1	0.2377	v2.7.1	
NY	9.5	3.4473	-0.014794318	-3.8752954	-3.8299477	-0.0032617145	-3.8288594	-0.0032200187	0.0060100618	-3.5920699	a248bdd	2x2_2C_8b_C2v_L	11.75	validity_data_2022.py	0.06898237	1.0473465	-1.4558443	0.11558705	1.4556696	0.11559943	-0.14992943	-1.9001895	2024-08-14@09:16	1.9316	1	0.2377	v2.7.1	
