model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895528	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123791	-0.15441082	0.063539432	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:26
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895527	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123792	-0.15441082	0.063539433	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:27
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895527	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123792	-0.15441082	0.063539433	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:30
2x2_2C_8b_C2v_L	9.6386111	11.5	3.3038	0.0046278025	-4.971522	-5.0931064	0.012951838	-5.0932632	0.012903432	0.01121563	-4.8252338	12.8	0.061491655	1.0775531	-1.5333953	0.10243532	1.5333797	-0.10245133	-0.12821637	-1.9852431	1.9569	1	0.292	1.2780436	1.7607688	-0.44572701	-0.1560254	0.064173155	0.27617166	0.0016600428	1.9519517	1.7522095	0.0027724362	1.7522887	0.0027745714	0.00086910162	1.4494798	1.2714985	-0.17867383	-0.55332087	1.7207138	-0.18633168	-1.7202987	0.18641324	0.10580567	2.963004	2	2	0	0	-98.761706	R0:N12:S0:1	1.4623465	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:32
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.6895527	11.5	3.3038	0.0033788173	-4.9859299	-5.0945465	0.012126131	-5.0950232	0.012113883	0.010935138	-4.824408	12.8	0.06101004	1.0733875	-1.5264382	0.10169133	1.526494	-0.10167933	-0.12728769	-1.9760957	1.9469	1	0.292	1.2787561	1.7628663	-0.44123792	-0.15441082	0.063539433	0.27511962	0.0016193298	1.9520389	1.7532727	0.0027013018	1.7533304	0.0027015722	0.00085512113	1.4514983	1.2704956	-0.17644705	-0.55426227	1.7181558	-0.18409624	-1.7178808	0.18410949	0.10502587	2.9576316	2	2	0	0	-98.740598	R0:N12:S0:1	1.4661794	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	3	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:33
2x2_2C_8b_C2v_L	9.5875588	11.5	3.3038	0.0060134586	-4.9584039	-5.0911686	0.013665335	-5.0904442	0.013701648	0.011466127	-4.8263058	12.8	0.061951788	1.081868	-1.540215	0.10318523	1.540113	-0.10320273	-0.12915968	-1.9944298	1.9669	1	0.292	1.2773316	1.758672	-0.45019734	-0.15762476	0.064803412	0.2772224	0.0017003327	1.9518709	1.751208	0.0028473307	1.7511469	0.0028472058	0.00088334603	1.4474951	1.2725002	-0.18085049	-0.5523516	1.7228895	-0.18866285	-1.7231617	0.18865675	0.10659259	2.9683011	2	2	0	0	-98.782743	R0:N12:S0:1	1.4585286	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:34
2x2_2C_8b_C2v_L	9.7404299	11.5	3.3038	0.0020340548	-4.9985825	-5.0963259	0.011256698	-5.0998744	0.011245938	0.010615921	-4.8239636	12.8	0.06050721	1.0690177	-1.5195354	0.10093813	1.5200456	-0.10093566	-0.12638206	-1.9669796	1.9369	1	0.292	1.2794698	1.7649616	-0.43672441	-0.1527779	0.062900677	0.27402425	0.0015779428	1.952112	1.7542756	0.0026284123	1.7545622	0.0026327192	0.00084170775	1.4535733	1.269449	-0.17414927	-0.55531252	1.7160065	-0.18175747	-1.7147311	0.18191563	0.10426679	2.9520884	2	2	0	0	-98.72355	R0:N12:S0:1	1.4700033	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:35
2x2_2C_8b_C2v_L	9.5363714	11.5	3.3038	0.0072008114	-4.9468261	-5.0892973	0.014383831	-5.0888524	0.014407213	0.011700344	-4.8279144	12.8	0.062406218	1.0862959	-1.5470476	0.10393389	1.5470006	-0.10396393	-0.13011685	-2.0037135	1.9769	1	0.292	1.2766198	1.7565717	-0.45465217	-0.1592098	0.065430881	0.27824396	0.0017409665	1.9518026	1.7501634	0.002922184	1.7501036	0.0029228385	0.0008976656	1.4455581	1.2734722	-0.1830195	-0.55132861	1.7253262	-0.19094953	-1.7256136	0.19096617	0.10737724	2.9735015	2	2	0	0	-98.810556	R0:N12:S0:1	1.4547287	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:36
2x2_2C_8b_C2v_L	9.7913033	11.5	3.3038	0.0006525316	-5.0135616	-5.0995873	0.01037115	-5.1003006	0.01039737	0.010269126	-4.8234764	12.8	0.059981202	1.0648808	-1.5128429	0.10016297	1.5129465	-0.10017948	-0.1254655	-1.957862	1.9269	1	0.292	1.2801859	1.7670674	-0.43217758	-0.15112667	0.062257749	0.27294608	0.001536568	1.9522037	1.7554606	0.0025604845	1.7555189	0.0025621523	0.00082811863	1.4556506	1.2684197	-0.17182309	-0.55624942	1.7129436	-0.17955556	-1.7126829	0.17961631	0.10349212	2.9465566	2	2	0	0	-98.705268	R0:N12:S0:1	1.4738809	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:37
2x2_2C_8b_C2v_L	9.4853384	11.5	3.3038	0.0084195491	-4.9313765	-5.0900926	0.015106986	-5.0868908	0.015108646	0.011931388	-4.8308211	12.8	0.062809699	1.0903266	-1.5542847	0.10472053	1.5538018	-0.10471646	-0.13114281	-2.0132359	1.9869	1	0.292	1.2759125	1.7544864	-0.45905481	-0.16077111	0.066051127	0.27922185	0.0017787918	1.9517034	1.7492532	0.0030012635	1.7490153	0.0029968385	0.00091344045	1.443739	1.2743997	-0.18500814	-0.55051326	1.7272905	-0.19333959	-1.7283124	0.19319082	0.10821994	2.9784223	2	2	0	0	-98.837833	R0:N12:S0:1	1.4509712	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:37
2x2_2C_8b_C2v_L	9.8419867	11.5	3.3038	-0.00066761915	-5.0252035	-5.1006268	0.0094360096	-5.1045686	0.0094833658	0.0098383281	-4.8242605	12.8	0.059416961	1.0603945	-1.5057625	0.099418712	1.5064092	-0.099380705	-0.12456297	-1.948941	1.9169	1	0.292	1.2809011	1.7691637	-0.4276211	-0.14946226	0.061611243	0.27182591	0.0014934926	1.9522683	1.7565098	0.0024921276	1.7566839	0.0024928991	0.00081512143	1.4578526	1.2673479	-0.16936225	-0.55737944	1.7104806	-0.17730778	-1.7098385	0.17732508	0.10272982	2.9407256	2	2	0	0	-98.685936	R0:N12:S0:1	1.4777173	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:39
2x2_2C_8b_C2v_L	9.4339248	11.5	3.3038	0.0094783813	-4.9195676	-5.0896661	0.015807706	-5.0850619	0.015798596	0.012167688	-4.8327465	12.8	0.06319221	1.0946915	-1.5613294	0.10551407	1.5606427	-0.10549712	-0.13217159	-2.022568	1.9969	1	0.292	1.2752014	1.7523847	-0.46347337	-0.16232696	0.066671632	0.28021504	0.001816767	1.9516362	1.7483	0.0030830607	1.7479385	0.0030756083	0.00092905154	1.4418505	1.2753426	-0.18698705	-0.54949937	1.7293753	-0.1957724	-1.7309441	0.19552324	0.109059	2.9834885	2	2	0	0	-98.86833	R0:N12:S0:1	1.4472553	-151.9392	uncorrelated	2	8eae08f	v2.2.3	NY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-19@09:39
