model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-4.0664445	0	11.147554	0.87993364	0.15319676	-3.3551733	-5.2849562	-0.23512382	-5.2849658	-0.2350911	0.34483744	-5.2150753	12.504962	-1.157022e-05	-2.5648797e-06	0.029794488	-0.2236421	0.029793234	-0.22363573	3.6407452e-06	4.0001312e-07	-0.16375099	-1.3514239	2.2884814	0.16070409	-2.2884856	-0.16069461	0.33918455	-3.0213056	3.1480096	1	-0.43892658	0.046605954	1.2341622	1.6647615	-0.68056392	-0.24792995	0.11644462	0.37724231	0.062800729	1.9473531	1.6839694	1.526561	1.6839659	1.526553	0.006109975	1.255346	1.3580969	1.7440952e-05	6.1662358e-06	0.28493049	1.544976	0.28492376	1.5449859	-1.7860031e-05	-8.3743571e-07	0.94587545	0.42022422	-1.7917057	-1.2606256	1.7917216	1.2606197	-0.24666212	3.4694334	2	2	0	0	-103.26491	R0:S0:1	1.3580969	-186.00045	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-12@16:14
2x2_2C_8b_C2v_L	-4.0664445	0	11.147554	0.87993364	0.15319676	-3.3551733	-5.2849562	-0.23512382	-5.2849658	-0.2350911	0.34483744	-5.2150753	12.504962	-1.157022e-05	-2.5648797e-06	0.029794488	-0.2236421	0.029793234	-0.22363573	3.6407452e-06	4.0001312e-07	-0.16375099	-1.3514239	2.2884814	0.16070409	-2.2884856	-0.16069461	0.33918455	-3.0213056	3.1480096	1	-0.43892658	0.046605954	1.2341622	1.6647615	-0.68056392	-0.24792995	0.11644462	0.37724231	0.062800729	1.9473531	1.6839694	1.526561	1.6839659	1.526553	0.006109975	1.255346	1.3580969	1.7440952e-05	6.1662358e-06	0.28493049	1.544976	0.28492376	1.5449859	-1.7860031e-05	-8.3743571e-07	0.94587545	0.42022422	-1.7917057	-1.2606256	1.7917216	1.2606197	-0.24666212	3.4694334	2	2	0	0	-103.26491	R0:S0:1	1.3580969	-186.00045	uncorrelated	2	b8cfe21	v2.4.3	YY	Broyden	8	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2024-05-12@16:14
