model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	script	time	
2x2_2C_8b_C2v_L	-1.6887055	0	7.8166925	0.36885273	0.42142361	0.88746558	0.30077625	0.30078542	0.88750759	0.95912948	0.17177143	1.3374075	-0.00093173793	-0.34577626	0.066960549	0.27084976	-0.27085151	-0.066987438	-2.8336142e-06	-0.22993543	1.371862	-0.33385602	0.00096087676	0.50043375	-0.14029001	-0.14031067	0.50043308	0.65251766	-3.0253131e-06	-0.24314454	-0.029937111	0.82410667	-1.2530017	-0.12436998	0.046730702	0.34736615	0.085855332	0.2148586	0.65097555	0.6509997	0.21483822	0.059135377	0.107915	0.80697329	0.0017686728	0.60964514	0.18383601	-2.1647484	2.1647569	-0.18371491	6.5659078e-06	1.1021796	-0.67038686	2.243876	-0.0061214726	-1.4441773	1.3220351	1.3221245	-1.4441177	-0.35036108	3.284252e-06	-0.059974164	-9.8701465	R0:S0:1	0.80697329	817c5bc	v2.2.6	test2.py	2023-12-17@10:56
2x2_2C_8b_C2v_L	-1.6887092	0	7.8166925	0.36887974	0.42139419	0.88745443	0.30076118	0.30078746	0.88744327	0.95908208	0.17176058	1.3374075	-0.00098417469	-0.34577179	0.066949703	0.27085097	-0.27085326	-0.066960156	1.3415708e-05	-0.22992576	1.371862	-0.33386819	0.0010032833	0.50044378	-0.14025949	-0.14029408	0.50042867	0.65250679	-1.5924068e-06	-0.24314454	-0.029936069	0.82410906	-1.2530033	-0.12436402	0.046730617	0.34736205	0.085852698	0.21486698	0.65096931	0.65097142	0.21486593	0.059136148	0.10791274	0.80697249	0.001882385	0.6096355	0.18387618	-2.1648041	2.1647233	-0.18386285	-5.2283688e-05	1.102152	-0.67038872	2.2438835	-0.0063779873	-1.4441971	1.3218807	1.3220783	-1.4442085	-0.35035659	6.8358686e-06	-0.059974137	-9.870138	R0:S0:1	0.80697249	817c5bc	v2.2.6	test2.py	2023-12-17@10:57
2x2_2C_8b_C2v_L	-1.6887045	0	7.8166925	0.36888838	0.42140175	0.88749528	0.30079419	0.30078476	0.88753766	0.95907609	0.17173493	1.3374075	-0.001011945	-0.34577002	0.066977891	0.27085264	-0.27084822	-0.066976038	-2.3258233e-06	-0.22991749	1.371862	-0.33386834	0.0010380841	0.50043127	-0.14030576	-0.14030977	0.50043951	0.6525001	-9.2027164e-06	-0.24314454	-0.02993829	0.82410664	-1.253001	-0.12437069	0.046730842	0.3473549	0.08584878	0.21483831	0.65096844	0.65097683	0.21484407	0.05913567	0.10790968	0.80697419	0.0019289168	0.60961962	0.18376464	-2.1647377	2.164712	-0.18377796	3.5807582e-06	1.102126	-0.67039034	2.2438765	-0.0066055755	-1.4441091	1.3220799	1.3221459	-1.4441496	-0.3503518	1.2784536e-05	-0.059973208	-9.8701409	R0:S0:1	0.80697419	817c5bc	v2.2.6	test2.py	2023-12-17@10:57
2x2_2C_8b_C2v_L	-1.6887057	0	7.8166925	0.36883637	0.42140969	0.88744914	0.30077977	0.30078884	0.88749427	0.95910477	0.17177333	1.3374075	-0.00077683795	-0.34577337	0.066990884	0.27084502	-0.27085109	-0.066971961	7.1531984e-06	-0.22993671	1.371862	-0.33385217	0.00079950084	0.50041488	-0.14031762	-0.14030119	0.5004315	0.65250776	4.7852362e-06	-0.24314454	-0.029937142	0.82410743	-1.2530016	-0.12436848	0.046730565	0.34737156	0.085858554	0.21484479	0.65100047	0.65097355	0.2148427	0.059135394	0.1079153	0.80697334	0.0014725441	0.60965639	0.18370034	-2.1647132	2.1647493	-0.18378605	-2.6170557e-05	1.10218	-0.67038688	2.2438771	-0.0050955959	-1.4441351	1.3221758	1.3220688	-1.4441261	-0.35035977	-5.7679845e-06	-0.059974009	-9.8701234	R0:S0:1	0.80697334	817c5bc	v2.2.6	test2.py	2023-12-17@10:58
2x2_2C_8b_C2v_L	-1.6887026	0	7.8166925	0.368868	0.4214063	0.88747632	0.30079629	0.30076526	0.88747781	0.95910494	0.17176363	1.3374075	-0.0010153675	-0.34577454	0.066989715	0.27084928	-0.2708422	-0.066963879	7.6750954e-06	-0.22993286	1.371862	-0.33385829	0.0010404112	0.50042381	-0.14031405	-0.14030295	0.50042673	0.65251157	-6.3124835e-07	-0.24314454	-0.029938231	0.82410592	-1.2529999	-0.12437223	0.046730667	0.34736194	0.085854451	0.2148357	0.65098033	0.65097469	0.21485672	0.059136394	0.10791494	0.80697437	0.0019368026	0.60963859	0.18371355	-2.1647276	2.1646965	-0.18381924	-3.1657572e-05	1.1021706	-0.67038763	2.243868	-0.0066192026	-1.4440974	1.3221203	1.322125	-1.4441824	-0.35036224	3.5890289e-06	-0.059974118	-9.8701247	R0:S0:1	0.80697437	817c5bc	v2.2.6	test2.py	2023-12-17@10:58
2x2_2C_8b_C2v_L	-1.6887076	0	7.8166925	0.36879239	0.42144253	0.88746998	0.30075396	0.3008608	0.88752734	0.95910149	0.17177548	1.3374075	-0.00042346292	-0.34578583	0.06696444	0.27083983	-0.27086624	-0.067022577	1.8702302e-06	-0.22993744	1.371862	-0.33384324	0.00043011712	0.50043128	-0.14028507	-0.14035553	0.50041666	0.65250974	-5.1727501e-06	-0.24314454	-0.029936284	0.82410962	-1.2530018	-0.12436204	0.046730404	0.34739066	0.085867858	0.21486278	0.65097725	0.65097925	0.21480098	0.059136712	0.10791778	0.80697291	0.00080911753	0.60969791	0.18380953	-2.1647206	2.1647142	-0.18359963	-7.1992217e-06	1.1021883	-0.67038382	2.2438961	-0.0027350935	-1.4442017	1.3220476	1.3222732	-1.4439919	-0.35036422	7.2258909e-06	-0.059971847	-9.8701296	R0:S0:1	0.80697291	817c5bc	v2.2.6	test2.py	2023-12-17@10:59
2x2_2C_8b_C2v_L	-1.688707	0	7.8166925	0.36884957	0.4214248	0.88745786	0.30078341	0.3007876	0.8874695	0.95910731	0.17177991	1.3374075	-0.0016710418	-0.34577699	0.066959988	0.27085187	-0.27085246	-0.066963924	2.6170605e-06	-0.2299377	1.371862	-0.3338545	0.0017189687	0.5004372	-0.14027954	-0.14029695	0.50043113	0.65251124	-4.9108381e-06	-0.24314454	-0.02993679	0.82410841	-1.2530019	-0.12436541	0.046730594	0.34736709	0.08586144	0.21486021	0.65096089	0.65096363	0.2148575	0.059135467	0.10791538	0.80697317	0.0031743867	0.60964981	0.18385107	-2.1647553	2.1647182	-0.18384446	-1.557637e-05	1.1021817	-0.67038629	2.2438653	-0.010948884	-1.4441783	1.3219754	1.3220814	-1.4441818	-0.3503605	7.7367736e-06	-0.059973649	-9.8701385	R0:S0:1	0.80697317	817c5bc	v2.2.6	test2.py	2023-12-17@10:59
2x2_2C_8b_C2v_L	-1.688705	0	7.8166925	0.36886831	0.42142267	0.88752044	0.30078716	0.30080634	0.88750945	0.95906914	0.17176124	1.3374075	-0.001146344	-0.34577627	0.066993731	0.27084918	-0.27084959	-0.066993532	-2.4692739e-07	-0.22993041	1.371862	-0.3338625	0.0011734441	0.50043107	-0.14031332	-0.14033754	0.50042035	0.65249814	-1.373064e-05	-0.24314454	-0.029938308	0.82410631	-1.2530017	-0.12437187	0.046730844	0.34736362	0.085853802	0.21482664	0.65099072	0.65098248	0.21483319	0.059136027	0.10791347	0.80697372	0.0021845598	0.60963709	0.18367425	-2.1647576	2.1646755	-0.18371068	-5.0641631e-06	1.1021591	-0.67038813	2.2438825	-0.0074674408	-1.4440729	1.3221093	1.3222678	-1.44411	-0.35035651	2.0385506e-05	-0.059973117	-9.8701484	R0:S0:1	0.80697372	817c5bc	v2.2.6	test2.py	2023-12-17@11:00
2x2_2C_8b_C2v_L	-1.6887065	0	7.8166925	0.36886256	0.42139096	0.88745506	0.30077356	0.30077661	0.88745756	0.95911902	0.17175717	1.3374075	-0.0007826262	-0.34576982	0.066966902	0.27084976	-0.27085677	-0.066932569	4.7226046e-06	-0.22992907	1.371862	-0.33385665	0.0008039022	0.50043434	-0.140287	-0.14026605	0.50044352	0.65251351	-8.6109411e-06	-0.24314454	-0.029937021	0.82410768	-1.253002	-0.12436746	0.046730656	0.34736083	0.085854171	0.21486195	0.65098335	0.65094402	0.21487156	0.059135388	0.1079136	0.80697333	0.0014840013	0.60963829	0.18382008	-2.1647529	2.1647707	-0.18397439	-2.3519107e-05	1.1021632	-0.67038915	2.2438638	-0.005123199	-1.4441906	1.3220375	1.3219156	-1.4442166	-0.35035806	1.6126195e-05	-0.059975418	-9.8701297	R0:S0:1	0.80697333	817c5bc	v2.2.6	test2.py	2023-12-17@11:00
2x2_2C_8b_C2v_L	-1.6887059	0	7.8166925	0.36890029	0.42141732	0.88746479	0.30078878	0.30080054	0.88751162	0.95908456	0.17175409	1.3374075	-0.0011934423	-0.34577837	0.066964575	0.27085139	-0.27084935	-0.066996666	1.3180941e-05	-0.22992225	1.371862	-0.33387001	0.0012281091	0.50043306	-0.14029152	-0.14032804	0.50042182	0.65250153	5.5091818e-06	-0.24314454	-0.029937885	0.82410785	-1.2530016	-0.12436787	0.046730767	0.34735313	0.085849413	0.21485597	0.65095477	0.65098191	0.21482855	0.059134102	0.10790785	0.80697389	0.0022661217	0.60961989	0.18383316	-2.1647231	2.1647012	-0.18368781	-5.2748574e-05	1.1021299	-0.67039033	2.2438738	-0.0078231654	-1.4441701	1.3220322	1.3222084	-1.4440885	-0.35034931	-3.071266e-06	-0.059973657	-9.8701354	R0:S0:1	0.80697389	817c5bc	v2.2.6	test2.py	2023-12-17@11:00
