model	E_kin	D	U	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	t	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tp	ave_D	ave_mu	ave_t	ave_tp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_tp_1	E0_1	sector_1	n_1	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	-1.688729	0	7.8166925	0.36888838	0.42140175	0.88749528	0.30079419	0.30078476	0.88753766	0.95907609	0.17173493	1.3374075	-0.001011945	-0.34577002	0.066977891	0.27085264	-0.27084822	-0.066976038	-2.3258233e-06	-0.22991749	1.371862	-0.33386834	0.0010380841	0.50043127	-0.14030576	-0.14030977	0.50043951	0.6525001	-9.2027164e-06	-0.24314454	-0.029944083	0.82412557	-1.2530185	-0.12436827	0.046730842	0.34735489	0.085848777	0.21483832	0.65096843	0.65097683	0.21484407	0.059135668	0.10790967	0.80697419	0.0019289158	0.60961961	0.18376464	-2.1647377	2.164712	-0.18377797	3.5812739e-06	1.102126	-0.67039034	2.2438765	-0.0066055763	-1.4441091	1.3220799	1.3221459	-1.4441496	-0.3503518	1.2784263e-05	-0.059973209	-9.870141	R0:S0:1	0.80697419	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:50
2x2_2C_8b_C2v_L	-1.6887302	0	7.8166925	0.36883637	0.42140969	0.88744914	0.30077977	0.30078884	0.88749427	0.95910477	0.17177333	1.3374075	-0.00077683795	-0.34577337	0.066990884	0.27084502	-0.27085109	-0.066971961	7.1531984e-06	-0.22993671	1.371862	-0.33385217	0.00079950084	0.50041488	-0.14031762	-0.14030119	0.5004315	0.65250776	4.7852362e-06	-0.24314454	-0.029942936	0.82412636	-1.253019	-0.12436605	0.046730566	0.34737156	0.085858552	0.21484479	0.65100046	0.65097355	0.21484271	0.059135393	0.10791529	0.80697334	0.0014725463	0.60965638	0.18370035	-2.1647132	2.1647493	-0.18378605	-2.6171018e-05	1.10218	-0.67038688	2.2438771	-0.0050955937	-1.4441351	1.3221758	1.3220688	-1.4441262	-0.35035976	-5.7677856e-06	-0.05997401	-9.8701235	R0:S0:1	0.80697334	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@09:55
2x2_2C_8b_C2v_L	-1.6887271	0	7.8166925	0.368868	0.4214063	0.88747632	0.30079629	0.30076526	0.88747781	0.95910494	0.17176363	1.3374075	-0.0010153675	-0.34577454	0.066989715	0.27084928	-0.2708422	-0.066963879	7.6750954e-06	-0.22993286	1.371862	-0.33385829	0.0010404112	0.50042381	-0.14031405	-0.14030295	0.50042673	0.65251157	-6.3124835e-07	-0.24314454	-0.029944083	0.82412487	-1.2530174	-0.12436981	0.046730668	0.34736193	0.085854447	0.2148357	0.65098032	0.65097468	0.21485671	0.059136393	0.10791494	0.80697437	0.0019368011	0.60963857	0.18371356	-2.1647275	2.1646965	-0.18381925	-3.1657256e-05	1.1021706	-0.67038763	2.2438679	-0.0066192041	-1.4440974	1.3221203	1.322125	-1.4441824	-0.35036223	3.588889e-06	-0.05997412	-9.8701248	R0:S0:1	0.80697437	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:00
2x2_2C_8b_C2v_L	-1.688732	0	7.8166925	0.36879239	0.42144253	0.88746998	0.30075396	0.3008608	0.88752734	0.95910149	0.17177548	1.3374075	-0.00042346292	-0.34578583	0.06696444	0.27083983	-0.27086624	-0.067022577	1.8702302e-06	-0.22993744	1.371862	-0.33384324	0.00043011712	0.50043128	-0.14028507	-0.14035553	0.50041666	0.65250974	-5.1727501e-06	-0.24314454	-0.029942067	0.82412848	-1.2530191	-0.12435962	0.046730405	0.34739065	0.085867857	0.21486277	0.65097724	0.65097925	0.21480099	0.059136708	0.10791777	0.80697292	0.0008091176	0.6096979	0.18380952	-2.1647206	2.1647141	-0.18359964	-7.1976508e-06	1.1021882	-0.67038383	2.2438961	-0.0027350934	-1.4442017	1.3220476	1.3222732	-1.4439919	-0.35036421	7.2248538e-06	-0.059971848	-9.8701297	R0:S0:1	0.80697292	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:04
2x2_2C_8b_C2v_L	-1.6887314	0	7.8166925	0.36884957	0.4214248	0.88745786	0.30078341	0.3007876	0.8874695	0.95910731	0.17177991	1.3374075	-0.0016710418	-0.34577699	0.066959988	0.27085187	-0.27085246	-0.066963924	2.6170605e-06	-0.2299377	1.371862	-0.3338545	0.0017189687	0.5004372	-0.14027954	-0.14029695	0.50043113	0.65251124	-4.9108381e-06	-0.24314454	-0.029942586	0.82412731	-1.2530193	-0.12436297	0.046730595	0.34736709	0.085861438	0.2148602	0.6509609	0.65096363	0.2148575	0.059135465	0.10791538	0.80697317	0.003174386	0.6096498	0.18385106	-2.1647554	2.1647182	-0.18384446	-1.5575787e-05	1.1021817	-0.6703863	2.2438653	-0.010948884	-1.4441783	1.3219754	1.3220814	-1.4441818	-0.35036049	7.7364376e-06	-0.059973651	-9.8701385	R0:S0:1	0.80697317	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:09
2x2_2C_8b_C2v_L	-1.6887296	0	7.8166925	0.36886831	0.42142267	0.88752044	0.30078716	0.30080634	0.88750945	0.95906914	0.17176124	1.3374075	-0.001146344	-0.34577627	0.066993731	0.27084918	-0.27084959	-0.066993532	-2.4692739e-07	-0.22993041	1.371862	-0.3338625	0.0011734441	0.50043107	-0.14031332	-0.14033754	0.50042035	0.65249814	-1.373064e-05	-0.24314454	-0.029944097	0.82412526	-1.2530191	-0.12436946	0.046730845	0.34736362	0.085853803	0.21482665	0.65099071	0.65098246	0.21483319	0.059136024	0.10791347	0.80697372	0.0021845607	0.60963709	0.18367427	-2.1647575	2.1646754	-0.18371069	-5.0646564e-06	1.1021591	-0.67038814	2.2438825	-0.0074674399	-1.444073	1.3221093	1.3222678	-1.4441101	-0.3503565	2.0385783e-05	-0.059973116	-9.8701485	R0:S0:1	0.80697372	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:14
2x2_2C_8b_C2v_L	-1.688731	0	7.8166925	0.36886256	0.42139096	0.88745506	0.30077356	0.30077661	0.88745756	0.95911902	0.17175717	1.3374075	-0.0007826262	-0.34576982	0.066966902	0.27084976	-0.27085677	-0.066932569	4.7226046e-06	-0.22992907	1.371862	-0.33385665	0.0008039022	0.50043434	-0.140287	-0.14026605	0.50044352	0.65251351	-8.6109411e-06	-0.24314454	-0.029942819	0.82412658	-1.2530193	-0.12436502	0.046730656	0.34736081	0.085854166	0.21486196	0.65098335	0.65094403	0.21487156	0.059135387	0.1079136	0.80697333	0.0014840027	0.60963827	0.18382008	-2.1647529	2.1647707	-0.18397438	-2.3519814e-05	1.1021632	-0.67038916	2.2438637	-0.0051231976	-1.4441906	1.3220376	1.3219155	-1.4442166	-0.35035805	1.6126608e-05	-0.059975421	-9.8701298	R0:S0:1	0.80697333	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:18
2x2_2C_8b_C2v_L	-1.6887304	0	7.8166925	0.36890029	0.42141732	0.88746479	0.30078878	0.30080054	0.88751162	0.95908456	0.17175409	1.3374075	-0.0011934423	-0.34577837	0.066964575	0.27085139	-0.27084935	-0.066996666	1.3180941e-05	-0.22992225	1.371862	-0.33387001	0.0012281091	0.50043306	-0.14029152	-0.14032804	0.50042182	0.65250153	5.5091818e-06	-0.24314454	-0.029943673	0.82412677	-1.253019	-0.12436544	0.046730767	0.34735313	0.085849412	0.21485598	0.65095476	0.65098191	0.21482854	0.0591341	0.10790785	0.8069739	0.0022661239	0.60961988	0.18383317	-2.1647231	2.1647012	-0.18368781	-5.274961e-05	1.1021299	-0.67039034	2.2438738	-0.0078231633	-1.4441701	1.3220322	1.3222084	-1.4440885	-0.3503493	-3.0706927e-06	-0.059973657	-9.8701354	R0:S0:1	0.8069739	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:23
2x2_2C_8b_C2v_L	-1.6887284	0	7.8166925	0.36884167	0.42137504	0.88751089	0.30076345	0.30083017	0.88755878	0.95911286	0.17174794	1.3374075	-0.00095961187	-0.34576431	0.066948158	0.27084808	-0.27086043	-0.067023961	4.6874562e-06	-0.22992888	1.371862	-0.33384954	0.00098935554	0.500449	-0.14028071	-0.14035048	0.50042604	0.65251141	9.3171651e-06	-0.24314454	-0.029943778	0.82412463	-1.2530184	-0.12436999	0.046730879	0.34736626	0.085858929	0.21486529	0.65096782	0.65100601	0.2148003	0.059136479	0.10791539	0.80697404	0.0018200371	0.60964972	0.18388682	-2.1647449	2.1647488	-0.18356695	-1.643289e-05	1.1021666	-0.67038871	2.2438593	-0.0063046808	-1.4442127	1.3220113	1.3222624	-1.4439908	-0.35036051	-1.4273671e-05	-0.059974646	-9.870149	R0:S0:1	0.80697404	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:28
2x2_2C_8b_C2v_L	-1.6887367	0	7.8166925	0.36882101	0.42148388	0.8874259	0.30083347	0.30072694	0.8874276	0.95913712	0.17176973	1.3374075	-0.0011078283	-0.34579809	0.066971756	0.27086545	-0.27084482	-0.066931278	1.2485869e-05	-0.2299384	1.371862	-0.33385397	0.0011340378	0.50042307	-0.14029809	-0.14026231	0.50043822	0.65251338	1.9556235e-05	-0.24314454	-0.029941934	0.82412871	-1.2530227	-0.12436014	0.046730459	0.34738868	0.085865353	0.21484228	0.65095031	0.65098514	0.21489475	0.059135114	0.10791719	0.80697093	0.0021275822	0.6096883	0.1838321	-2.1647783	2.1647534	-0.18395936	-4.1917237e-05	1.1021963	-0.67038308	2.2439116	-0.0072005835	-1.4440995	1.3220076	1.3219856	-1.4443169	-0.35035989	-2.8126689e-05	-0.059971754	-9.8701571	R0:S0:1	0.80697093	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:32
2x2_2C_8b_C2v_L	-1.6887331	0	7.8166925	0.3688816	0.42149085	0.88740699	0.30079656	0.30076733	0.88747334	0.95908752	0.17176098	1.3374075	-0.0014330004	-0.34579646	0.066964154	0.27085284	-0.27085049	-0.066954796	1.4469175e-06	-0.22993081	1.371862	-0.33386442	0.001485795	0.50041381	-0.1403023	-0.1402764	0.50044172	0.65250606	1.1937383e-05	-0.24314454	-0.029943015	0.82412741	-1.2530207	-0.12436388	0.046730624	0.3473608	0.085853085	0.21485735	0.65096026	0.65096791	0.21486516	0.059136924	0.10791528	0.80697248	0.0027053757	0.609635	0.18384364	-2.1647147	2.1647624	-0.18387118	-5.084343e-06	1.102169	-0.67038688	2.2438831	-0.0094794202	-1.4441642	1.3220865	1.3219851	-1.4442065	-0.350361	-1.9769314e-05	-0.059973525	-9.8701445	R0:S0:1	0.80697248	817c5bc	v2.2.6	Y	4	sharp_wc_2.0_b_50	self-energy/D	run_optim.py	2023-12-07@10:37
