model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	3.4314	0.013630335	-2.8097765	-3.5487007	-0.16456909	-3.5487062	-0.16456872	0.20212598	-3.1479218	9.9	-2.0091922e-07	-5.7190899e-07	0.0047143301	-0.21858997	0.0047151447	-0.21859002	-2.6945586e-06	-4.1404549e-07	-0.12684863	-1.0519896	1.6882261	0.014840062	-1.6882269	-0.014844653	0.29584942	-2.2397284	2.0425	1	0.2353	0.14478341	0.2937693	1.9256406	1.7412332	1.5630574	1.7412321	1.5630643	0.021704502	1.4496147	1.1087924	2.4142286e-06	9.589871e-07	0.13502787	1.2908331	0.13502521	1.2908087	1.4987097e-05	2.6390374e-06	1.3375402	0.77242586	-1.7725192	-0.46946088	1.772527	0.46948204	-0.33170017	2.77965	0.030905065	0.26741736	0.071806399	0.2293395	0.38064601	0.22934046	0.38064225	0.022230757	0.39114991	0.041242426	4.1692632	5.4891086	5.3753314	4.8660834	5.3753367	4.8660918	4.3309399	6.5848991	5.1667735	2.6331282	3.318281	5.2530831	3.3182923	5.2530553	3.7449811	2.828894	-72.506379	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.84e+02	 2.34e-03	 1.00e+06	2022-08-01@13:18
2x2_2C_8b_C2v_L	0	14	3.4314	0.011276373	-2.8013236	-3.544565	-0.16279386	-3.5439852	-0.16269318	0.20098238	-3.1467865	9.9	-2.5982859e-05	-1.4471338e-05	0.004649383	-0.21760903	0.0046398622	-0.21757012	2.2851758e-05	-1.5654976e-05	-0.12709322	-1.0506883	1.6882432	0.014660341	-1.6881149	-0.01463369	0.29452751	-2.2403945	2.0425	1	0.2353	0.14471161	0.32235601	1.9235295	1.7407667	1.5350431	1.7407525	1.5348798	0.022907774	1.445053	1.1082874	0.00022063892	5.1488263e-05	0.14022193	1.3180236	0.1401913	1.3182408	-9.6406816e-05	1.7446507e-05	1.3561136	0.78499527	-1.7723225	-0.48657259	1.7722951	0.48639831	-0.33387259	2.7892716	0.030889973	0.29013423	0.073679438	0.22942343	0.39607262	0.22943236	0.3961777	0.023488292	0.39257896	0.04135943	4.2956671	5.4638587	5.3580345	4.8846102	5.3580597	4.8845882	4.3298242	6.6048913	5.1738875	2.639977	3.2949419	5.3112888	3.2947829	5.3116276	3.7454447	2.81581	-72.465927	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.85e+02	 1.83e-03	 5.12e-03	2022-08-01@13:26
2x2_2C_8b_C2v_L	0	14	3.4314	0.012804489	-2.8089301	-3.5443345	-0.16362041	-3.5448265	-0.16349688	0.20095947	-3.1453487	9.9	0.00020607309	1.5819652e-05	0.0040239625	-0.21819438	0.0040373046	-0.21812648	-1.6945136e-05	9.3136172e-07	-0.1267589	-1.0519478	1.6876335	0.012334415	-1.6877199	-0.01239226	0.29512221	-2.2391525	2.0425	1	0.2353	0.14480372	0.28736243	1.9261401	1.7406727	1.5734439	1.7406241	1.5735987	0.021454764	1.4503345	1.1089121	-0.0017812822	-1.168786e-05	0.13067399	1.281006	0.13061575	1.2801341	8.6010196e-05	1.1737708e-05	1.3303223	0.76904148	-1.7744532	-0.44668028	1.7747957	0.44710219	-0.33037854	2.7779217	0.030909251	0.26365208	0.071376259	0.2298663	0.37500199	0.22990477	0.37497133	0.021986147	0.39088814	0.041215806	4.130751	5.4975174	5.3852587	4.8563668	5.385394	4.8566056	4.3309921	6.5810969	5.1632438	2.6318069	3.3263088	5.2399341	3.3267092	5.2391973	3.7453121	2.8308575	-72.47662	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.83e+02	 2.66e-03	 4.42e-03	2022-08-01@13:42
2x2_2C_8b_C2v_L	0	14	3.4314	0.010324299	-2.7991663	-3.5387858	-0.16147344	-3.5402636	-0.16174271	0.19957219	-3.1453935	9.9	-0.00022040458	-8.5589946e-06	0.0040042657	-0.21719436	0.0039551888	-0.21732891	2.9629189e-05	-2.3631681e-06	-0.12709355	-1.0502718	1.6872217	0.012353709	-1.6875988	-0.012225449	0.29398173	-2.2401109	2.0425	1	0.2353	0.14468941	0.32604202	1.9233643	1.740346	1.5351031	1.7404636	1.5350749	0.023201841	1.4447786	1.1082586	0.0020483389	-4.8394552e-05	0.1383676	1.3177451	0.1385128	1.318633	-0.00016375001	-2.6220783e-05	1.3543208	0.78585618	-1.7732563	-0.47269158	1.7728786	0.47199385	-0.33418987	2.78963	0.030885781	0.29452389	0.073839218	0.22974803	0.39662148	0.22965792	0.39657081	0.023811619	0.39263092	0.041357265	4.3012579	5.4631693	5.3606017	4.8818004	5.3601553	4.8812756	4.329708	6.6058412	5.1745167	2.6415547	3.2950821	5.31702	3.2948572	5.3179688	3.7460771	2.8151132	-72.433118	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.85e+02	 2.32e-03	 5.03e-03	2022-08-01@13:49
2x2_2C_8b_C2v_L	0	14	3.4314	0.012641428	-2.8068147	-3.5446772	-0.16355491	-3.5418161	-0.16328345	0.20036469	-3.1442887	9.9	-0.00022380294	5.2997769e-06	0.00336267	-0.21823169	0.0033258693	-0.21812869	-9.907029e-06	1.3110043e-05	-0.12657018	-1.0516693	1.6878258	0.0098838858	-1.6871616	-0.0098459707	0.29493259	-2.2388065	2.0425	1	0.2353	0.14489252	0.2638312	1.9278048	1.7400691	1.6020657	1.7400348	1.6016196	0.020415512	1.4534648	1.1093162	0.0018705611	1.5588998e-06	0.12099732	1.2525829	0.12098116	1.2535466	0.00010867302	3.5750114e-05	1.3126646	0.75807927	-1.7780181	-0.40761167	1.7777162	0.40717465	-0.32724152	2.77143	0.030926885	0.24520554	0.069909847	0.23060066	0.35751473	0.23062218	0.3577819	0.020916027	0.38984921	0.0411352	4.0148428	5.5219417	5.4075293	4.8336447	5.4076946	4.8337482	4.3320909	6.5664675	5.1530916	2.6253889	3.3495173	5.1922634	3.3488383	5.1931418	3.7448839	2.839018	-72.461927	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.81e+02	 4.76e-03	 5.64e-03	2022-08-01@13:56
2x2_2C_8b_C2v_L	0	14	3.4314	0.0080735021	-2.7909026	-3.5328008	-0.15941822	-3.5341279	-0.15959704	0.19762299	-3.1435517	9.9	0.0026124877	0.00014096105	0.0034443094	-0.21650718	0.0034945976	-0.21656921	-0.00011509963	1.7736598e-05	-0.127439	-1.0487904	1.6865022	0.010454777	-1.6868185	-0.010694615	0.29296621	-2.2400565	2.0425	1	0.2353	0.14452675	0.36788493	1.9205536	1.7404764	1.497527	1.7405037	1.4972042	0.02526244	1.4397384	1.1076351	-0.025383021	-4.749062e-05	0.14289115	1.3549366	0.14273458	1.3557953	0.00032674836	-0.000118713	1.3743454	0.80320454	-1.7703197	-0.48027704	1.7702107	0.48142599	-0.33903648	2.7996909	0.030853541	0.32643109	0.076331603	0.22929604	0.41539637	0.22926622	0.41532139	0.025971531	0.39413263	0.041466918	4.4735723	5.4283716	5.3363192	4.9005451	5.3359276	4.9009822	4.3280676	6.6286193	5.1866881	2.6529366	3.2646358	5.4017186	3.264075	5.4030804	3.7479728	2.8015924	-72.380686	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.87e+02	 7.56e-03	 9.04e-03	2022-08-01@14:03
model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	3.4314	0.013630335	-2.8097765	-3.5487007	-0.16456909	-3.5487062	-0.16456872	0.20212598	-3.1479218	9.9	-2.0091922e-07	-5.7190899e-07	0.0047143301	-0.21858997	0.0047151447	-0.21859002	-2.6945586e-06	-4.1404549e-07	-0.12684863	-1.0519896	1.6882261	0.014840062	-1.6882269	-0.014844653	0.29584942	-2.2397284	2.0425	1	0.2353	0.14478341	0.2937693	1.9256406	1.7412332	1.5630574	1.7412321	1.5630643	0.021704502	1.4496147	1.1087924	2.4142286e-06	9.5898711e-07	0.13502787	1.2908331	0.13502521	1.2908087	1.4987097e-05	2.6390374e-06	1.3375402	0.77242586	-1.7725192	-0.46946088	1.772527	0.46948204	-0.33170017	2.77965	0.030905065	0.26741736	0.071806399	0.2293395	0.38064601	0.22934046	0.38064225	0.022230757	0.39114991	0.041242426	4.1692632	5.4891086	5.3753314	4.8660834	5.3753367	4.8660918	4.3309399	6.5848991	5.1667735	2.6331282	3.318281	5.2530831	3.3182923	5.2530553	3.7449811	2.828894	-72.506379	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.84e+02	 2.34e-03	 1.00e+06	2022-08-01@14:08
2x2_2C_8b_C2v_L	0	14	3.4314	0.014620953	-2.8184864	-3.547419	-0.16560708	-3.5468608	-0.16553203	0.20163911	-3.1433508	9.9	-0.00058393822	-2.7644662e-05	0.0024206059	-0.21904958	0.0023147281	-0.21906237	0.00028043161	-6.0575775e-05	-0.12606618	-1.053611	1.6878609	0.0065655873	-1.6877465	-0.0060370537	0.29587426	-2.2377353	2.0425	1	0.2353	0.14515327	0.18863715	1.9331889	1.7393297	1.6849606	1.7395207	1.6839089	0.016947148	1.4638714	1.1106021	0.0045024598	-7.6511198e-05	0.082163523	1.1705829	0.082532859	1.173866	-0.0013656874	-6.3244836e-05	1.2614314	0.72422161	-1.7848807	-0.27628425	1.7837463	0.27418571	-0.31822557	2.7498167	0.030979138	0.17608069	0.065098492	0.23195131	0.2968172	0.23179315	0.29757572	0.017295001	0.38632459	0.040868685	3.6647077	5.5941841	5.4692108	4.7629652	5.4682859	4.7630195	4.335172	6.5193929	5.1215171	2.6036005	3.4162702	5.0559641	3.4147357	5.0592965	3.7430546	2.8667649	-72.502343	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.76e+02	 1.33e-02	 1.42e-02	2022-08-01@14:10
2x2_2C_8b_C2v_L	0	14	3.4314	0.00074852071	-2.7800332	-3.5169777	-0.15352388	-3.5165692	-0.1534458	0.19332889	-3.1422201	9.9	-0.013658435	-0.00017808428	0.0028959339	-0.21403913	0.0031090595	-0.21407752	-0.00031544624	6.410865e-05	-0.12937309	-1.0457178	1.6846347	0.0089989382	-1.6845464	-0.0097484793	0.29036436	-2.2414112	2.0425	1	0.2353	0.14359162	0.60520676	1.90567	1.7442089	1.2814801	1.74382	1.2835566	0.036581286	1.414693	1.1043967	0.15469592	-5.2961605e-05	0.13954371	1.569467	0.14006821	1.56307	0.0015262248	-7.95578e-05	1.4742353	0.89841636	-1.7445015	-0.47109566	1.7466477	0.47817095	-0.36809965	2.8496922	0.03066753	0.44470145	0.089254732	0.22434073	0.46663435	0.22466999	0.46677738	0.037665153	0.40090154	0.041984662	5.4276029	5.2330731	5.1925801	4.9626513	5.1943705	4.9675587	4.3193909	6.7460273	5.2539373	2.7075939	3.0872264	5.958427	3.0904265	5.9474583	3.7573824	2.7342116	-72.275165	R0:S0:1	-51.7488	uncorrelated	b7fd39a	v1.0.3	 1.99e+02	 3.19e-02	 2.73e-02	2022-08-01@14:17
