model	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	12	6.4455222	-0.009695043	-2.0437613	-2.3613825	0.21325746	-2.3613849	0.21325788	0.26637657	-1.6740041	11.311111	0.12521712	-0.81395714	1.2867775	-0.22742912	-1.2867781	0.22742922	0.3639019	-1.6834137	1.5710444	1	0.028633334	0.29916064	0.11771145	1.9341024	1.625675	0.18112706	1.6256749	0.18112689	0.01698534	1.1789873	1.2846524	-1.2535333	0.58160603	-2.0423324	1.0787008	2.0423331	-1.0787003	-0.46988084	3.2762146	0.051649788	0.10726236	0.064990987	0.33178661	0.17821953	0.3317866	0.17821939	0.016898289	0.48009534	0.056480399	5.7756541	1.7667088	3.2440908	4.9716684	3.2440911	4.9716678	4.270955	1.7590967	-69.35049	R0:N12:S0:1	-38.924711	uncorrelated	b7fd39a	v1.0.3	 1.43e+02	 4.36e-04	 4.62e-03	2022-07-05@10:27
2x2_2C_8b_C2v_L	12	5.8910444	-0.0092867034	-2.0438358	-2.3615611	0.212742	-2.3615633	0.21274234	0.26563815	-1.6750639	11.022222	0.1250773	-0.81401834	1.2865513	-0.22775552	-1.2865517	0.22775566	0.36441963	-1.6834498	1.6420889	1	0.057266667	0.27831971	0.1338598	1.930162	1.6351691	0.19852878	1.6351694	0.19852909	0.017358957	1.2024635	1.2621898	-1.3095681	0.62032041	-2.0308639	1.0996806	2.0308631	-1.0996818	-0.46632458	3.2269412	0.049624738	0.12018976	0.068526828	0.32191779	0.19473546	0.32191755	0.1947357	0.017286341	0.47492707	0.054956135	5.6065655	1.8876475	3.2413606	4.9254157	3.2413603	4.9254156	4.2216871	1.871834	-67.881226	R0:N12:S0:1	-41.049422	uncorrelated	b7fd39a	v1.0.3	 1.54e+02	 1.07e-01	 1.00e+06	2022-07-05@10:27
2x2_2C_8b_C2v_L	12	5.8910444	-0.0045540488	-2.1656783	-2.5701703	0.20441951	-2.5701711	0.20441834	0.25588833	-1.9251563	11.022222	0.12598658	-0.84580338	1.3492988	-0.22303248	-1.3493066	0.22302717	0.34326294	-1.7744182	1.6420889	1	0.057266667	0.27458048	0.11089175	1.9361763	1.6569782	0.17137776	1.6569434	0.1713318	0.0140564	1.2469468	1.2588244	-1.2136843	0.59478227	-1.9823484	1.0452117	1.9825025	-1.0450233	-0.41187841	3.2047817	0.049160294	0.10160326	0.06303399	0.30677644	0.16849181	0.30680171	0.16845338	0.014037611	0.46757342	0.05419552	5.7286278	1.8695962	3.2858925	4.9192856	3.2859583	4.9192193	4.1574467	1.9122947	-69.658156	R0:N12:S0:1	-41.049422	uncorrelated	b7fd39a	v1.0.3	 1.48e+02	 1.61e-02	 1.37e-01	2022-07-05@10:28
2x2_2C_8b_C2v_L	12	5.8910444	-0.020743023	-2.1915827	-2.5344759	0.20690948	-2.5345417	0.20690455	0.25746715	-1.9029546	11.022222	0.12812434	-0.85260766	1.3477231	-0.21749911	-1.3477348	0.2175012	0.33735745	-1.7732239	1.6420889	1	0.057266667	0.27549307	0.12348234	1.9335281	1.6516345	0.17433745	1.6516567	0.17436694	0.013567833	1.2394053	1.2595052	-1.2742617	0.60787032	-1.9927663	1.0464525	1.9926853	-1.0465632	-0.40623839	3.2142434	0.04928077	0.11190744	0.065388774	0.31076008	0.1714609	0.31074336	0.171486	0.013545649	0.46864876	0.054432168	5.6540557	1.8765675	3.2776711	4.9298019	3.2776309	4.9298275	4.1649393	1.8950616	-69.546375	R0:N12:S0:1	-41.049422	uncorrelated	b7fd39a	v1.0.3	 1.45e+02	 3.60e-03	 3.67e-02	2022-07-05@10:28
2x2_2C_8b_C2v_L	12	5.8910444	-0.017916855	-2.189977	-2.5295609	0.20092363	-2.5295377	0.20092824	0.25029013	-1.8995012	11.022222	0.12865162	-0.85193741	1.3458311	-0.21759647	-1.3458226	0.21759792	0.33725052	-1.7709809	1.6420889	1	0.057266667	0.27542647	0.12305376	1.9336579	1.6500166	0.17712249	1.650025	0.17713206	0.013641164	1.2379423	1.2593522	-1.2725555	0.60746339	-1.99711	1.0518153	1.9970673	-1.0518594	-0.40721696	3.2151457	0.049277757	0.11157186	0.065282634	0.31176921	0.17416012	0.31176354	0.17416768	0.013618654	0.46887116	0.054464785	5.6567676	1.8771774	3.2729716	4.9293474	3.272959	4.9293675	4.1666185	1.8936514	-69.510094	R0:N12:S0:1	-41.049422	uncorrelated	b7fd39a	v1.0.3	 1.45e+02	 1.53e-03	 8.67e-03	2022-07-05@10:29
2x2_2C_8b_C2v_L	12	5.8910444	-0.017000963	-2.1883551	-2.5325572	0.19941043	-2.5325376	0.19940817	0.24856343	-1.9018188	11.022222	0.12807489	-0.85190315	1.3460326	-0.21837626	-1.3460286	0.21837588	0.33843066	-1.7711735	1.6420889	1	0.057266667	0.27532752	0.12152977	1.9338692	1.6500107	0.17776042	1.6500092	0.17775998	0.013758957	1.2383352	1.2592417	-1.2649307	0.60637081	-1.9975876	1.0536402	1.9975899	-1.0536377	-0.40871696	3.2143269	0.049266348	0.11033359	0.065105961	0.31170587	0.17476458	0.31170705	0.17476426	0.013736798	0.46883422	0.054455513	5.6660839	1.876861	3.2720291	4.9280508	3.2720286	4.9280525	4.1662497	1.8951625	-69.522973	R0:N12:S0:1	-41.049422	uncorrelated	b7fd39a	v1.0.3	 1.46e+02	 6.02e-04	 4.58e-03	2022-07-05@10:30
2x2_2C_8b_C2v_L	12	5.3365667	-0.017014379	-2.1872865	-2.5338763	0.19920496	-2.5338691	0.19920466	0.24791422	-1.9024134	10.733333	0.12783528	-0.85187805	1.3462717	-0.21858561	-1.3462706	0.21858472	0.33858444	-1.7712568	1.7131333	1	0.085900001	0.2566656	0.13778651	1.9303665	1.6568985	0.19605547	1.6568943	0.19604873	0.014207001	1.2569245	1.2387046	-1.3204192	0.64067996	-1.9889056	1.0785255	1.9889223	-1.078501	-0.40718196	3.168661	0.047226329	0.12324261	0.068224327	0.30411115	0.19211961	0.30411426	0.19211408	0.014199851	0.463231	0.052997553	5.5092001	1.9864095	3.2711104	4.8890024	3.2711193	4.888997	4.123944	1.9999323	-68.084351	R0:N12:S0:1	-43.174133	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.06e-01	 1.00e+06	2022-07-05@10:30
2x2_2C_8b_C2v_L	12	5.3365667	-0.0093528294	-2.2960931	-2.7443992	0.19014019	-2.7444065	0.19013887	0.2374754	-2.1549065	10.733333	0.12786984	-0.88203899	1.4080559	-0.21590236	-1.4080573	0.21590203	0.32256816	-1.8590216	1.7131333	1	0.085900001	0.25401445	0.11363062	1.9360425	1.6758447	0.17204845	1.6758453	0.17204927	0.012113948	1.2964422	1.2364957	-1.2208318	0.61465559	-1.9457513	1.033848	1.9457502	-1.0338503	-0.36784189	3.1421866	0.046857627	0.10384727	0.063072833	0.29065948	0.16895705	0.29065898	0.16895778	0.012136452	0.45483348	0.052318324	5.635726	1.9656443	3.3080314	4.8780996	3.3080304	4.8780996	4.0655136	2.0497202	-69.848562	R0:N12:S0:1	-43.174133	uncorrelated	b7fd39a	v1.0.3	 1.51e+02	 1.58e-02	 1.17e-01	2022-07-05@10:31
2x2_2C_8b_C2v_L	12	5.3365667	-0.026964772	-2.3199151	-2.7089567	0.19392546	-2.7089575	0.19392812	0.2407448	-2.134135	10.733333	0.13133534	-0.88790148	1.4064185	-0.2106476	-1.4064189	0.21064762	0.3173047	-1.8581409	1.7131333	1	0.085900001	0.25478621	0.12867283	1.9330372	1.6710412	0.17407308	1.6710391	0.17406873	0.01164874	1.2885786	1.2369601	-1.2919558	0.62964275	-1.9549485	1.0338089	1.9549583	-1.0337936	-0.36242284	3.1534145	0.046966757	0.11607113	0.065742784	0.29439083	0.17101821	0.29439251	0.17101446	0.011664687	0.45633613	0.052569525	5.550233	1.9732281	3.3020295	4.8886884	3.3020366	4.8886832	4.0711647	2.0293126	-69.735999	R0:N12:S0:1	-43.174133	uncorrelated	b7fd39a	v1.0.3	 1.48e+02	 4.11e-03	 3.60e-02	2022-07-05@10:31
2x2_2C_8b_C2v_L	12	5.3365667	-0.023307807	-2.3199963	-2.7044732	0.18653758	-2.7044817	0.18653681	0.23174288	-2.1304901	10.733333	0.13144378	-0.88778589	1.4044881	-0.2108459	-1.4044896	0.210846	0.31726389	-1.8556833	1.7131333	1	0.085900001	0.25467144	0.12716699	1.9333433	1.6692784	0.17751338	1.6692804	0.17751627	0.011739535	1.2872102	1.2367379	-1.285147	0.62846594	-1.9601126	1.0403458	1.9601056	-1.0403563	-0.36354036	3.1542079	0.046956986	0.11487265	0.06548448	0.29548808	0.17433454	0.29548656	0.17433699	0.011756025	0.45662012	0.052601586	5.5590907	1.973712	3.2965316	4.8882345	3.2965274	4.8882369	4.0730606	2.0280309	-69.703891	R0:N12:S0:1	-43.174133	uncorrelated	b7fd39a	v1.0.3	 1.49e+02	 2.10e-03	 1.07e-02	2022-07-05@10:32
