model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	7.1606187	10.5	2.9738	0.88169234	-2.2121571	-3.164587	0.66433303	-3.1645837	0.83663307	0.71876228	-3.0095356	9.68	6.0929643e-07	0.94112845	-1.513578	-6.9112482e-07	1.5135775	4.7737237e-07	9.0936873e-07	-2.0394911	1.926	1	0.2481	1.2539159	1.6629468	-0.60473884	-0.19787941	0.08296709	0.26822161	0	1.9572999	1.7655298	0	1.7655297	0	0	1.4609475	1.2626733	-2.9618679e-06	-0.50974104	1.6872945	2.4831633e-06	-1.6872951	-1.5178505e-06	-9.2836978e-07	2.9833268	0.048055244	0	0.04362531	0.22628455	0	0.22628467	0	0	0.40179898	0.048269203	6.4742607	1.7809981	3.5095996	4.9309724	3.5095996	4.9309722	3.8665668	2.3504386	-69.198272	R0:N12:S0:1	-53.6496	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:39
2x2_2C_8b_C2v_L	8.1699603	12.277778	2.8100444	1.3716601	-4.0427723	-4.482554	1.2412888	-4.4825636	0.6720648	0.66124257	-3.9476581	9.7	-1.0804672e-07	1.0305424	-1.5389792	-1.3684665e-07	1.53898	-2.9247629e-07	-1.846215e-07	-1.970316	1.712	0.88888889	0.22053333	1.2877174	1.6655274	-0.47214709	-0.10946404	0.047132853	0.14435328	0	1.9616983	1.8748716	0	1.8748718	0	0	1.7204168	1.1420354	2.7081465e-07	-0.62085596	1.3211562	2.3015738e-07	-1.3211547	5.9803311e-07	1.7354355e-07	2.1690975	0.030841555	0	0.038392049	0.12180028	0	0.12180006	0	0	0.24752303	0.030622553	5.483281	2.6678048	3.6114888	4.4988865	3.6114879	4.4988879	3.7915107	3.5199145	-77.732473	R0:N12:S0:1	-55.119645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:39
model	E_kin	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	time
2x2_2C_8b_C2v_L	8.7122229	13.166667	2.8100444	-0.75533454	-5.2517033	-5.0428617	-0.50708995	-5.0599679	-0.54461381	11.81233	-3.712129	9.68	-0.18701179	1.1176777	-1.6048364	0.18387162	1.6051691	-0.19302341	-0.00054680161	-1.9401373	1.712	0.88888889	0.22053333	1.2984648	1.6932357	-0.39638377	-0.083263584	0.036056421	0.1196278	0.14483834	1.9588349	1.857258	0.056163333	1.8677757	0.083186616	2.6114301e-09	1.6267009	1.1013106	1.3314569	-0.65001528	1.3817218	-0.61539613	-1.3129399	0.7712691	0.00019407119	2.3167324	0.026329335	0.12863419	0.040561248	0.13690717	0.055846265	0.12724213	0.081302829	2.6114301e-09	0.30678059	0.031284939	4.7686883	2.8393088	3.7266584	4.4124999	3.6248087	4.5348199	3.738276	3.4567812	-81.725296	R0:N12:S0:1	-54.959645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:39
2x2_2C_8b_C2v_L	8.1701554	12.277778	2.8100444	1.739966	-4.0586758	-4.4958841	1.3472144	-4.4958715	0.88778077	1.0704156	-3.9589671	9.71	3.0239932e-08	1.0313428	-1.5396025	9.4275654e-08	1.5396015	-1.137199e-07	-2.296218e-07	-1.9706866	1.712	0.88888889	0.22053333	1.2877209	1.6655427	-0.47211883	-0.10945578	0.047129356	0.14434296	0	1.9616944	1.8748843	0	1.8748839	0	0	1.7204362	1.1420253	-6.7969595e-08	-0.62090068	1.3211001	-1.5329218e-07	-1.3211025	2.1366668e-07	2.0084134e-07	2.1690126	0.030839689	0	0.038395842	0.12178801	0	0.12178834	0	0	0.24750928	0.030620687	5.4831773	2.6679076	3.6115043	4.4988404	3.6115059	4.4988378	3.7915493	3.5199839	-77.881697	R0:N12:S0:1	-55.199645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:39
2x2_2C_8b_C2v_L	7.9544433	15	2.9738	-0.033328888	-3.2463942	-3.673583	0.020793281	-3.6729684	0.020773351	0.039085008	-3.2556664	9.69	0.11974497	1.0555457	-1.6137325	-0.1414764	1.6135971	0.14147034	0.18561569	-2.123592	1.926	1	0.2481	1.2724928	1.6360697	-0.51401178	-0.15881739	0.065079159	0.1086532	0.098952795	1.9546843	1.8362661	0.14046734	1.8362729	0.14053538	0.0077061815	1.6349588	1.087539	-1.018539	-0.65773542	1.4162297	0.82651946	-1.4161053	-0.82680945	-0.22081159	2.2470639	0.024241388	0.091252223	0.044670611	0.15356731	0.13491315	0.15356083	0.13496885	0.0077866791	0.29961441	0.029937366	4.9193963	2.916979	3.6547461	4.5758318	3.6545233	4.5760537	3.7396053	3.5545647	-71.223191	R0:N12:S0:1	-53.7296	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:40
2x2_2C_8b_C2v_L	8.170347	12.277778	2.8100444	2.077878	-4.074517	-4.5091464	1.8851463	-4.5091493	1.2869192	1.9284527	-3.970246	9.72	-1.9999835e-07	1.0321328	-1.5402141	6.989552e-08	1.5402142	-3.2194301e-08	9.6950611e-08	-1.9710484	1.712	0.88888889	0.22053333	1.2877245	1.6655577	-0.47209107	-0.10944765	0.047125912	0.14433269	0	1.9616906	1.8748964	0	1.8748965	0	0	1.7204553	1.1420153	4.1133102e-07	-0.62094436	1.3210478	-9.882324e-08	-1.321047	5.3099667e-08	-7.4787286e-08	2.1689284	0.030837832	0	0.038399502	0.1217763	0	0.12177619	0	0	0.24749567	0.030618831	5.4830734	2.6680101	3.611522	4.4987908	3.6115214	4.4987918	3.7915883	3.5200525	-78.03051	R0:N12:S0:1	-55.279645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:40
2x2_2C_8b_C2v_L	7.203675	11	2.9738	1.0411139	-2.2175437	-3.2091206	1.0768791	-3.2091656	0.95424129	1.1323003	-3.0478913	9.7	-1.6945882e-06	0.94082433	-1.5261461	-4.651162e-06	1.5261535	-4.6810674e-06	-1.5436362e-06	-2.0553135	1.926	1	0.2481	1.2561496	1.6532059	-0.60365492	-0.19131143	0.079153472	0.24210845	0	1.9575877	1.7894564	0	1.789457	0	0	1.5147259	1.2371933	7.5148769e-06	-0.53745022	1.6243057	1.2725236e-05	-1.6243045	1.3734691e-05	1.4509884e-06	2.843936	0.045146774	0	0.043148368	0.20337648	0	0.20337579	0	0	0.37609924	0.045201532	6.2937896	1.9476342	3.517192	4.8363731	3.5171937	4.8363679	3.8285615	2.6059053	-69.10202	R0:N12:S0:1	-53.8096	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:40
2x2_2C_8b_C2v_L	8.1705355	12.277778	2.8100444	2.5753476	-4.0902994	-4.5223756	2.8180216	-4.5223794	1.9899319	3.1867745	-3.9815029	9.73	3.8901781e-08	1.0329126	-1.5408172	9.5340671e-08	1.5408177	6.1635028e-08	5.1131699e-08	-1.9714036	1.712	0.88888889	0.22053333	1.2877279	1.6655724	-0.47206378	-0.10943965	0.047122522	0.14432244	0	1.961687	1.8749088	0	1.8749088	0	0	1.7204743	1.1420053	-7.1363042e-08	-0.62098656	1.3209935	-1.1157029e-07	-1.3209938	-8.4902523e-08	-3.4016991e-08	2.1688451	0.030835981	0	0.038402992	0.12176434	0	0.12176436	0	0	0.24748221	0.03061698	5.4829702	2.6681116	3.6115383	4.498744	3.6115388	4.4987431	3.791627	3.5201203	-78.178975	R0:N12:S0:1	-55.359645	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:41
2x2_2C_8b_C2v_L	7.162434	10.5	2.9738	0.86921799	-2.2347264	-3.178714	0.67442968	-3.1786894	0.93202687	0.79854595	-3.0204076	9.69	-2.9633661e-07	0.94399225	-1.5152952	-1.2316263e-06	1.5152899	7.518839e-07	-4.0167722e-06	-2.0405773	1.926	1	0.2481	1.2539516	1.6630712	-0.60451314	-0.1978076	0.082937357	0.26823089	0	1.9572489	1.7655288	0	1.7655299	0	0	1.4609539	1.2626846	1.4433674e-06	-0.51009571	1.6873167	4.360331e-06	-1.6873085	-2.2411233e-06	4.0242029e-06	2.9831587	0.048056559	0	0.043676904	0.22628095	0	0.22628015	0	0	0.4018083	0.048270489	6.4739821	1.7815146	3.509434	4.9309825	3.5094293	4.930997	3.8669927	2.3506471	-69.369171	R0:N12:S0:1	-53.7296	uncorrelated	b7fd39a	v1.0.3	2022-07-05@11:41
