GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	Unnamed: 28
YY	9.5	3.4161	0.032365167	-3.0128714	-3.7125743	0.14537559	-3.7130663	0.14536099	0.17610648	-3.5107046	a248bdd	2x2_2C_8b_C2v_L	10.6	validity_data_2022.py	0.095733935	1.0599996	-1.6069549	0.18535017	1.6070603	-0.18531488	0.26073266	-2.1414023	2024-08-14@10:46	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.035139557	-3.0031538	-3.7110328	0.14810549	-3.7095756	0.14793237	0.18122194	-3.5083934	a248bdd	2x2_2C_8b_C2v_L	10.59	validity_data_2022.py	0.096335314	1.05959	-1.6079753	0.18611968	1.6076342	-0.18607794	0.26225504	-2.1431163	2024-08-14@10:47	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.036448648	-2.9968345	-3.7070775	0.14934665	-3.7051881	0.14881193	0.18328785	-3.5045473	a248bdd	2x2_2C_8b_C2v_L	10.58	validity_data_2022.py	0.096738984	1.0595912	-1.6085177	0.18667844	1.6080594	-0.18644111	0.26306365	-2.1442957	2024-08-14@10:48	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.038812865	-2.9863723	-3.7034422	0.15080314	-3.7026627	0.15087617	0.18644721	-3.4992559	a248bdd	2x2_2C_8b_C2v_L	10.57	validity_data_2022.py	0.097206197	1.0590599	-1.609032	0.1869822	1.6089144	-0.18693461	0.26364475	-2.145059	2024-08-14@10:49	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.04161526	-2.9780388	-3.6988599	0.15357367	-3.6996809	0.15353726	0.19131985	-3.4968669	a248bdd	2x2_2C_8b_C2v_L	10.56	validity_data_2022.py	0.097868123	1.0588676	-1.609465	0.18782823	1.60967	-0.18784083	0.26520391	-2.1467737	2024-08-14@10:50	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.013406082	-2.3231132	-3.1500196	0.1920187	-3.149359	0.19210413	0.23704872	-2.8912085	a248bdd	2x2_2C_8b_C2v_L	9.68	validity_data_2022.py	-0.1351108	0.99171338	-1.5982639	0.23245041	1.5981183	-0.23242148	0.31729562	-2.1556813	2024-08-14@10:52	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.042886191	-2.970447	-3.6936775	0.1537826	-3.694094	0.15383223	0.1924398	-3.4917097	a248bdd	2x2_2C_8b_C2v_L	10.55	validity_data_2022.py	0.098259522	1.0586524	-1.609687	0.18794352	1.6097752	-0.18800438	0.26563257	-2.1475489	2024-08-14@10:52	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.012413787	-2.318011	-3.1458769	0.19147269	-3.1466068	0.19166479	0.2359474	-2.8849572	a248bdd	2x2_2C_8b_C2v_L	9.67	validity_data_2022.py	-0.13527071	0.99139664	-1.5983721	0.23286189	1.5985805	-0.23292075	0.31769894	-2.1557802	2024-08-14@10:54	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.045614635	-2.9598472	-3.6900655	0.15575427	-3.6887329	0.15519675	0.19604739	-3.4869117	a248bdd	2x2_2C_8b_C2v_L	10.54	validity_data_2022.py	0.098797354	1.0581231	-1.6103056	0.18838431	1.609958	-0.18817002	0.2663103	-2.1485283	2024-08-14@10:54	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.010901829	-2.3135533	-3.1427944	0.19228868	-3.1438876	0.19241677	0.2362733	-2.8787268	a248bdd	2x2_2C_8b_C2v_L	9.66	validity_data_2022.py	-0.13561631	0.99108819	-1.5986097	0.23407383	1.5988943	-0.23412887	0.31902879	-2.155773	2024-08-14@10:55	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.049106532	-2.9534981	-3.6889818	0.1586147	-3.6877552	0.15864062	0.20067272	-3.4842939	a248bdd	2x2_2C_8b_C2v_L	10.53	validity_data_2022.py	0.099640806	1.058268	-1.6114227	0.18927826	1.6111412	-0.1894033	0.26771857	-2.1501745	2024-08-14@10:56	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0097682371	-2.3030702	-3.1380419	0.19359482	-3.1379169	0.19374059	0.23797398	-2.8732917	a248bdd	2x2_2C_8b_C2v_L	9.65	validity_data_2022.py	-0.13567266	0.98975708	-1.5984721	0.23504021	1.5984296	-0.23510775	0.32048809	-2.1560334	2024-08-14@10:57	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.049775486	-2.9444791	-3.6819662	0.15874883	-3.6810804	0.15848735	0.2011222	-3.477508	a248bdd	2x2_2C_8b_C2v_L	10.52	validity_data_2022.py	0.099926628	1.0577788	-1.6113087	0.18948709	1.6110793	-0.1894284	0.2679848	-2.1504366	2024-08-14@10:58	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0086983488	-2.2986081	-3.1365478	0.19565063	-3.1341186	0.19535583	0.24001619	-2.8673853	a248bdd	2x2_2C_8b_C2v_L	9.64	validity_data_2022.py	-0.13600477	0.98945854	-1.5992633	0.23600588	1.5987333	-0.23585524	0.32139154	-2.1563995	2024-08-14@10:59	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.052976336	-2.9350526	-3.67907	0.16081391	-3.6748633	0.16039615	0.20467939	-3.4713795	a248bdd	2x2_2C_8b_C2v_L	10.51	validity_data_2022.py	0.10057954	1.057477	-1.6120697	0.18993373	1.6111495	-0.189706	0.268479	-2.1510325	2024-08-14@11:00	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0076876269	-2.2924633	-3.1317939	0.19765671	-3.1343577	0.19718869	0.24232137	-2.8623226	a248bdd	2x2_2C_8b_C2v_L	9.63	validity_data_2022.py	-0.13629728	0.98888877	-1.5995117	0.23706533	1.5998932	-0.23692205	0.32277943	-2.1571385	2024-08-14@11:00	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.05575896	-2.9283757	-3.6736006	0.16275802	-3.6743068	0.16311319	0.20819853	-3.4685403	a248bdd	2x2_2C_8b_C2v_L	10.5	validity_data_2022.py	0.10139893	1.057461	-1.6122514	0.19074326	1.6124541	-0.19077662	0.26986469	-2.1525863	2024-08-14@11:01	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0068290065	-2.2878791	-3.1295486	0.1974925	-3.1280137	0.19911422	0.2432256	-2.8562679	a248bdd	2x2_2C_8b_C2v_L	9.62	validity_data_2022.py	-0.13651046	0.98857123	-1.5996681	0.23762741	1.5996401	-0.23808435	0.32389629	-2.1572287	2024-08-14@11:02	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.057358376	-2.9175658	-3.667743	0.16369429	-3.6669251	0.16325344	0.20937224	-3.4614375	a248bdd	2x2_2C_8b_C2v_L	10.49	validity_data_2022.py	0.10173947	1.0567746	-1.612453	0.19090382	1.6121987	-0.19082165	0.26998934	-2.1528002	2024-08-14@11:03	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.061637627	-2.909291	-3.6636218	0.16628891	-3.6634341	0.16606129	0.21364257	-3.4565955	a248bdd	2x2_2C_8b_C2v_L	10.48	validity_data_2022.py	0.10276144	1.0566923	-1.6129205	0.19157144	1.6129072	-0.19148675	0.27088141	-2.1538075	2024-08-14@11:04	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0057910337	-2.2814907	-3.1257687	0.19785384	-3.1245086	0.19960574	0.24329466	-2.8501161	a248bdd	2x2_2C_8b_C2v_L	9.61	validity_data_2022.py	-0.13678731	0.98787719	-1.5998742	0.23850326	1.5998213	-0.23879025	0.32478174	-2.1573096	2024-08-14@11:05	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.064206684	-2.9013305	-3.6597579	0.16769847	-3.6607676	0.16835036	0.21629039	-3.4518239	a248bdd	2x2_2C_8b_C2v_L	10.47	validity_data_2022.py	0.10351284	1.0564702	-1.6134629	0.19221041	1.6137763	-0.19239922	0.2719106	-2.1547629	2024-08-14@11:06	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.065656406	-2.8931294	-3.6538367	0.16829571	-3.653478	0.16824415	0.21694992	-3.4446567	a248bdd	2x2_2C_8b_C2v_L	10.46	validity_data_2022.py	0.1039572	1.0561945	-1.6135848	0.19243927	1.6136081	-0.19238588	0.27203766	-2.1549493	2024-08-14@11:07	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0048791922	-2.2741774	-3.1218821	0.19987758	-3.1211615	0.19947693	0.24401339	-2.8438545	a248bdd	2x2_2C_8b_C2v_L	9.6	validity_data_2022.py	-0.13702529	0.98701095	-1.600196	0.23958975	1.5998567	-0.23954287	0.3258245	-2.1573726	2024-08-14@11:07	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.070691612	-2.8829506	-3.6501365	0.17149816	-3.6471686	0.17150586	0.22181632	-3.4393367	a248bdd	2x2_2C_8b_C2v_L	10.45	validity_data_2022.py	0.10496185	1.0557767	-1.6142298	0.19314217	1.61368	-0.19298469	0.27284643	-2.1558527	2024-08-14@11:09	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.07450023	-2.8761625	-3.645753	0.17417222	-3.6459244	0.17430055	0.22548272	-3.4355432	a248bdd	2x2_2C_8b_C2v_L	10.44	validity_data_2022.py	0.1060544	1.0557867	-1.6147488	0.19409189	1.6147472	-0.19415415	0.27427228	-2.1571303	2024-08-14@11:10	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0040652174	-2.2712591	-3.1179721	0.20235313	-3.1183286	0.20020831	0.24602169	-2.838734	a248bdd	2x2_2C_8b_C2v_L	9.59	validity_data_2022.py	-0.13734314	0.98696037	-1.6004817	0.24065517	1.6002087	-0.24021863	0.32702615	-2.157951	2024-08-14@11:11	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.07609764	-2.8664845	-3.6380919	0.17476262	-3.637707	0.17403019	0.22601668	-3.4272365	a248bdd	2x2_2C_8b_C2v_L	10.43	validity_data_2022.py	0.10639799	1.0553089	-1.6145432	0.19415244	1.6143799	-0.19395881	0.27411471	-2.1569964	2024-08-14@11:11	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0032527412	-2.2660369	-3.1141545	0.20239101	-3.1156861	0.20370978	0.24807209	-2.8334984	a248bdd	2x2_2C_8b_C2v_L	9.58	validity_data_2022.py	-0.13765199	0.98650581	-1.6004705	0.24122884	1.6010364	-0.24141241	0.32821531	-2.158573	2024-08-14@11:13	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.081627145	-2.8570348	-3.6340431	0.1780506	-3.6334697	0.17811914	0.23108807	-3.42198	a248bdd	2x2_2C_8b_C2v_L	10.42	validity_data_2022.py	0.10755878	1.0550048	-1.6150869	0.1949294	1.6150071	-0.19487371	0.27511185	-2.1579497	2024-08-14@11:13	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.085080474	-2.8513588	-3.6306282	0.18006593	-3.6319414	0.180746	0.23393	-3.4169315	a248bdd	2x2_2C_8b_C2v_L	10.41	validity_data_2022.py	0.10858827	1.0551271	-1.6157552	0.1958195	1.6160864	-0.1959936	0.2763147	-2.1587951	2024-08-14@11:15	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	-0.0024393021	-2.2598124	-3.1108862	0.20474699	-3.1123734	0.20288179	0.24881599	-2.8274186	a248bdd	2x2_2C_8b_C2v_L	9.57	validity_data_2022.py	-0.13789719	0.98581105	-1.6009833	0.24234402	1.6009948	-0.24203025	0.32927009	-2.1586495	2024-08-14@11:15	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.086489107	-2.8381108	-3.6214871	0.18079712	-3.6227215	0.1807574	0.23468149	-3.4086081	a248bdd	2x2_2C_8b_C2v_L	10.4	validity_data_2022.py	0.10873353	1.0540361	-1.6152365	0.19572938	1.6155131	-0.19580263	0.27607996	-2.1586808	2024-08-14@11:17	2.0342	1	0.236	v2.7.1	
YY	9.5	3.4161	0.093375709	-2.8313947	-3.62046	0.18566073	-3.6179674	0.18487124	0.24048593	-3.4033891	a248bdd	2x2_2C_8b_C2v_L	10.39	validity_data_2022.py	0.11020679	1.0541832	-1.6165494	0.19693988	1.6159534	-0.19674245	0.27731515	-2.1596528	2024-08-14@11:17	2.0342	1	0.236	v2.7.1	
