GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	9.5	3.4161	-0.058860396	-2.5188115	-3.1942206	0.15381767	-3.1955178	0.15539086	0.18708893	-2.9690272	a248bdd	2x2_2C_8b_C2v_L	9.84	validity_data_2022.py	-0.14358761	1.0089301	-1.5898344	0.21487151	1.5902397	-0.21530073	0.29436584	-2.1437696	2024-08-14@08:35	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.10781782	-2.6887994	-3.1366502	0.10620343	-3.137095	0.10625772	0.11874346	-2.9097909	a248bdd	2x2_2C_8b_C2v_L	9.85	validity_data_2022.py	-0.17031817	1.0219357	-1.5722658	0.20160265	1.5723623	-0.20163377	0.26970524	-2.1176673	2024-08-14@08:36	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.1289469	-2.7530094	-3.103272	0.081313048	-3.102919	0.081234931	0.087584842	-2.8753077	a248bdd	2x2_2C_8b_C2v_L	9.86	validity_data_2022.py	-0.17963813	1.0265161	-1.5613139	0.19034493	1.5612186	-0.19029536	0.25057697	-2.101863	2024-08-14@08:36	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.13643369	-2.7773407	-3.0925964	0.071102535	-3.0927869	0.071147393	0.075955116	-2.8658756	a248bdd	2x2_2C_8b_C2v_L	9.87	validity_data_2022.py	-0.18228973	1.0282831	-1.5567616	0.18486383	1.5568178	-0.18488173	0.24183981	-2.095729	2024-08-14@08:37	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.14905975	-2.8100673	-3.0859764	0.062798402	-3.0845107	0.062622033	0.064346318	-2.8559055	a248bdd	2x2_2C_8b_C2v_L	9.88	validity_data_2022.py	-0.18654559	1.0306315	-1.5533027	0.18052262	1.5529039	-0.18038973	0.23311544	-2.0892093	2024-08-14@08:38	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.15455758	-2.8255784	-3.0837923	0.057709667	-3.083637	0.05775383	0.058892939	-2.855216	a248bdd	2x2_2C_8b_C2v_L	9.89	validity_data_2022.py	-0.18805422	1.0316743	-1.5512223	0.17752464	1.551193	-0.17754667	0.22828218	-2.0864952	2024-08-14@08:38	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.16573196	-2.8563555	-3.0833492	0.053506532	-3.0833203	0.053530594	0.053044344	-2.8529106	a248bdd	2x2_2C_8b_C2v_L	9.9	validity_data_2022.py	-0.19144851	1.0342776	-1.5496937	0.17520802	1.5496631	-0.17521188	0.22346046	-2.0831238	2024-08-14@08:39	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.16982666	-2.8652552	-3.0836378	0.050362749	-3.0836885	0.050378709	0.049861907	-2.8542243	a248bdd	2x2_2C_8b_C2v_L	9.91	validity_data_2022.py	-0.19206735	1.0347009	-1.5483862	0.17322187	1.5483907	-0.17323008	0.22013299	-2.0813063	2024-08-14@08:39	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.17778229	-2.8859265	-3.0875475	0.04899548	-3.0876159	0.048979263	0.047821754	-2.8570985	a248bdd	2x2_2C_8b_C2v_L	9.92	validity_data_2022.py	-0.19408173	1.0365798	-1.5482125	0.17222066	1.5482443	-0.17220834	0.21817624	-2.0800619	2024-08-14@08:40	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.18437188	-2.9008809	-3.0860221	0.044698361	-3.0864629	0.044690478	0.043771001	-2.85502	a248bdd	2x2_2C_8b_C2v_L	9.93	validity_data_2022.py	-0.19515835	1.0373816	-1.5463655	0.16980249	1.5464603	-0.16980419	0.21367731	-2.0772049	2024-08-14@08:41	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.18936419	-2.9152766	-3.0908086	0.044026329	-3.0919966	0.043951085	0.043070706	-2.8607774	a248bdd	2x2_2C_8b_C2v_L	9.94	validity_data_2022.py	-0.19635902	1.0386462	-1.5464672	0.16905742	1.5466578	-0.16904772	0.21267138	-2.0770392	2024-08-14@08:41	2.0342	1	0.236	v2.7.1	
NY	9.5	3.4161	-0.19763595	-2.9329291	-3.0927833	0.04198847	-3.0926366	0.041969323	0.041353669	-2.8620442	a248bdd	2x2_2C_8b_C2v_L	9.95	validity_data_2022.py	-0.19780533	1.0400138	-1.5457414	0.16773882	1.5457298	-0.16772298	0.21027677	-2.0755547	2024-08-14@08:42	2.0342	1	0.236	v2.7.1	
