w	up_1	down_1	cumul_up_1	cumul_down_1	
-5.9125	0.0773147	0.0736309	0.0282159	0.157442
-5.875	0.0867859	0.0749072	0.0314704	0.160251
-5.8375	0.0924587	0.0761695	0.0349376	0.163108
-5.8	0.0940645	0.0774224	0.038465	0.166011
-5.7625	0.0927186	0.0786869	0.0419419	0.168962
-5.725	0.0897707	0.079984	0.0453083	0.171961
-5.6875	0.0859896	0.0813175	0.0485329	0.175011
-5.65	0.0818748	0.0826807	0.0516033	0.178111
-5.6125	0.0778865	0.0840694	0.054524	0.181264
-5.575	0.0741931	0.0854938	0.0573062	0.18447
-5.5375	0.0708097	0.0869604	0.0599616	0.187731
-5.5	0.067924	0.0884706	0.0625088	0.191048
-5.4625	0.0657281	0.090007	0.0649736	0.194424
-5.425	0.0641449	0.0915576	0.067379	0.197857
-5.3875	0.0630354	0.0931351	0.0697428	0.20135
-5.35	0.0625001	0.0948061	0.0720866	0.204905
-5.3125	0.0627314	0.0966571	0.074439	0.208529
-5.275	0.0637477	0.0987043	0.0768295	0.212231
-5.2375	0.0653435	0.100912	0.0792799	0.216015
-5.2	0.0671146	0.103236	0.0817967	0.219886
-5.1625	0.0684723	0.105655	0.0843644	0.223848
-5.125	0.0688068	0.108137	0.0869447	0.227904
-5.0875	0.0678859	0.110577	0.0894904	0.23205
-5.05	0.0661208	0.112743	0.0919699	0.236278
-5.0125	0.0643094	0.114352	0.0943815	0.240566
-4.975	0.0630848	0.115349	0.0967472	0.244892
-4.9375	0.0625534	0.116174	0.099093	0.249248
-4.9	0.0624483	0.117499	0.101435	0.253655
-4.8625	0.0625504	0.119697	0.10378	0.258143
-4.825	0.0627419	0.122755	0.106133	0.262747
-4.7875	0.0628384	0.12652	0.10849	0.267491
-4.75	0.0626842	0.130869	0.11084	0.272399
-4.7125	0.0623155	0.135732	0.113177	0.277489
-4.675	0.0618861	0.141063	0.115498	0.282778
-4.6375	0.0615082	0.146787	0.117804	0.288283
-4.6	0.0612299	0.152726	0.120101	0.29401
-4.5625	0.0610973	0.15847	0.122392	0.299953
-4.525	0.0611702	0.163185	0.124686	0.306072
-4.4875	0.0615397	0.165473	0.126993	0.312277
-4.45	0.0622948	0.163709	0.129329	0.318417
-4.4125	0.0633648	0.157299	0.131706	0.324315
-4.375	0.0645003	0.147762	0.134124	0.329856
-4.3375	0.0655188	0.137662	0.136581	0.335019
-4.3	0.0664326	0.128844	0.139073	0.33985
-4.2625	0.0673314	0.122169	0.141597	0.344432
-4.225	0.0682776	0.117976	0.144158	0.348856
-4.1875	0.0692906	0.116281	0.146756	0.353216
-4.15	0.0703722	0.116817	0.149395	0.357597
-4.1125	0.0715155	0.119009	0.152077	0.36206
-4.075	0.0727108	0.121792	0.154804	0.366627
-4.0375	0.0739389	0.123324	0.157576	0.371252
-4	0.0751586	0.121271	0.160395	0.375799
-3.9625	0.0762921	0.114344	0.163256	0.380087
-3.925	0.0772435	0.103728	0.166152	0.383977
-3.8875	0.0779806	0.0920626	0.169077	0.387429
