w	up_1	down_1	cumul_up_1	cumul_down_1	
-10	0.00584434	0.00080141	0	0
-9.9625	0.00584123	0.000801303	0.000219046	3.00489e-05
-9.925	0.00570407	0.000806977	0.000432948	6.03105e-05
-9.8875	0.00548321	0.00082062	0.000638569	9.10838e-05
-9.85	0.00526345	0.000842302	0.000835948	0.00012267
-9.8125	0.00511612	0.000869262	0.0010278	0.000155267
-9.775	0.00506717	0.00089502	0.00121782	0.000188831
-9.7375	0.00510719	0.000911867	0.00140934	0.000223026
-9.7	0.00520985	0.000915617	0.00160471	0.000257361
-9.6625	0.00535252	0.000907165	0.00180543	0.00029138
-9.625	0.00553566	0.000891932	0.00201302	0.000324827
-9.5875	0.00578017	0.000877026	0.00222977	0.000357716
-9.55	0.00611067	0.000867136	0.00245892	0.000390233
-9.5125	0.00654994	0.000863755	0.00270455	0.000422624
-9.475	0.00712394	0.00086675	0.00297169	0.000455127
-9.4375	0.0078678	0.000875697	0.00326674	0.000487966
-9.4	0.00882821	0.000890415	0.00359779	0.000521357
-9.3625	0.0100579	0.000910977	0.00397497	0.000555518
-9.325	0.0115938	0.000937371	0.00440973	0.00059067
-9.2875	0.0134141	0.00096904	0.00491276	0.000627009
-9.25	0.015404	0.00100508	0.00549041	0.000664699
-9.2125	0.0173626	0.00104489	0.00614151	0.000703882
-9.175	0.0190414	0.00108695	0.00685556	0.000744643
-9.1375	0.0201611	0.00112593	0.00761161	0.000786866
-9.1	0.0204578	0.00115224	0.00837877	0.000830074
-9.0625	0.0199538	0.00115889	0.00912704	0.000873533
-9.025	0.0191166	0.00115092	0.00984391	0.000916692
-8.9875	0.0185145	0.00114142	0.0105382	0.000959496
-8.95	0.018469	0.00113983	0.0112308	0.00100224
-8.9125	0.0190297	0.00114768	0.0119444	0.00104528
-8.875	0.0200627	0.00115976	0.0126968	0.00108877
-8.8375	0.0213723	0.00116767	0.0134982	0.00113256
-8.8	0.0229219	0.00116698	0.0143578	0.00117632
-8.7625	0.0249587	0.00116126	0.0152938	0.00121986
-8.725	0.0278616	0.00115708	0.0163386	0.00126326
-8.6875	0.0319363	0.0011585	0.0175362	0.0013067
-8.65	0.0372876	0.00116663	0.0189345	0.00135045
-8.6125	0.0436913	0.00118132	0.0205729	0.00139475
-8.575	0.0506009	0.0012022	0.0224704	0.00143983
-8.5375	0.0574306	0.00122909	0.0246241	0.00148592
-8.5	0.0637168	0.00126216	0.0270134	0.00153325
-8.4625	0.0688373	0.00130173	0.0295948	0.00158207
-8.425	0.0718527	0.00134751	0.0322893	0.0016326
-8.3875	0.0720803	0.00139737	0.0349923	0.001685
-8.35	0.0697987	0.00144763	0.0376098	0.00173929
-8.3125	0.066344	0.00149683	0.0400977	0.00179542
-8.275	0.0636052	0.00154876	0.0424829	0.0018535
-8.2375	0.0631944	0.00160774	0.0448527	0.00191379
-8.2	0.06588	0.00167195	0.0473232	0.00197648
-8.1625	0.071399	0.00173505	0.0500006	0.00204155
-8.125	0.0783011	0.00179598	0.0529369	0.0021089
-8.0875	0.0843272	0.00186229	0.0560992	0.00217873
-8.05	0.0878448	0.00194134	0.0593934	0.00225153
-8.0125	0.0886611	0.00203329	0.0627182	0.00232778
-7.975	0.0873201	0.0021318	0.0659927	0.00240772
-7.9375	0.0846933	0.00222741	0.0691687	0.00249125
-7.9	0.0816845	0.00230481	0.0722318	0.00257768
-7.8625	0.0786436	0.00234407	0.075181	0.00266559
-7.825	0.0755443	0.00234109	0.0780139	0.00275338
-7.7875	0.0724123	0.00231948	0.0807293	0.00284036
-7.75	0.0691353	0.00231084	0.0833219	0.00292701
-7.7125	0.0653777	0.0023355	0.0857736	0.00301459
-7.675	0.061028	0.00240287	0.0880621	0.0031047
-7.6375	0.0565063	0.00251843	0.0901811	0.00319914
-7.6	0.0525983	0.0026865	0.0921535	0.00329989
-7.5625	0.050103	0.00290561	0.0940324	0.00340885
