GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
NY	11.5	3.5474	-0.26105556	-3.4739323	-3.5105718	0.018368309	-3.510039	0.018352274	0.029064519	-3.2207725	a248bdd	2x2_2C_8b_C2v_L	10.44	validity_data_2022.py	-0.20124195	1.0943813	-1.6227747	-0.15230947	1.6226632	0.15230451	0.19329646	-2.1573679	2024-08-13@13:53	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.26373717	-3.4697009	-3.5177009	0.018420703	-3.5181896	0.018396971	0.028858402	-3.2299935	a248bdd	2x2_2C_8b_C2v_L	10.45	validity_data_2022.py	-0.20045438	1.0938354	-1.6232897	-0.15110157	1.6233982	0.15109905	0.19180146	-2.15814	2024-08-13@13:54	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.2692767	-3.5022281	-3.529518	0.017054864	-3.5282971	0.017064559	0.027494618	-3.2391815	a248bdd	2x2_2C_8b_C2v_L	10.46	validity_data_2022.py	-0.20166805	1.0973088	-1.6247424	-0.15098552	1.6244924	0.15097529	0.19169762	-2.1589821	2024-08-13@13:54	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.27058221	-3.5014956	-3.5383949	0.016304539	-3.5375192	0.016288737	0.026618394	-3.2487123	a248bdd	2x2_2C_8b_C2v_L	10.47	validity_data_2022.py	-0.20077273	1.0973621	-1.6256742	-0.15019974	1.6254806	0.15018516	0.1907433	-2.1599588	2024-08-13@13:55	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.27060396	-3.5185895	-3.549249	0.014160159	-3.5485841	0.014150314	0.024385085	-3.2581994	a248bdd	2x2_2C_8b_C2v_L	10.48	validity_data_2022.py	-0.20036584	1.0996105	-1.6268884	-0.15013396	1.6267336	0.15013238	0.19062208	-2.1608829	2024-08-13@13:55	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.2718689	-3.5171978	-3.5577123	0.013533047	-3.5577647	0.013525259	0.023584462	-3.267322	a248bdd	2x2_2C_8b_C2v_L	10.49	validity_data_2022.py	-0.19939487	1.0995756	-1.6276406	-0.14899165	1.6276605	0.14898186	0.18916243	-2.1616438	2024-08-13@13:56	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.2749305	-3.536491	-3.5683381	0.012249371	-3.5663177	0.012279144	0.022148753	-3.2762999	a248bdd	2x2_2C_8b_C2v_L	10.5	validity_data_2022.py	-0.19951767	1.1017441	-1.6287663	-0.14860175	1.6283801	0.14858938	0.18867963	-2.1623572	2024-08-13@13:56	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.27581612	-3.5377979	-3.5772526	0.011258989	-3.578196	0.011247565	0.020981107	-3.2858505	a248bdd	2x2_2C_8b_C2v_L	10.51	validity_data_2022.py	-0.1986507	1.1019731	-1.629644	-0.14785361	1.629834	0.14785191	0.18769748	-2.1632692	2024-08-13@13:57	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.27997912	-3.5645827	-3.5882298	0.010108988	-3.588591	0.010105781	0.019636111	-3.2953088	a248bdd	2x2_2C_8b_C2v_L	10.52	validity_data_2022.py	-0.1992468	1.1049529	-1.6308549	-0.14742334	1.6309524	0.14742544	0.18713083	-2.1640859	2024-08-13@13:57	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.28385734	-3.5639999	-3.5960244	0.010452607	-3.5961889	0.010458663	0.019900019	-3.3040046	a248bdd	2x2_2C_8b_C2v_L	10.53	validity_data_2022.py	-0.19861485	1.1047571	-1.631601	-0.14619364	1.631611	0.14618733	0.18568718	-2.1648252	2024-08-13@13:57	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.28371099	-3.5746754	-3.6085397	0.0085312583	-3.6072894	0.0085458552	0.017757164	-3.3136536	a248bdd	2x2_2C_8b_C2v_L	10.54	validity_data_2022.py	-0.19801062	1.106182	-1.6330643	-0.14562527	1.6328035	0.14561831	0.18482301	-2.1656883	2024-08-13@13:58	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.28764469	-3.5926115	-3.6181593	0.0075353133	-3.6168962	0.0075421502	0.016590314	-3.3231762	a248bdd	2x2_2C_8b_C2v_L	10.55	validity_data_2022.py	-0.19836387	1.1080782	-1.6340309	-0.14470746	1.6337158	0.14468809	0.18360467	-2.1665806	2024-08-13@13:58	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.28734493	-3.5989033	-3.6285344	0.0063775066	-3.6282848	0.0063778367	0.015233702	-3.3326653	a248bdd	2x2_2C_8b_C2v_L	10.56	validity_data_2022.py	-0.19713535	1.1090708	-1.6350671	-0.14431745	1.6350024	0.14430901	0.18306421	-2.1673614	2024-08-13@13:59	2.0385	1	0.2119	v2.7.1	
NY	11.5	3.5474	-0.28856134	-3.6078799	-3.6375224	0.0053745404	-3.6369308	0.005375885	0.014043422	-3.3415996	a248bdd	2x2_2C_8b_C2v_L	10.57	validity_data_2022.py	-0.19650755	1.1101651	-1.635839	-0.14351077	1.6357433	0.14351265	0.18200235	-2.1680371	2024-08-13@13:59	2.0385	1	0.2119	v2.7.1	
