model	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	var_U_1	var_eb1_1	var_eb2_1	var_eb3_1	var_eb4_1	var_eb5_1	var_eb6_1	var_eb7_1	var_eb8_1	var_mu_1	var_sb1_1	var_sb2_1	var_sb3_1	var_sb4_1	var_sb5_1	var_sb6_1	var_sb7_1	var_sb8_1	var_tb1_1	var_tb2_1	var_tb3_1	var_tb4_1	var_tb5_1	var_tb6_1	var_tb7_1	var_tb8_1	E0_1	sector_1	E0_2	sector_2	githash	version	distance	diff_param	diff_hybrid	time
2x2_2C_8b_C2v_L	0	14	3.0428	0.0084431396	-3.0304093	-3.7053517	-0.13173773	-3.7024713	-0.13113868	0.17160849	-3.2960462	9.74	-0.00435941	-0.00015751805	0.0088321188	-0.19126909	0.0084544156	-0.1911506	0.00084270193	-0.00015340064	-0.11802869	-1.0583217	1.6736571	0.034755177	-1.6731393	-0.032992825	0.26331353	-2.2119963	2.0089	1	0.226	0.1357559	0.29403121	1.9345228	1.7834603	1.5382328	1.7837293	1.5366562	0.021262983	1.5136166	1.1049012	0.039753419	-0.00010147754	0.12159961	1.244081	0.12223658	1.2504022	-0.0039193203	0.00013331339	1.2454649	0.75500894	-1.6282163	-0.56055153	1.6263262	0.55172507	-0.31894804	2.6227425	0.029294253	0.26221302	0.063457494	0.19577946	0.38217427	0.19554991	0.38338052	0.021557846	0.3650783	0.038008857	4.2436229	5.3887185	5.1971213	4.9928234	5.1966099	4.9885508	4.3289898	6.3317499	5.2491115	2.7177208	3.3343954	5.2481199	3.3317927	5.2550323	3.737214	3.067938	-72.69694	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 2.05e-03	 4.01e-03	2022-07-21@03:39
2x2_2C_8b_C2v_L	0	14	3.0428	0.0085078302	-3.0304882	-3.702473	-0.13080514	-3.7045009	-0.13134968	0.17121109	-3.2960319	9.74	0.0043890443	0.00012678558	0.0084225358	-0.19118768	0.0088427596	-0.19129215	-0.00089963918	0.0001628452	-0.1180588	-1.058295	1.673052	0.032863991	-1.673352	-0.03473245	0.26341319	-2.2118873	2.0089	1	0.226	0.13573532	0.29639682	1.9343757	1.7837144	1.5329241	1.7834335	1.5344405	0.021415785	1.513226	1.1048372	-0.040072454	0.00020663432	0.12230091	1.2538739	0.1215647	1.2475237	0.0042318141	-0.00012585105	1.2472286	0.75607204	-1.6262616	-0.55244051	1.628112	0.56172006	-0.31955455	2.6234956	0.029290292	0.26377209	0.063587709	0.19553191	0.38535331	0.19577045	0.38415484	0.021713544	0.36523647	0.038018114	4.2559093	5.3860441	5.1945052	4.9911619	5.1951037	4.9957632	4.3288228	6.3334062	5.2509316	2.7184411	3.3292652	5.2638388	3.3317674	5.2567901	3.7373361	3.0669475	-72.693558	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.98e-03	 3.21e-03	2022-07-21@03:46
2x2_2C_8b_C2v_L	0	14	3.0428	0.008748368	-3.0311818	-3.7025645	-0.13123617	-3.7020929	-0.13086278	0.1712021	-3.2954219	9.74	-0.0043238065	-0.00013059399	0.0087227769	-0.19128017	0.0083594124	-0.19126644	0.00086685454	-0.00014867835	-0.11803875	-1.0583697	1.6728624	0.034320743	-1.6729211	-0.03251537	0.26348185	-2.2115963	2.0089	1	0.226	0.13573328	0.29496312	1.9344792	1.7834527	1.5359893	1.7837715	1.5346262	0.021382132	1.5135631	1.1048763	0.039282749	-0.00021529951	0.12134869	1.2460299	0.12204248	1.2523056	-0.0040613491	0.00012121728	1.2455668	0.75546207	-1.627999	-0.55901703	1.6261577	0.55000511	-0.3195096	2.6226739	0.029290093	0.26274496	0.063495688	0.19577046	0.38361885	0.19550203	0.38469281	0.021680172	0.36509696	0.038005747	4.2488022	5.3873654	5.1962995	4.993478	5.1955039	4.9888538	4.3288089	6.3320146	5.2508014	2.7183207	3.3331605	5.2530503	3.3308027	5.2600154	3.7374857	3.068011	-72.687649	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.88e-03	 3.25e-03	2022-07-21@03:53
2x2_2C_8b_C2v_L	0	14	3.0428	0.0086351325	-3.0312107	-3.7030596	-0.13104795	-3.7024076	-0.13126017	0.1713155	-3.2956059	9.74	0.0043200847	0.00012736128	0.0083809286	-0.191289	0.0087283023	-0.19123551	-0.00083882777	0.00014517466	-0.11803628	-1.0584112	1.6732081	0.032575857	-1.6728882	-0.034298063	0.26345042	-2.2117275	2.0089	1	0.226	0.13573995	0.294746	1.9344908	1.7837776	1.5355325	1.7834496	1.5366396	0.021358217	1.5136063	1.1048873	-0.039329988	0.00024473478	0.12203868	1.2514442	0.12132356	1.2455696	0.0039330865	-0.00011253671	1.2454215	0.75534812	-1.6262405	-0.5500322	1.6279728	0.55860953	-0.31939287	2.6226235	0.029291309	0.26267346	0.063485968	0.19550374	0.38415824	0.1957776	0.38325772	0.021655916	0.36507931	0.038005636	4.2472421	5.3877849	5.1958757	4.9884385	5.1967426	4.9929987	4.3288589	6.3318363	5.2503751	2.7182095	3.3313635	5.2581586	3.333451	5.2517155	3.7374464	3.068077	-72.690641	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.78e-03	 3.12e-03	2022-07-21@04:00
2x2_2C_8b_C2v_L	0	14	3.0428	0.008592477	-3.0294989	-3.704228	-0.13124958	-3.70116	-0.13078089	0.17122827	-3.2952292	9.74	-0.0034817702	-7.6622797e-05	0.0087485274	-0.19125786	0.0083813225	-0.19114904	0.00079403911	-0.00013863124	-0.11806116	-1.0581444	1.6733069	0.034310053	-1.6727774	-0.03266782	0.26339965	-2.2116156	2.0089	1	0.226	0.13573527	0.29515674	1.9344201	1.7834664	1.5354607	1.7836942	1.5340572	0.021396103	1.5133866	1.1048623	0.031694647	-0.00020432447	0.12140826	1.2467294	0.12207718	1.2525949	-0.0038137665	6.2268766e-05	1.2464202	0.75574931	-1.6280398	-0.55918949	1.6263121	0.55103058	-0.31948762	2.6230712	0.029290377	0.26260506	0.063548969	0.19575354	0.38382858	0.1955581	0.38488626	0.021693997	0.3651685	0.038010756	4.2514239	5.3868408	5.1957605	4.9939696	5.1953863	4.9900145	4.3287881	6.3327426	5.2511605	2.7183562	3.3326652	5.254903	3.330177	5.2611817	3.7374554	3.0675178	-72.685584	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.71e-03	 2.92e-03	2022-07-21@04:07
2x2_2C_8b_C2v_L	0	14	3.0428	0.0086610948	-3.0306552	-3.7024239	-0.13106611	-3.7015678	-0.13115935	0.17120505	-3.295234	9.74	0.0040785685	0.0001478777	0.0083923268	-0.19131412	0.0087028865	-0.1912328	-0.00077514335	0.00014247777	-0.11804923	-1.0583226	1.6730434	0.032611944	-1.6727039	-0.034179305	0.26344065	-2.2115749	2.0089	1	0.226	0.13573646	0.29488621	1.9344669	1.783744	1.5352006	1.7834271	1.5360805	0.021377361	1.5135375	1.1048783	-0.037131081	0.00018079433	0.12202416	1.2516073	0.12134618	1.2462611	0.0036467882	-9.5457692e-05	1.2457109	0.75549444	-1.6263426	-0.55037935	1.6279772	0.55819592	-0.31945766	2.6227358	0.02929067	0.26265797	0.0635075	0.19552819	0.38432291	0.19579133	0.38360008	0.0216753	0.36510715	0.038006749	4.2486283	5.3874494	5.1957469	4.9888152	5.196562	4.9930499	4.3288215	6.3321208	5.2506539	2.7183161	3.3311784	5.2588464	3.3330545	5.253122	3.7374864	3.067944	-72.685191	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.67e-03	 2.81e-03	2022-07-21@04:14
2x2_2C_8b_C2v_L	0	14	3.0428	0.0086272696	-3.027499	-3.702342	-0.13117769	-3.7008607	-0.13088184	0.17119509	-3.2951751	9.74	-0.0029075304	-6.690819e-05	0.0087021918	-0.19121109	0.008406221	-0.19118452	0.00071413294	-0.0001276651	-0.11807157	-1.0578319	1.6728849	0.034161587	-1.6727078	-0.032692166	0.26339248	-2.2115768	2.0089	1	0.226	0.13573771	0.29450591	1.9344271	1.7834271	1.5359411	1.783678	1.5346565	0.021383486	1.5134536	1.1048724	0.026436131	-0.00016555084	0.12143252	1.2463317	0.12198944	1.2519934	-0.0034736163	3.3697644e-05	1.2462139	0.75559539	-1.6280796	-0.55829853	1.6264179	0.55093552	-0.31943202	2.6229608	0.029290863	0.2619672	0.063543489	0.19579009	0.3836685	0.19557581	0.38458054	0.021681236	0.3651403	0.038008827	4.2491715	5.3872834	5.1963003	4.9931905	5.1957387	4.9895213	4.3288928	6.3324464	5.251097	2.718209	3.3330265	5.2536711	3.3306696	5.2598257	3.7373992	3.0676769	-72.676546	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.51e-03	 2.65e-03	2022-07-21@04:22
2x2_2C_8b_C2v_L	0	14	3.0428	0.0086455598	-3.0286826	-3.7022726	-0.13094014	-3.7021364	-0.13112804	0.17117797	-3.2949851	9.74	0.0038514113	0.00016749649	0.0084167214	-0.19122205	0.0086786044	-0.19123059	-0.00065517785	0.00011294968	-0.11805527	-1.0580047	1.6729941	0.032745184	-1.6728404	-0.034074991	0.26338904	-2.211496	2.0089	1	0.226	0.13573498	0.29499807	1.9344356	1.7836816	1.5349148	1.7834801	1.5354896	0.021382707	1.5134576	1.104871	-0.03510365	0.00011221331	0.12200109	1.2510442	0.12140278	1.2475189	0.0030084689	-0.00010629398	1.2460145	0.75561234	-1.6266535	-0.55134653	1.6276927	0.55775112	-0.31944394	2.6229024	0.029290373	0.26261418	0.06353554	0.195577	0.38449465	0.19574245	0.38386838	0.021679794	0.36513903	0.038008087	4.2498396	5.387169	5.1956566	4.9896747	5.1961203	4.993107	4.3288045	6.3324442	5.2509154	2.7182996	3.3312645	5.2589005	3.3323501	5.2551097	3.7374679	3.067749	-72.681081	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.55e-03	 2.46e-03	2022-07-21@04:29
2x2_2C_8b_C2v_L	0	14	3.0428	0.0086128707	-3.0313292	-3.7029619	-0.13119936	-3.7016455	-0.13092379	0.17125106	-3.2952957	9.74	-0.0027924677	-7.6117857e-05	0.0086931249	-0.19124056	0.0083986498	-0.19123021	0.00059523194	-9.4127841e-05	-0.11807034	-1.0584158	1.673018	0.034043278	-1.6728557	-0.032779744	0.26343244	-2.2116119	2.0089	1	0.226	0.1357345	0.29448799	1.9344629	1.7834883	1.535907	1.7837095	1.5348158	0.021383082	1.513511	1.1048745	0.025403186	-0.00013280876	0.12143491	1.2466867	0.12195203	1.2515778	-0.0028427312	3.9729937e-05	1.246088	0.7555642	-1.6278361	-0.55766829	1.6263867	0.55125112	-0.3194777	2.6227814	0.029290283	0.26195733	0.063510653	0.19574032	0.38369272	0.19555213	0.3844732	0.021679991	0.36511757	0.038006904	4.249229	5.38722	5.1961617	4.9929327	5.1956806	4.9896936	4.328779	6.3322414	5.2512537	2.718388	3.3328887	5.2540348	3.3308834	5.2593149	3.7374982	3.067882	-72.68782	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.28e-03	 2.30e-03	2022-07-21@04:36
2x2_2C_8b_C2v_L	0	14	3.0428	0.0086144038	-3.0313419	-3.7025589	-0.13105519	-3.7025401	-0.13119608	0.17121527	-3.2957053	9.74	0.0030002832	0.00011527008	0.0084243208	-0.19128537	0.0086636934	-0.19125386	-0.00060925045	0.00011687357	-0.11807567	-1.0584208	1.6730723	0.032794306	-1.6729379	-0.034014939	0.26342301	-2.2117499	2.0089	1	0.226	0.13573856	0.29428094	1.9344822	1.7837212	1.5354341	1.7834967	1.5362328	0.021367119	1.5135866	1.1048833	-0.02731552	0.00010127819	0.12193699	1.2508783	0.12143904	1.2466473	0.0028915765	-6.4457042e-05	1.2458508	0.75541666	-1.6264761	-0.55121244	1.6277295	0.55728117	-0.31940851	2.6226719	0.029291036	0.2618847	0.063493535	0.1955485	0.38416841	0.19573649	0.38353218	0.021663988	0.36508694	0.038006147	4.2477056	5.3875972	5.1959149	4.989238	5.1964703	4.9924466	4.3288557	6.3319277	5.2509844	2.7182652	3.3314505	5.2578442	3.3330155	5.2532735	3.7374358	3.0680177	-72.690213	R0:S0:1	-53.5776	uncorrelated	b7fd39a	v1.0.3	 1.57e+02	 1.23e-03	 2.15e-03	2022-07-21@04:43
