w	up_1	down_1	cumul_up_1	cumul_down_1	
-11.3213	0.000557864	0.00098081	0.00129266	0.00205817
-11.2863	0.000553257	0.00101193	0.00131204	0.00209362
-11.2513	0.000551594	0.00105626	0.00133137	0.00213063
-11.2162	0.000552266	0.00111585	0.00135072	0.00216972
-11.1812	0.000554458	0.00119153	0.00137014	0.00221147
-11.1461	0.000557915	0.00127956	0.00138969	0.0022563
-11.1111	0.000562988	0.00136728	0.00140941	0.0023042
-11.0761	0.000570154	0.00143528	0.00142939	0.00235448
-11.041	0.000579852	0.00147266	0.0014497	0.00240608
-11.006	0.000592533	0.0014871	0.00147046	0.00245818
-10.971	0.000608343	0.00149019	0.00149178	0.00251039
-10.9359	0.000626382	0.0014815	0.00151372	0.00256229
-10.9009	0.00064406	0.00145418	0.00153629	0.00261324
-10.8659	0.000657983	0.00140833	0.00155934	0.00266258
-10.8308	0.000666616	0.00135401	0.00158269	0.00271002
-10.7958	0.000670772	0.00130369	0.0016062	0.00275569
-10.7608	0.000670908	0.00126432	0.0016297	0.00279999
-10.7257	0.000666783	0.0012372	0.00165306	0.00284333
-10.6907	0.00065983	0.00122175	0.00167618	0.00288614
-10.6557	0.000652978	0.00121757	0.00169906	0.0029288
-10.6206	0.000648469	0.00122449	0.00172177	0.0029717
-10.5856	0.000647135	0.00124254	0.00174445	0.00301523
-10.5506	0.000648979	0.00127231	0.00176718	0.0030598
-10.5155	0.000653757	0.00131513	0.00179009	0.00310588
-10.4805	0.000661217	0.00137316	0.00181325	0.00315399
-10.4454	0.000671064	0.00144886	0.00183677	0.00320475
-10.4104	0.000682782	0.00154362	0.00186069	0.00325883
-10.3754	0.000695658	0.00165539	0.00188506	0.00331683
-10.3403	0.00070939	0.00177702	0.00190991	0.00337908
-10.3053	0.000724794	0.00189546	0.00193531	0.00344549
-10.2703	0.000743468	0.0019877	0.00196135	0.00351513
-10.2352	0.000766811	0.00202229	0.00198822	0.00358598
-10.2002	0.00079522	0.00198512	0.00201608	0.00365553
-10.1652	0.000827041	0.00189952	0.00204505	0.00372208
-10.1301	0.000857495	0.0018043	0.0020751	0.00378529
-10.0951	0.000880421	0.00172512	0.00210594	0.00384573
-10.0601	0.000894159	0.0016705	0.00213727	0.00390426
-10.025	0.000904131	0.00163992	0.00216895	0.00396171
-9.98999	0.000917289	0.00162996	0.00220108	0.00401882
-9.95495	0.000935928	0.00163669	0.00223387	0.00407616
-9.91992	0.000955801	0.00165593	0.00226736	0.00413418
-9.88488	0.000968837	0.00168379	0.0023013	0.00419317
-9.84985	0.000970769	0.00171878	0.00233531	0.00425339
-9.81481	0.000966127	0.00176337	0.00236916	0.00431517
-9.77978	0.000963455	0.00182243	0.00240292	0.00437902
-9.74474	0.000968865	0.00190129	0.00243686	0.00444563
-9.70971	0.000984733	0.0020056	0.00247136	0.00451589
-9.67467	0.00101071	0.00214172	0.00250677	0.00459093
-9.63964	0.00104452	0.00231564	0.00254337	0.00467206
-9.6046	0.0010832	0.0025286	0.00258132	0.00476065
-9.56957	0.00112437	0.00276748	0.00262071	0.00485761
-9.53453	0.00116384	0.00299403	0.00266148	0.0049625
-9.4995	0.00119271	0.00314791	0.00270327	0.00507279
-9.46446	0.0012032	0.00317741	0.00274542	0.00518411
-9.42943	0.00119863	0.00308296	0.00278742	0.00529212
-9.39439	0.00119184	0.00292158	0.00282917	0.00539448
-9.35936	0.00119504	0.00275821	0.00287104	0.00549111
-9.32432	0.00121482	0.00262875	0.0029136	0.00558321
-9.28929	0.00125251	0.00254229	0.00295749	0.00567228
-9.25425	0.001304	0.00249553	0.00300317	0.00575971
-9.21922	0.00135762	0.00248218	0.00305074	0.00584667
-9.18418	0.00139631	0.00249676	0.00309965	0.00593415
-9.14915	0.00141022	0.00253583	0.00314906	0.00602299
-9.11411	0.00140609	0.00259823	0.00319832	0.00611402
-9.07908	0.00139691	0.00268491	0.00324727	0.00620809
-9.04404	0.00138876	0.00279875	0.00329592	0.00630614
-9.00901	0.00138278	0.00294467	0.00334437	0.00640931
-8.97397	0.00138251	0.00312974	0.0033928	0.00651896
-8.93894	0.00139274	0.00336248	0.0034416	0.00663676
-8.9039	0.00141322	0.00364986	0.00349111	0.00676464
-8.86887	0.00143611	0.00399027	0.00354142	0.00690443
-8.83383	0.00145106	0.00436483	0.00359226	0.00705736
-8.7988	0.0014557	0.00474048	0.00364326	0.00722344
-8.76376	0.00145829	0.00508954	0.00369435	0.00740175
-8.72873	0.00146884	0.00539118	0.00374581	0.00759063
-8.69369	0.00149209	0.00560529	0.00379809	0.00778701
-8.65866	0.00152836	0.00567528	0.00385164	0.00798585
-8.62362	0.00157818	0.00558458	0.00390693	0.0081815
-8.58859	0.00164557	0.00539885	0.00396458	0.00837065
-8.55355	0.00173591	0.0052177	0.0040254	0.00855345
-8.51852	0.00184976	0.00510685	0.0040902	0.00873237
-8.48348	0.00197511	0.00508658	0.0041594	0.00891058
-8.44845	0.0020822	0.00515107	0.00423235	0.00909105
-8.41341	0.00213636	0.00528852	0.0043072	0.00927633
-8.37838	0.00213064	0.00549684	0.00438185	0.00946891
-8.34334	0.0020947	0.00578895	0.00445523	0.00967173
-8.30831	0.00206394	0.00618666	0.00452754	0.00988848
-8.27327	0.0020542	0.00671462	0.00459951	0.0101237
-8.23824	0.00206161	0.00739682	0.00467174	0.0103829
-8.2032	0.00207571	0.00824884	0.00474447	0.0106719
-8.16817	0.00209198	0.00926495	0.00481776	0.0109965
-8.13313	0.00210962	0.0104168	0.00489167	0.0113614
-8.0981	0.00212319	0.0116715	0.00496605	0.0117703
-8.06306	0.00212799	0.0129759	0.00504061	0.0122249
-8.02803	0.00213004	0.0141931	0.00511523	0.0127222
-7.99299	0.00214081	0.0150861	0.00519024	0.0132507
-7.95796	0.00216729	0.0153986	0.00526617	0.0137902
-7.92292	0.00221291	0.0150617	0.0053437	0.0143179
-7.88789	0.00228351	0.0143366	0.0054237	0.0148202
-7.85285	0.00238778	0.0136183	0.00550736	0.0152973
-7.81782	0.00253344	0.0131753	0.00559612	0.0157589
-7.78278	0.00272179	0.0131107	0.00569147	0.0162183
-7.74775	0.00293781	0.0134368	0.0057944	0.016689
-7.71271	0.00313775	0.0141332	0.00590433	0.0171842
-7.67768	0.00325765	0.0151776	0.00601846	0.0177159
-7.64264	0.00326398	0.0165728	0.00613282	0.0182965
-7.60761	0.00319183	0.0183392	0.00624464	0.0189391
-7.57257	0.00310791	0.0204514	0.00635353	0.0196556
-7.53754	0.00305726	0.0228043	0.00646064	0.0204545
-7.5025	0.00304994	0.0252812	0.00656749	0.0213402
-7.46747	0.0030696	0.0278251	0.00667504	0.0223151
-7.43243	0.00308874	0.0304962	0.00678325	0.0233835
-7.3974	0.00309255	0.0335559	0.0068916	0.0245592
-7.36236	0.00309196	0.0372999	0.00699993	0.025866
-7.32733	0.00310891	0.0416026	0.00710885	0.0273235
-7.29229	0.00315837	0.0456347	0.0072195	0.0289223
-7.25726	0.00324592	0.0482355	0.00733322	0.0306123
-7.22222	0.00337352	0.0488884	0.00745141	0.0323251
-7.18719	0.00354514	0.0483023	0.00757562	0.0340173
-7.15215	0.00376801	0.0479065	0.00770763	0.0356958
-7.11712	0.00404701	0.0489538	0.00784942	0.0374109
-7.08208	0.00437563	0.052102	0.00800272	0.0392362
-7.04705	0.00473321	0.0573639	0.00816854	0.041246
-7.01201	0.00509906	0.0639937	0.00834719	0.043488
-6.97698	0.00546404	0.0704814	0.00853862	0.0459573
-6.94194	0.0058077	0.0752653	0.0087421	0.0485943
-6.90691	0.00608124	0.0777093	0.00895515	0.0513168
-6.87187	0.00624344	0.0779875	0.00917389	0.0540491
-6.83684	0.00629155	0.0762346	0.00939432	0.05672
-6.8018	0.00624391	0.0723509	0.00961307	0.0592548
-6.76677	0.00613567	0.0666276	0.00982804	0.0615891
-6.73173	0.00602793	0.060186	0.0100392	0.0636977
-6.6967	0.00598418	0.054466	0.0102489	0.0656059
-6.66166	0.00604507	0.050468	0.0104607	0.0673741
-6.62663	0.00623013	0.0485616	0.0106789	0.0690754
-6.59159	0.00655181	0.0486716	0.0109085	0.0707806
-6.55656	0.00702607	0.0504363	0.0111546	0.0725477
-6.52152	0.0076757	0.0533023	0.0114236	0.0744151
-6.48649	0.00852498	0.0566617	0.0117222	0.0764003
-6.45145	0.00957999	0.0599594	0.0120579	0.078501
-6.41642	0.0107913	0.0626916	0.0124359	0.0806974
-6.38138	0.0120242	0.0643996	0.0128572	0.0829536
-6.34635	0.0130965	0.0647261	0.0133161	0.0852213
-6.31131	0.0138971	0.0635475	0.0138029	0.0874477
-6.27628	0.0144753	0.0611833	0.0143101	0.0895912
-6.24124	0.0149587	0.058353	0.0148342	0.0916356
-6.20621	0.0153442	0.0558032	0.0153717	0.0935907
-6.17117	0.015471	0.0540958	0.0159138	0.0954859
-6.13614	0.0152711	0.0536808	0.0164488	0.0973667
-6.1011	0.0149339	0.0549048	0.016972	0.0992902
-6.06607	0.014751	0.0577521	0.0174888	0.101314
-6.03103	0.014928	0.0615913	0.0180118	0.103471
-5.996	0.0155651	0.0652968	0.0185571	0.105759
-5.96096	0.0167091	0.0678512	0.0191425	0.108136
-5.92593	0.0183764	0.0689566	0.0197863	0.110552
-5.89089	0.0205258	0.0690521	0.0205055	0.112971
-5.85586	0.0230237	0.0688134	0.0213121	0.115382
-5.82082	0.0257187	0.0687172	0.0222132	0.11779
