CDMFT_iterations	CDMFT_method	D	D_1_ave	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
6	fixed_point	0	0.1507826754	0.02907101341	-69.68729331	-88.6448	-0.2523217847	YY	8	0.275921451	self-energy	sharp_wc_5_b_50	2.0097	2	1.148124979	0.2542343912	0.3662118141	-3.145159333	1.879222937	-3.798420937	1.482193363	0.543804776	0.4509439502	-3.798335725	1.481678567	0.5439074885	0.4496737252	0.6373506669	0.0184201466	-2.867000024	1.081329362	53e768a	2x2_2C_8b_C2v_L	7.55	1.196955691	2	1.541210168	0.9999999998378917	1.0000000000000002	1.807809454e-05	-0.0002216572835	-2.076235775e-05	0.0002150881172	0.02218545176	0.5944048715	-0.07769167831	1.218210491	-0.02204311198	-0.5947875896	-0.07748245518	1.217523833	5.923609109e-05	-0.0001323722717	7.659692137e-05	-0.0001459560203	run_cdmft.py	R0:S0:1	uncorrelated	0.2786143358	-2.318808695	1.266001476	-0.81440712	1.933163887	-2.64560425	-0.401557409	1.57617501	1.93317034	-2.647606845	0.4014650294	-1.572954549	0.5459864922	-0.499604098	2.44924334	-3.709393385	2024-12-06@23:18	2.1394	-0.9424928994	1	-1.701841596e-16	-0.4184097582	0.2577	1.608497407e-16	0.1679667673	v2.7.9	
5	fixed_point	0	0.1503683565	0.02988507613	-69.87827121	-88.9648	-0.222794754	YY	8	0.2773047671	self-energy	sharp_wc_5_b_50	2.0097	2	1.14915797	0.2522386023	0.3627779938	-3.159724605	1.880614207	-3.814217312	1.488591962	0.5389143017	0.457726609	-3.814068346	1.488532981	0.5393744837	0.4573899836	0.6356944829	0.0182673735	-2.88377615	1.084050042	53e768a	2x2_2C_8b_C2v_L	7.57	1.199467887	2	1.542809372	0.9999999998571184	0.9999999999999999	-8.608972583e-05	0.0003781418264	1.397855729e-05	-9.276480555e-05	0.02254744419	0.5897431348	-0.07969552872	1.224784408	-0.02252950242	-0.5900454755	-0.07963792122	1.224635295	-0.0001310325221	0.0004125541326	-4.478653977e-05	4.005161402e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2774508152	-2.310398	1.266572744	-0.8080000347	1.933316749	-2.624097206	-0.39953319	1.595051207	1.933247852	-2.624244684	0.3996505938	-1.594577	0.5440309824	-0.4969868576	2.449732579	-3.706797719	2024-12-06@23:11	2.1394	-0.9395066901	1	-5.176029333e-16	-0.4168621719	0.2577	5.480474732e-17	0.1673073109	v2.7.9	
5	fixed_point	0	0.1500770751	0.03071217808	-70.06850671	-89.2848	-0.1926029025	YY	8	0.2786743503	self-energy	sharp_wc_5_b_50	2.0097	2	1.150202151	0.2512279205	0.3591225569	-3.173875627	1.882068828	-3.830368818	1.494868101	0.5361288538	0.4628966223	-3.829921211	1.494927854	0.5356388349	0.4633924329	0.6346073835	0.01810613635	-2.899915843	1.086695902	53e768a	2x2_2C_8b_C2v_L	7.59	1.201947011	2	1.544463808	0.9999999998094288	0.9999999999999993	-1.699085116e-05	0.0001460633439	5.916947439e-06	-0.0001010660646	0.02297744374	0.5857984076	-0.08160937264	1.22982465	-0.02296058469	-0.5856455393	-0.08152797682	1.229647883	7.806432106e-05	-0.0002424758071	4.822222257e-05	-5.002533429e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2766573075	-2.301739075	1.267116943	-0.8012989411	1.933543142	-2.602744383	-0.3979907405	1.612039592	1.933472546	-2.602416836	0.3978877979	-1.612995878	0.5419587051	-0.4942996522	2.450080124	-3.704213136	2024-12-06@23:05	2.1394	-0.9364261725	1	-3.370078814e-16	-0.4153148453	0.2577	-1.607552982e-16	0.1666386019	v2.7.9	
6	fixed_point	0	0.1496966625	0.03146817965	-70.25360629	-89.6048	-0.1625959092	YY	8	0.2800266925	self-energy	sharp_wc_5_b_50	2.0097	2	1.151234857	0.2489930543	0.3556842057	-3.186411327	1.883347727	-3.845774668	1.501035159	0.5320100547	0.4689004339	-3.845369014	1.500984079	0.5321636021	0.4689317622	0.6332026296	0.01796227048	-2.916608689	1.08933472	53e768a	2x2_2C_8b_C2v_L	7.61	1.204385635	2	1.546109605	0.9999999998911795	0.9999999999999999	-0.0001521110352	0.0007350422653	-4.826885663e-05	-5.908368838e-05	0.02337940211	0.5814354113	-0.08325348063	1.234500999	-0.02346327687	-0.5810884068	-0.08348188608	1.23500238	-2.2879171e-05	0.0001349770724	6.439666553e-05	-0.0001688691542	run_cdmft.py	R0:S0:1	uncorrelated	0.2753861548	-2.292739921	1.267461997	-0.7951856818	1.933569248	-2.581479968	-0.396086669	1.630053919	1.933590938	-2.58165554	0.3962141307	-1.629916357	0.5400668489	-0.49178267	2.450512069	-3.701620854	2024-12-06@23:00	2.1394	-0.9333583309	1	1.269436319e-16	-0.4137809869	0.2577	2.66633232e-16	0.1659777727	v2.7.9	
5	fixed_point	0	0.1495049959	0.03219528446	-70.44422651	-89.9248	-0.1330725662	YY	8	0.281372915	self-energy	sharp_wc_5_b_50	2.0097	2	1.15224924	0.2464019808	0.3521675922	-3.201241769	1.884717246	-3.861216884	1.506844795	0.5281727521	0.4744551145	-3.86166035	1.507100118	0.5279536719	0.4752129582	0.6310560647	0.01780310971	-2.932814376	1.091851804	53e768a	2x2_2C_8b_C2v_L	7.63	1.206789195	2	1.547730865	0.9999999998282367	0.9999999999999999	-0.0002484407854	0.001195008857	-0.0001024426514	-2.239213539e-05	0.02371979004	0.5778718927	-0.08519205391	1.241132747	-0.0238507351	-0.5772775353	-0.08538448843	1.241646005	0.0001179265121	-0.0003896439584	6.813580502e-05	-4.963557103e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.274052382	-2.283535241	1.267944792	-0.7887330736	1.933589681	-2.561506425	-0.3942881135	1.646375833	1.93370832	-2.560612567	0.3943061085	-1.647997444	0.5379698026	-0.4891427221	2.450825866	-3.699164916	2024-12-06@22:53	2.1394	-0.9303436995	1	-1.040578935e-17	-0.4122640484	0.2577	-8.315839726e-18	0.1653416392	v2.7.9	
5	fixed_point	0	0.1490723702	0.03288339531	-70.6319958	-90.2448	-0.1030545139	YY	8	0.2827084957	self-energy	sharp_wc_5_b_50	2.0097	2	1.153270454	0.2442852261	0.3486113001	-3.214459884	1.886029731	-3.877185087	1.512676927	0.5240779561	0.4802020829	-3.87648229	1.512538654	0.5244042118	0.4797610384	0.6299680593	0.01765442635	-2.949453908	1.094413406	53e768a	2x2_2C_8b_C2v_L	7.65	1.209166188	2	1.549390602	0.9999999998720555	0.9999999999999997	0.0003043452618	-0.001318348459	0.0001468059017	-0.0001937633147	0.02405400049	0.5731260513	-0.08654008854	1.244077103	-0.02407580521	-0.5732588246	-0.08661197631	1.244170988	-5.523108443e-05	0.0001567958618	-7.802755836e-05	0.0001099588321	run_cdmft.py	R0:S0:1	uncorrelated	0.2728525534	-2.274160186	1.268364832	-0.782419024	1.934021726	-2.541184449	-0.392560532	1.663763074	1.933888885	-2.541629301	0.392656896	-1.662819122	0.5360185607	-0.48658046	2.451265815	-3.696635254	2024-12-06@22:48	2.1394	-0.9272556991	1	4.644649572e-16	-0.4107479234	0.2577	-3.596301413e-16	0.1646861816	v2.7.9	
5	fixed_point	0	0.1487427743	0.03353712571	-70.82061267	-90.5648	-0.07353036636	YY	8	0.2840592484	self-energy	sharp_wc_5_b_50	2.0097	2	1.154279028	0.2416799747	0.3451729371	-3.228039953	1.887306521	-3.892554014	1.518444152	0.5203013531	0.4855548553	-3.892640399	1.518289288	0.5206269405	0.4849700648	0.6276482356	0.0175092232	-2.96594842	1.096978036	53e768a	2x2_2C_8b_C2v_L	7.67	1.211563923	2	1.551004549	0.9999999998783125	1.0	-0.0002047343196	0.0007996915407	-0.0001069827805	0.0002439985844	0.02433228298	0.5689997546	-0.08795539788	1.247574128	-0.02430914355	-0.5692779048	-0.08795760358	1.247716237	6.00930138e-05	-0.0002246811681	2.468740153e-05	2.981575293e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2714620521	-2.264710469	1.268741354	-0.7762730791	1.93408839	-2.520986056	-0.3909709143	1.680395699	1.934039367	-2.521612513	0.3909618368	-1.679070627	0.5339876459	-0.4840437504	2.451635217	-3.694071138	2024-12-06@22:42	2.1394	-0.924239372	1	-1.572468e-16	-0.4092210433	0.2577	-5.710775009e-16	0.1640437344	v2.7.9	
6	fixed_point	0	0.1484451346	0.03418927508	-71.00644016	-90.8848	-0.04347019561	YY	8	0.2853866577	self-energy	sharp_wc_5_b_50	2.0097	2	1.155293393	0.2392256058	0.3418361361	-3.239849177	1.888483403	-3.908771015	1.523936933	0.5173764813	0.489674324	-3.90783162	1.523746505	0.5169441093	0.4895586121	0.6259260518	0.01737255844	-2.982515642	1.099500044	53e768a	2x2_2C_8b_C2v_L	7.69	1.213910672	2	1.552667526	0.9999999998407425	0.9999999999999999	5.216190799e-05	-0.0002369780649	1.722564123e-05	3.767781136e-06	0.02456612964	0.5652385478	-0.0892355419	1.250040835	-0.02446529782	-0.5654559394	-0.0889998817	1.249496996	0.0001267886539	-0.0004345182006	3.925675101e-05	1.113203899e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2701634125	-2.255306332	1.269035652	-0.7704771208	1.934410662	-2.501714969	-0.3894617749	1.694824044	1.934204843	-2.502286505	0.3892803893	-1.694300595	0.5320833648	-0.4816079186	2.452056429	-3.691509388	2024-12-06@22:36	2.1394	-0.9211394859	1	4.529837987e-16	-0.4077038229	0.2577	3.128675675e-16	0.1633932541	v2.7.9	
7	fixed_point	0	0.1481906011	0.03482689929	-71.19439752	-91.2048	-0.01374242678	YY	8	0.2867229966	self-energy	sharp_wc_5_b_50	2.0097	2	1.15629661	0.2370267359	0.3379110674	-3.25331838	1.889870345	-3.924101857	1.529133753	0.5139954279	0.4936785982	-3.923609541	1.52910236	0.5137044309	0.4938767591	0.6236147184	0.01722542082	-2.999069101	1.102029072	53e768a	2x2_2C_8b_C2v_L	7.71	1.216259743	2	1.5543065	0.9999999998061897	0.9999999999999993	1.247495554e-05	1.435672881e-05	-2.788769336e-05	-2.204356113e-05	0.02461229366	0.5621163697	-0.09014698688	1.251842849	-0.0247741014	-0.5614354057	-0.09042213953	1.252536186	-0.0001023729184	0.0003542855218	-7.442872976e-05	1.639261807e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2687140945	-2.244491082	1.269324608	-0.7636567261	1.934534312	-2.483294658	-0.3877824153	1.708678936	1.9344564	-2.483455774	0.3877404077	-1.708595191	0.5299962657	-0.4790426985	2.452440777	-3.688951316	2024-12-06@22:30	2.1394	-0.9180805941	1	4.118966638e-16	-0.4061889925	0.2577	3.387570469e-16	0.1627493579	v2.7.9	
6	fixed_point	0	0.147850414	0.03542002239	-71.37991466	-91.5248	0.01568976365	YY	8	0.288055165	self-energy	sharp_wc_5_b_50	2.0097	2	1.15728733	0.2352462369	0.3344223272	-3.265283229	1.891091031	-3.939346796	1.534252001	0.510357861	0.4979215246	-3.939361362	1.534488295	0.509930404	0.4986013734	0.6215260993	0.01709340239	-3.015818761	1.10453257	53e768a	2x2_2C_8b_C2v_L	7.73	1.218586713	2	1.555927629	0.9999999998625316	0.9999999999999994	0.0001490817658	-0.000579253695	6.263540807e-05	-0.0001385302159	0.02486702798	0.5580612409	-0.09133862429	1.254442831	-0.02489799818	-0.5576895399	-0.0913524196	1.254295575	-5.705019142e-05	0.0002552408746	1.497050982e-05	-0.0001265408507	run_cdmft.py	R0:S0:1	uncorrelated	0.2674966722	-2.23450399	1.269683765	-0.7576347691	1.934614106	-2.465162585	-0.3861165185	1.72233239	1.934575117	-2.464215696	0.3860491296	-1.723972079	0.5281079961	-0.4766589638	2.452823599	-3.686387661	2024-12-06@22:22	2.1394	-0.915052282	1	-1.388002918e-16	-0.4046841535	0.2577	1.811738233e-16	0.162113228	v2.7.9	
