CDMFT_iterations	CDMFT_method	D	D_1	D_1_ave	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
2	Broyden	0	1e-09	-0.09164374164	-0.01923458873	-73.32054688	-99.3648	1.141691974	YY	12	0.1540780298	self-energy	sharp_wc_5_b_50	2.0097	2	1.1974666	0.2033971545	0.3455444907	-3.882727134	1.909801975	-4.373229257	1.648530442	0.4099344838	0.4207709085	-4.372722563	1.647570182	0.4101147822	0.4160561135	0.4974697661	0.01776382731	-3.44226259	1.306700327	53e768a	2x2_2C_8b_C2v_L	8.22	1.074132698	2	1.548909401	0.9999999998053354	0.9999999999999998	-6.388866688e-05	0.0005021783298	-2.183958538e-05	2.907359257e-05	0.01410595189	0.3210036559	0.05174978261	-0.8238640516	0.01414521272	0.3202461518	-0.05233082005	0.8244578995	0.00031437455	-0.001440997221	-2.917168157e-05	-0.0004896320802	run_cdmft.py	R0:S0:1	uncorrelated	0.2330048716	-2.045836478	1.307343346	-0.8453340519	-1.965869158	2.202219422	-0.3333695619	1.418126549	1.96588013	-2.206898135	-0.3330868002	1.405826136	0.4444602302	-0.3896845398	-2.484177651	3.241912328	2024-12-04@09:14	2.1394	-0.8136344892	1	3.014285306e-16	-0.3184252025	0.2577	3.378774425e-17	0.1285610946	v2.7.9	
2	Broyden	0	1e-09	-0.09182018093	-0.01981509057	-73.50493225	-99.6848	1.174000562	YY	12	0.1544930434	self-energy	sharp_wc_5_b_50	2.0097	2	1.198455053	0.2009769319	0.3413241201	-3.896876073	1.91079599	-4.388059712	1.651409319	0.4051689255	0.4204018418	-4.387692142	1.651345918	0.4048020889	0.4204807684	0.4941689457	0.01767377367	-3.458911886	1.310228986	53e768a	2x2_2C_8b_C2v_L	8.24	1.075539346	2	1.550442177	0.9999999997905835	0.9999999999999999	5.944596056e-05	-0.0003775242524	-5.492870875e-05	0.0002403579885	0.0146277199	0.3198777687	0.05423065867	-0.8370965161	0.0146006953	0.3196824027	-0.05430862231	0.8373284158	0.0001215508672	-0.0004666535849	-2.481008394e-07	-7.528550526e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2314768553	-2.032247235	1.307782237	-0.8404453082	-1.965967447	2.192400378	-0.3311685116	1.416108826	1.96590072	-2.19265862	-0.3310193775	1.415859265	0.4423400481	-0.3881403892	-2.484567214	3.234921887	2024-12-04@09:18	2.1394	-0.8102811064	1	1.716540368e-16	-0.3166325937	0.2577	-1.110946348e-16	0.1278478567	v2.7.9	
2	Broyden	0	1e-09	-0.09187136185	-0.0203533146	-73.68870031	-100.0048	1.206545501	YY	12	0.154912549	self-energy	sharp_wc_5_b_50	2.0097	2	1.199449149	0.1984076455	0.3374118923	-3.909750221	1.911721497	-4.403275922	1.654898182	0.3998143513	0.4232247457	-4.403559353	1.654645686	0.4004545338	0.421476025	0.4904667406	0.01756927525	-3.475043263	1.313765248	53e768a	2x2_2C_8b_C2v_L	8.26	1.0769567	2	1.551982143	0.9999999997988348	1.0	9.799320117e-05	-0.0003528491995	1.705080928e-05	1.619910157e-05	0.01494638535	0.3186673332	0.0561551205	-0.8480262592	0.0150851887	0.318377831	-0.05645968347	0.8486549833	6.827806647e-05	-0.0003040484809	3.219401347e-06	-0.0001009591817	run_cdmft.py	R0:S0:1	uncorrelated	0.2299702103	-2.019174256	1.308037127	-0.8358981989	-1.966138836	2.179559276	-0.3290004833	1.42217453	1.966147367	-2.180887452	-0.329081179	1.417978339	0.4399309705	-0.386408867	-2.484873792	3.227879384	2024-12-04@09:21	2.1394	-0.8069069047	1	-2.125649e-16	-0.3148167678	0.2577	1.113995172e-17	0.1271334039	v2.7.9	
2	Broyden	0	1e-09	-0.09197720724	-0.02089695782	-73.87410191	-100.3248	1.239007165	YY	12	0.1553339154	self-energy	sharp_wc_5_b_50	2.0097	2	1.200439404	0.1961755041	0.3335545098	-3.922949446	1.912635312	-4.419009051	1.658167692	0.395903327	0.4237367864	-4.419475362	1.658195569	0.3957149962	0.4239250128	0.4868562193	0.0174692977	-3.491024416	1.317344084	53e768a	2x2_2C_8b_C2v_L	8.28	1.07837921	2	1.553510325	0.9999999998213946	1.0	5.389593908e-05	-0.0003059329202	1.101621916e-06	9.052157647e-05	0.0153821747	0.3176285371	0.05825165141	-0.8587727504	0.01544167561	0.3172811636	-0.05848594029	0.8593884936	0.0001422057964	-0.0005838665794	2.537857349e-05	-0.0001663643756	run_cdmft.py	R0:S0:1	uncorrelated	0.2285964488	-2.006243649	1.308375825	-0.8314471832	-1.966356617	2.167842495	-0.3270561516	1.423513051	1.966444398	-2.167810934	-0.3269861888	1.423618398	0.4375893768	-0.3847550331	-2.485112124	3.220684785	2024-12-04@09:25	2.1394	-0.8035428392	1	3.51592091e-16	-0.3129968169	0.2577	-4.685636311e-16	0.1264093365	v2.7.9	
2	Broyden	0	1e-09	-0.09176579772	-0.02136969886	-74.05886535	-100.6448	1.27168154	YY	12	0.1557560744	self-energy	sharp_wc_5_b_50	2.0097	2	1.201433354	0.1941171856	0.3295280096	-3.937434217	1.913593165	-4.43385251	1.661527755	0.3907709869	0.425742954	-4.434541782	1.661457037	0.3909434716	0.4250411087	0.4830730319	0.01736549109	-3.507187123	1.32096985	53e768a	2x2_2C_8b_C2v_L	8.3	1.079808271	2	1.555044182	0.9999999998282876	0.9999999999999999	-5.387021008e-05	0.0003589837037	4.737094426e-05	-0.0001889018815	0.01570515703	0.3154134948	0.05995429719	-0.8666514305	0.01571958943	0.3153425044	-0.06011732795	0.8669473602	3.613610001e-05	-0.000192131864	-1.0024455e-05	-8.577386739e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.227283898	-1.993044042	1.308775964	-0.8267891025	-1.96646709	2.155443348	-0.3247687176	1.427861269	1.96660017	-2.155930476	-0.3247775181	1.4261568	0.4351384557	-0.3830229584	-2.485480195	3.213396756	2024-12-04@09:28	2.1394	-0.8001554235	1	4.296157145e-16	-0.3111614034	0.2577	3.022075126e-16	0.1256777332	v2.7.9	
2	Broyden	0	1e-09	-0.09155364088	-0.02184145991	-74.242949	-100.9648	1.30464598	YY	12	0.1561840807	self-energy	sharp_wc_5_b_50	2.0097	2	1.202435274	0.1920174463	0.3257104805	-3.951041099	1.914475844	-4.448905081	1.664881196	0.3867302808	0.4263462934	-4.449570009	1.664922935	0.3867906549	0.4263994568	0.4798707916	0.01727103552	-3.523579423	1.324737842	53e768a	2x2_2C_8b_C2v_L	8.32	1.081259329	2	1.55657992	0.999999999806503	1.0	9.068429994e-05	-0.0003953078982	4.069368475e-05	-4.520087316e-05	0.01605212442	0.3132981164	0.06172463828	-0.8736030639	0.01607452865	0.3132365224	-0.0617570895	0.873726997	3.089023572e-05	-0.0001120459459	1.059315931e-05	-2.499393287e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2259543819	-1.98019777	1.309183081	-0.8225262734	-1.966609487	2.143170289	-0.3227860386	1.429939366	1.966721271	-2.143064936	-0.322802426	1.430068922	0.4328052027	-0.3814004943	-2.485849937	3.205778929	2024-12-04@09:32	2.1394	-0.7967429527	1	-3.810459601e-16	-0.309295275	0.2577	-2.68014844e-17	0.1249319769	v2.7.9	
2	Broyden	0	1e-09	-0.0912972454	-0.0222647936	-74.42799073	-101.2848	1.33745883	YY	12	0.1566039782	self-energy	sharp_wc_5_b_50	2.0097	2	1.203431075	0.1893988388	0.3217913774	-3.964244722	1.915362365	-4.46530457	1.668293451	0.3822580891	0.4274299699	-4.464746936	1.668284644	0.3821624659	0.4278434782	0.4760397545	0.01718318134	-3.539614905	1.328491174	53e768a	2x2_2C_8b_C2v_L	8.34	1.082702927	2	1.558095675	0.9999999998258853	0.9999999999999998	0.0003805763645	-0.001921041442	0.0001067380748	0.0001547784523	0.01627149332	0.3112076486	0.06318811093	-0.8797510406	0.01633559373	0.3109055288	-0.06342476051	0.8804659377	7.758778866e-05	-0.000156097821	-6.883014594e-05	0.0001747481854	run_cdmft.py	R0:S0:1	uncorrelated	0.224297237	-1.9664371	1.309432237	-0.8181825071	-1.966972143	2.13070357	-0.3207040165	1.432709051	1.966893909	-2.130634219	-0.3206850099	1.433408098	0.4303558991	-0.3797797818	-2.486090758	3.198091984	2024-12-04@09:35	2.1394	-0.7933510819	1	-3.143949267e-17	-0.307424221	0.2577	-8.497450091e-17	0.1241897759	v2.7.9	
2	Broyden	0	1e-09	-0.09107505702	-0.02270136121	-74.6157261	-101.6048	1.369632531	YY	12	0.1570275853	self-energy	sharp_wc_5_b_50	2.0097	2	1.204407154	0.1875907075	0.3181281379	-3.978877354	1.916225274	-4.479337449	1.671555653	0.3775412771	0.4290423239	-4.481376786	1.671637931	0.3779056547	0.4291315981	0.4729629992	0.01709890331	-3.555796768	1.33216662	53e768a	2x2_2C_8b_C2v_L	8.36	1.084121512	2	1.559581207	0.9999999997971709	0.9999999999999997	0.000352987214	-0.001666975376	6.938835947e-05	0.0001259982085	0.01654310021	0.3090929958	0.06491058806	-0.8870896935	0.0166769416	0.3088032873	-0.06507922573	0.8876950182	7.836279889e-05	-0.0001921896027	-2.787231843e-05	0.0001060268271	run_cdmft.py	R0:S0:1	uncorrelated	0.2230322883	-1.953473281	1.310049797	-0.8140651032	-1.966863009	2.11851085	-0.3185817777	1.436034721	1.967286066	-2.118375504	-0.3187126716	1.436218861	0.4281953108	-0.3783102355	-2.486433354	3.190579621	2024-12-04@09:38	2.1394	-0.7900308133	1	1.436337671e-16	-0.3055768659	0.2577	3.325695038e-16	0.1234610342	v2.7.9	
2	Broyden	0	1e-09	-0.09079895102	-0.02310759767	-74.79235681	-101.9248	1.402342025	YY	12	0.1574511934	self-energy	sharp_wc_5_b_50	2.0097	2	1.205393731	0.185061279	0.3142337867	-3.990465968	1.917066288	-4.494831319	1.674837264	0.373246851	0.4304526357	-4.494807476	1.674691124	0.3735447318	0.4293430877	0.4694254059	0.01700686466	-3.571743075	1.335881753	53e768a	2x2_2C_8b_C2v_L	8.38	1.085549285	2	1.561100906	0.999999999785501	0.9999999999999997	-0.0003022849712	0.001487174181	-0.0001306671904	2.795588914e-05	0.01684949522	0.3066833091	0.06644016937	-0.8927994836	0.01678919774	0.3068882822	-0.06646550565	0.8927556901	-7.744817927e-05	0.0002148855059	7.293226703e-06	-4.040702923e-05	run_cdmft.py	R0:S0:1	uncorrelated	0.2213944929	-1.939631477	1.310104554	-0.8098713151	-1.967192321	2.106266683	-0.3164178399	1.439371244	1.967173167	-2.107030725	-0.3164412387	1.436834025	0.4257156293	-0.3766535439	-2.486720925	3.182937567	2024-12-04@09:42	2.1394	-0.7866410571	1	5.367438894e-16	-0.3037172962	0.2577	-4.343920144e-17	0.1227191887	v2.7.9	
2	Broyden	0	1e-09	-0.09038119184	-0.02350195751	-74.98219505	-102.2448	1.435371726	YY	12	0.1578767629	self-energy	sharp_wc_5_b_50	2.0097	2	1.206390406	0.1834774899	0.310234361	-4.00453737	1.917959036	-4.51063265	1.678278191	0.3688391659	0.4315132239	-4.51134281	1.677966055	0.3694807665	0.4295104596	0.4657037372	0.01690814767	-3.588024699	1.339778513	53e768a	2x2_2C_8b_C2v_L	8.4	1.087001203	2	1.562611566	0.9999999998310419	1.0	-0.0003226135548	0.001733397126	-8.802242616e-05	-0.0001498515964	0.01696670031	0.3040168334	0.0677898595	-0.8966223654	0.01705980741	0.3041136783	-0.06783397702	0.8967444798	-2.195068823e-05	-6.870955666e-05	2.305820508e-05	-0.0001790115294	run_cdmft.py	R0:S0:1	uncorrelated	0.2201152902	-1.925958012	1.310501768	-0.8055198586	-1.967365193	2.093355931	-0.31432782	1.442666287	1.967631282	-2.095089079	-0.3144396156	1.437684319	0.423183885	-0.3749652811	-2.487070581	3.174903505	2024-12-04@09:45	2.1394	-0.7832319843	1	2.280694531e-16	-0.3018084812	0.2577	2.687847013e-16	0.1219613192	v2.7.9	
