J	gap_mu	gap_spectral	Dmax	e_ave	M	U	e	mu	eb1_1	eb2_1	eb3_1	eb4_1	eb7_1	eb8_1	githash	model	sb1_1	sb2_1	sb3_1	sb4_1	sb7_1	sb8_1	script	tb1_1	tb2_1	tb3_1	tb4_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
0.168060112512336	0.39	1.268	0.0563	1.244471077	1e-09	9.5	2	10	1.003135193	-5.864116402	-5.77081194	0.82992053	0.9617649894	-4.999091808	bce2d27	2x2_2C_8b_C2v_L	0.2622491114	0.0001873861496	-1.014723195e-05	4.660265156e-06	-1.69407539e-05	-3.625014405e-06	run_gap.py	0.0004078101455	1.343956337	-1.983535595	-0.253511619	0.3448782368	-2.505068747	2025-02-13@14:30	2.1394	1	0.2577	v2.8.0	
0.16986062492144072	1.00	1.268	0.0414	1.252301503	1e-09	10	2	9.99	0.6247466321	-5.598567845	-5.781864383	0.8113702732	1.167910637	-4.938543841	bce2d27	2x2_2C_8b_C2v_L	0.2109768915	0.0002786402924	-0.02437263401	-0.1455159746	0.0001582927707	-5.462160037e-05	run_gap.py	0.0007174690371	1.342036373	-1.973361607	-0.1742125094	0.2963581793	-2.50131109	2025-02-13@14:20	2.1394	1	0.2577	v2.8.0	
0.16179574575811273	1.21	1.940	0.0376	1.258615356	1e-09	10.5	2	10.5	-1.142164566	-6.306824913	-6.282669459	1.083552894	1.25498678	-5.48612953	bce2d27	2x2_2C_8b_C2v_L	-8.562310985e-05	-6.595712049e-05	-1.334549957e-05	6.487953134e-05	-0.0001228133969	4.001820988e-05	run_gap.py	-0.2248008742	1.35982023	-1.999772302	0.2197074084	0.3015995654	-2.519738492	2025-02-13@14:18	2.1394	1	0.2577	v2.8.0	
0.15440157528969678	1.76	2.309	0.0347	1.264618446	1e-09	11	2	10.69	1.215866794	-6.527667662	-6.47165925	1.196708669	1.405906499	-5.667010227	bce2d27	2x2_2C_8b_C2v_L	-0.2166936881	-3.730289384e-05	-1.844023614e-05	-8.504615462e-05	-4.911019443e-05	-1.360839532e-05	run_gap.py	0.0001064715051	1.368137946	-2.004722542	-0.1996543929	-0.2775575565	-2.524325865	2025-02-13@14:22	2.1394	1	0.2577	v2.8.0	
0.13593066889055194	2.64	2.646	0.0288	1.274912515	1e-09	12	2	11.19	1.309180007	-6.978914764	-7.007421945	1.383999786	-1.635726635	-6.166217112	bce2d27	2x2_2C_8b_C2v_L	0.1752490567	5.441471279e-05	-5.132589946e-05	-0.0002330144418	0.2409780941	-2.283298266e-05	run_gap.py	0.00020576075	1.381806499	-2.019350729	-0.1723609491	-0.0001268646568	-2.535612844	2025-02-13@14:23	2.1394	1	0.2577	v2.8.0	


0.16986062492144072	1.00	1.268	0.0414	1.252301503	1e-09	10	2	9.99	0.6247466321	-5.598567845	-5.781864383	0.8113702732	1.167910637	-4.938543841	bce2d27	2x2_2C_8b_C2v_L	0.2109768915	0.0002786402924	-0.02437263401	-0.1455159746	0.0001582927707	-5.462160037e-05	run_gap.py	0.0007174690371	1.342036373	-1.973361607	-0.1742125094	0.2963581793	-2.50131109	2025-02-13@14:20	2.1394	1	0.2577	v2.8.0	
0.16757154601484103	1.30	1.906	0.0365	1.253153139	1e-09	12	4	12.19	0.754875106	-5.761193567	-5.864058474	0.8007796701	1.388373548	-5.270778779	bce2d27	2x2_2C_8b_C2v_L	-0.1593613226	-8.533515972e-05	-3.217560324e-05	-0.0001177167358	-0.0002917217371	-8.559387497e-05	run_gap.py	0.000325967239	1.35137561	-1.972834427	-0.2091169676	-0.3451008967	-2.533460879	2025-02-13@14:25	2.1394	1	0.2577	v2.8.0	
0.1665962528287963	1.60	2.139	0.0317	1.253863512	1e-09	14	6	13.99	0.7760071502	-5.5889867	-5.808712417	0.8768121896	1.333301175	-5.064505747	bce2d27	2x2_2C_8b_C2v_L	-0.1457921231	0.0004624478	-9.50411885e-06	-6.834538136e-06	6.489396551e-05	4.177588222e-05	run_gap.py	-0.002004090038	1.353759855	-1.99101032	-0.2085966357	0.3229938591	-2.528134027	2025-02-13@14:27	2.1394	1	0.2577	v2.8.0	
0.1664023802728991	1.90	2.495	0.0288	1.254327851	1e-09	16	8	15.99	1.218167566	-5.860781783	-5.945555886	1.14350241	5.212559176	-3.554749063	bce2d27	2x2_2C_8b_C2v_L	0.1722202726	0.01460520821	0.0001472894753	-0.0009550502483	2.574627771	-0.4883790881	run_gap.py	0.05702492695	1.372975226	-2.011899789	0.2328608168	0.01228967738	-0.0496589	2025-02-13@14:28	2.1394	1	0.2577	v2.8.0	
