CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1_ave	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	min_dist	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	opt_method	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1_ave	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1_ave	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	0	0.04496384766	-75.93479317	-100.0048	0.7946833893	YY	8.5	0.291097292	self-energy	sharp_wc_5_b_50	2.0097	2	1.183760378	0.2062896476	0.253232232	-3.638564986	1.918412821	0.4221306381	0.5267261818	-4.360266481	1.633941505	0.5267971174	1.63395736	-3.459113982	1.191041926	0.5602698107	0.01387611653	26f4f61	234.9172692	2x2_2C_8b_C2v_L	8.26	1.239030262	2	1.588976372	1.239030261	2	PRAXIS	0.0002446794841	-0.0009636980031	-8.625574059e-05	7.019175232e-05	0.1065850368	-1.234206788	0.02542716409	0.4519028099	1.234189939	-0.4518588366	6.480187884e-05	-2.423662375e-05	8.736832745e-05	-0.0003532876818	run_cdmft.py	R0:S0:1	uncorrelated	-0.2361721165	1.951550959	1.282130174	-0.6461596972	0.3404301701	-1.832862286	1.942661876	-2.13363321	-1.833044977	-2.133544145	2.464671967	-3.566758617	0.4699612733	-0.4087881966	2025-02-09@15:56	2.1394	-0.8381149095	1	2.637263804e-16	-0.3579841905	0.2577	8.822036797e-17	0.1433389933	v2.9.1	
1	Broyden	0	0.04580369811	-76.41459596	-100.8048	0.8631134875	YY	8.5	0.2939321444	self-energy	sharp_wc_5_b_50	2.0097	2	1.185872468	0.204187759	0.2443542433	-3.669835137	1.920824349	0.4151419966	0.5287925713	-4.399688047	1.641723719	0.5287496604	1.641712745	-3.499819011	1.196757233	0.5537798731	0.0135877466	26f4f61	234.3997753	2x2_2C_8b_C2v_L	8.31	1.243751116	2	1.592690189	1.243751116	2	PRAXIS	-0.0001694221552	0.0006532104817	6.431872139e-05	-6.416230379e-05	0.1075067871	-1.231179643	0.02528691525	0.444693763	1.231195215	-0.4447207258	-4.749515005e-05	9.162644972e-06	-7.54163361e-05	0.0003114197148	run_cdmft.py	R0:S0:1	uncorrelated	-0.2331837407	1.91934008	1.283064036	-0.6329057783	0.3367540036	-1.844629995	1.943256099	-2.103030065	-1.84451207	-2.103091813	2.465120817	-3.559016111	0.4649559	-0.4035930234	2025-02-09@15:57	2.1394	-0.8309586803	1	-4.068552795e-17	-0.3543510729	0.2577	-9.885545194e-17	0.1418729968	v2.9.1	
1	Broyden	0	0.04661828896	-76.88695634	-101.6048	0.930948701	YY	8.5	0.2967756783	self-energy	sharp_wc_5_b_50	2.0097	2	1.187945838	0.2015648849	0.2357266775	-3.699331593	1.923098798	0.4086023017	0.5302553153	-4.437305043	1.649052374	0.5302936179	1.649062016	-3.541258078	1.202333233	0.5491899998	0.01331381852	26f4f61	233.9173769	2x2_2C_8b_C2v_L	8.36	1.248406815	2	1.596401075	1.248406815	2	PRAXIS	0.0001601902551	-0.0006023254768	-5.950753262e-05	5.632347561e-05	0.1087284472	-1.22937333	0.02525823426	0.4378625196	1.22935803	-0.437840488	-2.716747492e-05	3.85560399e-05	-4.860939453e-05	0.0001680473314	run_cdmft.py	R0:S0:1	uncorrelated	-0.2300878531	1.887096239	1.283731582	-0.6201575639	0.3330898574	-1.854392189	1.943468552	-2.073788552	-1.854494795	-2.073734456	2.46575662	-3.551451567	0.4604303875	-0.3986806102	2025-02-09@15:59	2.1394	-0.8238338736	1	3.301700543e-16	-0.3507768914	0.2577	-4.34354635e-17	0.1404290385	v2.9.1	
1	Broyden	0	0.04733274478	-77.35673384	-102.4048	0.9975513253	YY	8.5	0.2996211279	self-energy	sharp_wc_5_b_50	2.0097	2	1.189969356	0.1979514687	0.227453468	-3.727028834	1.925219427	0.4016957698	0.5319057795	-4.475087153	1.656122248	0.5318616809	1.656108634	-3.582509607	1.207776787	0.5444964494	0.01304782896	26f4f61	233.4788109	2x2_2C_8b_C2v_L	8.41	1.253012183	2	1.600039322	1.253012183	2	PRAXIS	-0.000209271501	0.0007829845164	8.041455752e-05	-8.46764141e-05	0.1095496535	-1.226287414	0.0250931197	0.4310451131	1.226313104	-0.4310754814	-5.484517311e-05	-4.388557039e-06	-9.876038726e-05	0.000425825667	run_cdmft.py	R0:S0:1	uncorrelated	-0.2267197306	1.854756959	1.284108795	-0.6080484637	0.3293643705	-1.86411627	1.943739126	-2.045214197	-1.863983884	-2.045291296	2.466309311	-3.543970625	0.455900689	-0.3938463887	2025-02-09@16:00	2.1394	-0.8168346802	1	1.574167453e-16	-0.3472506608	0.2577	3.708119466e-16	0.1390084188	v2.9.1	
1	Broyden	0	0.04799160156	-77.83873346	-103.2048	1.063094895	YY	8.5	0.3024714671	self-energy	sharp_wc_5_b_50	2.0097	2	1.191947189	0.1941172912	0.2193170427	-3.758914617	1.927322772	0.3946738695	0.5336530053	-4.513968766	1.662962164	0.5336144814	1.662949501	-3.622890352	1.213024302	0.5388394008	0.01277252138	26f4f61	233.070802	2x2_2C_8b_C2v_L	8.46	1.257567034	2	1.603626776	1.257567034	2	PRAXIS	-0.000196463967	0.0007251257804	7.429086469e-05	-7.707638804e-05	0.1102647768	-1.223186138	0.02483194102	0.4245056284	1.223212371	-0.4245332954	-3.862192396e-05	-1.509939638e-05	-7.320616038e-05	0.000329182381	run_cdmft.py	R0:S0:1	uncorrelated	-0.2232637601	1.822265593	1.285030022	-0.5960614852	0.3256395905	-1.873513384	1.944198115	-2.017384763	-1.873394767	-2.017456667	2.466569308	-3.536656039	0.4511461174	-0.3889309449	2025-02-09@16:01	2.1394	-0.8099381019	1	2.112938985e-16	-0.343773312	0.2577	-3.722125364e-16	0.1376157798	v2.9.1	
1	Broyden	0	0.04858259325	-78.32088677	-104.0048	1.127938926	YY	8.5	0.3053219515	self-energy	sharp_wc_5_b_50	2.0097	2	1.193890126	0.1900913574	0.2111624289	-3.7873221	1.929327896	0.388104281	0.5347782869	-4.553380436	1.669571457	0.5348366207	1.669591086	-3.664952065	1.218310862	0.5349760613	0.01252226503	26f4f61	232.7204758	2x2_2C_8b_C2v_L	8.51	1.262074628	2	1.607176638	1.262074628	2	PRAXIS	0.0003173172415	-0.00114990788	-0.0001188010649	0.0001238870688	0.1108817026	-1.219479434	0.02466286631	0.4178950881	1.219435476	-0.4178536023	6.333731198e-06	5.801682323e-05	2.416349749e-05	-0.0001553537633	run_cdmft.py	R0:S0:1	uncorrelated	-0.2195831661	1.788641458	1.285494926	-0.5843376672	0.3220511669	-1.88148406	1.944757465	-1.990293882	-1.881663652	-1.990182359	2.467295937	-3.529260372	0.4469715115	-0.3843752627	2025-02-09@16:03	2.1394	-0.8031076339	1	1.41887615e-16	-0.3403226477	0.2577	9.107161295e-17	0.1362428261	v2.9.1	
1	Broyden	0	0.04916576444	-78.79669982	-104.8048	1.192133249	YY	8.5	0.3081914402	self-energy	sharp_wc_5_b_50	2.0097	2	1.195794766	0.186808531	0.203016838	-3.814617767	1.931287001	0.382097613	0.5353141821	-4.592127001	1.675877726	0.535331244	1.675883478	-3.70571234	1.223317799	0.529219395	0.01224935167	26f4f61	232.4471239	2x2_2C_8b_C2v_L	8.56	1.266535775	2	1.610723974	1.266535775	2	PRAXIS	9.01906006e-05	-0.000323207184	-3.082360719e-05	2.764553028e-05	0.1119952318	-1.217741632	0.02463202196	0.4116035447	1.217728148	-0.4115898251	6.409546934e-06	1.095141508e-05	1.075186805e-05	-5.922276974e-05	run_cdmft.py	R0:S0:1	uncorrelated	-0.2160586202	1.754785877	1.285838593	-0.5727257631	0.3184482394	-1.887739575	1.945106533	-1.964118543	-1.887791572	-1.964085748	2.467576422	-3.52224749	0.4422931278	-0.3795413181	2025-02-09@16:04	2.1394	-0.796312988	1	-3.180223429e-17	-0.3369402552	0.2577	-8.526534376e-17	0.134890456	v2.9.1	
1	Broyden	0	0.04967454728	-79.27215278	-105.6048	1.254817406	YY	8.5	0.3110949392	self-energy	sharp_wc_5_b_50	2.0097	2	1.197644596	0.1837035699	0.195077649	-3.844270071	1.933198144	0.3755476348	0.5363833036	-4.629253964	1.681856488	0.5363635644	1.681848101	-3.746565895	1.228158549	0.5248248368	0.01199463025	26f4f61	232.223446	2x2_2C_8b_C2v_L	8.61	1.270976086	2	1.614194403	1.270976086	2	PRAXIS	-0.0001176094167	0.0004207698794	4.10024426e-05	-4.227183665e-05	0.1126765163	-1.214957034	0.02441076277	0.4055582134	1.214977704	-0.4055800113	-9.006274883e-05	3.911798494e-05	-0.0001435637592	0.0006196883734	run_cdmft.py	R0:S0:1	uncorrelated	-0.2125424564	1.721015507	1.286475491	-0.5613624623	0.3147745647	-1.894605033	1.945174949	-1.938812708	-1.894536309	-1.938860928	2.467888569	-3.515417434	0.4380940052	-0.3750481105	2025-02-09@16:05	2.1394	-0.7896752207	1	1.514284982e-16	-0.3336242515	0.2577	4.931755463e-17	0.1335721529	v2.9.1	
1	Broyden	0	0.05011662952	-79.7483267	-106.4048	1.316194741	YY	8.5	0.3140264669	self-energy	sharp_wc_5_b_50	2.0097	2	1.199443145	0.1806524697	0.1875409206	-3.871026435	1.934973	0.3691952096	0.5376561725	-4.66726087	1.687679354	0.537738509	1.687710402	-3.787915663	1.232843648	0.5213898899	0.01175080856	26f4f61	232.0567923	2x2_2C_8b_C2v_L	8.66	1.275382932	2	1.617610583	1.275382932	2	PRAXIS	0.000494631775	-0.001712083641	-0.0001679939362	0.0001658440771	0.1133059762	-1.212277507	0.02425769149	0.3995168328	1.212195836	-0.3994396792	8.069582992e-05	1.211505902e-05	0.0001139286468	-0.0005554703998	run_cdmft.py	R0:S0:1	uncorrelated	-0.2091121064	1.68795583	1.286712312	-0.5505983542	0.3112292115	-1.901690153	1.94538459	-1.913960517	-1.901951589	-1.913782641	2.46833244	-3.508828786	0.4342022528	-0.3707510636	2025-02-09@16:07	2.1394	-0.7831621421	1	5.607126991e-17	-0.3303824489	0.2577	3.350740509e-16	0.1322864901	v2.9.1	
1	Broyden	0	0.0505073007	-80.23972545	-107.2048	1.376639605	YY	8.5	0.3169442102	self-energy	sharp_wc_5_b_50	2.0097	2	1.201204715	0.177095933	0.1800875489	-3.900203802	1.936716708	0.3635238465	0.5382447183	-4.707076985	1.693459719	0.53816585	1.69342421	-3.830473934	1.237586399	0.5164845036	0.01149864941	26f4f61	231.9468052	2x2_2C_8b_C2v_L	8.71	1.27974182	2	1.620963682	1.27974182	2	PRAXIS	-0.0005672746034	0.001938555146	0.0001972376819	-0.0002036594019	0.1135548169	-1.207805073	0.0240442515	0.3937926785	1.207903821	-0.3938728779	-0.000112745795	-3.473718777e-05	-0.0001934300776	0.0009390672403	run_cdmft.py	R0:S0:1	uncorrelated	-0.2055218562	1.65434256	1.287208886	-0.5399716293	0.3079178272	-1.90819796	1.945973879	-1.889067042	-1.907922922	-1.889271296	2.468979862	-3.502162926	0.4300191772	-0.3662479112	2025-02-09@16:08	2.1394	-0.7767517005	1	-9.458148631e-17	-0.3271635473	0.2577	-1.05657376e-16	0.1310240139	v2.9.1	
