GS_consistency	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	githash	model	mu	script	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	time	tpd	tpp	tppp	version	
YY	11.5	3.0428	0.18755943	-4.1005762	-4.7788023	0.57216524	-4.7796849	0.57366548	0.83123395	-4.4072786	a248bdd	2x2_2C_8b_C2v_L	10.98	validity_data_2022.py	-0.020373067	1.1309544	-1.7107617	-0.078204296	1.7109314	-0.078381828	0.13987203	-2.2351928	2024-08-13@13:43	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.17106773	-4.0845244	-4.7627442	0.55928103	-4.7640753	0.56278902	0.81837919	-4.3933036	a248bdd	2x2_2C_8b_C2v_L	10.97	validity_data_2022.py	-0.018777466	1.1300321	-1.7094416	-0.076010061	1.7097145	-0.07634782	0.13701194	-2.2338886	2024-08-13@13:43	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.14668116	-4.0690504	-4.7475002	0.54767006	-4.7473938	0.54696439	0.80964573	-4.3802138	a248bdd	2x2_2C_8b_C2v_L	10.96	validity_data_2022.py	-0.01691104	1.1291666	-1.7082821	-0.073887254	1.7082561	-0.073855653	0.13454299	-2.232839	2024-08-13@13:44	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.21823992	-4.1330336	-4.8108901	0.59815481	-4.8093687	0.59466008	0.85188676	-4.4354403	a248bdd	2x2_2C_8b_C2v_L	11	validity_data_2022.py	-0.023616375	1.132862	-1.7133916	-0.082729863	1.7130991	-0.082407903	0.14531771	-2.2378241	2024-08-13@13:44	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.22914732	-4.1479986	-4.8247552	0.60622261	-4.8254823	0.60808482	0.85875779	-4.4477644	a248bdd	2x2_2C_8b_C2v_L	11.01	validity_data_2022.py	-0.024908549	1.1336763	-1.7143251	-0.084425566	1.714472	-0.084622406	0.14736968	-2.2386717	2024-08-13@13:44	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.24703232	-4.1658677	-4.8410552	0.61933621	-4.8422842	0.62242419	0.86820717	-4.4612827	a248bdd	2x2_2C_8b_C2v_L	11.02	validity_data_2022.py	-0.026715666	1.13485	-1.7156876	-0.086723571	1.7159339	-0.087008908	0.14993528	-2.2398414	2024-08-13@13:45	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.26118756	-4.182564	-4.8579569	0.63513665	-4.8579723	0.63277541	0.87548475	-4.4752054	a248bdd	2x2_2C_8b_C2v_L	11.03	validity_data_2022.py	-0.028337416	1.13587	-1.7171899	-0.089311215	1.7171675	-0.089131765	0.15242616	-2.2410832	2024-08-13@13:45	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.27153855	-4.1968725	-4.8753345	0.64675078	-4.8722408	0.6414917	0.8860591	-4.4893668	a248bdd	2x2_2C_8b_C2v_L	11.04	validity_data_2022.py	-0.029639052	1.1365547	-1.7187482	-0.091588294	1.7181679	-0.090984946	0.15519283	-2.2424404	2024-08-13@13:46	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.28378284	-4.2128921	-4.8897023	0.65564814	-4.8892463	0.65356804	0.89423732	-4.5026206	a248bdd	2x2_2C_8b_C2v_L	11.05	validity_data_2022.py	-0.031140941	1.1374871	-1.7197489	-0.093406004	1.7196742	-0.093278267	0.15759455	-2.2435322	2024-08-13@13:46	2.0089	1	0.226	v2.7.1	
YY	11.5	3.0428	0.29699244	-4.2286673	-4.9046931	0.66326427	-4.9060945	0.6660458	0.90554006	-4.5171549	a248bdd	2x2_2C_8b_C2v_L	11.06	validity_data_2022.py	-0.032617635	1.1383871	-1.7208799	-0.095307381	1.7211435	-0.095612182	0.16051636	-2.2449962	2024-08-13@13:47	2.0089	1	0.226	v2.7.1	
