CDMFT_iterations	CDMFT_method	D	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
9	Broyden	0	2.59158591e-06	-147.926606	-154.4624	8.896289531	YY	14	0.1348466435	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290293241	1.38734366	0.0007156831936	-7.111590943	1.962953848	-8.117593774	1.892481682	-7.657666276	1.984247862	-8.10812044	1.925177596	-8.060401508	1.951262733	1.848534921	0.0008139135304	-6.539267487	1.737488392	a248bdd	2x2_2C_8b_C2v_L	12.7	1.131032527	2	1.666921822	0.9999999999278444	0.9999999999999999	-9.416497615e-05	9.423877793e-05	3.78415764e-05	-5.400056421e-05	-0.1636313205	0.08661100025	-0.5023998905	0.2720838168	-0.3415315034	0.1798332124	0.4315434732	-0.2273227488	0.0003889243662	-0.0007739750195	-7.385794426e-05	3.210259921e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.07545105155	-0.1121354212	-1.224408999	0.6191991697	1.844906964	-1.227194706	-0.568119249	0.3949025324	-1.520396612	1.011989261	-1.196523171	0.7998901998	0.1766364769	-0.102560501	-2.251543794	2.100140865	2024-09-05@10:15	1.9019	-0.4583518395	1	-1.389888105e-16	-0.1031318098	0.2229	8.34940097e-18	0.0445884895	v2.7.1	
1	Broyden	0	2.103457322e-06	-148.2550259	-154.6224	8.896214919	YY	14	0.1348241646	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290288926	1.439723824	0.0007578379171	-7.140120781	1.962959186	-8.14889625	1.892369412	-7.65678568	1.984314265	-8.15492115	1.925711942	-8.085844415	1.950620097	1.835251769	0.0008105338091	-6.547755503	1.737438322	a248bdd	2x2_2C_8b_C2v_L	12.71	1.130979771	2	1.66693506	0.999999999912127	1.0	3.34918942e-05	-5.255631435e-05	7.921471705e-06	-2.74536707e-05	-0.1640238257	0.0866331186	-0.5066887943	0.2741853601	-0.3487752342	0.1829402364	0.4358020948	-0.228903235	0.0002808560577	-0.0005664234148	-4.940010695e-05	1.671350853e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.07855680972	-0.1155121849	-1.226429664	0.6191903125	1.849652664	-1.227813766	-0.5639678017	0.3923985668	-1.519337001	1.007865464	-1.206091602	0.8051523909	0.1762841127	-0.1023749397	-2.251237912	2.100227362	2024-09-05@10:17	1.9019	-0.4583524915	1	-4.886196032e-16	-0.1031432552	0.2229	-2.219112859e-16	0.04459279241	v2.7.1	
1	Broyden	0	-1.754660263e-07	-148.3364174	-154.7824	8.896233271	YY	14	0.134824638	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290289672	1.448285352	0.000767893304	-7.154888346	1.962967831	-8.141478344	1.892379082	-7.641709111	1.984368036	-8.164921772	1.924891723	-8.08479248	1.951427053	1.876322815	0.0008431724445	-6.567573983	1.737501275	a248bdd	2x2_2C_8b_C2v_L	12.72	1.130983908	2	1.666937285	0.9999999999470801	0.9999999999999998	0.0005609774364	-0.000654839559	-0.0001132427633	7.932770587e-05	-0.1628951907	0.08606854175	-0.5028436151	0.2722814369	-0.3453780476	0.1809230138	0.4380198643	-0.2298942508	-0.0002559636108	0.0004825597646	7.05815984e-05	-5.62003256e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.07935688284	-0.1163196777	-1.226962956	0.619077973	1.846682679	-1.227657739	-0.5629194563	0.3925772498	-1.528285707	1.013971013	-1.193740609	0.7978689597	0.1807991434	-0.1044807291	-2.253524092	2.100110495	2024-09-05@10:19	1.9019	-0.4583512335	1	-6.599251503e-17	-0.103141738	0.2229	-9.448718703e-18	0.04459250477	v2.7.1	
1	Broyden	0	1.467004409e-06	-148.8070451	-154.9424	8.89603589	YY	14	0.1348198044	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290282962	1.434422283	0.000767800891	-7.162718794	1.962956621	-8.177231015	1.892006563	-7.711477998	1.984606935	-8.210543512	1.926199454	-8.131552135	1.949969267	1.828678043	0.0008222794444	-6.571519202	1.737419058	a248bdd	2x2_2C_8b_C2v_L	12.73	1.13093978	2	1.666947246	0.999999999925235	1.0	4.120038261e-05	-6.005560322e-05	5.622588793e-06	-2.046188155e-05	-0.1629845947	0.08579437916	-0.5133903928	0.2764426431	-0.3572549092	0.1863639311	0.4417187462	-0.2308956983	5.001692008e-05	-0.0001126233378	1.844762216e-06	-9.299469007e-06	new_boucle_param.py	R0:S0:1	uncorrelated	0.07931137831	-0.1163103261	-1.226748083	0.6191814873	1.854504572	-1.229777288	-0.556468369	0.3857698166	-1.518317841	1.004032106	-1.216690177	0.8104215819	0.1778563839	-0.1031427639	-2.252075494	2.100317767	2024-09-05@10:21	1.9019	-0.4583665315	1	-3.92208679e-16	-0.1031595132	0.2229	2.108724366e-16	0.04459931115	v2.7.1	
1	Broyden	0	2.571531395e-06	-149.1379196	-155.1024	8.895926269	YY	14	0.1347850206	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290277557	1.486392394	0.0008088563274	-7.194207712	1.962974253	-8.242381534	1.893509214	-7.748475601	1.982910025	-8.242819251	1.923102909	-8.083057002	1.953142736	1.896574747	0.0008671247352	-6.593816909	1.737428334	a248bdd	2x2_2C_8b_C2v_L	12.74	1.130867797	2	1.666968038	0.9999999999081257	1.0	-0.0001257253776	0.0001333937322	4.506689902e-05	-5.400511937e-05	-0.1786714948	0.09359231585	-0.5202609964	0.2789131157	-0.3436079078	0.1790337703	0.4499009077	-0.2357750943	0.0005428602418	-0.001067485967	-0.0001096641039	5.556185458e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.08237175395	-0.1195230954	-1.229052346	0.6189912291	1.849889313	-1.221063421	-0.598645486	0.4141018737	-1.556143115	1.026424063	-1.166391293	0.7808101399	0.1842676602	-0.1060504742	-2.255033728	2.10034929	2024-09-05@10:24	1.9019	-0.4583697381	1	-6.401757494e-16	-0.1031748893	0.2229	-1.213940436e-16	0.0446055782	v2.7.1	
1	Broyden	0	1.841775003e-06	-149.863311	-155.2624	8.895555669	YY	14	0.1347827652	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290266026	1.414133988	0.0007696731349	-7.182399887	1.96294367	-8.284221147	1.891201161	-7.862542507	1.985032975	-8.298028216	1.92992783	-8.217715669	1.946036374	1.819245164	0.0008298200102	-6.593027296	1.737277784	a248bdd	2x2_2C_8b_C2v_L	12.75	1.130799527	2	1.666982684	0.9999999999260458	1.0	1.950354047e-05	-3.335240163e-05	5.970854241e-06	-2.097480267e-05	-0.1641355749	0.08552907852	-0.5408089998	0.2875446697	-0.3840533897	0.1988351995	0.4428839514	-0.2298348339	0.000209423593	-0.0004279151828	-3.834875754e-05	1.452751324e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.0794721828	-0.1164812935	-1.226746311	0.619221528	1.876512054	-1.234662541	-0.541598145	0.3707953997	-1.484653655	0.9752865517	-1.275481982	0.8440433681	0.1789867844	-0.1036672181	-2.25246483	2.100788925	2024-09-05@10:26	1.9019	-0.4584013316	1	-2.024256648e-16	-0.1032058775	0.2229	9.327804474e-17	0.04461754246	v2.7.1	
2	Broyden	0	3.518421684e-06	-149.8378235	-155.4224	8.89564967	YY	14	0.1347813653	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290268381	1.473005104	0.000812765604	-7.208633794	1.962950171	-8.329412013	1.896756566	-7.79327574	1.979491602	-8.261622285	1.914908389	-8.211011964	1.961114429	1.803258911	0.0008289467506	-6.603299666	1.737314701	a248bdd	2x2_2C_8b_C2v_L	12.76	1.130811683	2	1.666979027	0.9999999999242598	1.0	-0.000336591869	0.0003616374475	8.405837079e-05	-9.971197807e-05	-0.2070506408	0.1075797287	-0.524267705	0.2796817614	-0.3155581506	0.1638525044	0.4874137225	-0.2530298494	-0.0002234172518	0.000422646045	5.350245307e-05	-3.625987333e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.08268237032	-0.1198215994	-1.228570733	0.6192208509	1.83130414	-1.201240389	-0.6784387431	0.4681629776	-1.64206878	1.083160343	-1.056847998	0.7002855788	0.1787926707	-0.1036098182	-2.252474211	2.100609406	2024-09-05@10:29	1.9019	-0.4583919446	1	3.443703699e-17	-0.1031989428	0.2229	1.091047938e-16	0.04461473725	v2.7.1	
5	Broyden	0	4.228661465e-06	-148.9297358	-155.5824	8.895588292	YY	14	0.1346413113	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290263952	1.47006853	0.0008341455168	-7.232069979	1.962973791	-8.249299832	1.885596734	-7.110310489	1.991415311	-8.344971342	1.943141461	-8.368400941	1.932452699	1.84322273	0.0008726397373	-6.626873065	1.737385175	a248bdd	2x2_2C_8b_C2v_L	12.77	1.130657331	2	1.666986569	0.9999999999069479	1.0000000000000004	0.0006347853966	-0.0007588294263	-0.0001148651058	5.291459618e-05	-0.09099996981	0.04805465496	-0.509481494	0.2853408871	-0.4496103926	0.2311475377	0.4088770848	-0.2093874632	0.0006324240537	-0.001286933082	-0.000113043036	4.098351899e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.08394381266	-0.1214217523	-1.229767902	0.6189903315	1.917431839	-1.267417396	-0.2969389066	0.2195964878	-1.32390941	0.8683386381	-1.459915432	0.9552875866	0.1845496559	-0.1063844884	-2.255436048	2.100398891	2024-09-05@10:34	1.9019	-0.4583892353	1	-2.694613726e-16	-0.1032121905	0.2229	-1.865907416e-16	0.04461978145	v2.7.1	
1	Broyden	0	-6.964125351e-07	-150.7543334	-155.7424	8.895688882	YY	14	0.134630218	self-energy/D	sharp_wc_2_b_50	3.0461	2	1.290255104	2.424299391	0.001447046424	-7.449566386	1.962975963	-8.422203491	1.91876272	-8.09002258	1.957312902	-8.343547293	1.888706181	-7.866858434	1.987262596	1.864091497	0.0008739788757	-6.637995579	1.737319615	a248bdd	2x2_2C_8b_C2v_L	12.78	1.130555812	2	1.667041705	0.999999999881263	0.9999999999999998	0.001165487052	-0.001109123357	-0.0002645826087	0.0002060830567	-0.3389052836	0.1743492771	-0.4814643577	0.2513952502	-0.1439526127	0.07478005893	0.5532879242	-0.2929959595	0.000426295704	-0.0008507881947	-5.626013355e-05	1.51757607e-05	new_boucle_param.py	R0:S0:1	uncorrelated	0.1295374671	-0.1620652963	-1.254280902	0.6194447117	1.623368723	-1.056225742	-1.099100366	0.7374647558	-1.902693665	1.249927584	-0.4680018055	0.3214964608	0.1857009375	-0.1067065052	-2.255992129	2.099971718	2024-09-05@10:36	1.9019	-0.4583480243	1	-2.681181911e-17	-0.1032317215	0.2229	5.764822864e-17	0.04462710926	v2.7.1	
