# (0, 0)	(0.015625, 0)	(0.03125, 0)	(0.046875, 0)	(0.0625, 0)	(0.078125, 0)	(0.09375, 0)	(0.10938, 0)	(0.125, 0)	(0.14062, 0)	(0.15625, 0)	(0.17188, 0)	(0.1875, 0)	(0.20312, 0)	(0.21875, 0)	(0.23438, 0)	(0.25, 0)	(0.26562, 0)	(0.28125, 0)	(0.29688, 0)	(0.3125, 0)	(0.32812, 0)	(0.34375, 0)	(0.35938, 0)	(0.375, 0)	(0.39062, 0)	(0.40625, 0)	(0.42188, 0)	(0.4375, 0)	(0.45312, 0)	(0.46875, 0)	(0.48438, 0)	(0.5, 0)	(0.5, 0.015625)	(0.5, 0.03125)	(0.5, 0.046875)	(0.5, 0.0625)	(0.5, 0.078125)	(0.5, 0.09375)	(0.5, 0.10938)	(0.5, 0.125)	(0.5, 0.14062)	(0.5, 0.15625)	(0.5, 0.17188)	(0.5, 0.1875)	(0.5, 0.20312)	(0.5, 0.21875)	(0.5, 0.23438)	(0.5, 0.25)	(0.5, 0.26562)	(0.5, 0.28125)	(0.5, 0.29688)	(0.5, 0.3125)	(0.5, 0.32812)	(0.5, 0.34375)	(0.5, 0.35938)	(0.5, 0.375)	(0.5, 0.39062)	(0.5, 0.40625)	(0.5, 0.42188)	(0.5, 0.4375)	(0.5, 0.45312)	(0.5, 0.46875)	(0.5, 0.48438)	(0.5, 0.5)	(0.48438, 0.48438)	(0.46875, 0.46875)	(0.45312, 0.45312)	(0.4375, 0.4375)	(0.42188, 0.42188)	(0.40625, 0.40625)	(0.39062, 0.39062)	(0.375, 0.375)	(0.35938, 0.35938)	(0.34375, 0.34375)	(0.32812, 0.32812)	(0.3125, 0.3125)	(0.29688, 0.29688)	(0.28125, 0.28125)	(0.26562, 0.26562)	(0.25, 0.25)	(0.23438, 0.23438)	(0.21875, 0.21875)	(0.20312, 0.20312)	(0.1875, 0.1875)	(0.17188, 0.17188)	(0.15625, 0.15625)	(0.14062, 0.14062)	(0.125, 0.125)	(0.10938, 0.10938)	(0.09375, 0.09375)	(0.078125, 0.078125)	(0.0625, 0.0625)	(0.046875, 0.046875)	(0.03125, 0.03125)	(0.015625, 0.015625)	(0, 0)	
# nfreq = 2401, wmin=-15+0.05j, wmax=15+0.05j
0.0357911	0.0359657	0.0364827	0.0373238	0.0384618	0.0398653	0.0415032	0.0433489	0.0453824	0.0475925	0.0499764	0.0525398	0.055296	0.0582649	0.0614722	0.0649487	0.0687291	0.0728507	0.0773522	0.0822708	0.0876389	0.0934787	0.0997944	0.106563	0.11372	0.121147	0.128659	0.135992	0.142811	0.148723	0.153323	0.156251	0.157257	0.157268	0.157301	0.157363	0.157464	0.157623	0.157863	0.158217	0.158728	0.159446	0.160436	0.161772	0.163545	0.165865	0.16886	0.172685	0.17752	0.183574	0.191078	0.200283	0.211442	0.224784	0.240483	0.258598	0.279015	0.301373	0.325001	0.348885	0.371686	0.391836	0.407719	0.417909	0.421423	0.414476	0.394984	0.366445	0.333205	0.299178	0.267128	0.238545	0.213906	0.193026	0.175379	0.160307	0.147166	0.135399	0.124593	0.114494	0.104999	0.0961168	0.0879082	0.0804329	0.0737148	0.0677332	0.0624317	0.0577333	0.0535567	0.0498292	0.0464977	0.0435375	0.0409596	0.0388127	0.037177	0.0361448	0.0357911
0.0349844	0.0351639	0.0356973	0.0365707	0.0377628	0.0392475	0.0409977	0.0429889	0.045202	0.0476257	0.0502572	0.0531028	0.0561774	0.0595041	0.0631132	0.0670417	0.0713323	0.0760324	0.081192	0.0868613	0.0930867	0.0999037	0.107329	0.115346	0.123889	0.132826	0.141936	0.150897	0.159287	0.166606	0.172329	0.175985	0.177244	0.177209	0.177105	0.176938	0.176719	0.176467	0.176209	0.175982	0.175834	0.175827	0.176035	0.176546	0.177467	0.178925	0.18107	0.18408	0.188162	0.193551	0.200512	0.209331	0.220298	0.233684	0.249699	0.268436	0.289801	0.313429	0.338613	0.364255	0.388886	0.410763	0.428074	0.439209	0.443054	0.435458	0.414187	0.383161	0.347212	0.310643	0.276437	0.246158	0.220261	0.198499	0.180267	0.164838	0.1515	0.139637	0.128776	0.11861	0.10899	0.0998973	0.0913848	0.0835238	0.0763617	0.0699052	0.0641219	0.058954	0.0543344	0.0502021	0.046515	0.0432593	0.0404545	0.038152	0.036425	0.0353499	0.0349844
0.034337	0.0345237	0.0350808	0.0359987	0.0372617	0.0388491	0.0407374	0.0429043	0.0453312	0.0480071	0.0509295	0.0541061	0.0575545	0.0613023	0.0653862	0.0698516	0.074752	0.0801473	0.0861029	0.092686	0.0999608	0.107982	0.116781	0.126352	0.136631	0.147466	0.158593	0.169618	0.180007	0.189121	0.196279	0.200866	0.202448	0.202357	0.202085	0.201639	0.201029	0.200275	0.199407	0.198468	0.197513	0.196615	0.195859	0.195352	0.195217	0.195602	0.196682	0.198661	0.201774	0.20629	0.212511	0.220762	0.231379	0.244679	0.260916	0.280225	0.302537	0.327489	0.354336	0.381891	0.408537	0.432333	0.451242	0.46344	0.467658	0.459332	0.436068	0.402273	0.363336	0.323993	0.287465	0.255386	0.228178	0.205513	0.186698	0.170921	0.157392	0.145424	0.13448	0.124192	0.114367	0.10496	0.0960256	0.0876536	0.0799233	0.0728736	0.0664998	0.060764	0.0556135	0.0509986	0.0468876	0.0432775	0.0401966	0.0376999	0.035854	0.0347196	0.034337
0.0338249	0.0340221	0.0346125	0.0355909	0.0369475	0.0386666	0.0407284	0.043112	0.0457995	0.0487799	0.0520518	0.055625	0.0595213	0.0637744	0.0684299	0.0735446	0.079186	0.0854315	0.0923661	0.10008	0.108662	0.118191	0.128722	0.140265	0.152755	0.166023	0.17975	0.193443	0.206429	0.217881	0.226914	0.232719	0.234724	0.234562	0.23408	0.233282	0.232179	0.230793	0.229156	0.227318	0.225344	0.223318	0.221341	0.219538	0.218056	0.217066	0.216771	0.217405	0.219239	0.222581	0.227774	0.235191	0.245219	0.258229	0.274531	0.294308	0.317526	0.343829	0.372433	0.402055	0.430914	0.456842	0.477538	0.490932	0.49557	0.486423	0.460926	0.424051	0.381822	0.339459	0.300439	0.266462	0.2379	0.21433	0.194953	0.178855	0.165159	0.153096	0.14205	0.131588	0.12147	0.111631	0.102131	0.0930925	0.0846353	0.0768393	0.0697316	0.0632969	0.0574972	0.0522937	0.0476649	0.0436188	0.0401939	0.0374496	0.0354474	0.0342319	0.0338249
0.0334281	0.0336401	0.0342763	0.0353369	0.0368176	0.0387079	0.0409911	0.0436473	0.0466589	0.0500149	0.0537153	0.0577733	0.0622165	0.0670874	0.0724437	0.0783575	0.0849155	0.0922182	0.100378	0.109515	0.119753	0.131205	0.143958	0.158046	0.173409	0.189853	0.206992	0.224205	0.240626	0.255183	0.266711	0.27414	0.276708	0.276456	0.275702	0.27445	0.272711	0.270507	0.267876	0.264873	0.261577	0.258085	0.25452	0.251027	0.247781	0.244984	0.242871	0.241715	0.241826	0.243558	0.247307	0.2535	0.262584	0.274996	0.291112	0.311175	0.335195	0.362829	0.393258	0.425095	0.456371	0.484659	0.507355	0.522092	0.527204	0.517135	0.489138	0.448841	0.402993	0.357356	0.315682	0.279725	0.249791	0.22534	0.205448	0.189089	0.175279	0.163149	0.151996	0.14131	0.1308	0.120383	0.110138	0.100231	0.090839	0.082093	0.0740597	0.0667495	0.06014	0.054203	0.0489274	0.0443328	0.0404698	0.0374049	0.0351953	0.033869	0.0334281
0.0331275	0.0333597	0.034059	0.0352307	0.036877	0.0389923	0.0415624	0.0445679	0.0479902	0.0518185	0.0560547	0.0607166	0.0658403	0.0714805	0.0777113	0.0846261	0.0923379	0.100978	0.110697	0.121658	0.13403	0.147977	0.163631	0.181062	0.200221	0.220884	0.242574	0.264501	0.285539	0.304277	0.319169	0.328788	0.332118	0.331747	0.330634	0.328783	0.326203	0.322919	0.318973	0.314431	0.309382	0.303947	0.298271	0.292529	0.286929	0.28171	0.27715	0.273566	0.271321	0.270823	0.272529	0.276933	0.284557	0.295913	0.311458	0.331508	0.356131	0.385008	0.417284	0.45146	0.485357	0.516249	0.541175	0.557422	0.563069	0.551964	0.521173	0.477084	0.427276	0.378116	0.333642	0.295655	0.264369	0.239104	0.218793	0.202274	0.188439	0.176304	0.165057	0.154098	0.143077	0.131897	0.120671	0.109629	0.0990232	0.0890522	0.0798327	0.0714058	0.0637663	0.0568966	0.0507958	0.0454969	0.0410656	0.037579	0.035092	0.0336151	0.0331275
0.0329026	0.0331627	0.033948	0.0352701	0.0371385	0.0395527	0.0425001	0.0459602	0.0499127	0.0543462	0.0592649	0.0646936	0.0706798	0.0772955	0.0846376	0.0928288	0.102018	0.112381	0.124119	0.137455	0.152625	0.169861	0.189363	0.21125	0.235494	0.261831	0.28966	0.317957	0.345239	0.369628	0.389065	0.401643	0.406001	0.40547	0.403876	0.401221	0.397514	0.392781	0.387069	0.380458	0.373055	0.365006	0.356487	0.347712	0.33893	0.330429	0.322539	0.315636	0.310145	0.306543	0.305362	0.307178	0.312602	0.322239	0.336644	0.356223	0.381119	0.411046	0.445122	0.481724	0.518437	0.552188	0.579596	0.597538	0.603788	0.591521	0.557611	0.509334	0.455222	0.402309	0.354933	0.31492	0.282364	0.256419	0.235849	0.219336	0.205625	0.19359	0.182286	0.171002	0.159322	0.14714	0.134619	0.122081	0.109881	0.0983086	0.0875446	0.0776686	0.0686947	0.0606159	0.053442	0.0472223	0.0420424	0.0379951	0.0351354	0.033454	0.0329026
0.0327362	0.033034	0.0339357	0.0354609	0.0376281	0.0404422	0.0438916	0.0479528	0.0526018	0.0578254	0.0636307	0.0700516	0.077152	0.0850277	0.0938076	0.103655	0.114769	0.127387	0.141781	0.158258	0.177146	0.198776	0.223437	0.251319	0.282416	0.316402	0.352499	0.389347	0.424969	0.456866	0.482305	0.49877	0.504474	0.503727	0.501484	0.497745	0.492518	0.485831	0.477742	0.468345	0.457772	0.446203	0.433854	0.420989	0.407911	0.394971	0.382566	0.371144	0.361211	0.35333	0.348124	0.346271	0.348489	0.3555	0.367974	0.386432	0.411111	0.441774	0.477519	0.516587	0.5563	0.593178	0.623349	0.643195	0.650126	0.63655	0.599155	0.546265	0.487507	0.430654	0.380348	0.338405	0.304761	0.27837	0.2578	0.24155	0.228189	0.216418	0.205125	0.193463	0.180934	0.167433	0.153197	0.138676	0.124365	0.110677	0.0978758	0.086092	0.075362	0.0656903	0.0570993	0.049659	0.043483	0.0386873	0.0353288	0.0333733	0.0327362
0.0326215	0.0329689	0.0340241	0.0358187	0.0383837	0.0417326	0.0458541	0.0507196	0.0562977	0.0625712	0.0695499	0.0772797	0.0858465	0.0953791	0.106051	0.118082	0.131741	0.147349	0.165278	0.18595	0.209817	0.237337	0.268918	0.304826	0.345056	0.389162	0.436074	0.483947	0.530139	0.571373	0.604143	0.625288	0.6326	0.631565	0.628458	0.623277	0.616033	0.60676	0.595529	0.582456	0.567711	0.551512	0.534133	0.515896	0.497177	0.478404	0.460057	0.442677	0.426868	0.413297	0.402702	0.395883	0.393688	0.396978	0.406567	0.423115	0.446974	0.477982	0.515221	0.556794	0.599717	0.640044	0.673313	0.695318	0.703024	0.687953	0.646616	0.588609	0.524851	0.463931	0.410775	0.367136	0.332736	0.306281	0.286108	0.2705	0.257814	0.246539	0.235356	0.223252	0.209635	0.194406	0.17791	0.160767	0.143664	0.127172	0.111673	0.0973591	0.0842979	0.0725086	0.0620314	0.052967	0.0454697	0.0396876	0.0356782	0.0333685	0.0326215
0.03256	0.0329679	0.0342124	0.0363449	0.0394194	0.0434658	0.0484774	0.0544187	0.0612462	0.0689333	0.0774898	0.0869747	0.0975024	0.109246	0.122439	0.137378	0.154428	0.174021	0.196662	0.222916	0.253393	0.288694	0.329335	0.375616	0.427432	0.48405	0.543893	0.604412	0.662146	0.713046	0.753021	0.778575	0.787366	0.785967	0.781769	0.774778	0.765012	0.752523	0.737406	0.719814	0.699958	0.678114	0.654619	0.62987	0.604325	0.578502	0.55298	0.528405	0.505494	0.485036	0.467899	0.455023	0.447409	0.446078	0.452012	0.466037	0.488651	0.519786	0.558526	0.602827	0.649365	0.693644	0.730507	0.755035	0.763648	0.746797	0.700824	0.636958	0.56771	0.5026	0.446793	0.401873	0.367244	0.341296	0.322079	0.307619	0.296018	0.285512	0.274542	0.261902	0.246902	0.229464	0.210068	0.189553	0.168838	0.148704	0.129678	0.112042	0.0959071	0.0813214	0.0683592	0.0571732	0.047978	0.04096	0.0361602	0.0334337	0.03256
