# (0, 0)	(0.015625, 0)	(0.03125, 0)	(0.046875, 0)	(0.0625, 0)	(0.078125, 0)	(0.09375, 0)	(0.10938, 0)	(0.125, 0)	(0.14062, 0)	(0.15625, 0)	(0.17188, 0)	(0.1875, 0)	(0.20312, 0)	(0.21875, 0)	(0.23438, 0)	(0.25, 0)	(0.26562, 0)	(0.28125, 0)	(0.29688, 0)	(0.3125, 0)	(0.32812, 0)	(0.34375, 0)	(0.35938, 0)	(0.375, 0)	(0.39062, 0)	(0.40625, 0)	(0.42188, 0)	(0.4375, 0)	(0.45312, 0)	(0.46875, 0)	(0.48438, 0)	(0.5, 0)	(0.5, 0.015625)	(0.5, 0.03125)	(0.5, 0.046875)	(0.5, 0.0625)	(0.5, 0.078125)	(0.5, 0.09375)	(0.5, 0.10938)	(0.5, 0.125)	(0.5, 0.14062)	(0.5, 0.15625)	(0.5, 0.17188)	(0.5, 0.1875)	(0.5, 0.20312)	(0.5, 0.21875)	(0.5, 0.23438)	(0.5, 0.25)	(0.5, 0.26562)	(0.5, 0.28125)	(0.5, 0.29688)	(0.5, 0.3125)	(0.5, 0.32812)	(0.5, 0.34375)	(0.5, 0.35938)	(0.5, 0.375)	(0.5, 0.39062)	(0.5, 0.40625)	(0.5, 0.42188)	(0.5, 0.4375)	(0.5, 0.45312)	(0.5, 0.46875)	(0.5, 0.48438)	(0.5, 0.5)	(0.48438, 0.48438)	(0.46875, 0.46875)	(0.45312, 0.45312)	(0.4375, 0.4375)	(0.42188, 0.42188)	(0.40625, 0.40625)	(0.39062, 0.39062)	(0.375, 0.375)	(0.35938, 0.35938)	(0.34375, 0.34375)	(0.32812, 0.32812)	(0.3125, 0.3125)	(0.29688, 0.29688)	(0.28125, 0.28125)	(0.26562, 0.26562)	(0.25, 0.25)	(0.23438, 0.23438)	(0.21875, 0.21875)	(0.20312, 0.20312)	(0.1875, 0.1875)	(0.17188, 0.17188)	(0.15625, 0.15625)	(0.14062, 0.14062)	(0.125, 0.125)	(0.10938, 0.10938)	(0.09375, 0.09375)	(0.078125, 0.078125)	(0.0625, 0.0625)	(0.046875, 0.046875)	(0.03125, 0.03125)	(0.015625, 0.015625)	(0, 0)	
# nfreq = 2401, wmin=-15+0.05j, wmax=15+0.05j
0.172828	0.173253	0.174532	0.176678	0.179708	0.183638	0.188472	0.194181	0.200687	0.207821	0.21529	0.222632	0.229198	0.234166	0.236636	0.235801	0.231163	0.222722	0.21101	0.196971	0.181719	0.166302	0.151544	0.137998	0.125969	0.115577	0.106823	0.0996397	0.0939353	0.0896136	0.0865909	0.0848036	0.0842122	0.0876686	0.0982018	0.116346	0.143146	0.180446	0.231425	0.301503	0.39938	0.534971	0.695588	0.767539	0.61844	0.424166	0.332607	0.325798	0.378295	0.496816	0.730369	1.18687	1.93283	2.52207	2.42659	2.05423	1.74976	1.55004	1.42375	1.3436	1.29239	1.25991	1.24007	1.22938	1.22601	1.24179	1.29102	1.37961	1.51788	1.71957	1.99219	2.25084	2.15417	1.61852	1.4643	9.43949	0.562134	0.261924	0.176801	0.140137	0.119706	0.105066	0.0924318	0.0806955	0.0700945	0.0621228	0.0611485	0.081059	0.163974	0.35589	0.441891	0.351119	0.268051	0.218752	0.191187	0.177147	0.172828
0.136246	0.136589	0.137622	0.139358	0.141817	0.145017	0.148975	0.153685	0.15911	0.16515	0.171617	0.178198	0.184435	0.189726	0.193372	0.194698	0.193203	0.188716	0.181469	0.172045	0.161233	0.14985	0.138601	0.128006	0.118401	0.109963	0.102759	0.096785	0.0920017	0.0883555	0.0857939	0.0842749	0.0837717	0.0864821	0.094745	0.108991	0.130072	0.159527	0.200113	0.256886	0.339324	0.464447	0.651136	0.837245	0.756753	0.503545	0.370826	0.350919	0.405187	0.542688	0.835257	1.44952	2.41398	2.76915	2.25099	1.73872	1.42431	1.24097	1.1314	1.06395	1.02162	0.995055	0.97895	0.970305	0.967582	0.980172	1.01973	1.0921	1.20883	1.39034	1.67045	2.06249	2.29346	1.94476	1.62764	12.0762	0.616458	0.277186	0.180013	0.137877	0.114809	0.0991579	0.0866094	0.0757462	0.0666192	0.0606946	0.0628882	0.0909714	0.203734	0.421813	0.406071	0.284615	0.211168	0.171749	0.150354	0.139558	0.136246
0.108826	0.10911	0.109967	0.11141	0.113459	0.116136	0.119464	0.123454	0.128095	0.133333	0.13905	0.145032	0.150953	0.15636	0.160708	0.163428	0.164048	0.162315	0.158273	0.15226	0.14482	0.136577	0.128116	0.11991	0.112294	0.105477	0.0995695	0.0946126	0.0906068	0.087532	0.085361	0.0840696	0.083641	0.085777	0.0922861	0.103499	0.120073	0.143201	0.175052	0.219714	0.285307	0.388736	0.562938	0.823397	0.900452	0.610479	0.42157	0.383891	0.440582	0.602934	0.975234	1.80467	2.91291	2.71339	1.90429	1.39872	1.12979	0.981329	0.894806	0.842255	0.809567	0.789183	0.776881	0.770298	0.768228	0.77787	0.808227	0.864067	0.955226	1.10068	1.33842	1.73476	2.18509	2.20322	1.85424	15.2846	0.684757	0.297865	0.186395	0.1381	0.112152	0.0953374	0.082701	0.0725073	0.0646579	0.0606561	0.0661457	0.104533	0.256476	0.456756	0.340721	0.224371	0.16603	0.135853	0.119571	0.111351	0.108826
0.0883718	0.0886118	0.0893362	0.0905575	0.0922957	0.0945755	0.0974229	0.100859	0.10489	0.109492	0.114594	0.120054	0.125633	0.130993	0.135704	0.139292	0.141328	0.141524	0.139811	0.136354	0.131515	0.125756	0.11955	0.11331	0.107357	0.101911	0.097109	0.0930245	0.0896886	0.0871072	0.0852743	0.0841798	0.0838159	0.0855236	0.0907236	0.0996678	0.112856	0.131197	0.156341	0.191418	0.242763	0.324287	0.468382	0.734989	1.00043	0.750897	0.48927	0.426855	0.486534	0.681673	1.1631	2.27237	3.25638	2.38715	1.53159	1.10735	0.895556	0.781036	0.714871	0.674892	0.650128	0.634745	0.625494	0.620557	0.619007	0.626342	0.649429	0.6919	0.76136	0.872964	1.05911	1.39508	1.90008	2.26545	2.11826	18.5734	0.7716	0.325332	0.196312	0.140784	0.111547	0.0933561	0.0804651	0.0707941	0.0641223	0.06202	0.0710012	0.122929	0.322119	0.440141	0.272085	0.176432	0.131935	0.109037	0.0966168	0.0903131	0.0883718
0.0729919	0.0731976	0.0738188	0.0748676	0.0763633	0.0783311	0.080799	0.0837936	0.0873322	0.0914117	0.0959931	0.100982	0.10621	0.11142	0.116274	0.120381	0.123361	0.124918	0.124917	0.123405	0.120601	0.116838	0.112486	0.107895	0.103359	0.0990966	0.095259	0.0919413	0.0891974	0.087054	0.0855216	0.0846027	0.0842965	0.0856866	0.0899163	0.0971795	0.10786	0.122651	0.142808	0.1707	0.211121	0.274735	0.387988	0.617952	1.00367	0.922561	0.580134	0.482881	0.545985	0.784822	1.41678	2.84482	3.25737	1.9562	1.21249	0.880725	0.718472	0.631052	0.580583	0.55012	0.531289	0.519624	0.512629	0.508906	0.507738	0.513369	0.53107	0.563555	0.616533	0.701488	0.843507	1.10742	1.57236	2.09537	2.33733	20.8197	0.883315	0.361638	0.21043	0.146103	0.112969	0.0931121	0.0797961	0.0705496	0.0650411	0.0648442	0.0774876	0.147913	0.392281	0.381729	0.213892	0.140183	0.106504	0.0890029	0.0794104	0.0745073	0.0729919
0.0612736	0.0614521	0.0619913	0.0629027	0.064205	0.0659227	0.0680848	0.0707207	0.0738548	0.0774974	0.0816323	0.0862007	0.0910835	0.096089	0.100951	0.10535	0.108953	0.111479	0.11275	0.112737	0.111552	0.109418	0.106615	0.103433	0.100127	0.0969085	0.0939317	0.091305	0.0890985	0.0873549	0.0860979	0.0853401	0.085087	0.0862404	0.0897473	0.0957601	0.104579	0.116741	0.133215	0.155808	0.188143	0.238238	0.32625	0.50934	0.90932	1.09964	0.702308	0.556376	0.623134	0.92088	1.75983	3.43387	2.91273	1.55418	0.964352	0.710569	0.586364	0.519142	0.480219	0.456708	0.442188	0.433212	0.427845	0.424995	0.424103	0.428495	0.442276	0.467485	0.508399	0.573627	0.682014	0.884035	1.28185	1.79483	2.39107	20.8977	1.02804	0.409776	0.229806	0.154443	0.116547	0.0946385	0.0807143	0.0718386	0.0675467	0.0691035	0.0856859	0.181865	0.44457	0.309746	0.168826	0.11314	0.0874524	0.0738836	0.0663547	0.0624766	0.0612736
0.0522102	0.0523667	0.0528398	0.0536403	0.054786	0.0563006	0.0582128	0.0605535	0.0633515	0.0666261	0.0703772	0.0745718	0.0791286	0.0839058	0.0886967	0.0932406	0.0972526	0.10047	0.1027	0.103859	0.103979	0.103195	0.10171	0.0997496	0.0975346	0.0952554	0.0930644	0.0910759	0.0893702	0.0880015	0.0870043	0.0863989	0.086196	0.0871713	0.090135	0.0952095	0.102635	0.112838	0.12658	0.145264	0.171664	0.211829	0.280838	0.422792	0.769798	1.22119	0.86465	0.653635	0.723982	1.102	2.21782	3.83175	2.40704	1.2302	0.778007	0.583582	0.487417	0.434951	0.404434	0.38597	0.374573	0.36754	0.363345	0.361123	0.360428	0.363916	0.374842	0.394754	0.426896	0.477766	0.561511	0.716085	1.04554	1.48845	2.22983	18.8712	1.2142	0.473984	0.25603	0.166462	0.122587	0.0981121	0.0833712	0.0748547	0.07183	0.0744602	0.096121	0.22736	0.451728	0.244472	0.135038	0.0928842	0.0730091	0.0623126	0.0563017	0.0531816	0.0522102
0.045094	0.0452326	0.0456517	0.0463616	0.0473789	0.0487266	0.0504325	0.0525282	0.0550448	0.0580078	0.0614285	0.065293	0.069549	0.074094	0.0787692	0.0833647	0.0876393	0.0913548	0.0943157	0.096403	0.0975916	0.0979458	0.097598	0.0967186	0.0954873	0.0940714	0.0926138	0.0912283	0.090001	0.0889935	0.0882478	0.0877907	0.0876368	0.0884769	0.0910284	0.0953924	0.101766	0.110497	0.122196	0.137979	0.16001	0.192922	0.248037	0.358286	0.634911	1.22329	1.07113	0.783473	0.857113	1.34522	2.802	3.82054	1.91566	0.984002	0.638879	0.488121	0.412454	0.370783	0.346422	0.331652	0.322537	0.316921	0.313579	0.311812	0.31126	0.314082	0.322903	0.338923	0.364641	0.405039	0.470858	0.590532	0.85633	1.23879	1.93526	15.8448	1.44419	0.559911	0.291424	0.183174	0.13162	0.103879	0.0880716	0.079923	0.0779831	0.0801865	0.110037	0.28546	0.409065	0.192514	0.109823	0.0775338	0.0618988	0.0533224	0.0484428	0.0458911	0.045094
0.0394261	0.0395499	0.0399246	0.0405597	0.0414708	0.0426799	0.0442141	0.0461047	0.0483841	0.0510819	0.0542178	0.0577921	0.0617748	0.0660947	0.0706323	0.0752207	0.0796589	0.0837353	0.08726	0.0900944	0.0921714	0.0934992	0.0941509	0.0942438	0.0939167	0.0933096	0.0925506	0.091748	0.0909884	0.0903373	0.0898417	0.0895326	0.0894277	0.0901644	0.092401	0.0962233	0.101797	0.109413	0.119577	0.133193	0.15199	0.179588	0.224612	0.311581	0.52577	1.1074	1.30588	0.957544	1.03465	1.67308	3.46569	3.40482	1.51273	0.800057	0.534227	0.415435	0.354855	0.32117	0.301374	0.289347	0.281923	0.277356	0.274644	0.273213	0.272766	0.275088	0.282337	0.295456	0.316408	0.34908	0.401775	0.496013	0.706517	1.05473	1.62498	12.7858	1.6988	0.673938	0.339258	0.206083	0.144465	0.112501	0.0953023	0.0874592	0.0856161	0.0858183	0.12921	0.35129	0.34027	0.153222	0.0908559	0.0657309	0.0532222	0.0462328	0.0422091	0.0400902	0.0394261
0.0348515	0.034963	0.0353007	0.0358734	0.036696	0.0377892	0.0391792	0.0408969	0.0429752	0.0454465	0.0483363	0.0516559	0.0553927	0.0595005	0.0638923	0.0684381	0.0729727	0.0773122	0.0812783	0.0847233	0.0875509	0.0897256	0.0912701	0.0922529	0.0927719	0.0929371	0.0928569	0.0926294	0.0923372	0.092046	0.0918047	0.091647	0.0915923	0.0922497	0.0942452	0.0976534	0.102618	0.109389	0.118393	0.130386	0.146781	0.170472	0.208157	0.278297	0.444268	0.938646	1.51147	1.18888	1.27304	2.11076	4.04097	2.80592	1.20459	0.662282	0.454483	0.35928	0.309953	0.282265	0.265911	0.255953	0.249806	0.246029	0.24379	0.24261	0.242243	0.244186	0.25024	0.261162	0.278522	0.305412	0.348371	0.423963	0.589962	0.919456	1.36427	10.1348	1.91809	0.819733	0.403809	0.237332	0.16233	0.124814	0.105741	0.0977649	0.0933935	0.0921106	0.155756	0.407791	0.271108	0.123908	0.0763993	0.0565179	0.0463468	0.0405632	0.0371968	0.0354124	0.0348515
