CDMFT_iterations	CDMFT_method	D	D_1_ave	D_ave	E0_1	E0_2	E_kin	GS_consistency	U	U_1_ave	convergence	dist_function	e	e_2_ave	e_ave	eb1_1	eb1_1_ave	eb2_1	eb2_1_ave	eb3_1	eb3_1_ave	eb4_1	eb4_1_ave	eb5_1	eb5_1_ave	eb6_1	eb6_1_ave	eb7_1	eb7_1_ave	eb8_1	eb8_1_ave	githash	model	mu	mu_1_ave	mu_2_ave	mu_ave	n_1	n_2	sb1_1	sb1_1_ave	sb2_1	sb2_1_ave	sb3_1	sb3_1_ave	sb4_1	sb4_1_ave	sb5_1	sb5_1_ave	sb6_1	sb6_1_ave	sb7_1	sb7_1_ave	sb8_1	sb8_1_ave	script	sector_1	sector_2	tb1_1	tb1_1_ave	tb2_1	tb2_1_ave	tb3_1	tb3_1_ave	tb4_1	tb4_1_ave	tb5_1	tb5_1_ave	tb6_1	tb6_1_ave	tb7_1	tb7_1_ave	tb8_1	tb8_1_ave	time	tpd	tpd_ave	tpp	tpp_2_ave	tpp_ave	tppp	tppp_2_ave	tppp_ave	version	
1	Broyden	1e-09	0.000168604123	4.111543165e-05	-59.17046851	-110.2162963	5.01806661	YY	8	0.5172254798	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.199400082	2.329467534	0.05110187521	0.01675342637	0.1209998312	-3.220375217	1.694532843	-0.1932123204	1.244859132	3.231660273	0.304226543	0.195067735	0.753338879	2.993326809	0.961985688	0.2304713462	0.01365574812	a248bdd	2x2_2C_8b_C2v_L	9.87	1.500140157	2	1.677027369	0.9999999998675749	1.0000000000000004	-1.006777452	0.3065366421	-0.01658957092	0.1147446959	0.002090477607	0.00340422696	0.2588811931	-2.68818189	-1.619688792	1.480862053	0.008143491695	-0.06910378699	2.170660792	-3.745582452	0.009218909679	-0.1061119197	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.0008055883514	0.004781437101	0.1313165485	-1.244347801	-1.616848774	1.483968024	0.007676498183	-0.06465531403	-0.002223241131	-0.004533392947	-0.2597094832	2.689012037	0.002222748085	0.01945735625	-0.3538609218	0.3786734695	2024-09-13@10:32	2.148148148	-0.726205999	1	-3.498695381e-16	-0.3563568687	0.09259259259	-1.138164451e-16	0.140990528	v2.7.1	
1	Broyden	1e-09	-0.0001188346518	-1.794584798e-05	-63.52485922	-110.3762963	5.03481857	YY	8	0.5184486109	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.199796617	-2.321005128	1.949157729	-0.01758068564	1.862062475	3.230741056	0.3033561025	0.1941849495	0.7507779038	0.1934003065	0.7511449951	-3.225650045	1.6963164	3.001786548	0.9607961301	0.2310603673	0.01871459028	a248bdd	2x2_2C_8b_C2v_L	9.88	1.501470439	2	1.678021464	0.9999999998680716	1.0000000000000004	0.001304594877	-0.007297580005	-0.1301499768	1.233913652	-1.618839305	1.475575893	0.01163818232	-0.09811236863	0.01160170441	-0.09725918359	0.00327172387	0.004801167168	2.171636319	-3.743539503	0.0140712471	-0.1626302833	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-1.004690255	0.304595886	-0.02452347636	0.1670922766	-0.003148177512	-0.005913434258	-0.2590773312	2.686740307	-0.2588278962	2.686186236	-1.617359597	1.476095938	0.003615700752	0.02949806651	-0.354168085	0.3840348431	2024-09-13@10:36	2.148148148	-0.7244198446	1	2.339743904e-17	-0.3557684139	0.09259259259	-9.245670853e-17	0.1407350595	v2.7.1	
1	Broyden	1e-09	5.671245069e-05	3.084460026e-05	-57.83748886	-111.4962963	5.147271379	YY	8	0.5275253986	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.202488854	0.01105009581	0.09801328467	-2.361099008	1.952581027	3.241957611	0.2930925476	0.1896054226	0.723009685	3.239465373	0.2933812363	-0.1892457885	1.276499342	3.012494253	0.9649842248	0.2179799999	0.009628413834	a248bdd	2x2_2C_8b_C2v_L	9.95	1.511478819	2	1.684616748	0.9999999997562649	0.9999999999999996	0.003814440934	-0.02822845072	-4.359403417e-05	-0.0001304763704	-1.614932749	1.42535759	0.0008903009604	-0.007425397308	-1.61432652	1.426180896	-0.2562864641	2.675498229	2.161348927	-3.750971765	0.001423357371	-0.01975043228	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.1299635645	1.207867392	-1.007658119	0.2873431613	3.651411096e-05	-0.00107297986	-0.2563572205	2.675537161	-0.0002477797763	-0.001102216798	-0.001393324689	0.01177477442	0.0002008078396	0.004348196394	-0.3471431283	0.3684380284	2024-09-13@10:41	2.148148148	-0.7125581704	1	6.835487339e-16	-0.3516272568	0.09259259259	-6.120029123e-17	0.138959811	v2.7.1	
1	Broyden	1e-09	-0.0002457759205	-5.59946057e-05	-64.05169786	-110.6962963	5.068260386	YY	8	0.5207967355	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.200592167	-2.345247969	1.950202705	-0.01477712765	1.882527576	-0.1900497351	1.256003432	-3.227854904	1.698688005	3.242965985	0.299568469	0.1937653264	0.7415694028	3.007702502	0.9622335556	0.2285267721	0.0131381141	a248bdd	2x2_2C_8b_C2v_L	9.9	1.504078566	2	1.679981175	0.9999999998606628	1.0000000000000002	-0.0005897054442	0.003757265026	-0.1309754979	1.231429301	0.2571572843	-2.683194621	-0.001668531525	-0.002405531226	-1.619990529	1.459380365	0.007022516922	-0.05910633657	2.169798766	-3.746828216	0.008212947288	-0.09909110464	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-1.008036561	0.2999539014	0.01572861078	-0.1111021863	-0.006448792548	0.0536510489	-1.615812958	1.463462509	0.00177474168	0.004175137904	0.2592013132	-2.684873143	-0.002106774224	-0.01849892167	0.3530251895	-0.3768856327	2024-09-13@10:45	2.148148148	-0.7208750766	1	-6.882541943e-17	-0.3545589784	0.09259259259	-2.092578476e-16	0.1402083602	v2.7.1	
1	Broyden	1e-09	0.000282231595	7.129218609e-06	-60.2755135	-111.9762963	5.196146139	YY	8	0.5321427118	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.203660235	2.62476404	0.04389852391	-0.1216977168	1.776635104	-0.1952805972	1.246687577	3.334650352	0.2869948038	0.1990384788	0.7494399232	-3.344891818	1.714803473	3.085509186	0.8894140831	0.22138993	0.3431509819	a248bdd	2x2_2C_8b_C2v_L	9.98	1.516121989	2	1.687296784	0.9999999998576938	0.9999999999999996	-1.045731391	0.2859672292	0.1401338444	-1.275780258	-0.2487419451	2.585273704	-1.620718792	1.413686495	-0.09581425751	0.7867322359	-0.019801215	-0.06512627404	2.167494065	-3.560172637	0.1155820557	-1.026288938	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.01933423738	-0.05296505478	-0.1220167861	0.3357622886	0.09696312947	-0.8065169016	0.01962509916	0.06774849976	-0.2511732632	2.591649575	-1.623973823	1.408334141	-0.02266309054	-0.1341809636	0.3388994275	-0.7416851876	2024-09-13@10:49	2.148148148	-0.7074695338	1	-1.242503449e-16	-0.3497028448	0.09259259259	-5.175869102e-16	0.1383504403	v2.7.1	
1	Broyden	1e-09	-8.909747069e-05	-3.816262993e-06	-59.63285213	-111.6562963	5.163947794	YY	8	0.5287286434	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.202884516	2.371612497	0.04675538297	0.01125064251	0.1094161033	-0.1881331446	1.279840888	3.247747405	0.2918373648	0.1857727012	0.7214200915	-3.236262835	1.707050659	3.012811883	0.9650073445	0.2165635358	0.01258922881	a248bdd	2x2_2C_8b_C2v_L	9.96	1.51281176	2	1.685575563	0.999999999833141	0.9999999999999998	-1.008969697	0.2843053565	-0.01417033378	0.1039295829	-0.2559587652	2.673762416	-1.615321889	1.419774531	-0.006272061698	0.05156736319	0.001675365241	0.001919419043	2.159554264	-3.749963496	0.006760468445	-0.09309136239	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-4.379160583e-05	0.001915904983	0.1289103443	-1.196406103	-0.005980089948	0.04934982499	-0.001350088954	-0.003087707401	0.2543956633	-2.672022012	-1.612260889	1.42200897	0.001653540195	0.01871228717	-0.3461515292	0.3708873098	2024-09-13@10:53	2.148148148	-0.7108002277	1	1.121591605e-16	-0.3510007905	0.09259259259	-1.715609436e-16	0.1387044777	v2.7.1	
5	Broyden	1e-09	-0.0006789668589	0.0009127649356	-217.5781397	-109.8962963	4.878905468	YY	8	0.5516593196	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.195722354	-1.765486921	1.983259768	30.76678989	0.003050174875	-29.68867873	1.839016768	-39.1937903	1.665626311	3.276009011	0.3134476387	0.2349873795	0.8129047033	2.997028975	0.9653081845	0.2466349728	0.05178295283	a248bdd	2x2_2C_8b_C2v_L	9.85	1.523164923	2	1.675681224	0.9999999996109346	1.0	0.08647031636	-0.3423048128	1.449607047	-0.0227979627	4.895608206	-1.528759636	10.8934672	-2.688340168	-1.626022452	1.496309618	-0.02993488352	0.3016384648	2.169273306	-3.76128583	-0.03755386074	0.3752541504	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.843661121	-0.09311342033	0.6145530253	-0.2856290578	-10.28485631	0.5471188124	6.107645222	-0.2943377797	-0.007824701289	-0.05822417643	0.2725185352	-2.842657009	0.009198069762	0.06359498182	0.3601318858	-0.4287257605	2024-09-13@11:05	2.148148148	-0.7390518966	1	1.902687213e-17	-0.3644612767	0.09259259259	-3.671457619e-16	0.1439856825	v2.7.1	
1	Broyden	1e-09	-5.760894238e-05	-1.61048629e-05	-59.14608382	-111.1762963	5.113502838	YY	8	0.5251000505	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.20169889	2.363288165	0.04813678968	0.01931849882	0.2700783224	3.243137106	0.2966409953	0.1897920436	0.7359542497	-3.253835311	1.704363989	0.1913263225	0.7345745293	3.011685378	0.9559107477	0.2218664301	0.05508448419	a248bdd	2x2_2C_8b_C2v_L	9.93	1.508791583	2	1.682585549	0.9999999998821865	1.0	-1.009185541	0.2917642612	0.05593248937	-0.3717928814	-1.615893492	1.443107437	-0.0258032253	0.2156852347	0.006056448313	0.01285426921	0.02514587411	-0.2090358045	2.164139575	-3.728269787	0.0290116472	-0.3591457687	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-0.002860484723	0.01474682515	-0.1204144303	1.165012881	-0.006415846551	-0.01282807998	0.2559574173	-2.673999515	-1.61863677	1.440859436	-0.2568891676	2.675651663	0.006753630198	0.06833073001	-0.3487595727	0.4190331617	2024-09-13@11:09	2.148148148	-0.7161833325	1	-6.398375573e-16	-0.352790089	0.09259259259	-3.933530533e-16	0.1394922353	v2.7.1	
14	Broyden	1e-09	0.0005325075388	0.0001936625786	-56.48285925	-108.7762963	4.867117713	YY	8	0.5065583055	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.195778246	-2.288150679	1.944599868	0.01561009815	0.116830506	3.227076498	0.3141984896	0.2091842218	0.782726104	3.230919278	0.3138291678	0.2097500781	0.7822375161	2.966207861	0.9604716393	0.2361987235	0.01044772278	a248bdd	2x2_2C_8b_C2v_L	9.78	1.488294284	2	1.668145031	0.99999999984715	1.0000000000000004	0.0001563455813	-0.0007303509576	-0.00480282973	0.03530981382	-1.628299643	1.534443266	0.0008563997547	-0.006213699496	-1.629283294	1.533604271	-0.002351507116	0.02180669167	-2.178449024	3.743820009	0.002042072818	-0.02086451357	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	-1.00304095	0.3276052251	0.1329460889	-1.293526885	-6.545834082e-05	0.0001454221475	-0.265889569	2.705873835	-0.0005572785621	-0.003404718036	0.2661514526	-2.706208514	-0.0005269320424	-0.003243044254	-0.3590931292	0.3803508338	2024-09-13@11:29	2.148148148	-0.7422073568	1	-1.08729301e-17	-0.3617233184	0.09259259259	1.623739052e-16	0.1433867624	v2.7.1	
1	Broyden	1e-09	-0.0001168225602	-3.497464647e-05	-63.28307074	-109.7362963	4.968788636	YY	8	0.5135105728	self-energy/D	sharp_wc_2_b_50	2.981481481	2	1.198215007	0.01766178333	0.1145774742	-2.310711639	1.947484063	-3.229727887	1.692180182	0.1989295701	0.7636907032	3.235641115	0.3071751075	0.2001807353	0.7628701581	0.2345695361	0.01107742707	2.989221487	0.9612682312	a248bdd	2x2_2C_8b_C2v_L	9.84	1.49601992	2	1.674143217	0.999999999836656	1.0	0.0105231457	-0.07258569034	-0.0007982312762	0.003943738062	-0.0009812951057	-0.00282532867	0.004178493371	-0.03559451162	1.623969442	-1.498150998	-0.004574430763	0.03938887677	0.005043611228	-0.05574148507	2.175187837	-3.745598778	recalcules_de_points_supra.py	R0:S0:1	uncorrelated	0.1321544884	-1.260920662	-1.005049326	0.313346086	-1.622380216	1.499582016	0.2615550691	-2.695326612	-0.001130051808	-0.003534226537	-0.2623363622	2.696092037	0.3567362424	-0.3781749135	-0.001115434772	-0.01013594842	2024-09-13@11:33	2.148148148	-0.7314084285	1	7.234103052e-16	-0.3581462287	0.09259259259	6.623789637e-16	0.141770692	v2.7.1	
