model	E_kin	D	U	e	eb1_1	eb2_1	eb3_1	eb4_1	eb5_1	eb6_1	eb7_1	eb8_1	mu	sb1_1	sb2_1	sb3_1	sb4_1	sb5_1	sb6_1	sb7_1	sb8_1	tb1_1	tb2_1	tb3_1	tb4_1	tb5_1	tb6_1	tb7_1	tb8_1	tpd	tpp	tppp	ave_D	ave_e	ave_mu	ave_tpd	ave_tpp	ave_tppp	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_eb5_1	ave_eb6_1	ave_eb7_1	ave_eb8_1	ave_mu_1	ave_sb1_1	ave_sb2_1	ave_sb3_1	ave_sb4_1	ave_sb5_1	ave_sb6_1	ave_sb7_1	ave_sb8_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	ave_tb5_1	ave_tb6_1	ave_tb7_1	ave_tb8_1	ave_e_2	ave_mu_2	ave_tpp_2	ave_tppp_2	E0_1	sector_1	n_1	E0_2	sector_2	n_2	githash	version	GS_consistency	iterations	dist_function	convergence	script	time	
2x2_2C_8b_C2v_L	9.2209766	0	14	3.1695	-0.52587791	-5.3935837	-5.3582372	-0.51358487	-5.3573104	-0.51430615	0.48548609	-4.4040293	10.58	-3.023684e-05	2.0728994e-05	1.6012576e-05	-2.7384276e-05	2.137898e-06	-2.2610125e-05	0.22378506	8.1492808e-06	-0.20359583	-1.2500919	1.8161254	0.20814739	-1.8159276	-0.20828291	-2.2485089e-05	-2.2830609	1.9492	1	0.2373	-2.0418632e-07	1.2883899	1.6661605	-0.46853347	-0.10766307	0.046504309	0.14009488	1.9970053	1.965939	1.8848014	1.9942538	1.8848231	1.9942491	0.0078220148	1.7355129	1.1378094	0.00011745291	-2.3976697e-05	-6.7558232e-06	7.6667627e-05	1.0498949e-06	6.1632018e-05	-0.36311716	-6.7686035e-06	0.17451476	0.58859758	-1.2710478	-0.28278764	1.2708615	0.28288849	1.8686969e-05	2.1116563	2	2	0	0	-92.254127	R0:S0:1	1.1378094	-118.568	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:10
2x2_2C_8b_C2v_L	9.2211129	0	14	3.1695	-0.539804	-5.416239	-5.3685652	-0.52680883	-5.3786548	-0.53036479	0.49824561	-4.4152298	10.59	-2.5358362e-06	-6.3460378e-06	8.6953314e-07	7.4995444e-06	2.3019613e-05	-4.8569253e-05	0.22442129	-3.2328603e-06	-0.20450352	-1.2509881	1.8159775	0.20877002	-1.8171554	-0.20979416	-2.6329624e-06	-2.283188	1.9492	1	0.2373	-4.0690535e-07	1.2883923	1.6661675	-0.46851665	-0.10765715	0.046501752	0.14007579	1.9969824	1.9659684	1.8848853	1.9942307	1.8848799	1.9941763	0.0078573836	1.7355704	1.137791	1.0586094e-05	9.8756631e-06	-5.3965824e-07	-1.1550804e-05	-2.3581228e-05	0.0001168557	-0.36393461	-2.6310535e-06	0.17518522	0.5883644	-1.2704054	-0.28331589	1.2707655	0.28472367	-1.0272303e-07	2.1114114	2	2	0	0	-92.512584	R0:S0:1	1.137791	-118.728	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:18
2x2_2C_8b_C2v_L	9.221258	0	14	3.1695	-0.55326268	-5.4358742	-5.3916906	-0.5419872	-5.3893279	-0.54133722	0.51116799	-4.4275956	10.6	1.5354083e-05	-1.5735996e-05	8.0642976e-06	-1.7364572e-05	2.538882e-06	-1.8850684e-06	0.22528915	-3.4974956e-06	-0.20529319	-1.2516191	1.8175128	0.21019002	-1.817223	-0.21000494	2.9757679e-05	-2.2835131	1.9492	1	0.2373	-1.1914272e-07	1.2883946	1.6661772	-0.46849802	-0.10765203	0.04649953	0.14005517	1.9969628	1.9659953	1.8849448	1.9941611	1.8849481	1.9941712	0.0079086936	1.7356442	1.1377703	-5.3964207e-05	2.173771e-05	-8.4144485e-06	4.072283e-05	-1.7564718e-06	8.2005653e-06	-0.36512277	-6.4932954e-07	0.17575682	0.58814109	-1.2703031	-0.28507301	1.2702064	0.28480694	-2.7425717e-05	2.1111271	2	2	0	0	-92.764804	R0:S0:1	1.1377703	-118.888	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:25
2x2_2C_8b_C2v_L	9.2214091	0	14	3.1695	-0.56556394	-5.4570163	-5.3971191	-0.550336	-5.4157361	-0.55815265	0.52169776	-4.4379435	10.61	-8.0958925e-06	2.220175e-05	-1.8317527e-05	5.1615381e-05	1.9424014e-05	-4.2388984e-05	0.22541031	1.6368915e-05	-0.20591363	-1.2524841	1.8169976	0.20975018	-1.8190659	-0.21190447	-2.420723e-05	-2.2835809	1.9492	1	0.2373	-8.9781561e-07	1.2883972	1.6661853	-0.46847926	-0.10764565	0.04649673	0.14003726	1.9969466	1.9660164	1.8849972	1.9941881	1.8850112	1.9940762	0.0079147996	1.7356663	1.1377532	3.0690655e-05	-2.230241e-05	1.5171207e-05	-0.00011803282	-2.3004434e-05	9.0507329e-05	-0.36525956	-8.5403763e-06	0.17623005	0.58798045	-1.2697096	-0.28434334	1.2702019	0.28720064	2.1126062e-05	2.1110149	2	2	0	0	-93.007424	R0:S0:1	1.1377532	-119.048	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:31
2x2_2C_8b_C2v_L	9.2215017	0	14	3.1695	-0.57797239	-5.4728338	-5.4230388	-0.56910396	-5.420723	-0.56867298	0.53541268	-4.4502132	10.62	-1.4394011e-05	2.8076688e-05	3.2192047e-05	-6.6497508e-05	3.1342529e-05	-3.0771506e-05	0.22632675	-1.186185e-06	-0.20634007	-1.252926	1.818668	0.21193739	-1.8183666	-0.21180268	-1.5245925e-05	-2.2838797	1.9492	1	0.2373	9.2137355e-07	1.2883986	1.6661915	-0.46846737	-0.10764235	0.046495349	0.14002172	1.9969367	1.9660299	1.8850676	1.9940813	1.8850748	1.9940893	0.0079673442	1.7357379	1.1377374	4.699733e-05	-4.1691705e-05	-3.9842307e-05	0.00015569302	-3.3223152e-05	7.6873201e-05	-0.36647228	1.2324623e-05	0.17651868	0.58786774	-1.269664	-0.28702522	1.2695404	0.28681198	1.691674e-05	2.1107422	2	2	0	0	-93.249792	R0:S0:1	1.1377374	-119.208	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:38
2x2_2C_8b_C2v_L	9.2216527	0	14	3.1695	-0.59266677	-5.5048503	-5.4324527	-0.58006316	-5.4331321	-0.57999287	0.54638899	-4.460809	10.63	2.5349987e-05	-2.7496162e-05	8.8948966e-06	-1.5781174e-05	-1.6886113e-05	1.2358131e-05	0.22655907	2.865289e-07	-0.20765069	-1.2545858	1.8185545	0.21204489	-1.8186442	-0.21209346	6.1426701e-06	-2.2839674	1.9492	1	0.2373	-1.9113211e-07	1.2884013	1.6661974	-0.46844965	-0.10763425	0.046491934	0.14000717	1.9969022	1.9660741	1.8850856	1.9940789	1.8850819	1.9940755	0.0079793036	1.7357829	1.1377246	-9.0271151e-05	3.510819e-05	-3.8645685e-07	3.8330886e-05	1.8944985e-05	-2.4180749e-05	-0.36674056	-5.0365113e-06	0.17751943	0.5875237	-1.269513	-0.28707472	1.2695629	0.28716392	-4.7859458e-06	2.1105239	2	2	0	0	-93.49326	R0:S0:1	1.1377246	-119.368	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:46
2x2_2C_8b_C2v_L	9.2216817	0	14	3.1695	-0.60124824	-5.5042975	-5.4509	-0.59454228	-5.4508395	-0.59376995	0.55866518	-4.471992	10.64	7.0155357e-05	-5.16294e-05	1.5402488e-05	-2.7393208e-05	-3.4754078e-05	4.4840894e-05	0.22712977	8.0968739e-06	-0.20707028	-1.2537801	1.8194344	0.21323616	-1.8194923	-0.21307201	-1.0294815e-05	-2.2840926	1.9492	1	0.2373	-8.572466e-08	1.2884016	1.666202	-0.46844464	-0.10763536	0.046492283	0.13999578	1.9969184	1.9660545	1.885173	1.9940233	1.8851573	1.9940302	0.0080131113	1.7358086	1.1377119	-0.00025255894	6.2631102e-05	-5.6192389e-06	6.1001754e-05	3.5155086e-05	-9.6787788e-05	-0.36752177	-7.1077507e-06	0.17705154	0.58767496	-1.2690561	-0.28842504	1.2691688	0.28826358	1.4904796e-05	2.1104502	2	2	0	0	-93.701347	R0:S0:1	1.1377119	-119.528	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@16:55
2x2_2C_8b_C2v_L	9.221817	0	14	3.1695	-0.61493438	-5.5293823	-5.461159	-0.60456979	-5.467299	-0.60794903	0.56900873	-4.4822156	10.65	3.5579005e-06	6.5175218e-06	-1.7198666e-05	2.0488675e-05	-2.3598553e-05	4.9432532e-05	0.22719525	-7.7392995e-06	-0.20807406	-1.2548603	1.8195147	0.21323324	-1.8201259	-0.2140993	2.2964593e-05	-2.2841484	1.9492	1	0.2373	5.6368192e-07	1.288404	1.6662085	-0.46842824	-0.10762901	0.046489549	0.1399821	1.9968921	1.9660879	1.8851898	1.9940252	1.885212	1.9939818	0.0080157218	1.7358295	1.1376993	-1.3416615e-05	-1.1459226e-05	1.721987e-05	-5.0892051e-05	2.590349e-05	-0.00011135579	-0.36757685	1.082405e-05	0.17781233	0.58741043	-1.2689096	-0.28836746	1.2689422	0.28945113	-1.8928909e-05	2.1103391	2	2	0	0	-93.941962	R0:S0:1	1.1376993	-119.688	uncorrelated	2	8eae08f	v2.2.3	YY	5	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@17:02
2x2_2C_8b_C2v_L	9.2219338	0	14	3.1695	-0.62821743	-5.5495094	-5.4853019	-0.62230108	-5.471906	-0.61572635	0.57947157	-4.4915388	10.66	-1.6164527e-05	1.2017209e-05	-2.2023565e-05	3.8558375e-05	-3.8805935e-06	1.1354971e-05	0.22713403	-1.7309751e-05	-0.20882404	-1.2555762	1.8209514	0.21520636	-1.819566	-0.21347489	3.9428926e-05	-2.2840216	1.9492	1	0.2373	3.9904782e-07	1.288406	1.6662134	-0.46841411	-0.10762349	0.046487088	0.13996857	1.9968728	1.9661091	1.8852683	1.9939285	1.885231	1.9940167	0.0080093747	1.7358351	1.137687	5.7259319e-05	-1.6924103e-05	1.9580722e-05	-8.7292647e-05	4.7708805e-06	-2.8546725e-05	-0.36742471	1.3371165e-05	0.1783718	0.58725093	-1.2687464	-0.29075874	1.2685974	0.28855377	-3.6998763e-05	2.1102789	2	2	0	0	-94.176496	R0:S0:1	1.137687	-119.848	uncorrelated	2	8eae08f	v2.2.3	YY	6	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@17:11
2x2_2C_8b_C2v_L	9.2218788	0	14	3.1695	-0.63872406	-5.5548894	-5.4814366	-0.62388215	-5.4915771	-0.63040618	0.58733219	-4.5001428	10.67	1.291936e-05	-4.762666e-06	-1.4504665e-05	7.4187502e-06	-4.072542e-05	7.7156108e-05	0.22656204	-1.1669456e-05	-0.20885631	-1.2550707	1.8196446	0.21309175	-1.8205636	-0.21474998	1.5568106e-05	-2.2838721	1.9492	1	0.2373	9.3462061e-07	1.2884051	1.6662111	-0.46842075	-0.10762615	0.046488194	0.13997952	1.9968723	1.9661083	1.885192	1.9940325	1.8852495	1.9939508	0.0079760911	1.7357801	1.1376977	-4.77165e-05	-9.0974111e-07	1.9228029e-05	-2.1178818e-05	4.5325582e-05	-0.00016639173	-0.36666068	1.3485044e-05	0.17838057	0.58724707	-1.2688723	-0.28818457	1.268775	0.29020527	-1.0903207e-05	2.1105	2	2	0	0	-94.329204	R0:S0:1	1.1376977	-120.008	uncorrelated	2	8eae08f	v2.2.3	YY	4	sharp_wc_2.0_b_50	parameters	new_boucle_param.py	2023-09-20@17:17
